Price,Close,High,Low,Open,Volume
Ticker,SIDO.JK,SIDO.JK,SIDO.JK,SIDO.JK,SIDO.JK
Datetime,,,,,
2026-01-27 02:00:00,535.0,540.0,535.0,540.0,0
2026-01-27 02:05:00,535.0,540.0,535.0,540.0,51500
2026-01-27 02:10:00,540.0,540.0,535.0,540.0,193400
2026-01-27 02:15:00,535.0,540.0,535.0,540.0,165600
2026-01-27 02:20:00,540.0,540.0,535.0,535.0,58400
2026-01-27 02:25:00,540.0,540.0,535.0,540.0,59000
2026-01-27 02:30:00,540.0,540.0,535.0,540.0,27200
2026-01-27 02:35:00,535.0,540.0,535.0,540.0,89700
2026-01-27 02:40:00,535.0,540.0,535.0,535.0,70900
2026-01-27 02:45:00,535.0,540.0,535.0,535.0,119400
2026-01-27 02:50:00,535.0,540.0,535.0,535.0,114800
2026-01-27 02:55:00,535.0,540.0,535.0,535.0,29200
2026-01-27 03:00:00,535.0,540.0,535.0,535.0,82000
2026-01-27 03:05:00,540.0,540.0,535.0,535.0,17500
2026-01-27 03:10:00,535.0,540.0,535.0,540.0,590800
2026-01-27 03:15:00,535.0,540.0,535.0,540.0,247800
2026-01-27 03:20:00,535.0,540.0,530.0,540.0,2484600
2026-01-27 03:25:00,535.0,535.0,530.0,535.0,57200
2026-01-27 03:30:00,535.0,535.0,530.0,535.0,43700
2026-01-27 03:35:00,530.0,535.0,530.0,535.0,153900
2026-01-27 03:40:00,530.0,535.0,530.0,535.0,59500
2026-01-27 03:45:00,530.0,535.0,530.0,535.0,80400
2026-01-27 03:50:00,535.0,535.0,530.0,535.0,38900
2026-01-27 03:55:00,535.0,535.0,530.0,535.0,26300
2026-01-27 04:00:00,535.0,535.0,530.0,530.0,50100
2026-01-27 04:05:00,535.0,535.0,530.0,535.0,13500
2026-01-27 04:10:00,530.0,535.0,530.0,535.0,22200
2026-01-27 04:15:00,535.0,535.0,530.0,530.0,1217100
2026-01-27 04:20:00,535.0,535.0,530.0,535.0,15600
2026-01-27 04:25:00,535.0,535.0,530.0,535.0,122400
2026-01-27 04:30:00,535.0,535.0,530.0,530.0,12300
2026-01-27 04:35:00,530.0,535.0,530.0,535.0,100500
2026-01-27 04:40:00,535.0,535.0,535.0,535.0,15400
2026-01-27 04:45:00,535.0,535.0,530.0,535.0,55100
2026-01-27 04:50:00,535.0,535.0,530.0,535.0,35200
2026-01-27 04:55:00,535.0,535.0,530.0,530.0,37100
2026-01-27 06:30:00,530.0,535.0,530.0,530.0,169400
2026-01-27 06:35:00,535.0,535.0,530.0,535.0,33500
2026-01-27 06:40:00,535.0,535.0,530.0,530.0,49000
2026-01-27 06:45:00,535.0,535.0,530.0,535.0,33900
2026-01-27 06:50:00,535.0,535.0,530.0,530.0,28300
2026-01-27 06:55:00,530.0,535.0,530.0,535.0,77400
2026-01-27 07:00:00,530.0,535.0,530.0,530.0,91700
2026-01-27 07:05:00,535.0,535.0,530.0,535.0,621800
2026-01-27 07:10:00,535.0,535.0,530.0,535.0,109200
2026-01-27 07:15:00,535.0,535.0,530.0,535.0,73900
2026-01-27 07:20:00,530.0,535.0,530.0,535.0,36600
2026-01-27 07:25:00,530.0,535.0,530.0,535.0,156300
2026-01-27 07:30:00,540.0,540.0,530.0,535.0,3054300
2026-01-27 07:35:00,535.0,540.0,535.0,540.0,21000
2026-01-27 07:40:00,540.0,540.0,535.0,535.0,19400
2026-01-27 07:45:00,535.0,540.0,535.0,535.0,46400
2026-01-27 07:50:00,535.0,540.0,535.0,535.0,26400
2026-01-27 07:55:00,540.0,540.0,535.0,540.0,87100
2026-01-27 08:00:00,535.0,540.0,535.0,540.0,399800
2026-01-27 08:05:00,530.0,535.0,530.0,535.0,31600
2026-01-27 08:10:00,535.0,535.0,530.0,535.0,104900
2026-01-27 08:15:00,535.0,535.0,530.0,535.0,301800
2026-01-27 08:20:00,535.0,535.0,530.0,535.0,15600
2026-01-27 08:25:00,535.0,535.0,530.0,535.0,9800
2026-01-27 08:30:00,535.0,535.0,530.0,535.0,21200
2026-01-27 08:35:00,530.0,535.0,530.0,535.0,74800
2026-01-27 08:40:00,535.0,535.0,530.0,530.0,90000
2026-01-27 08:45:00,535.0,540.0,535.0,535.0,76200
2026-01-27 09:00:00,540.0,540.0,540.0,540.0,240300
2026-01-27 09:05:00,540.0,540.0,540.0,540.0,424100
2026-01-27 09:10:00,540.0,540.0,540.0,540.0,800
2026-01-28 02:00:00,535.0,535.0,530.0,535.0,0
2026-01-28 02:05:00,535.0,535.0,530.0,530.0,1215500
2026-01-28 02:10:00,535.0,535.0,530.0,535.0,214800
2026-01-28 02:15:00,535.0,535.0,530.0,530.0,287800
2026-01-28 02:20:00,530.0,535.0,530.0,530.0,86700
2026-01-28 02:25:00,535.0,535.0,530.0,530.0,758900
2026-01-28 02:30:00,530.0,535.0,530.0,535.0,21200
