Datetime,Open,High,Low,Close,Volume
2024-05-06,1233.7,1256.88,1205.87,1247.61,10872700
2024-05-07,1252.25,1261.52,1224.42,1252.25,9219500
2024-05-08,1247.61,1256.88,1215.14,1219.78,6606000
2024-05-13,1219.78,1229.06,1219.78,1224.42,6904900
2024-05-14,1224.42,1242.97,1215.14,1233.7,11226300
2024-05-15,1233.7,1252.25,1201.23,1229.06,13683800
2024-05-16,1229.06,1238.33,1205.87,1210.51,7397500
2024-05-17,1215.14,1219.78,1196.59,1205.87,7055300
2024-05-20,1205.87,1261.52,1205.87,1224.42,33830000
2024-05-21,1233.7,1256.88,1229.06,1242.97,13173500
2024-05-22,1242.97,1275.44,1242.97,1270.8,25619400
2024-05-27,1270.8,1321.82,1270.8,1298.63,47880400
2024-05-28,1303.26,1400.66,1289.35,1377.47,88515300
2024-05-29,1372.83,1386.75,1326.45,1345.01,26418800
2024-05-30,1340.37,1386.75,1331.09,1377.47,23876300
2024-05-31,1377.47,1400.66,1340.37,1345.01,19192000
2024-06-03,1345.01,1372.83,1280.07,1307.9,23437600
2024-06-04,1307.9,1326.45,1238.33,1242.97,42011800
2024-06-05,1242.97,1266.16,1224.42,1242.97,26387700
2024-06-06,1242.97,1270.8,1242.97,1247.61,6921500
2024-06-07,1252.25,1275.44,1219.78,1233.7,16721500
2024-06-10,1238.33,1238.33,1196.59,1210.51,15348500
2024-06-11,1215.14,1233.7,1210.51,1224.42,12307400
2024-06-12,1229.06,1284.71,1215.14,1284.71,20759800
2024-06-13,1284.71,1298.63,1219.78,1219.78,33546300
2024-06-14,1229.06,1233.7,1205.87,1210.51,10150600
2024-06-19,1215.14,1256.88,1205.87,1247.61,17284900
2024-06-20,1247.61,1261.52,1238.33,1256.88,11529700
2024-06-21,1256.88,1293.99,1252.25,1252.25,21583000
2024-06-24,1298.63,1298.63,1224.42,1224.42,15945300
2024-06-25,1233.69,1238.33,1210.51,1215.14,18709000
2024-06-26,1219.78,1252.25,1215.14,1229.06,15234600
2024-06-27,1224.42,1252.25,1224.42,1233.7,13567900
2024-06-28,1233.7,1242.97,1215.14,1224.42,21181700
2024-07-01,1229.06,1261.52,1224.42,1242.97,26737500
2024-07-02,1242.97,1317.18,1242.97,1293.99,76428300
2024-07-03,1289.35,1303.26,1242.97,1261.52,45290800
2024-07-04,1261.52,1284.71,1247.61,1284.71,17641100
2024-07-05,1284.71,1289.35,1266.16,1270.8,15363000
2024-07-08,1270.8,1303.26,1252.25,1270.8,17606600
2024-07-09,1270.8,1280.07,1238.33,1242.97,20463900
2024-07-10,1242.97,1256.88,1224.42,1256.88,16230000
2024-07-11,1256.88,1266.16,1242.97,1261.52,13973300
2024-07-12,1261.52,1270.8,1238.33,1252.25,8674400
2024-07-15,1256.88,1275.44,1238.33,1256.88,23483500
2024-07-16,1256.88,1275.44,1242.97,1247.61,16513900
2024-07-17,1252.25,1261.52,1215.14,1229.06,33460800
2024-07-18,1229.06,1252.25,1219.78,1247.61,43575900
2024-07-19,1247.61,1284.71,1242.97,1247.61,62779600
2024-07-22,1252.25,1289.35,1247.61,1284.71,55041100
2024-07-23,1266.16,1303.26,1238.33,1247.61,49047000
2024-07-24,1247.61,1252.25,1224.42,1224.42,29241600
2024-07-25,1224.42,1242.97,1215.14,1219.78,17753500
2024-07-26,1219.78,1238.33,1219.78,1229.06,13257700
2024-07-29,1233.7,1266.16,1229.06,1261.52,34512200
2024-07-30,1252.25,1266.16,1238.33,1238.33,16697300
2024-07-31,1242.97,1252.25,1238.33,1242.97,15925300
