Datetime,Open,High,Low,Close,Volume
2024-05-06,1452.95,1470.3,1431.27,1457.29,25738900
2024-05-07,1461.63,1461.63,1422.59,1439.94,42058600
2024-05-08,1439.94,1448.62,1413.92,1439.94,24326100
2024-05-13,1453.36,1484.66,1439.94,1475.72,29132900
2024-05-14,1471.24,1475.72,1444.41,1462.3,37598100
2024-05-15,1462.3,1462.3,1431.0,1453.36,29325100
2024-05-16,1453.36,1453.36,1404.17,1413.11,38036500
2024-05-17,1413.11,1413.11,1381.81,1413.11,45137600
2024-05-20,1417.58,1439.94,1417.58,1439.94,20667200
2024-05-21,1444.41,1444.41,1399.69,1404.17,25675100
2024-05-22,1408.64,1431.0,1399.69,1426.53,21673100
2024-05-27,1422.05,1422.05,1399.69,1413.11,11663200
2024-05-28,1413.11,1417.58,1395.22,1413.11,33149900
2024-05-29,1417.58,1493.6,1413.11,1475.72,38063800
2024-05-30,1475.72,1498.08,1444.41,1453.36,24260800
2024-05-31,1453.36,1457.83,1426.53,1431.0,52085700
2024-06-03,1431.0,1444.41,1417.58,1435.47,38926500
2024-06-04,1435.47,1444.41,1413.11,1431.0,26482200
2024-06-05,1426.53,1426.53,1399.69,1404.17,10587000
2024-06-06,1422.05,1422.05,1404.17,1422.05,4920800
2024-06-07,1422.05,1435.47,1408.64,1431.0,5301400
2024-06-10,1431.0,1466.77,1431.0,1448.89,14436500
2024-06-11,1457.83,1466.77,1426.53,1435.47,13570300
2024-06-12,1453.36,1453.36,1404.17,1422.05,33004100
2024-06-13,1422.05,1426.53,1408.64,1422.05,8741800
2024-06-14,1417.58,1426.53,1399.69,1404.17,34268800
2024-06-19,1404.17,1422.05,1399.69,1413.11,13150600
2024-06-20,1413.11,1417.58,1368.39,1399.69,18016700
2024-06-21,1399.69,1413.11,1395.22,1413.11,10842900
2024-06-24,1413.11,1466.77,1399.69,1457.83,30591000
2024-06-25,1462.3,1462.3,1439.94,1462.3,9270000
2024-06-26,1462.3,1475.72,1448.88,1466.77,13892700
2024-06-27,1466.77,1475.72,1457.83,1471.24,14086000
2024-06-28,1475.72,1507.02,1448.89,1448.89,54713000
2024-07-01,1448.89,1448.89,1413.11,1431.0,39977300
2024-07-02,1435.47,1439.94,1417.58,1426.53,22875200
2024-07-03,1431.0,1435.47,1404.17,1422.05,24992500
2024-07-04,1426.53,1431.0,1404.17,1413.11,29464100
2024-07-05,1413.11,1413.11,1386.28,1399.69,42352900
2024-07-08,1399.69,1399.69,1323.67,1354.98,116960300
2024-07-09,1354.98,1359.45,1332.62,1341.56,70559200
2024-07-10,1341.56,1359.45,1341.56,1350.5,47426100
2024-07-11,1354.98,1359.45,1346.03,1346.03,39265500
2024-07-12,1346.03,1359.45,1328.14,1341.56,53464000
2024-07-15,1341.56,1346.03,1314.73,1346.03,35246200
2024-07-16,1350.5,1368.39,1337.09,1346.03,40727000
2024-07-17,1350.5,1350.5,1341.56,1346.03,9934200
2024-07-18,1350.5,1363.92,1346.03,1359.45,24084000
2024-07-19,1359.45,1363.92,1346.03,1354.98,23974400
2024-07-22,1354.98,1359.45,1346.03,1350.5,22977900
2024-07-23,1350.5,1354.98,1341.56,1346.03,14435800
2024-07-24,1346.03,1350.5,1341.56,1346.03,17161700
2024-07-25,1346.03,1359.45,1341.56,1350.5,30671700
2024-07-26,1354.98,1390.75,1346.03,1390.75,56522600
2024-07-29,1395.22,1399.69,1354.98,1368.39,71126900
2024-07-30,1359.45,1363.92,1346.03,1363.92,46147900
2024-07-31,1363.92,1363.92,1350.5,1354.98,44530100
2024-08-01,1359.45,1363.92,1346.03,1359.45,43081000
2024-08-02,1359.45,1372.86,1350.5,1363.92,44466400
2024-08-05,1368.54,1373.17,1285.32,1299.19,76682000
2024-08-06,1313.06,1317.69,1289.94,1299.19,36130900
2024-08-07,1303.81,1336.18,1303.81,1331.56,36483600
2024-08-08,1326.93,1326.93,1308.44,1313.06,14812500
2024-08-09,1317.69,1354.67,1317.69,1340.8,25551400
2024-08-12,1350.05,1382.41,1340.8,1373.17,20080600
2024-08-13,1373.17,1382.41,1354.67,1373.17,19820000
2024-08-14,1377.79,1424.02,1377.79,1424.02,43755500
2024-08-15,1424.02,1428.65,1400.91,1405.53,14553000
2024-08-16,1414.78,1414.78,1396.28,1400.91,9495000
2024-08-19,1405.53,1405.53,1377.79,1391.66,14164300
2024-08-20,1391.66,1396.28,1377.79,1396.28,29192200
2024-08-21,1396.28,1396.28,1373.17,1387.04,31377200
2024-08-22,1373.17,1387.04,1350.05,1350.05,23827500
2024-08-23,1354.67,1373.17,1336.18,1340.8,25527400
2024-08-26,1345.43,1359.3,1340.8,1359.3,11643900
2024-08-27,1359.3,1373.17,1359.3,1373.17,16105800
2024-08-28,1377.79,1396.28,1368.54,1391.66,14552500
2024-08-29,1400.91,1400.91,1354.67,1368.54,17757000
2024-08-30,1373.17,1387.04,1363.92,1382.41,14752800
2024-09-02,1382.41,1387.04,1363.92,1382.41,12960800
2024-09-03,1382.41,1382.41,1345.43,1363.92,23480400
2024-09-04,1340.8,1345.43,1303.81,1326.93,69195400
2024-09-05,1326.93,1326.93,1308.44,1326.93,28611500
2024-09-06,1322.31,1326.93,1313.06,1313.06,25575900
2024-09-09,1313.06,1317.68,1294.57,1303.81,37903200
2024-09-10,1308.44,1340.8,1308.44,1326.93,28906400
2024-09-11,1326.93,1345.43,1317.68,1322.31,30513300
2024-09-12,1336.18,1368.54,1331.56,1359.3,31056100
2024-09-13,1368.54,1373.17,1345.43,1359.3,25941500
2024-09-17,1359.3,1377.79,1336.18,1368.54,21005700
2024-09-18,1377.79,1377.79,1354.67,1354.67,16032600
2024-09-19,1354.67,1363.92,1350.05,1359.3,13725400
2024-09-20,1354.67,1382.41,1345.43,1382.41,25744400
2024-09-23,1382.41,1410.15,1373.17,1405.53,36891300
2024-09-24,1405.53,1451.77,1405.53,1442.52,73483600
2024-09-25,1447.14,1451.77,1414.78,1414.78,25501400
2024-09-26,1405.53,1419.4,1391.66,1410.15,17326300
2024-09-27,1414.78,1442.52,1410.15,1433.27,21847000
2024-09-30,1433.27,1442.52,1419.4,1433.27,41433100
2024-10-01,1433.27,1442.52,1419.4,1433.27,18501400
2024-10-02,1451.77,1470.26,1447.14,1461.01,51032700
2024-10-03,1465.64,1484.13,1461.01,1474.88,30228600
2024-10-04,1484.13,1502.62,1479.51,1493.38,38957200
2024-10-07,1498.0,1525.74,1484.13,1493.38,39757900
2024-10-08,1502.62,1511.87,1414.78,1428.65,47830700
2024-10-09,1428.65,1442.52,1396.28,1410.15,13382500
2024-10-10,1410.15,1428.65,1405.53,1428.65,24932700
2024-10-11,1437.89,1437.89,1410.15,1424.02,26540700
2024-10-14,1424.02,1433.27,1419.4,1419.4,16921100
2024-10-15,1419.4,1419.4,1350.05,1350.05,76281500
2024-10-16,1350.05,1387.04,1331.56,1387.04,87830300
2024-10-17,1377.79,1387.04,1359.3,1377.79,33232900
2024-10-18,1377.79,1382.41,1336.18,1336.18,32732500
2024-10-21,1336.18,1350.05,1331.56,1336.18,18463700
2024-10-22,1345.43,1350.05,1336.18,1340.8,11212400
2024-10-23,1340.8,1345.43,1326.93,1331.56,20374000
2024-10-24,1331.56,1336.18,1308.44,1313.06,25511300
2024-10-25,1313.06,1317.68,1299.19,1303.81,16167000
2024-10-28,1294.57,1294.57,1257.58,1257.58,30299600
2024-10-29,1257.58,1266.83,1225.22,1248.33,39414800
2024-10-30,1248.33,1299.19,1243.71,1289.94,28664900
2024-10-31,1289.94,1294.57,1248.33,1248.33,20612300
2024-11-01,1257.58,1285.32,1234.46,1248.33,11986500
2024-11-04,1248.33,1252.96,1197.48,1202.1,28039500
2024-11-05,1202.1,1271.45,1202.1,1257.58,18635900
2024-11-06,1266.83,1266.83,1225.22,1239.09,10084500
2024-11-07,1239.09,1239.09,1202.1,1211.35,22193100
2024-11-08,1211.35,1289.94,1202.1,1271.45,18680300
2024-11-11,1276.07,1276.07,1220.59,1276.07,11115600
2024-11-12,1266.83,1266.83,1234.46,1248.33,10596000
2024-11-13,1248.33,1280.7,1248.33,1266.83,12322900
2024-11-14,1266.83,1266.83,1239.09,1248.33,4379000
2024-11-15,1248.33,1248.33,1197.48,1202.1,23204000
2024-11-18,1202.1,1243.71,1197.48,1239.09,6406100
2024-11-19,1239.09,1252.96,1206.72,1211.35,8415600
2024-11-20,1215.97,1239.09,1211.35,1229.84,4283100
2024-11-21,1239.09,1248.33,1202.1,1206.72,11152300
2024-11-22,1206.72,1215.97,1197.48,1206.72,8139900
2024-11-25,1206.72,1225.22,1169.73,1169.73,31557000
2024-11-26,1169.73,1174.36,1132.75,1137.37,20033500
2024-11-28,1137.37,1146.62,1118.88,1132.75,9779700
2024-11-29,1146.62,1146.62,1123.5,1137.37,10050900
2024-12-02,1137.37,1151.24,1123.5,1132.75,6943300
2024-12-03,1132.75,1132.75,1118.88,1132.75,9081300
2024-12-04,1137.37,1183.6,1137.37,1174.36,14029000
2024-12-05,1174.36,1229.84,1160.49,1215.97,20916400
2024-12-06,1211.35,1225.22,1197.48,1220.59,7469600
2024-12-09,1220.59,1243.71,1211.35,1243.71,11416100
2024-12-10,1243.71,1266.83,1239.09,1252.96,20212300
2024-12-11,1248.33,1252.96,1229.84,1234.46,8953300
2024-12-12,1239.09,1252.96,1225.22,1234.46,12145100
2024-12-13,1239.09,1239.09,1211.35,1215.97,2378500
2024-12-16,1215.97,1215.97,1178.98,1183.6,9572400
2024-12-17,1183.6,1183.6,1128.12,1132.75,10926800
2024-12-18,1132.75,1141.99,1068.02,1081.89,24012100
2024-12-19,1077.27,1077.27,1031.03,1035.65,17013800
2024-12-20,1035.65,1077.27,1031.03,1054.15,34868800
2024-12-23,1044.9,1077.27,1035.65,1044.9,11855900
2024-12-24,1054.15,1058.77,1031.03,1035.65,9323900
2024-12-27,1035.65,1054.15,1031.03,1035.65,8081800
2024-12-30,1049.52,1054.15,994.04,1035.65,23803000
2025-01-02,1049.52,1068.02,1040.28,1068.02,8611700
2025-01-03,1068.02,1077.27,1040.28,1040.28,10465700
2025-01-06,1040.28,1040.28,966.3,966.3,31499500
2025-01-07,966.3,1017.16,952.43,1017.16,25083900
2025-01-08,1017.16,1109.63,994.04,1081.89,27246700
2025-01-09,1081.89,1118.88,1040.28,1086.51,39594900
2025-01-10,1105.01,1109.63,1063.39,1109.63,19095000
2025-01-13,1109.63,1132.75,1081.89,1081.89,21845100
2025-01-14,1086.51,1132.75,1086.51,1118.88,30809000
2025-01-15,1118.88,1132.75,1109.63,1128.12,9454600
2025-01-16,1132.75,1137.37,1109.63,1109.63,10048300
2025-01-17,1123.5,1123.5,1109.63,1109.63,13736400
2025-01-20,1114.25,1174.36,1109.63,1155.86,15922100
2025-01-21,1160.49,1174.36,1137.37,1151.24,12795900
2025-01-22,1151.24,1155.86,1132.75,1137.37,21429600
2025-01-23,1141.99,1165.11,1137.37,1137.37,14115700
2025-01-24,1141.99,1141.99,1091.14,1100.38,8745500
2025-01-30,1100.38,1100.38,1021.78,1035.65,22731900
2025-01-31,1035.65,1044.9,1003.29,1026.41,15260000
2025-02-03,1026.41,1031.03,994.04,1012.54,17601300
2025-02-04,1017.16,1031.03,1007.91,1021.78,19037800
2025-02-05,1068.02,1068.02,1026.41,1040.28,7284600
2025-02-06,1035.65,1040.28,1012.54,1040.28,8697200
2025-02-07,1040.28,1054.15,998.67,1044.9,10178800
2025-02-10,1040.28,1040.28,998.67,1021.78,18296800
2025-02-11,1021.78,1035.65,1007.91,1021.78,12066800
2025-02-12,1021.78,1026.41,1012.54,1021.78,20398900
2025-02-13,1026.41,1031.03,1017.16,1021.78,12541000
2025-02-14,1021.78,1026.41,1007.91,1026.41,6777300
2025-02-17,1017.16,1040.28,1017.16,1031.03,8150500
2025-02-18,1031.03,1123.5,1031.03,1109.63,34916000
2025-02-19,1123.5,1141.99,1100.38,1114.25,19535200
2025-02-20,1118.88,1155.86,1109.63,1141.99,14590200
2025-02-21,1141.99,1146.62,1118.88,1137.37,6012600
2025-02-24,1141.99,1141.99,1123.5,1123.5,6739900
2025-02-25,1128.12,1132.75,1105.01,1109.63,6982800
2025-02-26,1109.63,1128.12,1109.63,1114.25,6508500
2025-02-27,1128.12,1229.84,1128.12,1211.35,106148000
2025-02-28,1215.97,1225.22,1146.62,1146.62,68456200
2025-03-03,1155.86,1169.73,1118.88,1141.99,14419900
2025-03-04,1151.24,1155.86,1072.64,1118.88,18755400
2025-03-05,1118.88,1137.37,1105.01,1114.25,26585700
2025-03-06,1114.25,1197.48,1114.25,1183.6,16652000
2025-03-07,1188.23,1229.84,1188.23,1206.72,19320300
2025-03-10,1202.1,1215.97,1169.73,1192.85,18780900
2025-03-11,1183.6,1206.72,1174.36,1183.6,11118400
2025-03-12,1188.23,1220.59,1188.23,1206.72,14964100
2025-03-13,1220.59,1220.59,1077.27,1086.51,29318000
2025-03-14,1095.76,1100.38,1031.03,1054.15,24900600
2025-03-17,1058.77,1058.77,1026.41,1040.28,10410200
2025-03-18,1044.9,1058.77,994.04,1003.29,22122500
2025-03-19,1017.16,1040.28,994.04,1012.54,11023700
2025-03-20,1017.16,1049.52,1017.16,1017.16,12106900
2025-03-21,1026.41,1044.9,1017.16,1017.16,13009500
2025-03-24,1021.78,1026.41,970.93,1012.54,17113500
2025-03-25,1012.54,1146.62,980.17,1049.52,39599000
2025-03-26,1049.52,1068.02,1021.78,1021.78,21919200
2025-03-27,1021.78,1035.65,1003.29,1012.54,14647900
2025-04-08,906.2,915.44,873.83,896.95,35624800
2025-04-09,896.95,915.44,822.98,832.22,28171900
2025-04-10,887.7,1040.28,887.7,1017.16,54694300
2025-04-11,1012.54,1017.16,957.06,970.93,44556100
2025-04-14,970.93,1026.41,970.93,994.04,42021900
2025-04-15,994.04,1012.54,970.93,970.93,38244900
2025-04-16,970.93,989.42,957.06,966.3,43241300
2025-04-17,966.3,980.17,957.06,970.93,29713300
2025-04-21,980.17,1035.65,970.93,994.04,20406600
2025-04-22,994.04,1026.41,994.04,1021.78,8977800
2025-04-23,1031.03,1068.02,1031.03,1049.52,25700100
2025-04-24,1049.52,1118.88,1040.28,1105.01,37037500
2025-04-25,1109.63,1123.5,1072.64,1095.76,17807500
2025-04-28,1095.76,1132.75,1091.14,1109.63,14284900
2025-04-29,1114.25,1155.86,1095.76,1146.62,31709500
2025-04-30,1151.24,1197.48,1151.24,1165.11,27856200
2025-05-02,1165.11,1178.98,1137.37,1151.24,12944500
2025-05-05,1155.86,1202.1,1155.86,1174.36,25617600
2025-05-06,1178.98,1183.6,1141.99,1174.36,35014300
2025-05-07,1178.98,1211.35,1169.73,1192.85,51677100
2025-05-08,1202.47,1216.9,1188.04,1192.85,21267800
2025-05-09,1207.28,1231.33,1188.04,1197.66,13151300
2025-05-14,1197.66,1240.95,1197.66,1207.28,12681700
2025-05-15,1216.9,1216.9,1197.66,1202.47,6869900
2025-05-16,1216.9,1236.14,1197.66,1226.52,16234900
2025-05-19,1231.33,1255.38,1216.9,1221.71,29643700
2025-05-20,1221.71,1250.57,1216.9,1221.71,11316900
2025-05-21,1231.33,1322.72,1226.52,1322.72,79062900
2025-05-22,1322.72,1327.53,1197.66,1289.05,44031200
2025-05-23,1265.0,1279.43,1250.57,1250.57,20126500
2025-05-26,1265.0,1265.0,1221.71,1245.76,16582300
2025-05-27,1255.38,1255.38,1236.14,1240.95,9273300
2025-05-28,1250.57,1255.38,1226.52,1226.52,19460200
2025-06-02,1226.52,1231.33,1159.18,1188.04,18308900
2025-06-03,1197.66,1216.9,1168.8,1216.9,22336000
2025-06-04,1216.9,1221.71,1188.04,1188.04,16382100
2025-06-05,1183.23,1188.04,1154.37,1163.99,13396700
2025-06-10,1163.99,1207.28,1154.37,1173.61,42485200
2025-06-11,1173.61,1202.47,1168.8,1202.47,19813000
2025-06-12,1221.71,1250.57,1216.9,1236.14,30722400
2025-06-13,1265.0,1298.67,1265.0,1265.0,40347700
2025-06-16,1293.86,1317.91,1226.52,1231.33,37928300
2025-06-17,1231.33,1245.76,1212.09,1245.76,14556900
2025-06-18,1265.0,1293.86,1250.57,1255.38,29404400
2025-06-19,1274.62,1274.62,1207.28,1226.52,25798500
2025-06-20,1221.71,1226.52,1168.8,1168.8,74805100
2025-06-23,1202.47,1255.38,1202.47,1212.09,63994800
2025-06-24,1154.37,1207.28,1154.37,1163.99,30056900
2025-06-25,1183.23,1188.04,1111.08,1111.08,29321300
2025-06-26,1111.08,1149.56,1106.27,1144.75,13652800
2025-06-30,1154.37,1163.99,1115.89,1115.89,14031500
2025-07-01,1130.32,1139.94,1115.89,1125.51,6446300
2025-07-02,1135.13,1139.94,1115.89,1120.7,7495700
2025-07-03,1135.13,1144.75,1115.89,1135.13,27687500
2025-07-04,1135.13,1154.37,1125.51,1144.75,3302500
2025-07-07,1144.75,1144.75,1087.03,1125.51,17320400
2025-07-08,1130.32,1144.75,1115.89,1115.89,12607700
2025-07-09,1115.89,1130.32,1111.08,1111.08,8542000
2025-07-10,1115.89,1135.13,1111.08,1125.51,10611900
2025-07-11,1125.51,1154.37,1125.51,1144.75,17852600
2025-07-14,1154.37,1183.23,1149.56,1168.8,22878900
2025-07-15,1173.61,1207.28,1168.8,1192.85,17562800
2025-07-16,1212.09,1216.9,1159.18,1173.61,18628400
2025-07-17,1173.61,1178.42,1154.37,1168.8,7532800
2025-07-18,1168.8,1168.8,1139.94,1144.75,19848100
2025-07-21,1163.99,1168.8,1154.37,1168.8,11720600
2025-07-22,1173.61,1188.04,1168.8,1173.61,11997100
2025-07-23,1173.61,1212.09,1173.61,1212.09,20850200
2025-07-24,1212.09,1221.71,1062.98,1192.85,49255900
2025-07-25,1202.47,1202.47,1173.61,1192.85,10994500
2025-07-28,1202.47,1279.43,1192.85,1269.81,59236400
2025-07-29,1279.43,1313.1,1269.81,1293.86,68257700
2025-07-30,1293.86,1298.67,1260.19,1274.62,25241900
2025-07-31,1279.43,1293.86,1265.0,1289.05,34690600
2025-08-01,1293.86,1298.67,1269.81,1274.62,21339200
2025-08-04,1284.24,1284.24,1240.95,1245.76,34302800
2025-08-05,1260.19,1289.05,1250.57,1265.0,41352100
2025-08-06,1265.0,1280.0,1255.0,1270.0,24092200
2025-08-07,1275.0,1315.0,1265.0,1305.0,29576100
2025-08-08,1310.0,1310.0,1265.0,1305.0,11756500
2025-08-11,1305.0,1310.0,1280.0,1285.0,7210100
2025-08-12,1285.0,1290.0,1260.0,1260.0,15845200
2025-08-13,1285.0,1285.0,1255.0,1280.0,12972700
2025-08-14,1280.0,1280.0,1255.0,1255.0,13887400
2025-08-15,1255.0,1300.0,1255.0,1260.0,36936400
2025-08-19,1260.0,1260.0,1210.0,1220.0,32554500
2025-08-20,1215.0,1235.0,1195.0,1230.0,43491000
2025-08-21,1230.0,1255.0,1220.0,1225.0,19274600
2025-08-22,1235.0,1245.0,1220.0,1230.0,12616000
2025-08-25,1250.0,1260.0,1235.0,1250.0,19749600
2025-08-26,1260.0,1270.0,1225.0,1225.0,22037000
2025-08-27,1225.0,1230.0,1200.0,1215.0,21191100
2025-08-28,1215.0,1230.0,1200.0,1225.0,29688600
2025-08-29,1220.0,1220.0,1175.0,1195.0,25836300
2025-09-01,1150.0,1200.0,1135.0,1190.0,25919200
2025-09-02,1195.0,1210.0,1190.0,1200.0,13499000
2025-09-03,1210.0,1240.0,1205.0,1235.0,20502900
2025-09-04,1240.0,1255.0,1215.0,1230.0,18458100
2025-09-08,1235.0,1245.0,1215.0,1220.0,16725500
2025-09-09,1220.0,1235.0,1200.0,1220.0,9571700
2025-09-10,1220.0,1235.0,1200.0,1230.0,9415000
2025-09-11,1250.0,1250.0,1220.0,1220.0,9479600
2025-09-12,1230.0,1230.0,1205.0,1205.0,10286500
2025-09-15,1210.0,1220.0,1195.0,1200.0,16661800
2025-09-16,1205.0,1260.0,1195.0,1240.0,39184100
2025-09-17,1255.0,1260.0,1235.0,1245.0,16849100
2025-09-18,1250.0,1250.0,1230.0,1240.0,9346300
2025-09-19,1240.0,1245.0,1205.0,1225.0,11234400
2025-09-22,1220.0,1230.0,1195.0,1200.0,20733300
2025-09-23,1205.0,1220.0,1195.0,1210.0,16056000
2025-09-24,1215.0,1220.0,1205.0,1210.0,16063200
2025-09-25,1220.0,1250.0,1210.0,1220.0,28450800
2025-09-26,1230.0,1235.0,1205.0,1235.0,13158100
2025-09-29,1245.0,1250.0,1205.0,1215.0,15003300
2025-09-30,1215.0,1225.0,1205.0,1210.0,12765000
2025-10-01,1225.0,1225.0,1130.0,1135.0,48348900
2025-10-02,1140.0,1155.0,1115.0,1115.0,29380300
2025-10-03,1115.0,1150.0,1115.0,1135.0,15598700
2025-10-06,1135.0,1145.0,1115.0,1115.0,19125000
2025-10-07,1125.0,1145.0,1115.0,1130.0,26040700
2025-10-08,1130.0,1150.0,1120.0,1125.0,15336000
2025-10-09,1130.0,1140.0,1110.0,1130.0,13713100
2025-10-10,1120.0,1130.0,1105.0,1105.0,14320900
2025-10-13,1100.0,1110.0,1085.0,1090.0,23584400
2025-10-14,1090.0,1105.0,1065.0,1075.0,31616400
2025-10-15,1090.0,1100.0,1065.0,1065.0,101285100
2025-10-16,1100.0,1110.0,1070.0,1085.0,30891200
2025-10-17,1085.0,1090.0,1065.0,1070.0,10922600
2025-10-20,1075.0,1100.0,1075.0,1090.0,8629500
2025-10-21,1090.0,1140.0,1090.0,1130.0,35361500
2025-10-22,1135.0,1145.0,1095.0,1095.0,21046600
2025-10-23,1105.0,1130.0,1095.0,1115.0,23455400
2025-10-24,1150.0,1235.0,1150.0,1210.0,124769100
2025-10-27,1230.0,1260.0,1210.0,1215.0,70441000
2025-10-28,1230.0,1230.0,1190.0,1210.0,27306900
2025-10-29,1200.0,1240.0,1200.0,1220.0,41887600
2025-10-30,1220.0,1250.0,1200.0,1205.0,49401600
2025-10-31,1205.0,1235.0,1200.0,1220.0,44720900
2025-11-03,1220.0,1270.0,1215.0,1250.0,50402400
2025-11-04,1255.0,1270.0,1240.0,1270.0,30699300
2025-11-05,1270.0,1270.0,1220.0,1235.0,36271600
2025-11-06,1235.0,1260.0,1230.0,1245.0,16070600
2025-11-07,1250.0,1255.0,1235.0,1250.0,9832800
2025-11-10,1250.0,1250.0,1210.0,1210.0,19988600
2025-11-11,1220.0,1240.0,1210.0,1225.0,13260000
2025-11-12,1225.0,1260.0,1225.0,1255.0,16520200
2025-11-13,1255.0,1255.0,1235.0,1240.0,6951900
2025-11-14,1245.0,1250.0,1220.0,1230.0,9916900
2025-11-17,1230.0,1430.0,1220.0,1275.0,32981600
2025-11-18,1275.0,1360.0,1260.0,1345.0,82461500
2025-11-19,1345.0,1355.0,1305.0,1340.0,35019100
2025-11-20,1345.0,1355.0,1265.0,1275.0,38891400
2025-11-21,1280.0,1300.0,1275.0,1290.0,10733100
2025-11-24,1325.0,1325.0,1260.0,1260.0,21042500
2025-11-25,1260.0,1270.0,1230.0,1260.0,9304000
2025-11-26,1275.0,1275.0,1245.0,1270.0,6796200
2025-11-27,1275.0,1275.0,1225.0,1240.0,18917600
2025-11-28,1245.0,1260.0,1230.0,1240.0,7621300
2025-12-01,1250.0,1250.0,1220.0,1220.0,12547300
2025-12-02,1230.0,1255.0,1225.0,1240.0,13000100
