Datetime,Open,High,Low,Close,Volume
2024-05-06,2872.83,2882.6,2823.97,2833.74,23610900
2024-05-07,2853.28,2853.28,2794.66,2814.2,22153100
2024-05-08,2833.74,2853.28,2765.34,2814.2,20948900
2024-05-13,2784.88,2804.43,2736.03,2765.34,26021300
2024-05-14,2755.57,2775.11,2726.25,2736.03,35352500
2024-05-15,2736.03,2755.57,2687.17,2726.25,12305900
2024-05-16,2745.8,2823.97,2736.03,2784.88,12488400
2024-05-17,2745.8,2775.11,2696.94,2736.03,14759900
2024-05-20,2736.03,2775.11,2736.03,2736.03,11069600
2024-05-21,2775.11,2775.11,2687.17,2696.94,17025500
2024-05-22,2736.03,2784.88,2716.48,2765.34,27002500
2024-05-27,2814.2,2814.2,2706.71,2736.03,24290300
2024-05-28,2794.66,2843.51,2755.57,2814.2,27120900
2024-05-29,2783.29,2803.03,2733.94,2763.55,19885000
2024-05-30,2783.29,2812.9,2724.07,2724.07,33979000
2024-05-31,2743.81,2783.29,2615.5,2615.5,143419000
2024-06-03,2654.98,2793.16,2654.98,2763.55,20843400
2024-06-04,2793.16,2803.03,2753.68,2753.68,18088500
2024-06-05,2763.55,2763.55,2674.72,2684.59,16792500
2024-06-06,2743.81,2773.42,2714.2,2743.81,16498200
2024-06-07,2753.68,2763.55,2714.2,2724.07,12898900
2024-06-10,2753.68,2783.29,2743.81,2763.55,14034700
2024-06-11,2733.94,2773.42,2704.33,2704.33,29981000
2024-06-12,2753.68,2773.42,2654.98,2694.46,26173700
2024-06-13,2704.33,2724.07,2684.59,2684.59,11576500
2024-06-14,2684.59,2724.07,2664.85,2684.59,11887400
2024-06-19,2615.5,2704.33,2615.5,2674.72,8559600
2024-06-20,2664.85,2724.07,2615.5,2684.59,22513000
2024-06-21,2684.59,2724.07,2664.85,2664.85,29240600
2024-06-24,2664.85,2704.33,2664.85,2704.33,11164700
2024-06-25,2714.2,2714.2,2674.72,2684.59,20547900
2024-06-26,2674.72,2743.81,2674.72,2694.46,29890000
2024-06-27,2714.2,2714.2,2654.98,2664.85,21184700
2024-06-28,2664.85,2753.68,2664.85,2714.2,18854700
2024-07-01,2763.55,2763.55,2684.59,2694.46,16993000
2024-07-02,2704.33,2714.2,2674.72,2714.2,13431700
2024-07-03,2733.94,2743.81,2684.59,2724.07,13991300
2024-07-04,2724.07,2743.81,2674.72,2724.07,55176900
