Datetime,Open,High,Low,Close,Volume
2024-05-06,1322.68,1344.65,1309.5,1331.47,41690800
2024-05-07,1344.65,1353.44,1318.29,1322.68,40340300
2024-05-08,1322.68,1384.2,1300.71,1349.05,109109000
2024-05-13,1353.44,1362.23,1331.47,1340.26,36491800
2024-05-14,1335.86,1357.83,1331.47,1340.26,31675400
2024-05-15,1349.05,1384.2,1349.05,1375.41,51245200
2024-05-16,1392.99,1397.38,1371.02,1375.41,52891500
2024-05-17,1392.99,1436.93,1392.99,1423.75,88081100
2024-05-20,1445.72,1467.69,1445.72,1454.51,113540600
2024-05-21,1471.72,1519.35,1471.72,1490.77,58009600
2024-05-22,1490.77,1505.06,1447.91,1452.67,42177500
2024-05-27,1452.67,1462.2,1419.33,1424.09,34506000
2024-05-28,1428.86,1462.2,1428.86,1443.15,33679300
2024-05-29,1452.67,1466.96,1433.62,1452.67,27076800
2024-05-30,1452.67,1452.67,1419.33,1419.33,38241900
2024-05-31,1419.33,1438.38,1395.52,1395.52,81505200
2024-06-03,1395.52,1419.33,1395.52,1400.28,29619200
2024-06-04,1400.28,1414.57,1366.94,1371.7,60287600
2024-06-05,1371.7,1376.47,1276.45,1276.45,104191600
2024-06-06,1281.21,1314.55,1243.11,1252.63,73528000
2024-06-07,1257.39,1285.97,1238.34,1238.34,77512800
2024-06-10,1228.82,1238.34,1157.37,1181.19,98034100
2024-06-11,1181.19,1219.29,1181.19,1195.48,64084300
2024-06-12,1195.48,1209.77,1181.19,1209.77,35959900
2024-06-13,1209.77,1224.05,1195.48,1195.48,40672000
2024-06-14,1195.48,1200.24,1147.85,1152.61,48922900
2024-06-19,1157.37,1166.9,1119.27,1157.37,36744000
2024-06-20,1157.37,1166.9,1143.09,1157.37,33480600
2024-06-21,1162.14,1195.48,1162.14,1171.66,55789200
2024-06-24,1176.43,1200.24,1176.43,1190.71,22559600
2024-06-25,1195.48,1200.24,1162.14,1166.9,29652400
2024-06-26,1171.66,1176.43,1152.61,1157.37,29664300
2024-06-27,1143.09,1171.66,1143.09,1171.66,24220600
2024-06-28,1176.43,1205.0,1171.66,1190.71,54955600
2024-07-01,1195.48,1243.11,1190.71,1243.11,69300100
2024-07-02,1247.87,1252.63,1219.29,1233.58,58443100
2024-07-03,1233.58,1252.63,1219.29,1252.63,40057600
2024-07-04,1262.16,1271.68,1257.39,1262.16,46070600
2024-07-05,1262.16,1266.92,1243.11,1247.87,21984500
2024-07-08,1252.63,1300.26,1252.63,1300.26,61088000
2024-07-09,1300.26,1309.79,1276.45,1281.21,39832500
2024-07-10,1285.97,1300.26,1281.21,1281.21,25808000
2024-07-11,1281.21,1300.26,1257.39,1295.5,36563500
2024-07-12,1300.26,1314.55,1285.97,1295.5,34695000
2024-07-15,1295.5,1305.02,1266.92,1285.97,27711000
2024-07-16,1285.97,1300.26,1271.68,1276.45,30321900
2024-07-17,1295.5,1328.84,1290.73,1314.55,65083200
2024-07-18,1328.84,1338.36,1309.79,1309.79,53937000
2024-07-19,1309.79,1314.55,1266.92,1285.97,60206400
2024-07-22,1285.97,1295.5,1266.92,1276.45,35890600
2024-07-23,1276.45,1285.97,1243.11,1252.63,48954700
2024-07-24,1252.63,1262.16,1243.11,1247.87,28205300
2024-07-25,1243.11,1247.87,1214.53,1219.29,44789300
2024-07-26,1224.05,1238.34,1219.29,1233.58,33791400
2024-07-29,1262.16,1285.97,1247.87,1247.87,62519500
2024-07-30,1257.39,1266.92,1238.34,1238.34,30531700
2024-07-31,1247.87,1262.16,1243.11,1252.63,34840100
2024-08-01,1276.45,1290.73,1262.16,1281.21,54534700
2024-08-02,1271.68,1285.97,1257.39,1281.21,32243400
2024-08-05,1266.92,1266.92,1205.0,1224.05,65319000
2024-08-06,1228.82,1243.11,1219.29,1233.58,27910200
2024-08-07,1233.58,1252.63,1233.58,1233.58,20663100
2024-08-08,1233.58,1238.34,1209.77,1209.77,46868600
2024-08-09,1224.05,1238.34,1219.29,1224.05,26308700
2024-08-12,1228.82,1247.87,1228.82,1247.87,38054700
2024-08-13,1257.39,1266.92,1219.29,1247.87,109937300
2024-08-14,1247.87,1257.39,1228.82,1243.11,46923100
2024-08-15,1247.87,1324.07,1243.11,1319.31,177044200
2024-08-16,1338.36,1438.38,1333.6,1390.75,377536100
2024-08-19,1405.04,1438.38,1390.75,1400.28,179600100
2024-08-20,1409.81,1424.09,1385.99,1405.04,88428900
2024-08-21,1414.57,1452.67,1395.52,1400.28,133225200
2024-08-22,1400.28,1405.04,1362.18,1371.7,73634500
2024-08-23,1376.47,1395.52,1376.47,1381.23,45814100
2024-08-26,1390.75,1409.81,1381.23,1409.81,75022900
2024-08-27,1409.81,1414.57,1381.23,1400.28,37690700
2024-08-28,1409.81,1414.57,1381.23,1381.23,41278000
2024-08-29,1381.23,1385.99,1333.6,1343.13,111056900
2024-08-30,1347.89,1352.65,1324.07,1324.07,764070300
2024-09-02,1333.6,1347.89,1319.31,1328.84,116937200
2024-09-03,1333.6,1338.36,1300.26,1305.02,87618500
2024-09-04,1285.97,1305.02,1276.45,1281.21,98870900
2024-09-05,1285.97,1305.02,1266.92,1281.21,106245300
2024-09-06,1281.21,1295.5,1266.92,1271.68,77347000
2024-09-09,1271.68,1276.45,1243.11,1257.39,92572800
2024-09-10,1257.39,1271.68,1243.11,1257.39,61469800
2024-09-11,1257.39,1281.21,1252.63,1252.63,95724000
2024-09-12,1262.16,1295.5,1252.63,1281.21,104507600
2024-09-13,1300.26,1305.02,1266.92,1271.68,101550200
2024-09-17,1285.97,1324.07,1281.21,1314.55,153082200
2024-09-18,1314.55,1314.55,1300.26,1300.26,54056600
2024-09-19,1300.26,1314.55,1295.5,1309.79,64130700
2024-09-20,1314.55,1319.31,1300.26,1305.02,66852400
2024-09-23,1314.55,1343.13,1314.55,1328.84,124951500
2024-09-24,1333.6,1343.13,1319.31,1343.13,99822100
2024-09-25,1352.65,1376.47,1338.36,1371.7,213527100
2024-09-26,1381.23,1381.23,1347.89,1357.41,119737300
2024-09-27,1362.18,1409.81,1357.41,1400.28,146334800
2024-09-30,1409.81,1419.33,1366.94,1409.81,131933000
2024-10-01,1419.33,1438.38,1409.81,1428.86,123533000
2024-10-02,1438.38,1495.54,1409.81,1462.2,254461600
2024-10-03,1476.49,1514.59,1462.2,1462.2,199006700
2024-10-04,1462.2,1471.72,1428.86,1452.67,75683200
2024-10-07,1457.43,1481.25,1452.67,1471.72,85637900
2024-10-08,1471.72,1500.3,1433.62,1452.67,137208800
2024-10-09,1443.15,1452.67,1419.33,1443.15,73795700
2024-10-10,1443.15,1466.96,1443.15,1462.2,59202600
2024-10-11,1471.72,1490.77,1462.2,1490.77,86316100
2024-10-14,1500.3,1562.22,1490.77,1552.69,173551800
2024-10-15,1552.69,1552.69,1514.59,1524.11,131950900
2024-10-16,1524.11,1524.11,1495.54,1495.54,89196200
2024-10-17,1509.83,1547.93,1495.54,1543.17,103812400
2024-10-18,1552.69,1557.45,1528.88,1547.93,83020900
