Datetime,Open,High,Low,Close,Volume
2024-05-06,4138.6,4138.6,4000.65,4020.35,70400000
2024-05-07,4020.35,4040.06,3961.23,3980.94,58780600
2024-05-08,4000.65,4059.77,3941.52,4040.06,86738900
2024-05-13,4059.77,4079.48,4000.65,4000.65,143316000
2024-05-14,4023.0,4031.59,3937.03,3937.03,264535600
2024-05-15,3928.44,3971.42,3894.05,3894.05,109962400
2024-05-16,3945.63,4057.38,3902.65,4048.78,149039700
2024-05-17,4048.78,4134.75,4031.59,4126.15,101492400
2024-05-20,4126.15,4151.94,4065.98,4074.57,58021800
2024-05-21,4083.17,4100.36,4040.19,4040.19,57558000
2024-05-22,4057.38,4065.98,4040.19,4048.78,25932300
2024-05-27,4040.19,4057.38,3911.25,3911.25,86050000
2024-05-28,3919.84,3954.23,3876.86,3876.86,42542400
2024-05-29,4126.15,4126.15,3756.52,3833.88,148814900
2024-05-30,3825.28,3825.28,3704.94,3713.53,112636300
2024-05-31,3730.73,3756.52,3687.75,3687.75,144592700
2024-06-03,3722.13,3894.05,3722.13,3868.27,77444200
2024-06-04,3876.86,3980.01,3851.07,3937.03,92676800
2024-06-05,3919.84,3988.61,3911.25,3954.23,65856400
2024-06-06,3971.42,3971.42,3894.05,3919.84,43632400
2024-06-07,3911.25,3928.44,3894.05,3919.84,34027900
2024-06-10,3919.84,3919.84,3868.27,3876.86,19932200
2024-06-11,3868.26,3868.26,3739.32,3739.32,71234400
2024-06-12,3739.32,3790.9,3687.75,3747.92,65665400
2024-06-13,3790.9,3851.07,3782.3,3833.88,55824400
2024-06-14,3851.07,3894.05,3790.9,3799.5,57967500
2024-06-19,3825.28,3876.86,3799.5,3825.28,48727600
2024-06-20,3816.69,3842.48,3747.92,3825.28,35160300
2024-06-21,3825.28,3894.05,3790.9,3859.67,98313200
2024-06-24,3851.07,3868.27,3790.9,3808.09,36677200
2024-06-25,3816.69,3816.69,3747.92,3782.3,50385000
2024-06-26,3782.3,3825.28,3756.52,3799.5,38397100
2024-06-27,3808.09,3816.69,3782.3,3808.09,21784700
2024-06-28,3808.09,3919.84,3808.09,3833.88,127293900
2024-07-01,3859.67,3971.42,3859.67,3971.42,141627300
2024-07-02,3962.82,3971.42,3876.86,3894.05,72229800
2024-07-03,3911.25,3937.03,3885.46,3928.44,30743200
2024-07-04,3937.03,3962.82,3911.25,3911.25,44755400
