Datetime,Open,High,Low,Close,Volume
2024-05-06,9049.93,9072.9,8981.02,9003.99,53076200
2024-05-07,8912.11,8958.05,8843.21,8912.11,66746800
2024-05-08,8820.24,8912.11,8613.51,8613.51,112808900
2024-05-13,8452.73,8751.33,8452.73,8751.33,145469900
2024-05-14,8843.2,8889.14,8751.33,8774.3,95363500
2024-05-15,8728.36,8820.24,8659.45,8728.36,54741900
2024-05-16,8797.27,8889.14,8751.33,8820.24,61126000
2024-05-17,8820.24,9049.93,8797.27,8958.05,99848500
2024-05-20,8912.11,9003.99,8705.39,8705.39,87890100
2024-05-21,8682.42,8797.27,8613.51,8613.51,75311400
2024-05-22,8705.39,8797.27,8567.57,8659.45,121712700
2024-05-27,8544.6,8613.51,8521.64,8544.6,128578500
2024-05-28,8544.6,8636.48,8544.6,8544.6,73945700
2024-05-29,8521.63,8567.57,8406.79,8406.79,117351600
2024-05-30,8268.97,8498.66,8062.25,8268.97,207115100
2024-05-31,8360.85,8498.67,8291.94,8498.67,756431600
2024-06-03,8590.54,8590.54,8475.7,8521.63,72197700
2024-06-04,8751.33,8751.33,8590.54,8590.54,75353100
2024-06-05,8728.36,8728.36,8544.6,8682.42,82087300
2024-06-06,8751.33,8751.33,8682.42,8705.39,44991300
2024-06-07,8728.36,8728.36,8567.57,8567.57,51599800
2024-06-10,8728.36,8751.33,8682.42,8751.33,45584700
2024-06-11,8774.3,8774.3,8544.6,8544.6,68690900
2024-06-12,8544.6,8567.57,8498.67,8498.67,49785700
2024-06-13,8705.39,8705.39,8452.73,8452.73,84652200
2024-06-14,8452.73,8498.66,8360.85,8452.73,52986300
2024-06-19,8498.67,8498.67,8314.91,8314.91,100051000
2024-06-20,8406.79,8659.45,8360.85,8659.45,81474800
2024-06-21,8705.39,8889.14,8636.48,8820.24,166841200
2024-06-24,8820.24,8958.05,8797.27,8820.24,79592300
2024-06-25,8820.24,8820.24,8682.42,8820.24,80029000
2024-06-26,8751.33,8866.17,8682.42,8728.36,77913200
2024-06-27,8797.27,8958.05,8774.3,8958.05,89150700
2024-06-28,9003.99,9164.78,8981.02,9118.84,166172300
2024-07-01,9049.93,9095.87,9026.96,9072.9,68634600
2024-07-02,9187.75,9187.75,9049.93,9095.87,78848500
2024-07-03,9164.78,9187.75,9118.84,9187.75,55860200
2024-07-04,9164.78,9187.75,9026.96,9026.96,67054000
2024-07-05,9118.84,9164.78,9072.9,9141.81,36946900
2024-07-08,9187.74,9233.68,9141.81,9233.68,72903600
2024-07-09,9279.62,9325.56,9256.65,9256.65,61853200
2024-07-10,9348.53,9394.47,9233.69,9279.62,62325900
2024-07-11,9187.75,9302.59,9187.75,9256.65,55908400
2024-07-12,9233.68,9279.62,9210.72,9256.65,62646500
2024-07-15,9233.68,9256.65,9141.81,9233.68,36682600
2024-07-16,9164.78,9210.71,9141.81,9141.81,37192700
2024-07-17,9095.87,9141.81,9003.99,9003.99,90666000
2024-07-18,9003.99,9279.62,9003.99,9279.62,65383200
2024-07-19,9233.68,9302.59,9164.78,9302.59,53880300
2024-07-22,9302.59,9325.56,9279.62,9279.62,31285300
2024-07-23,9371.5,9371.5,9302.59,9348.53,39321100
2024-07-24,9302.59,9348.53,9256.65,9256.65,24658000
2024-07-25,9394.47,9463.38,9371.5,9463.38,98088100
2024-07-26,9532.29,9555.25,9463.38,9486.35,75565800
2024-07-29,9555.26,9578.23,9348.53,9417.44,69092500
2024-07-30,9463.38,9463.38,9348.53,9348.53,32122900
2024-07-31,9509.32,9509.32,9394.47,9440.41,82519900
2024-08-01,9371.5,9532.29,9371.5,9532.29,61176200
2024-08-02,9440.41,9509.32,9371.5,9371.5,55699900
2024-08-05,9187.75,9325.56,9072.9,9072.9,126328300
2024-08-06,9256.66,9256.66,9141.81,9187.75,78473900
2024-08-07,9187.75,9279.62,9187.75,9279.62,52327400
