Datetime,Open,High,Low,Close,Volume
2024-05-06,4122.33,4130.78,4054.75,4063.2,81862000
2024-05-07,4046.3,4063.2,3953.38,3970.28,82580800
2024-05-08,3953.38,4029.41,3902.7,3944.94,58548300
2024-05-13,3885.8,4037.86,3885.8,4037.86,54329600
2024-05-14,4046.3,4173.02,4037.86,4164.57,70014900
2024-05-15,4122.33,4308.17,4096.99,4244.82,85730700
2024-05-16,4329.29,4456.0,4308.17,4392.65,118382400
2024-05-17,4392.65,4456.0,4329.29,4371.53,67679700
2024-05-20,4392.65,4434.88,4181.46,4206.81,76605300
2024-05-21,4206.81,4206.81,4020.96,4029.41,87501700
2024-05-22,3987.17,4054.75,3987.17,4020.96,60859500
2024-05-27,4029.41,4046.3,3911.15,3944.94,60499200
2024-05-28,3970.28,4046.3,3961.83,3978.73,25799600
2024-05-29,3953.38,3961.83,3801.33,3826.67,111830200
2024-05-30,3801.33,3852.01,3691.51,3792.88,81608700
2024-05-31,3835.12,3860.46,3716.86,3716.86,145978300
2024-06-03,3767.54,3919.59,3759.09,3902.7,53865700
2024-06-04,3928.04,3970.28,3885.8,3919.59,52885400
2024-06-05,3911.15,3936.49,3868.91,3894.25,46536400
2024-06-06,3944.94,4029.41,3911.15,4029.41,69154900
2024-06-07,4029.41,4037.86,3936.49,3970.28,45575300
2024-06-10,3928.04,3936.49,3843.57,3894.25,65704900
2024-06-11,3852.01,3911.15,3784.43,3784.43,95286400
2024-06-12,3742.2,3767.54,3725.3,3742.2,112781100
2024-06-13,3801.33,3818.22,3767.54,3784.43,47763900
2024-06-14,3784.43,3784.43,3640.83,3640.83,65046900
2024-06-19,3640.83,3708.41,3598.59,3632.38,60373800
2024-06-20,3649.28,3725.3,3632.38,3716.86,50579900
2024-06-21,3716.86,3894.25,3716.86,3835.12,108982500
2024-06-24,3835.12,3885.8,3767.54,3835.12,49112400
2024-06-25,3818.22,3826.67,3733.75,3784.43,44861500
2024-06-26,3784.43,3826.67,3733.75,3733.75,34063700
2024-06-27,3759.09,3894.25,3742.2,3868.91,85462100
2024-06-28,3877.36,4004.07,3877.36,3936.49,95384300
2024-07-01,3961.83,3987.17,3928.04,3978.73,43250900
2024-07-02,3978.73,3995.62,3944.94,3978.73,35142800
2024-07-03,3995.62,4004.07,3911.15,3928.04,41531700
2024-07-04,3961.83,4029.41,3936.49,3978.73,61435900
2024-07-05,3995.62,4037.86,3961.83,3970.28,67585600
2024-07-08,3995.62,4004.07,3944.94,3944.94,36004700
2024-07-09,3944.94,4113.88,3944.94,4105.44,87456600
2024-07-10,4096.99,4139.23,4071.65,4071.65,48700200
2024-07-11,4096.99,4122.33,4080.09,4113.88,37573700
2024-07-12,4156.12,4329.29,4156.12,4244.82,151520700
2024-07-15,4265.94,4287.06,4206.81,4244.82,94794900
2024-07-16,4265.94,4265.94,4206.81,4206.81,66371200
2024-07-17,4265.94,4287.06,4223.7,4223.7,59615300
2024-07-18,4215.25,4329.29,4215.25,4287.06,86127800
2024-07-19,4287.06,4308.17,4244.82,4308.17,66907300
2024-07-22,4329.29,4350.41,4265.94,4308.17,32378000
2024-07-23,4308.17,4329.29,4265.94,4265.94,30554100
2024-07-24,4265.94,4308.17,4223.7,4308.17,23442100
2024-07-25,4265.94,4287.06,4206.81,4244.82,52463300
2024-07-26,4223.7,4287.06,4215.25,4223.7,41982600
2024-07-29,4244.82,4265.94,4223.7,4244.82,19854800
2024-07-30,4223.7,4223.7,4181.46,4181.46,36234500
2024-07-31,4198.36,4244.82,4156.12,4198.36,34106000
2024-08-01,4173.02,4287.06,4173.02,4287.06,54207300
2024-08-02,4265.94,4350.41,4244.82,4308.17,75959300
2024-08-05,4244.82,4265.94,4122.33,4189.91,65485300
2024-08-06,4223.7,4287.06,4173.02,4244.82,51827100
2024-08-07,4244.82,4265.94,4206.8,4223.7,32547900
2024-08-08,4223.7,4308.17,4198.36,4244.82,51493100
2024-08-09,4265.94,4392.65,4265.94,4329.29,33031700
2024-08-12,4350.41,4350.41,4287.05,4329.29,14296000
2024-08-13,4371.53,4392.65,4329.29,4371.53,26196400
2024-08-14,4434.88,4540.48,4413.77,4456.0,93112500
2024-08-15,4477.12,4498.24,4413.77,4434.88,33034700
2024-08-16,4477.12,4519.36,4456.0,4477.12,33604900
2024-08-19,4477.12,4603.83,4456.0,4519.36,55661900
2024-08-20,4540.48,4646.07,4540.48,4624.95,69978300
2024-08-21,4624.95,4688.31,4582.71,4603.83,92703900
