Datetime,Open,High,Low,Close,Volume
2024-05-06,1204.65,1223.47,1195.24,1214.06,23547400
2024-05-07,1209.35,1218.77,1190.53,1195.24,15220800
2024-05-08,1195.24,1204.65,1148.18,1152.89,52119300
2024-05-13,1148.18,1176.41,1143.47,1167.0,27680800
2024-05-14,1171.71,1185.83,1157.59,1167.0,19397400
2024-05-15,1167.0,1209.35,1162.3,1199.94,33981100
2024-05-16,1214.06,1228.18,1195.24,1199.94,29298000
2024-05-17,1199.94,1247.0,1185.83,1223.47,34890800
2024-05-20,1223.47,1242.29,1190.53,1195.24,23408300
2024-05-21,1190.53,1204.65,1152.89,1167.0,29197900
2024-05-22,1167.0,1181.12,1157.59,1162.3,22633100
2024-05-27,1162.3,1167.0,1129.36,1129.36,34436900
2024-05-28,1138.77,1181.12,1138.77,1176.41,30108400
2024-05-29,1176.41,1190.53,1157.59,1185.83,26417400
2024-05-30,1190.53,1190.53,1143.47,1162.3,30772700
2024-05-31,1167.0,1176.41,1152.89,1152.89,37501300
2024-06-03,1162.3,1199.94,1152.89,1190.53,26837700
2024-06-04,1199.94,1214.06,1190.53,1190.53,33599700
2024-06-05,1195.24,1204.65,1176.41,1195.24,25041400
2024-06-06,1204.65,1214.06,1185.83,1214.06,20729000
2024-06-07,1199.94,1204.65,1171.71,1171.71,21779900
2024-06-10,1171.71,1181.12,1152.89,1162.3,13416800
2024-06-11,1167.0,1171.71,1143.47,1148.18,11482500
2024-06-12,1138.77,1152.89,1134.06,1152.89,12852700
2024-06-13,1171.71,1176.41,1157.59,1167.0,21280600
2024-06-14,1167.0,1167.0,1134.06,1134.06,13993500
2024-06-19,1134.06,1152.89,1105.83,1105.83,32257200
2024-06-20,1105.83,1162.3,1105.83,1157.59,33350200
2024-06-21,1162.3,1190.53,1148.18,1176.41,22023600
2024-06-24,1181.12,1190.53,1167.0,1167.0,13429700
2024-06-25,1167.0,1176.41,1152.89,1167.0,7950600
2024-06-26,1167.0,1181.12,1162.3,1171.71,7606300
2024-06-27,1181.12,1195.24,1171.71,1185.83,11387900
2024-06-28,1185.83,1214.06,1185.83,1190.53,20656800
2024-07-01,1195.24,1214.06,1190.53,1199.94,17987200
2024-07-02,1199.94,1209.35,1195.24,1199.94,13158600
2024-07-03,1204.65,1209.35,1181.12,1190.53,9618600
2024-07-04,1190.53,1218.77,1185.83,1209.35,26524700
2024-07-05,1214.06,1232.88,1199.94,1204.65,21637900
2024-07-08,1204.65,1232.88,1185.83,1232.88,27024600
2024-07-09,1232.88,1247.0,1218.77,1218.77,23764100
2024-07-10,1218.77,1242.29,1209.35,1209.35,13364300
2024-07-11,1214.06,1218.77,1199.94,1218.77,11378900
2024-07-12,1232.88,1289.35,1232.88,1279.94,70288300
2024-07-15,1284.64,1284.64,1265.82,1279.94,23847500
2024-07-16,1294.06,1303.47,1284.64,1298.76,31340200
2024-07-17,1298.76,1331.7,1294.06,1331.7,45039100
2024-07-18,1327.0,1331.7,1298.76,1308.17,38189900
2024-07-19,1308.17,1312.88,1275.23,1289.35,22374600
2024-07-22,1289.35,1308.17,1275.23,1289.35,19685100
2024-07-23,1303.47,1303.47,1270.53,1279.94,16641200
2024-07-24,1279.94,1289.35,1256.41,1275.23,19806300
2024-07-25,1275.23,1275.23,1237.59,1247.0,19547800
2024-07-26,1247.0,1261.12,1223.47,1232.88,31796100
2024-07-29,1242.29,1247.0,1228.18,1232.88,17274400
2024-07-30,1242.29,1247.0,1223.47,1232.88,17048500
2024-07-31,1232.88,1251.7,1228.18,1237.59,30237800
2024-08-01,1247.0,1265.82,1242.29,1261.12,27408100
2024-08-02,1251.7,1261.12,1242.29,1242.29,14875500
2024-08-05,1232.88,1232.88,1162.3,1171.71,61184900
2024-08-06,1181.12,1199.94,1162.3,1199.94,23647200
2024-08-07,1199.94,1204.65,1185.83,1195.24,13266900
2024-08-08,1195.24,1199.94,1181.12,1185.83,13845800
