Datetime,Open,High,Low,Close,Volume
2024-05-06,5566.25,5699.84,5477.19,5588.51,184234200
2024-05-07,5633.04,5699.84,5566.25,5588.51,130410300
2024-05-08,5633.04,5744.37,5566.25,5588.51,117065300
2024-05-13,5521.72,5588.51,5454.92,5521.72,128638300
2024-05-14,5499.45,5610.78,5499.45,5521.72,94048400
2024-05-15,5521.72,5699.84,5521.72,5677.57,80923000
2024-05-16,5744.37,5788.9,5633.04,5655.31,114806300
2024-05-17,5655.31,5922.49,5655.31,5855.69,133153900
2024-05-20,5833.43,5900.22,5521.72,5633.04,168796000
2024-05-21,5543.98,5588.51,5321.33,5365.86,307362900
2024-05-22,5343.6,5477.19,5299.07,5388.13,171675900
2024-05-27,5365.86,5388.13,5187.74,5187.74,258450900
2024-05-28,5210.01,5365.86,5187.74,5299.07,93701700
2024-05-29,5187.74,5232.27,5076.42,5165.48,169386300
2024-05-30,5143.21,5343.6,4920.56,5232.27,236632600
2024-05-31,5343.6,5365.86,5254.54,5254.54,169567000
2024-06-03,5410.39,5477.19,5365.86,5432.66,92525600
2024-06-04,5477.19,5588.51,5454.92,5477.19,137800600
2024-06-05,5454.92,5477.19,5321.33,5343.6,102327300
2024-06-06,5454.92,5521.72,5410.39,5499.45,85735200
2024-06-07,5566.25,5588.51,5477.19,5588.51,99092800
2024-06-10,5588.51,5655.31,5521.72,5588.51,80154400
2024-06-11,5521.72,5566.25,5454.92,5454.92,56254400
2024-06-12,5388.13,5410.39,5254.54,5276.8,120857200
2024-06-13,5321.33,5343.6,5210.01,5232.27,162616700
2024-06-14,5210.01,5232.27,5031.89,5120.95,203241500
2024-06-19,5143.21,5210.01,5054.15,5120.95,116004200
2024-06-20,5187.74,5299.07,5120.95,5299.07,82660000
2024-06-21,5388.13,5521.72,5365.86,5454.92,184240600
2024-06-24,5410.39,5454.92,5343.6,5343.6,58831900
2024-06-25,5276.8,5321.33,5187.74,5276.8,159983800
2024-06-26,5299.07,5365.86,5210.01,5210.01,92895700
2024-06-27,5254.54,5410.39,5232.27,5343.6,117602400
2024-06-28,5343.6,5566.25,5343.6,5477.19,191371600
2024-07-01,5499.45,5566.25,5432.66,5566.25,100408200
2024-07-02,5588.51,5655.31,5477.19,5521.72,159356600
2024-07-03,5588.51,5610.78,5432.66,5543.98,70017100
2024-07-04,5566.25,5699.84,5543.98,5566.25,90147800
2024-07-05,5633.04,5788.9,5610.78,5722.1,111646800
2024-07-08,5699.84,5722.1,5521.72,5543.98,138144000
2024-07-09,5543.98,5699.84,5521.72,5677.57,84177600
2024-07-10,5677.57,5744.37,5610.78,5677.57,59685300
2024-07-11,5699.84,5722.1,5655.31,5699.84,66789800
2024-07-12,5744.37,5833.43,5699.84,5722.1,136132200
2024-07-15,5744.37,5744.37,5610.78,5655.31,66071800
2024-07-16,5699.84,5699.84,5610.78,5655.31,64687900
2024-07-17,5744.37,5811.16,5677.57,5744.37,109729800
2024-07-18,5833.43,5877.96,5788.9,5833.43,132532000
2024-07-19,5788.9,5811.16,5744.37,5811.16,63165500
2024-07-22,5855.69,5967.02,5811.16,5967.02,110467000
2024-07-23,6011.55,6011.55,5833.43,5900.22,77861700
2024-07-24,5788.9,5855.69,5766.63,5766.63,63940900
2024-07-25,5744.37,5855.69,5699.84,5855.69,66655400
2024-07-26,5855.69,5900.22,5788.9,5833.43,76519500
2024-07-29,5833.43,5833.43,5744.37,5766.63,54435300
2024-07-30,5766.63,5833.43,5677.57,5766.63,86701400
2024-07-31,5699.84,5766.63,5677.57,5699.84,99004100
2024-08-01,5833.43,6011.55,5788.9,6011.55,163086200
2024-08-02,5967.02,6122.87,5944.75,6056.08,167892400
2024-08-05,5967.02,5989.28,5788.9,5855.69,184384000
2024-08-06,5922.49,5967.02,5811.16,5900.22,95785000
2024-08-07,5989.28,6033.81,5922.49,6033.81,84582200
2024-08-08,6056.08,6100.61,5989.28,6056.08,81408500
2024-08-09,6078.34,6145.14,6056.08,6100.61,79710700
2024-08-12,6122.87,6145.14,6033.81,6145.14,50756000
2024-08-13,6100.61,6234.2,6100.61,6234.2,68666000
2024-08-14,6300.99,6323.26,6256.46,6300.99,97695100
2024-08-15,6300.99,6300.99,6167.4,6256.46,75955500
2024-08-16,6300.99,6345.52,6256.46,6300.99,64266400
2024-08-19,6300.99,6367.79,6256.46,6367.79,50246100
2024-08-20,6412.32,6545.91,6367.79,6412.32,102615900
2024-08-21,6501.38,6501.38,6434.58,6456.85,88487800
2024-08-22,6367.79,6390.05,6167.4,6278.73,157323000
2024-08-23,6234.2,6300.99,6211.93,6278.73,111752100
2024-08-26,6278.73,6323.26,6234.2,6278.73,78515400
2024-08-27,6256.46,6278.73,6167.4,6256.46,91686700
2024-08-28,6256.46,6434.58,6234.2,6434.58,114606200
2024-08-29,6501.38,6501.38,6323.26,6323.26,94475900
2024-08-30,6323.26,6390.05,6300.99,6345.52,153760500
2024-09-02,6412.32,6479.11,6345.52,6412.32,82176000
2024-09-03,6412.32,6456.85,6278.73,6300.99,75100800
2024-09-04,6234.2,6390.05,6234.2,6390.05,78789800
2024-09-05,6345.52,6434.58,6345.52,6390.05,59432000
2024-09-06,6390.05,6479.11,6367.79,6456.85,63619300
2024-09-09,6456.85,6456.85,6412.32,6456.85,71430300
2024-09-10,6456.85,6479.11,6434.58,6456.85,73515700
2024-09-11,6501.38,6590.44,6479.11,6568.17,91822300
2024-09-12,6568.17,6612.7,6501.38,6501.38,68254300
2024-09-13,6501.38,6501.38,6434.58,6479.11,45854000
2024-09-17,6523.64,6634.97,6501.38,6612.7,96428000
2024-09-18,6568.17,6634.97,6545.91,6590.44,47279200
2024-09-19,6634.97,6724.02,6590.44,6590.44,124377800
2024-09-20,6590.44,6612.7,6501.38,6501.38,97901700
2024-09-23,6523.64,6634.97,6501.38,6634.97,79675600
2024-09-24,6590.44,6657.23,6568.17,6612.7,81817100
2024-09-25,6545.91,6545.91,6278.73,6412.32,192197100
2024-09-26,6390.05,6412.32,6323.26,6390.05,173044000
2024-09-27,6256.46,6345.52,6234.2,6278.73,161405200
2024-09-30,6234.2,6256.46,6122.87,6167.4,166203500
2024-10-01,6234.2,6300.99,6189.67,6278.73,82690100
2024-10-02,6256.46,6323.26,6167.4,6211.93,91076400
2024-10-03,6234.2,6300.99,6145.14,6278.73,86264900
2024-10-04,6256.46,6278.73,6145.14,6189.67,79485300
2024-10-07,6167.4,6167.4,6056.08,6122.87,103943100
2024-10-08,6078.34,6390.05,6033.81,6300.99,132141500
2024-10-09,6300.99,6390.05,6189.67,6189.67,76515700
2024-10-10,6167.4,6278.73,6145.14,6189.67,44291900
2024-10-11,6256.46,6256.46,6167.4,6189.67,45331500
2024-10-14,6167.4,6211.93,6145.14,6167.4,55885300
2024-10-15,6234.2,6323.26,6167.4,6278.73,90358600
2024-10-16,6278.73,6300.99,6167.4,6234.2,133022500
2024-10-17,6278.73,6456.85,6234.2,6434.58,90219900
2024-10-18,6479.11,6501.38,6390.05,6390.05,57379200
2024-10-21,6456.85,6456.85,6345.52,6412.32,43056000
2024-10-22,6367.79,6390.05,6300.99,6300.99,43582700
2024-10-23,6300.99,6345.52,6256.46,6300.99,38222900
2024-10-24,6234.2,6367.79,6211.93,6211.93,65877100
2024-10-25,6211.93,6278.73,6211.93,6278.73,34637500
2024-10-28,6300.99,6300.99,6056.08,6078.34,114500800
2024-10-29,6056.08,6100.61,5989.28,6078.34,91268300
2024-10-30,5855.69,6033.81,5855.69,6011.55,122132700
2024-10-31,6011.55,6078.34,5967.02,5967.02,126730700
2024-11-01,5989.28,5989.28,5833.43,5922.49,101423100
2024-11-04,5877.96,6056.08,5811.16,6011.55,80208800
2024-11-05,5989.28,6189.67,5944.75,6167.4,88661200
2024-11-06,6167.4,6167.4,5833.43,5833.43,147272800
2024-11-07,5788.9,5833.43,5722.1,5722.1,154758500
2024-11-08,5722.1,5811.16,5588.51,5633.04,192423000
2024-11-11,5610.78,5744.37,5477.19,5655.31,125606000
2024-11-12,5677.57,5744.37,5633.04,5677.57,117281700
2024-11-13,5788.9,5833.43,5699.84,5722.1,102748300
2024-11-14,5677.57,5766.63,5655.31,5677.57,69750600
2024-11-15,5610.78,5699.84,5610.78,5655.31,41079700
2024-11-18,5655.31,5722.1,5543.98,5633.04,77471700
2024-11-19,5677.57,5677.57,5543.98,5566.25,95495700
2024-11-20,5633.04,5655.31,5521.72,5543.98,68707200
2024-11-21,5543.98,5543.98,5454.92,5477.19,76579300
2024-11-22,5454.92,5610.78,5432.66,5566.25,80236400
2024-11-25,5633.04,5877.96,5633.04,5855.69,183449100
2024-11-26,5877.96,5877.96,5633.04,5699.84,107194300
2024-11-28,5655.31,5811.16,5655.31,5744.37,81883200
2024-11-29,5633.04,5677.57,5454.92,5477.19,157628700
