Datetime,Open,High,Low,Close,Volume
2024-05-06,151.0,152.0,149.0,149.0,103708100
2024-05-07,150.0,154.0,150.0,151.0,110424800
2024-05-08,151.0,152.0,143.0,144.0,212830900
2024-05-13,144.0,147.0,144.0,146.0,75348900
2024-05-14,150.0,150.0,143.0,144.0,85915500
2024-05-15,145.0,147.0,143.0,146.0,109170100
2024-05-16,146.0,149.0,146.0,146.0,93336100
2024-05-17,146.0,147.0,143.0,146.0,110037300
2024-05-20,147.0,156.0,147.0,154.0,399956900
2024-05-21,156.0,156.0,150.0,150.0,134933600
2024-05-22,152.0,153.0,149.0,150.0,60854900
2024-05-27,150.0,150.0,144.0,145.0,196151200
2024-05-28,146.0,149.0,145.0,149.0,200918400
2024-05-29,149.0,159.0,148.0,156.0,457333900
2024-05-30,157.0,157.0,152.0,153.0,176029000
2024-05-31,154.0,157.0,153.0,155.0,168006700
2024-06-03,155.0,157.0,152.0,152.0,140446700
2024-06-04,153.0,156.0,152.0,152.0,86509600
2024-06-05,152.0,153.0,145.0,145.0,169099300
2024-06-06,145.0,150.0,145.0,146.0,82233900
2024-06-07,148.0,149.0,144.0,144.0,100007000
2024-06-10,143.0,144.0,138.0,144.0,255602400
2024-06-11,144.0,144.0,142.0,142.0,74331400
2024-06-12,144.0,144.0,134.0,137.0,237415600
2024-06-13,139.0,140.0,133.0,134.0,123564500
2024-06-14,135.0,135.0,127.0,135.0,233209700
2024-06-19,134.0,136.0,130.0,136.0,208656300
2024-06-20,136.0,142.0,134.0,141.0,118141100
2024-06-21,143.0,143.0,139.0,142.0,167669800
2024-06-24,141.0,143.0,139.0,142.0,45117700
2024-06-25,142.0,143.0,140.0,142.0,63798600
2024-06-26,142.0,143.0,140.0,143.0,56007100
2024-06-27,143.0,144.0,142.0,144.0,40022400
2024-06-28,144.0,149.0,142.0,146.0,94870600
2024-07-01,146.0,150.0,146.0,147.0,63396200
2024-07-02,148.0,149.0,146.0,146.0,72376100
2024-07-03,147.0,153.0,146.0,151.0,137963300
2024-07-04,152.0,156.0,152.0,154.0,100557000
2024-07-05,155.0,155.0,151.0,151.0,113802300
2024-07-08,154.0,157.0,152.0,157.0,162137300
2024-07-09,157.0,158.0,151.0,154.0,54810500
2024-07-10,156.0,156.0,151.0,152.0,69033200
2024-07-11,152.0,156.0,152.0,155.0,60330400
2024-07-12,156.0,158.0,155.0,156.0,70986100
2024-07-15,157.0,158.0,155.0,157.0,55298900
2024-07-16,158.0,164.0,157.0,162.0,228694500
2024-07-17,166.0,167.0,161.0,162.0,216595100
2024-07-18,162.0,163.0,159.0,162.0,68915100
2024-07-19,162.0,162.0,157.0,158.0,65583800
2024-07-22,159.0,159.0,156.0,157.0,41039700
2024-07-23,157.0,160.0,155.0,155.0,54906200
2024-07-24,156.0,158.0,154.0,155.0,59043600
2024-07-25,155.0,155.0,151.0,152.0,67957500
2024-07-26,151.0,154.0,151.0,153.0,47587000
2024-07-29,154.0,157.0,154.0,156.0,82825600
2024-07-30,158.0,161.0,156.0,156.0,185445400
2024-07-31,157.0,159.0,155.0,157.0,94588300
2024-08-01,158.0,161.0,156.0,156.0,145238100
2024-08-02,156.0,158.0,154.0,157.0,104981300
2024-08-05,154.0,155.0,146.0,150.0,322789800
2024-08-06,150.0,150.0,147.0,148.0,92068700
2024-08-07,149.0,150.0,146.0,148.0,63350000
2024-08-08,148.0,150.0,147.0,149.0,91733100
2024-08-09,150.0,152.0,149.0,149.0,82136300
2024-08-12,149.0,152.0,148.0,151.0,89413500
2024-08-13,152.0,153.0,150.0,151.0,82415700
2024-08-14,151.0,152.0,149.0,150.0,62621200
2024-08-15,150.0,153.0,149.0,150.0,133500100
2024-08-16,151.0,157.0,150.0,155.0,240437000
2024-08-19,156.0,161.0,156.0,157.0,139251300
2024-08-20,158.0,161.0,156.0,159.0,155870000
2024-08-21,160.0,167.0,157.0,161.0,468750700
2024-08-22,164.0,164.0,156.0,156.0,161656100
2024-08-23,158.0,160.0,156.0,159.0,80685800
2024-08-26,159.0,162.0,159.0,161.0,99651500
2024-08-27,164.0,164.0,158.0,162.0,113336400
2024-08-28,162.0,167.0,161.0,163.0,175046200
2024-08-29,164.0,164.0,160.0,160.0,81337000
2024-08-30,162.0,163.0,160.0,162.0,105888700
2024-09-02,163.0,163.0,159.0,160.0,110507800
2024-09-03,161.0,173.0,160.0,169.0,566876600
