Datetime,Open,High,Low,Close,Volume
2024-05-06,1007.47,1007.47,982.53,1002.48,53517391
2024-05-07,1002.48,1012.46,977.54,977.54,60614728
2024-05-08,982.53,992.51,957.59,977.54,60689047
2024-05-13,982.53,987.52,962.58,977.54,52676347
2024-05-14,982.53,1002.48,957.59,957.59,68768253
2024-05-15,972.56,1027.42,957.59,1027.42,168872664
2024-05-16,1037.39,1281.78,1037.39,1281.78,569148983
2024-05-17,1281.78,1456.34,1256.84,1336.64,1138465635
2024-05-20,1341.63,1406.47,1177.04,1196.99,486407909
2024-05-21,1206.97,1326.67,1201.98,1261.83,529851408
2024-05-22,1266.82,1286.77,1177.04,1182.03,271170780
2024-05-27,1182.03,1216.94,1042.38,1077.29,338582666
2024-05-28,1077.29,1226.92,1072.31,1167.07,422316827
2024-05-29,1167.07,1172.05,1057.34,1062.33,260069646
2024-05-30,1062.33,1097.24,1037.39,1047.37,202180071
2024-05-31,1052.36,1077.29,1027.42,1062.33,392913857
2024-06-03,1062.33,1097.24,1047.37,1072.31,260239718
2024-06-04,1067.32,1082.28,1042.38,1042.38,147994512
2024-06-05,1017.44,1022.43,952.61,952.61,251152201
2024-06-06,957.59,982.53,957.59,972.56,97306842
2024-06-07,982.53,987.52,957.59,962.58,81476554
2024-06-10,962.58,1052.36,957.59,1032.41,345990600
2024-06-11,1037.39,1062.33,982.53,982.53,271558199
2024-06-12,982.53,1007.47,972.56,992.51,126036836
2024-06-13,1002.48,1002.48,972.56,977.54,75547382
2024-06-14,982.53,992.51,947.62,947.62,113067218
2024-06-19,952.61,962.58,902.73,902.73,142692543
2024-06-20,912.71,937.64,897.74,912.71,106781978
2024-06-21,932.66,967.57,927.67,947.62,199158644
2024-06-24,947.62,972.56,942.63,962.58,93120054
2024-06-25,962.58,967.57,942.63,942.63,89152616
2024-06-26,952.61,992.51,952.61,957.59,152135828
2024-06-27,960.0,980.0,955.0,965.0,80585200
2024-06-28,965.0,1010.0,960.0,990.0,159881100
2024-07-01,1000.0,1145.0,980.0,1130.0,468215600
2024-07-02,1145.0,1240.0,1125.0,1175.0,646849400
2024-07-03,1185.0,1235.0,1175.0,1225.0,380118500
