Datetime,Open,High,Low,Close,Volume
2024-05-06,945.0,960.0,925.0,950.0,18868600
2024-05-07,950.0,955.0,935.0,955.0,7738800
2024-05-08,960.0,960.0,930.0,930.0,19579800
2024-05-13,935.0,945.0,930.0,935.0,5430600
2024-05-14,935.0,945.0,930.0,940.0,9242300
2024-05-15,965.0,965.0,935.0,940.0,9014400
2024-05-16,940.0,975.0,940.0,955.0,15171300
2024-05-17,950.0,970.0,950.0,955.0,2248900
2024-05-20,955.0,975.0,955.0,965.0,13266500
2024-05-21,965.0,965.0,950.0,950.0,10006100
2024-05-22,955.0,975.0,950.0,955.0,6125400
2024-05-27,960.0,960.0,945.0,945.0,8732700
2024-05-28,950.0,955.0,940.0,945.0,11083100
2024-05-29,960.0,960.0,925.0,940.0,18939000
2024-05-30,945.0,955.0,930.0,950.0,5576600
2024-05-31,950.0,960.0,945.0,945.0,33069000
2024-06-03,970.0,970.0,940.0,945.0,8297200
2024-06-04,945.0,950.0,930.0,940.0,22224000
2024-06-05,950.0,950.0,930.0,940.0,10035300
2024-06-06,940.0,950.0,940.0,945.0,1986700
2024-06-07,940.0,955.0,940.0,950.0,4803100
2024-06-10,950.0,955.0,940.0,945.0,5108400
2024-06-11,940.0,955.0,940.0,945.0,8711700
2024-06-12,955.0,955.0,930.0,940.0,8222200
2024-06-13,945.0,955.0,940.0,950.0,3743100
2024-06-14,950.0,965.0,945.0,950.0,12755400
2024-06-19,970.0,970.0,940.0,950.0,19244400
2024-06-20,955.0,955.0,945.0,950.0,9524600
2024-06-21,955.0,980.0,950.0,980.0,20479700
2024-06-24,980.0,990.0,960.0,960.0,10930900
2024-06-25,960.0,970.0,955.0,955.0,4057800
2024-06-26,975.0,975.0,955.0,965.0,1429200
2024-06-27,965.0,970.0,950.0,950.0,6079300
2024-06-28,950.0,965.0,950.0,955.0,4140900
2024-07-01,955.0,960.0,950.0,950.0,4563200
2024-07-02,955.0,980.0,950.0,970.0,11122800
2024-07-03,980.0,980.0,960.0,960.0,3586200
2024-07-04,960.0,970.0,955.0,955.0,11361900
2024-07-05,980.0,980.0,950.0,960.0,15091300
2024-07-08,965.0,985.0,960.0,985.0,15336000
2024-07-09,985.0,990.0,975.0,985.0,8458300
2024-07-10,990.0,995.0,975.0,975.0,5871100
2024-07-11,980.0,1000.0,980.0,990.0,11614500
2024-07-12,990.0,1045.0,990.0,1030.0,42948100
2024-07-15,1050.0,1050.0,1030.0,1030.0,18086500
2024-07-16,1030.0,1040.0,1025.0,1030.0,9981100
2024-07-17,1045.0,1050.0,1030.0,1040.0,10772300
2024-07-18,1040.0,1045.0,1035.0,1040.0,5247700
