Datetime,Open,High,Low,Close,Volume
2024-05-06,1108.46,1108.46,1072.42,1076.92,7946000
2024-05-07,1076.92,1090.44,1063.4,1076.92,8826200
2024-05-08,1099.45,1099.45,1054.39,1054.39,18020000
2024-05-13,1054.39,1099.45,1054.39,1099.45,9199100
2024-05-14,1099.45,1112.97,1081.43,1081.43,8359200
2024-05-15,1103.96,1103.96,1076.92,1094.95,4341100
2024-05-16,1094.95,1153.52,1094.95,1130.99,12494500
2024-05-17,1135.5,1149.02,1126.49,1144.51,7297100
2024-05-20,1144.51,1162.53,1130.99,1140.01,9690200
2024-05-21,1140.01,1158.03,1090.44,1090.44,10908900
2024-05-22,1112.97,1112.97,1072.42,1076.92,4760500
2024-05-27,1076.92,1085.93,1036.37,1036.37,8444700
2024-05-28,1036.37,1045.38,1018.34,1022.85,5073200
2024-05-29,1045.38,1045.38,1004.83,1009.33,3967200
2024-05-30,1009.33,1018.34,973.28,1000.32,6874800
2024-05-31,1000.32,1049.89,991.31,1049.89,13294400
2024-06-03,1031.86,1045.38,1013.84,1031.86,8168400
2024-06-04,1031.86,1058.9,1022.85,1036.37,5036200
2024-06-05,1058.9,1058.9,1018.34,1031.86,3319400
2024-06-06,1036.37,1045.38,1027.36,1040.87,3041900
2024-06-07,1040.87,1054.39,1018.34,1018.34,4406300
2024-06-10,1036.37,1045.38,1009.33,1018.34,2686200
2024-06-11,1018.34,1022.85,995.81,1004.83,3715400
2024-06-12,1027.36,1027.36,973.29,991.31,7475100
2024-06-13,1000.32,1009.33,973.29,977.79,3746500
2024-06-14,982.3,982.3,928.23,941.74,9047700
2024-06-19,932.73,946.25,914.71,919.21,7753600
2024-06-20,919.21,928.23,901.19,923.72,9979100
2024-06-21,928.23,1000.32,923.72,977.79,12652100
2024-06-24,982.3,1031.86,982.3,1018.34,8382000
2024-06-25,1027.36,1031.86,982.3,986.8,7147600
2024-06-26,1009.33,1018.34,986.8,991.31,3830400
2024-06-27,991.31,1018.34,991.31,1009.33,5775900
2024-06-28,1018.34,1040.87,1009.33,1031.86,7223600
2024-07-01,1031.86,1054.39,1022.85,1040.87,6294500
2024-07-02,1045.38,1054.39,1031.86,1031.86,4734200
2024-07-03,1049.89,1049.89,1027.36,1036.37,2195500
2024-07-04,1036.37,1067.91,1036.37,1058.9,6440300
2024-07-05,1063.4,1072.42,1045.38,1058.9,3991900
2024-07-08,1058.9,1103.96,1045.38,1099.45,9241300
2024-07-09,1103.96,1121.98,1090.44,1094.95,9936900
2024-07-10,1099.45,1099.45,1072.42,1081.43,8372200
2024-07-11,1085.93,1099.45,1072.42,1081.43,6528700
2024-07-12,1081.43,1099.45,1081.43,1085.93,3891500
2024-07-15,1090.44,1094.95,1063.4,1067.91,4796300
2024-07-16,1067.91,1076.92,1058.9,1058.9,3263500
2024-07-17,1081.43,1090.44,1058.9,1085.93,4161500
2024-07-18,1090.44,1094.95,1072.42,1085.93,2672000
2024-07-19,1085.93,1099.45,1076.92,1081.43,3328200
2024-07-22,1081.43,1085.93,1040.87,1058.9,6849800
2024-07-23,1058.9,1076.92,1045.38,1049.89,4738800
2024-07-24,1072.42,1072.42,1031.86,1036.37,6481500
2024-07-25,1040.87,1040.87,991.31,1000.32,8981200
2024-07-26,1018.34,1049.89,1004.83,1027.36,7455400
2024-07-29,1036.37,1063.4,1036.37,1045.38,8384000
2024-07-30,1040.87,1045.38,1013.84,1013.84,5392100
2024-07-31,1036.37,1036.37,1004.83,1027.36,5806600
2024-08-01,1031.86,1072.42,1022.85,1054.39,9060400
2024-08-02,1058.9,1085.93,1040.87,1072.42,6355800
2024-08-05,1063.4,1072.42,991.31,1022.85,16133400
2024-08-06,1027.36,1040.87,1009.33,1027.36,5731600
2024-08-07,1036.37,1040.87,1022.85,1036.37,3982700
2024-08-08,1036.37,1049.89,1027.36,1031.86,2226100
