Datetime,Open,High,Low,Close,Volume
2025-07-09,255.79,255.79,255.79,255.79,3737400
2025-07-10,319.74,319.74,319.74,319.74,1832400
2025-07-11,399.67,399.67,399.67,399.67,2965200
2025-07-14,499.59,499.59,499.59,499.59,2261200
2025-07-15,624.48,624.48,624.48,624.48,2871400
2025-07-16,779.36,779.36,779.36,779.36,8701600
2025-07-17,779.36,779.36,779.36,779.36,0
2025-07-18,974.2,974.2,974.2,974.2,18251400
2025-07-21,1214.0,1214.0,1214.0,1214.0,23419900
2025-07-22,1513.75,1513.75,1513.75,1513.75,46136700
2025-07-23,1513.75,1513.75,1513.75,1513.75,0
2025-07-24,1513.75,1513.75,1513.75,1513.75,0
2025-07-25,1663.63,1663.63,1663.63,1663.63,70508500
2025-07-28,1828.49,1828.49,1828.49,1828.49,344633200
2025-07-29,1828.49,1948.39,1828.49,1828.49,282967900
2025-07-30,1723.58,1723.58,1648.64,1648.64,138330000
2025-07-31,1648.64,1648.64,1483.78,1483.78,143988400
2025-08-01,1558.71,1628.66,1558.71,1628.66,83389800
2025-08-04,1763.54,1788.52,1763.54,1788.52,125574200
2025-08-05,1898.43,2098.27,1698.6,1778.53,807242900
2025-08-06,1778.53,1813.5,1688.61,1698.6,370230600
2025-08-07,1723.58,1773.54,1523.74,1563.71,570723000
2025-08-08,1698.6,1723.58,1523.74,1578.7,293903500
2025-08-11,1578.7,1603.68,1498.76,1513.75,288111400
2025-08-12,1523.74,1573.7,1488.77,1548.72,340288900
2025-08-13,1548.72,1683.61,1528.74,1673.62,341197500
2025-08-14,1688.61,1703.59,1613.67,1633.65,264387000
2025-08-15,1643.64,1648.64,1558.71,1558.71,184479600
2025-08-19,1558.71,1578.7,1508.75,1513.75,145818100
2025-08-20,1518.75,1533.73,1498.76,1503.76,147406500
2025-08-21,1503.76,1523.74,1448.8,1453.8,190568100
2025-08-22,1453.8,1513.75,1408.84,1483.78,198009600
2025-08-25,1498.76,1573.7,1478.78,1528.74,254115600
2025-08-26,1528.74,1553.72,1503.76,1503.76,88058400
2025-08-27,1508.75,1533.73,1488.77,1518.75,101389100
2025-08-28,1518.75,1573.7,1498.76,1523.74,149665700
2025-08-29,1488.77,1513.75,1443.81,1478.78,146630700
2025-09-01,1353.88,1463.79,1348.89,1428.82,122312600
2025-09-02,1438.81,1488.77,1433.82,1453.8,63729900
2025-09-03,1463.79,1473.78,1433.82,1443.81,43345300
2025-09-04,1448.8,1453.8,1423.82,1428.82,35707700
2025-09-08,1403.84,1423.82,1373.87,1373.87,95722400
2025-09-09,1373.87,1388.85,1278.94,1318.91,116740600
2025-09-10,1323.91,1408.84,1313.92,1383.86,131694700
2025-09-11,1398.85,1448.8,1373.87,1378.86,108773000
2025-09-12,1378.86,1433.82,1348.89,1383.86,62356100
2025-09-15,1393.85,1538.73,1388.85,1518.75,244462000
2025-09-16,1563.71,1593.68,1478.78,1483.78,228338200
2025-09-17,1488.77,1513.75,1453.8,1473.78,122356000
2025-09-18,1488.77,1553.72,1483.78,1503.76,256982200
2025-09-19,1528.74,1618.66,1513.75,1548.72,439554900
2025-09-22,1573.7,1793.52,1563.71,1783.53,976144000
2025-09-23,1818.5,1888.44,1688.61,1733.57,622752500
2025-09-24,1758.55,1778.53,1628.66,1688.61,655197400
2025-09-25,1703.59,1828.49,1638.65,1693.6,829997200
2025-09-26,1728.57,1778.53,1693.6,1768.54,374764700
2025-09-29,1778.53,1813.5,1733.57,1738.57,477806200
2025-09-30,1753.55,1763.54,1673.62,1673.62,295822400
2025-10-01,1673.62,1723.58,1653.64,1678.61,201199900
2025-10-02,1703.59,1738.57,1653.64,1708.59,253137700
2025-10-03,1728.57,1783.53,1708.59,1728.57,338630700
2025-10-06,1808.51,1998.35,1808.51,1998.35,1212618900
2025-10-07,2048.31,2368.05,2028.33,2228.16,1809085500
2025-10-08,2228.16,2238.15,2028.33,2118.25,629815900
2025-10-09,2158.22,2288.11,2038.32,2118.25,637757600
2025-10-10,2138.24,2338.07,2108.26,2318.09,625576700
2025-10-13,2238.15,2447.98,2228.16,2278.12,847765700
2025-10-14,2278.12,2298.1,1938.4,2008.34,940601600
2025-10-15,2008.34,2068.29,1863.46,1983.36,564187200
2025-10-16,1998.35,2018.33,1938.4,1948.39,281979000
2025-10-17,1948.39,1953.39,1748.56,1778.53,492211500
2025-10-20,1818.5,1848.47,1748.56,1818.5,321938900
2025-10-21,1823.5,1973.37,1803.51,1878.45,438099700
2025-10-22,1883.45,1928.41,1818.5,1873.45,219907600
2025-10-23,1888.44,1913.42,1838.48,1848.47,119608300
2025-10-24,1863.46,1918.42,1833.49,1863.46,129090700
2025-10-27,1893.44,1963.38,1588.69,1763.54,633916000
2025-10-28,1778.53,1808.51,1698.6,1738.57,146525300
2025-10-29,1753.55,1778.53,1708.59,1753.55,92706800
2025-10-30,1758.55,1818.5,1738.57,1768.54,150020100
2025-10-31,1803.51,1878.45,1803.51,1813.5,204560700
2025-11-03,1818.5,1868.46,1818.5,1843.48,130181900
2025-11-04,1853.47,1868.46,1768.54,1783.53,145128700
2025-11-05,1748.56,1813.5,1738.57,1788.52,97866800
2025-11-06,1848.47,1863.46,1798.52,1813.5,119254200
2025-11-07,1813.5,1918.42,1798.52,1913.42,301758800
2025-11-10,1928.41,1993.35,1888.44,1958.38,391871400
2025-11-11,1958.38,1963.38,1878.45,1888.44,237996900
2025-11-12,1898.43,1938.4,1878.45,1893.44,159824400
2025-11-13,1893.44,1913.42,1848.47,1863.46,145262600
2025-11-14,1863.46,1863.46,1803.51,1808.51,142850300
2025-11-17,1808.51,1858.47,1808.51,1818.5,118458500
2025-11-18,1818.5,1823.5,1768.54,1788.52,96243200
2025-11-19,1793.52,1813.5,1788.52,1788.52,51218900
2025-11-20,1798.52,1838.48,1798.52,1813.5,78657800
2025-11-21,1813.5,1833.49,1793.52,1803.51,61756200
2025-11-24,1808.51,1873.45,1793.52,1848.47,178237100
2025-11-25,1858.47,1868.46,1818.5,1818.5,87113000
2025-11-26,1833.49,1908.42,1818.5,1908.42,275368200
2025-11-27,1918.42,2078.28,1898.43,1928.41,930963100
2025-11-28,1948.39,1968.38,1898.43,1928.41,227078200
2025-12-01,1928.41,1973.37,1898.43,1918.42,163149300
2025-12-02,1928.41,2078.28,1928.41,2048.31,585722200
2025-12-03,2088.28,2128.24,1978.37,1988.36,546774600
2025-12-04,1988.36,2008.34,1933.4,1953.39,253403700
2025-12-05,1963.38,1998.35,1948.39,1958.38,133544900
2025-12-08,1963.38,1973.37,1923.41,1933.4,163650600
2025-12-09,1933.4,1948.39,1898.43,1903.43,181745900
2025-12-10,1903.43,1938.4,1868.46,1883.45,224045800
2025-12-11,1903.43,1918.42,1848.47,1848.47,173982500
2025-12-12,1863.46,1873.45,1828.49,1833.49,149483800
2025-12-15,1838.48,1908.42,1818.5,1838.48,227679200
2025-12-16,1843.48,1858.47,1823.5,1838.48,100956900
2025-12-17,1843.48,1858.47,1823.5,1828.49,88333200
2025-12-18,1833.49,1838.48,1778.53,1788.52,129492900
2025-12-19,1793.52,1813.5,1758.55,1773.54,116835600
2025-12-22,1783.53,1793.52,1763.54,1763.54,77182200
2025-12-23,1768.54,1788.52,1698.6,1698.6,157582000
2025-12-24,1703.59,1708.59,1643.64,1648.64,173290800
2025-12-29,1658.63,1733.57,1658.63,1673.62,141006400
2025-12-30,1678.61,1713.59,1663.63,1668.62,114192300
2026-01-02,1688.61,1763.54,1683.61,1713.59,158618700
2026-01-05,1728.57,1743.56,1678.61,1698.6,114967300
2026-01-06,1698.6,1703.59,1678.61,1688.61,78393300
2026-01-07,1688.61,1688.61,1648.64,1653.64,121150800
2026-01-08,1653.64,1698.6,1633.65,1658.63,102548800
2026-01-09,1658.63,1683.61,1623.66,1623.66,94553900
2026-01-12,1630.0,1640.0,1500.0,1530.0,233505600
2026-01-13,1535.0,1550.0,1480.0,1535.0,142588500
2026-01-14,1560.0,1590.0,1505.0,1520.0,126194700
2026-01-15,1520.0,1530.0,1495.0,1525.0,97767300
2026-01-19,1530.0,1625.0,1500.0,1595.0,229789400
2026-01-20,1595.0,1600.0,1550.0,1555.0,106762200
2026-01-21,1555.0,1555.0,1500.0,1505.0,87825100
2026-01-22,1505.0,1525.0,1475.0,1480.0,77300800
2026-01-23,1475.0,1475.0,1380.0,1415.0,141811400
2026-01-26,1415.0,1430.0,1360.0,1360.0,115117000
2026-01-27,1365.0,1400.0,1350.0,1400.0,73711600
2026-01-28,1190.0,1315.0,1190.0,1190.0,284973200
2026-01-29,1100.0,1280.0,1015.0,1235.0,434856900
2026-01-30,1260.0,1270.0,1155.0,1175.0,117469000
2026-02-02,1175.0,1175.0,1000.0,1000.0,211077300
2026-02-03,950.0,1100.0,910.0,1075.0,181703200
2026-02-04,1090.0,1155.0,1050.0,1080.0,126774300
2026-02-05,1070.0,1135.0,1060.0,1115.0,104915500
2026-02-06,1090.0,1090.0,1000.0,1025.0,138897000
2026-02-09,1010.0,1060.0,1000.0,1045.0,76666500
2026-02-10,1050.0,1145.0,1040.0,1125.0,107741300
2026-02-11,1140.0,1245.0,1120.0,1205.0,334786900
2026-02-12,1205.0,1220.0,1160.0,1170.0,117658200
2026-02-13,1165.0,1180.0,1135.0,1155.0,72721700
2026-02-18,1135.0,1210.0,1135.0,1175.0,90746100
2026-02-19,1220.0,1225.0,1160.0,1180.0,89686500
2026-02-20,1180.0,1180.0,1140.0,1140.0,64914200
2026-02-23,1155.0,1180.0,1145.0,1165.0,70101600
2026-02-24,1170.0,1200.0,1100.0,1100.0,100143400
2026-02-25,1100.0,1120.0,1060.0,1085.0,64030800
2026-02-26,1100.0,1100.0,1030.0,1040.0,60602300
2026-02-27,1035.0,1060.0,1000.0,1050.0,58053600
2026-03-02,990.0,1010.0,960.0,985.0,105962000
2026-03-03,985.0,1015.0,965.0,965.0,66053200
2026-03-04,945.0,960.0,855.0,895.0,128215500
2026-03-05,920.0,945.0,890.0,895.0,53733400
2026-03-06,890.0,915.0,850.0,895.0,91478300
2026-03-09,875.0,890.0,780.0,845.0,113361400
2026-03-10,880.0,885.0,830.0,835.0,64733800
2026-03-11,845.0,865.0,825.0,845.0,37339300
2026-03-12,850.0,850.0,810.0,815.0,39147200
2026-03-13,800.0,820.0,790.0,795.0,43756200
2026-03-16,800.0,805.0,740.0,785.0,54909200
2026-03-17,795.0,835.0,765.0,780.0,73245700
2026-03-25,785.0,855.0,765.0,835.0,71267300
2026-03-26,850.0,895.0,825.0,825.0,78335500
2026-03-27,825.0,830.0,805.0,820.0,24077900
2026-03-30,800.0,835.0,775.0,825.0,32378900
2026-03-31,825.0,845.0,800.0,805.0,35314900
2026-04-01,830.0,860.0,825.0,855.0,50244300
2026-04-02,850.0,850.0,805.0,810.0,33788900
2026-04-06,770.0,835.0,750.0,825.0,65892300
2026-04-07,825.0,885.0,815.0,875.0,88058000
2026-04-08,915.0,1005.0,895.0,995.0,190955900
2026-04-09,975.0,1020.0,940.0,1000.0,150081600
2026-04-10,1010.0,1060.0,1005.0,1015.0,134776100
2026-04-13,990.0,1145.0,975.0,1125.0,233265200
2026-04-14,1155.0,1315.0,1140.0,1280.0,546522400
2026-04-15,1315.0,1340.0,1215.0,1215.0,315115200
2026-04-16,1215.0,1255.0,1150.0,1175.0,190486300
2026-04-17,1180.0,1195.0,1145.0,1170.0,72028100
2026-04-20,1180.0,1190.0,1105.0,1120.0,97245300
2026-04-21,1120.0,1200.0,1090.0,1185.0,148062300
2026-04-22,1195.0,1195.0,1135.0,1150.0,65320100
2026-04-23,1150.0,1160.0,1105.0,1110.0,54618400
2026-04-24,1100.0,1110.0,975.0,980.0,182525800
2026-04-27,1000.0,1035.0,960.0,1010.0,91063600
2026-04-28,1015.0,1040.0,985.0,1030.0,80979300
2026-04-29,1030.0,1110.0,1000.0,1100.0,98438000
2026-04-30,1100.0,1145.0,1015.0,1040.0,179459700
2026-05-04,1055.0,1130.0,1030.0,1050.0,94595900
2026-05-05,1050.0,1190.0,1025.0,1190.0,221698200
