Datetime,Open,High,Low,Close,Volume
2024-05-06,4469.36,4533.2,4387.27,4478.48,2636900
2024-05-07,4534.23,4571.39,4478.48,4543.52,1428800
2024-05-08,4552.81,4599.27,4506.35,4552.81,331100
2024-05-13,4562.1,4599.26,4348.4,4571.39,813000
2024-05-14,4571.39,4947.69,4524.93,4715.41,2684200
2024-05-15,4715.41,4785.09,4668.95,4738.64,1198400
2024-05-16,4738.64,4785.09,4589.97,4785.09,1500600
2024-05-17,4785.09,4878.01,4627.14,4627.14,812700
2024-05-20,4627.14,4692.18,4515.64,4599.27,2220400
2024-05-21,4608.56,4738.64,4608.56,4715.41,1596100
2024-05-22,4715.41,4785.09,4645.72,4738.64,1044800
2024-05-27,4738.64,4738.64,4608.56,4636.43,399100
2024-05-28,4636.43,4738.64,4608.56,4668.95,667900
2024-05-29,4668.95,4715.41,4524.93,4534.23,563600
2024-05-30,4534.22,4738.64,4366.98,4738.64,3037000
2024-05-31,4738.64,4738.64,4589.97,4599.27,1086200
2024-06-03,4645.72,4668.95,4552.81,4599.27,363400
2024-06-04,4627.14,4668.95,4580.68,4636.43,1110100
2024-06-05,4636.43,4645.72,4441.31,4571.39,1888000
2024-06-06,4571.39,4692.18,4515.64,4589.97,1484000
2024-06-07,4562.1,4599.27,4515.64,4562.1,801000
2024-06-10,4562.1,4785.09,4552.81,4627.14,1766900
2024-06-11,4636.43,4645.72,4608.56,4627.14,1521600
2024-06-12,4589.97,4645.72,4487.77,4552.81,1408100
2024-06-13,4543.52,4599.27,4478.48,4543.52,2399000
2024-06-14,4552.81,4715.41,4506.35,4645.72,3481900
2024-06-19,4645.72,4738.64,4608.56,4645.72,1164100
2024-06-20,4645.72,4761.87,4552.81,4589.97,1986000
2024-06-21,4589.97,4761.87,4589.97,4692.18,2245600
2024-06-24,4692.18,4692.18,4589.97,4645.72,463300
2024-06-25,4636.43,4645.72,4571.39,4571.39,706700
2024-06-26,4571.39,4645.72,4571.39,4599.27,448900
2024-06-27,4599.27,4617.85,4589.97,4599.27,142800
2024-06-28,4580.68,4645.72,4506.35,4645.72,822900
2024-07-01,4668.95,4668.95,4534.23,4608.56,3106400
2024-07-02,4599.27,4608.56,4562.1,4599.27,1843600
2024-07-03,4617.85,4617.85,4543.52,4571.39,2078500
2024-07-04,4571.39,4599.27,4534.23,4552.81,1974000
2024-07-05,4552.81,4562.1,4459.89,4552.81,3545700
2024-07-08,4552.81,4636.43,4543.52,4627.14,1921700
2024-07-09,4617.85,4645.72,4589.97,4645.72,2503500
2024-07-10,4645.72,4645.72,4599.26,4645.72,1275500
2024-07-11,4636.43,4738.64,4608.56,4738.64,2487700
2024-07-12,4785.09,4785.09,4599.27,4599.27,1751800
2024-07-15,4608.56,4617.85,4524.93,4543.52,1781900
2024-07-16,4543.52,4571.39,4404.14,4432.02,4403900
2024-07-17,4450.6,4589.97,4441.31,4571.39,1949800
2024-07-18,4571.39,4668.95,4571.39,4636.43,1701200
2024-07-19,4636.43,4636.43,4589.97,4599.27,309500
2024-07-22,4599.26,4668.95,4599.26,4645.72,583100
2024-07-23,4552.81,4692.18,4552.81,4668.95,1422000
2024-07-24,4668.95,4668.95,4534.23,4599.27,2694800
2024-07-25,4599.27,4599.27,4515.64,4543.52,1366400
2024-07-26,4589.97,4668.95,4571.39,4645.72,2406900
2024-07-29,4738.64,4924.47,4692.18,4761.87,5853400
2024-07-30,4761.86,5156.75,4645.72,5087.07,10582600
2024-07-31,5133.52,5133.52,4878.01,4924.47,3643800
2024-08-01,4924.47,4994.15,4901.24,4924.47,2854400
2024-08-02,4924.47,4947.69,4785.09,4901.24,6414400
2024-08-05,4831.55,4994.15,4562.1,4692.18,3020400
2024-08-06,4715.41,4761.87,4636.43,4636.43,1892700
2024-08-07,4636.43,4785.09,4627.14,4668.95,4130100
2024-08-08,4692.18,4924.47,4692.18,4808.32,2315900
2024-08-09,4831.55,4924.47,4785.09,4878.01,1684000
2024-08-12,4878.01,5017.38,4878.01,5017.38,4229200
2024-08-13,5087.07,5110.29,4947.69,5017.38,5636800
2024-08-14,4994.15,5040.61,4854.78,4878.01,4674900
2024-08-15,4924.47,4947.69,4761.87,4878.01,2111000
2024-08-16,4854.78,4901.24,4785.09,4831.55,2451800
2024-08-19,4808.32,4901.24,4738.64,4808.32,2770500
2024-08-20,4808.32,4970.92,4738.64,4947.69,3716300
2024-08-21,4947.69,4970.92,4878.01,4924.47,1623800
2024-08-22,4901.24,4901.24,4785.09,4854.78,2107300
2024-08-23,4854.78,4947.69,4785.09,4947.69,2980300
2024-08-26,4947.69,5017.38,4878.01,5017.38,7247600
