Datetime,Open,High,Low,Close,Volume
2024-05-06,5055.82,5177.35,4934.28,5153.04,12186600
2024-05-07,5153.04,5177.35,5080.12,5153.04,6493600
2024-05-08,5177.35,5177.35,5104.43,5153.04,7150200
2024-05-13,5128.74,5153.04,5007.2,5031.51,7397800
2024-05-14,5080.12,5225.96,5080.12,5128.74,8259800
2024-05-15,5153.04,5250.27,5128.74,5225.96,7344700
2024-05-16,5250.27,5274.58,5201.66,5225.96,14044700
2024-05-17,5225.96,5250.27,5080.12,5128.74,2182700
2024-05-20,5128.74,5177.35,5031.51,5080.12,3096600
2024-05-21,5104.43,5104.43,4982.9,5031.51,6776200
2024-05-22,5080.12,5104.43,5007.2,5080.12,4432500
2024-05-27,5104.43,5104.43,4982.9,5055.82,6443300
2024-05-28,5128.74,5201.66,5031.51,5104.43,4258000
2024-05-29,5055.82,5104.43,5007.2,5055.82,4485000
2024-05-30,5104.43,5177.35,5031.51,5055.82,7806900
2024-05-31,5104.43,5153.04,5055.82,5055.82,20193600
2024-06-03,5036.26,5158.5,5036.26,5085.15,5364200
2024-06-04,5085.15,5207.39,5085.15,5085.15,5656800
2024-06-05,5158.5,5182.94,5085.15,5109.6,3874700
2024-06-06,5207.39,5231.84,5036.26,5109.6,2421800
2024-06-07,5109.6,5256.29,5109.6,5109.6,3806100
2024-06-10,5182.94,5182.94,5060.71,5085.15,4284400
2024-06-11,5036.26,5109.6,4987.36,4987.36,4645100
2024-06-12,5085.15,5109.6,5036.26,5060.71,4583100
2024-06-13,5060.71,5158.5,4987.36,4987.36,4789600
2024-06-14,5036.26,5036.26,4723.33,4791.78,7136900
2024-06-19,4791.78,4850.45,4713.55,4713.55,3202700
2024-06-20,4713.55,4733.1,4654.87,4674.43,4443100
2024-06-21,4674.43,4791.78,4664.65,4674.43,17649100
2024-06-24,4723.33,4987.36,4713.55,4987.36,7437200
2024-06-25,4987.36,5011.81,4889.57,4914.02,2528700
2024-06-26,4889.57,5011.81,4889.57,4962.91,3909300
2024-06-27,5036.26,5036.26,4914.02,4914.02,3223500
2024-06-28,4889.57,4962.91,4870.01,4962.91,3867500
2024-07-01,4987.36,5036.26,4962.91,4987.36,4427600
2024-07-02,5011.81,5011.81,4914.02,4962.91,2498400
2024-07-03,5011.81,5036.26,4914.02,5036.26,4209300
2024-07-04,5036.26,5158.5,4987.36,5134.05,4348100
2024-07-05,5134.05,5231.84,5036.26,5158.5,2674800
2024-07-08,5207.39,5207.39,5085.15,5158.5,1558300
2024-07-09,5158.5,5182.94,5109.6,5182.94,1795800
2024-07-10,5182.94,5305.18,5134.05,5305.18,4568800
2024-07-11,5305.18,5525.21,5305.18,5402.98,12826600
2024-07-12,5451.87,5451.87,5305.18,5427.42,2208200
2024-07-15,5451.87,5451.87,5280.74,5378.53,2947400
2024-07-16,5476.32,5476.32,5280.74,5305.18,2130300
2024-07-17,5427.42,5427.42,5280.74,5354.08,2535000
2024-07-18,5280.74,5427.42,5280.74,5427.42,2913900
2024-07-19,5329.63,5402.98,5256.29,5354.08,3165100
2024-07-22,5402.98,5402.98,5305.18,5354.08,1545400
2024-07-23,5305.18,5500.77,5256.29,5280.74,4151500
2024-07-24,5305.18,5354.08,5207.39,5280.74,1350200
2024-07-25,5280.74,5305.18,5134.05,5305.18,6454600
2024-07-26,5329.63,5329.63,5182.94,5182.94,2568400
2024-07-29,5158.5,5207.39,5036.26,5060.71,7803400
2024-07-30,5109.6,5134.05,5036.26,5085.15,2904600
2024-07-31,5134.05,5158.5,5036.26,5109.6,7413200
2024-08-01,5085.15,5158.5,5085.15,5134.05,2749200
2024-08-02,5134.05,5158.5,4962.91,5134.05,11501600
2024-08-05,5085.15,5134.05,4987.36,5036.26,3497600
2024-08-06,5134.05,5182.94,4987.36,4987.36,5656300
2024-08-07,5011.81,5182.94,5011.81,5182.94,5521800
2024-08-08,5158.5,5207.39,5109.6,5134.05,4368100
2024-08-09,5134.05,5182.94,5011.81,5060.71,3927900
2024-08-12,5060.71,5060.71,4987.36,5036.26,4174500
2024-08-13,5085.15,5085.15,4914.02,5036.26,16380200
2024-08-14,5011.81,5060.71,4938.47,5060.71,12380300
2024-08-15,5060.71,5207.39,4987.36,5085.15,19891900
2024-08-16,5134.05,5134.05,5036.26,5036.26,3924400
2024-08-19,4987.36,5036.26,4889.57,4889.57,7974500
2024-08-20,4938.47,5011.81,4914.02,4987.36,7527100
2024-08-21,5011.81,5036.26,4914.02,4938.47,6556200
2024-08-22,4914.02,4962.91,4889.57,4962.91,9050700
2024-08-23,4962.91,4987.36,4889.57,4914.02,5684800
2024-08-26,4914.02,4938.47,4850.45,4889.57,8286400
2024-08-27,4914.02,4987.36,4870.01,4962.91,5705300
2024-08-28,4987.36,4987.36,4879.79,4889.57,7273100
2024-08-29,4938.47,4938.47,4840.67,4840.67,5542200
2024-08-30,4850.45,4850.45,4752.66,4752.66,28103300
2024-09-02,4752.66,4801.56,4742.88,4742.88,7499900
2024-09-03,4752.66,4762.44,4713.55,4742.88,8623300
2024-09-04,4742.88,4742.88,4674.43,4723.33,7365700
2024-09-05,4733.1,4801.56,4723.33,4742.88,8891800
2024-09-06,4733.1,4782.0,4674.43,4684.21,11411300
2024-09-09,4693.99,4723.33,4654.87,4693.99,6563900
2024-09-10,4742.88,4762.44,4693.99,4723.33,5672600
2024-09-11,4723.33,4752.66,4654.87,4654.87,6967300
2024-09-12,4664.65,4762.44,4664.65,4742.88,8071400
2024-09-13,4742.88,4742.88,4693.99,4693.99,7668200
2024-09-17,4723.33,4850.45,4713.55,4850.45,11969900
2024-09-18,4850.45,4870.01,4811.34,4830.9,8150900
2024-09-19,4830.9,4938.47,4830.9,4938.47,13059800
2024-09-20,4938.47,4962.91,4860.23,4889.57,20260900
2024-09-23,4938.47,4938.47,4811.34,4850.45,8820000
2024-09-24,4870.01,4870.01,4801.56,4811.34,6287400
2024-09-25,4850.45,4850.45,4742.88,4811.34,8729000
2024-09-26,4811.34,4811.34,4713.55,4772.22,12956600
2024-09-27,4782.0,4782.0,4684.21,4693.99,9602800
2024-09-30,4693.99,4703.77,4596.2,4596.2,14403600
2024-10-01,4605.98,4635.31,4596.2,4615.75,8924900
2024-10-02,4615.75,4654.87,4596.2,4625.53,5800900
2024-10-03,4625.53,4645.09,4596.2,4635.31,2973000
2024-10-04,4635.31,4654.87,4615.75,4654.87,4241400
2024-10-07,4654.87,4733.1,4654.87,4733.1,5006800
2024-10-08,4733.1,4752.66,4693.99,4742.88,6665400
2024-10-09,4742.88,4752.66,4723.33,4742.88,3132400
2024-10-10,4742.88,4830.9,4713.55,4782.0,7207100
2024-10-11,4840.67,4840.67,4742.88,4752.66,2485400
2024-10-14,4762.44,4840.67,4762.44,4840.67,5329500
2024-10-15,4840.67,4879.79,4801.56,4860.23,6314400
2024-10-16,4860.23,4938.47,4840.67,4938.47,10163900
2024-10-17,4938.47,4938.47,4879.79,4889.57,3869100
2024-10-18,4914.02,4987.36,4821.12,4987.36,9282500
2024-10-21,5011.81,5036.26,4938.47,4938.47,5445000
2024-10-22,4938.47,4938.47,4870.01,4879.79,4577900
2024-10-23,4889.57,4962.91,4879.79,4962.91,3497100
2024-10-24,4938.47,5085.15,4938.47,5036.26,11876900
2024-10-25,5085.15,5085.15,5011.81,5036.26,5797200
2024-10-28,5036.26,5036.26,4914.02,5011.81,3408800
2024-10-29,5011.81,5182.94,5011.81,5158.5,11333200
2024-10-30,5158.5,5158.5,5011.81,5011.81,5541900
2024-10-31,5011.81,5134.05,4879.79,5134.05,10680900
2024-11-01,5085.15,5085.15,4752.66,4782.0,14790200
2024-11-04,4782.0,4870.01,4742.88,4870.01,5666900
2024-11-05,4870.01,4870.01,4791.78,4791.78,2408900
2024-11-06,4801.56,4987.36,4782.0,4962.91,10048000
2024-11-07,4962.91,4962.91,4782.0,4782.0,8186000
2024-11-08,4762.44,4811.34,4752.66,4752.66,1990100
2024-11-11,4752.66,4762.44,4654.87,4654.87,4674200
2024-11-12,4654.87,4733.1,4654.87,4693.99,4975500
2024-11-13,4693.99,4801.56,4674.43,4762.44,3291600
2024-11-14,4791.78,4811.34,4762.44,4772.22,3893200
2024-11-15,4772.22,4772.22,4674.43,4684.21,2200800
2024-11-18,4693.99,4693.99,4635.31,4654.87,2348800
2024-11-19,4654.87,4703.77,4645.09,4645.09,2224900
2024-11-20,4693.99,4693.99,4605.98,4605.98,2703000
2024-11-21,4635.31,4635.31,4557.08,4557.08,4177600
2024-11-22,4557.08,4645.09,4488.63,4596.2,6700100
2024-11-25,4596.2,4674.43,4576.64,4576.64,10797000
2024-11-26,4576.64,4605.98,4547.3,4566.86,3739600
2024-11-28,4615.75,4664.65,4557.08,4645.09,3413900
2024-11-29,4654.87,4674.43,4566.86,4566.86,4699800
2024-12-02,4566.86,4684.21,4566.86,4615.75,2396300
2024-12-03,4615.75,4664.65,4586.42,4635.31,5592900
2024-12-04,4635.31,4879.79,4635.31,4870.01,6121800
2024-12-05,4860.23,4860.23,4762.44,4821.12,3358300
2024-12-06,4821.12,5085.15,4742.88,4801.56,6928000
2024-12-09,4811.34,4870.01,4801.56,4801.56,2171000
2024-12-10,4811.34,4850.45,4762.44,4821.12,4132700
2024-12-11,4801.56,4879.79,4801.56,4879.79,2515800
2024-12-12,4879.79,4938.47,4821.12,4840.67,3310700
2024-12-13,4850.45,4860.23,4821.12,4840.67,2055000
2024-12-16,4840.67,4840.67,4742.88,4772.22,2546700
2024-12-17,4772.22,4811.34,4703.77,4733.1,2474200
2024-12-18,4723.32,4733.1,4645.09,4645.09,3664800
2024-12-19,4635.31,4635.31,4498.4,4498.4,5217900
2024-12-20,4517.96,4615.75,4517.96,4557.08,21419300
2024-12-23,4596.2,4801.56,4596.2,4742.88,3153300
2024-12-24,4742.88,4752.66,4625.53,4625.53,2106200
2024-12-27,4635.31,4723.33,4635.31,4654.87,1903900
2024-12-30,4625.53,4713.55,4605.98,4654.87,3712000
2025-01-02,4791.78,4791.78,4664.65,4703.77,1610900
2025-01-03,4703.77,4733.1,4645.09,4684.21,2528300
2025-01-06,4684.21,4762.44,4684.21,4713.55,3358700
2025-01-07,4713.55,4742.88,4674.43,4713.55,2193700
2025-01-08,4713.55,4791.78,4684.21,4723.33,3899200
2025-01-09,4723.33,4752.66,4693.99,4693.99,1946100
2025-01-10,4713.55,4723.32,4615.75,4615.75,3893700
2025-01-13,4625.53,4664.65,4459.29,4459.29,5570100
2025-01-14,4469.07,4537.52,4400.61,4400.61,4249400
2025-01-15,4488.63,4537.52,4459.29,4498.4,3773100
2025-01-16,4498.4,4566.86,4429.95,4429.95,4765300
2025-01-17,4449.51,4557.08,4420.17,4557.08,3421200
2025-01-20,4557.08,4615.75,4517.96,4527.74,2413500
