Datetime,Open,High,Low,Close,Volume
2024-05-06,1108.72,1161.29,1094.38,1146.95,22421600
2024-05-07,1146.95,1151.73,1103.94,1108.72,10134500
2024-05-08,1132.61,1132.61,1084.82,1103.94,14179000
2024-05-13,1103.94,1108.72,1080.04,1094.38,8634900
2024-05-14,1099.16,1113.5,1075.26,1094.38,32732400
2024-05-15,1118.27,1118.27,1070.49,1084.82,17214000
2024-05-16,1089.6,1113.5,1075.26,1108.72,12189000
2024-05-17,1113.5,1118.27,1099.16,1108.72,28802600
2024-05-20,1113.5,1123.05,1103.94,1118.27,12157400
2024-05-21,1118.27,1123.05,1084.82,1084.82,7463700
2024-05-22,1108.72,1108.72,1084.82,1089.6,7798500
2024-05-27,1089.6,1103.94,1084.82,1094.38,9711100
2024-05-28,1099.16,1108.72,1094.38,1099.16,15238800
2024-05-29,1123.05,1123.05,1089.6,1099.16,7557700
2024-05-30,1099.16,1118.27,1089.6,1118.27,9113400
2024-05-31,1118.27,1123.05,1051.37,1051.37,50747400
2024-06-03,1070.49,1075.26,1056.15,1065.71,10899700
2024-06-04,1065.71,1113.5,1065.71,1099.16,24231400
2024-06-05,1118.27,1118.27,1070.49,1099.16,12021400
2024-06-06,1103.94,1103.94,1084.82,1089.6,1726200
2024-06-07,1089.6,1113.5,1080.04,1094.38,7115300
2024-06-10,1094.38,1108.72,1084.82,1099.16,7066000
2024-06-11,1099.16,1103.94,1089.6,1089.6,12537600
2024-06-12,1113.5,1113.5,1060.93,1075.26,13501600
2024-06-13,1080.04,1103.94,1065.71,1070.49,10830400
2024-06-14,1075.26,1089.6,1056.15,1075.26,5783700
2024-06-19,1099.16,1099.16,1037.03,1037.03,9188300
2024-06-20,1037.03,1056.15,1022.7,1046.59,6697100
2024-06-21,1051.37,1075.26,1051.37,1075.26,6791800
2024-06-24,1075.26,1075.26,1041.81,1046.59,9886600
2024-06-25,1051.37,1056.15,1041.81,1041.81,4606600
2024-06-26,1056.15,1056.15,1041.81,1051.37,7007600
2024-06-27,1056.15,1070.49,1046.59,1070.49,3533600
2024-06-28,1076.33,1110.42,1066.59,1100.68,14175400
2024-07-01,1100.68,1110.42,1086.07,1100.68,6935300
2024-07-02,1100.68,1120.16,1095.81,1100.68,10420800
2024-07-03,1125.03,1125.03,1090.94,1100.68,5172200
2024-07-04,1105.55,1120.16,1100.68,1100.68,4869700
2024-07-05,1100.68,1163.99,1100.68,1134.77,20519000
