Datetime,Open,High,Low,Close,Volume
2024-05-06,637.78,642.47,609.64,628.4,39203100
2024-05-07,628.4,628.4,619.02,628.4,27830500
2024-05-08,623.71,628.4,609.64,609.64,21780000
2024-05-13,623.71,661.23,604.95,651.85,50254200
2024-05-14,647.16,651.85,633.09,651.85,35734000
2024-05-15,647.16,651.85,614.33,614.33,24343500
2024-05-16,614.33,637.78,614.33,623.71,38564400
2024-05-17,628.4,642.47,604.95,614.33,41156200
2024-05-20,614.33,628.4,604.95,609.64,22596200
2024-05-21,609.64,619.02,600.26,609.64,33077300
2024-05-22,609.64,614.33,600.26,609.64,24746200
2024-05-27,609.64,628.4,600.26,609.64,35979800
2024-05-28,604.95,619.02,604.95,609.64,44607400
2024-05-29,609.64,619.02,600.26,614.33,26217700
2024-05-30,614.33,623.71,609.64,623.71,38349900
2024-05-31,623.71,623.71,595.57,595.57,30085000
2024-06-03,604.95,623.71,595.57,614.33,39674900
2024-06-04,614.33,633.09,609.64,623.71,33383100
2024-06-05,619.02,628.4,609.64,614.33,35473300
2024-06-06,614.33,628.4,614.33,628.4,31402000
2024-06-07,628.4,628.4,614.33,619.02,20857900
2024-06-10,619.02,623.71,600.26,619.02,38236800
2024-06-11,614.33,619.02,609.64,619.02,31351000
2024-06-12,614.33,619.02,600.26,614.33,25661700
2024-06-13,609.64,628.4,600.26,623.71,34282600
2024-06-14,625.65,635.35,615.95,630.5,22475400
2024-06-19,625.65,630.5,611.1,630.5,32703500
2024-06-20,630.5,630.5,596.55,601.4,25504000
2024-06-21,601.4,611.1,582.0,601.4,31404000
2024-06-24,596.55,606.25,591.7,596.55,29215800
2024-06-25,591.7,596.55,582.0,591.7,29307900
2024-06-26,591.7,596.55,591.7,591.7,19899300
2024-06-27,591.7,601.4,591.7,596.55,31330100
2024-06-28,596.55,606.25,591.7,601.4,36170600
2024-07-01,606.25,640.2,601.4,635.35,42937600
2024-07-02,635.35,635.35,611.1,611.1,29893000
2024-07-03,611.1,615.95,596.55,606.25,22544200
2024-07-04,606.25,606.25,596.55,601.4,32048600
2024-07-05,601.4,606.25,596.55,606.25,25527000
2024-07-08,606.25,615.95,601.4,615.95,35317800
2024-07-09,615.95,615.95,601.4,606.25,23653800
2024-07-10,606.25,615.95,606.25,606.25,25853100
2024-07-11,606.25,611.1,601.4,601.4,29421100
2024-07-12,601.4,620.8,601.4,615.95,34572200
2024-07-15,615.95,620.8,606.25,615.95,23772800
2024-07-16,615.95,615.95,606.25,615.95,27994700
2024-07-17,615.95,625.65,611.1,625.65,28310700
2024-07-18,625.65,625.65,611.1,615.95,29870000
2024-07-19,620.8,620.8,611.1,615.95,28371900
2024-07-22,615.95,625.65,611.1,625.65,25867000
2024-07-23,630.5,630.5,611.1,625.65,31111600
2024-07-24,625.65,625.65,615.95,625.65,25902200
2024-07-25,625.65,679.0,606.25,669.3,39853200
2024-07-26,669.3,693.55,654.75,688.7,48145500
2024-07-29,688.7,688.7,659.6,674.15,33077000
2024-07-30,679.0,683.85,664.45,679.0,36655400
2024-07-31,679.0,688.7,654.75,664.45,33384700
2024-08-01,659.6,688.7,659.6,679.0,35524200
2024-08-02,674.15,688.7,669.3,688.7,33269200
2024-08-05,688.7,703.25,659.6,679.0,38058900
2024-08-06,679.0,703.25,669.3,703.25,44428200
2024-08-07,703.25,732.35,693.55,732.35,42760600
2024-08-08,732.35,746.9,712.95,746.9,43326700
2024-08-09,746.9,766.3,737.2,746.9,37512300
2024-08-12,746.9,761.45,727.5,737.2,39441900
2024-08-13,732.35,761.45,732.35,761.45,42631000
2024-08-14,761.45,766.3,751.75,751.75,31677900
2024-08-15,751.75,766.3,732.35,742.05,28977800
2024-08-16,742.05,756.6,732.35,756.6,34852000
2024-08-19,756.6,756.6,727.5,732.35,22523200
2024-08-20,732.35,756.6,727.5,751.75,36514100
2024-08-21,751.75,751.75,727.5,737.2,30313200
2024-08-22,737.2,751.75,727.5,751.75,38245900
2024-08-23,751.75,761.45,751.75,756.6,33413400
2024-08-26,756.6,771.15,751.75,761.45,33045800
2024-08-27,761.45,766.3,742.05,761.45,28302100
2024-08-28,766.3,766.3,751.75,761.45,23826700
2024-08-29,756.6,766.3,746.9,746.9,27702200
2024-08-30,746.9,776.0,742.05,766.3,44349700
2024-09-02,800.25,800.25,761.45,776.0,32392700
2024-09-03,776.0,776.0,746.9,756.6,22751000
2024-09-04,756.6,771.15,751.75,751.75,27683100
2024-09-05,751.75,819.65,746.9,819.65,50554600
2024-09-06,819.65,858.45,805.1,824.5,50184600
2024-09-09,819.65,824.5,766.3,780.85,19307200
