Datetime,Open,High,Low,Close,Volume
2024-05-06,353.72,385.37,353.72,372.34,52697700
2024-05-07,374.2,415.15,372.34,409.57,92702400
2024-05-08,409.57,422.6,383.51,387.23,73535500
2024-05-13,385.37,403.98,383.51,400.26,34605600
2024-05-14,400.26,403.98,392.81,396.54,14162700
2024-05-15,403.98,403.98,385.37,387.23,18807300
2024-05-16,389.09,413.29,387.23,398.4,62230000
2024-05-17,400.26,426.32,396.54,411.43,92386700
2024-05-20,417.02,418.88,407.71,418.88,22949300
2024-05-21,418.88,422.6,402.12,411.43,30500400
2024-05-22,411.43,418.88,405.85,411.43,16849700
2024-05-27,409.57,428.19,400.26,420.74,78801200
2024-05-28,422.6,430.05,407.71,409.57,69604700
2024-05-29,411.43,413.29,394.68,400.26,38440000
2024-05-30,400.26,405.85,387.23,392.81,24524100
2024-05-31,390.95,405.85,390.95,394.68,47908000
2024-06-03,394.68,403.98,390.95,392.81,28282700
2024-06-04,394.68,405.85,392.81,392.81,23881900
2024-06-05,396.54,400.26,366.75,366.75,49157300
2024-06-06,366.75,376.06,366.75,376.06,18005000
2024-06-07,372.34,379.78,363.03,363.03,14748400
2024-06-10,361.17,364.89,351.86,355.58,16276800
2024-06-11,353.72,363.03,348.13,350.0,11045100
2024-06-12,353.72,353.72,336.96,344.41,20271700
2024-06-13,344.41,363.03,342.55,353.72,25916900
2024-06-14,353.72,357.44,335.1,340.69,17241900
2024-06-19,342.55,344.41,325.79,327.66,28342100
2024-06-20,327.66,366.75,327.66,348.13,62090300
2024-06-21,346.27,363.03,346.27,353.72,68058000
2024-06-24,355.58,366.75,353.72,361.17,35011400
2024-06-25,364.93,366.81,355.52,366.81,14545800
2024-06-26,368.69,378.1,361.17,363.05,28841900
2024-06-27,363.05,370.57,361.17,366.81,13899500
2024-06-28,368.69,376.21,364.93,364.93,21690600
2024-07-01,366.81,374.33,366.81,368.69,11386400
2024-07-02,370.57,372.45,363.05,364.93,12708600
2024-07-03,364.93,374.33,364.93,372.45,10522700
2024-07-04,372.45,400.67,372.45,395.02,93873200
2024-07-05,396.91,402.55,391.26,391.26,23503900
2024-07-08,391.26,423.24,391.26,419.48,100531400
2024-07-09,419.48,419.48,410.07,413.84,27106100
2024-07-10,413.84,427.0,404.43,404.43,43813600
2024-07-11,406.31,419.48,402.55,419.48,82957900
2024-07-12,419.48,423.24,408.19,408.19,25808800
2024-07-15,410.07,417.6,408.19,415.72,19785900
2024-07-16,415.72,415.72,406.31,413.84,17445900
2024-07-17,413.84,434.53,413.84,419.48,75552200
2024-07-18,421.36,421.36,404.43,404.43,44882900
2024-07-19,406.31,408.19,395.02,396.91,26206600
2024-07-22,396.91,404.43,395.02,398.79,12501100
2024-07-23,398.79,415.72,398.79,411.95,47090500
2024-07-24,413.84,419.48,398.79,406.31,68033800
2024-07-25,400.67,406.31,396.91,406.31,17742500
2024-07-26,404.43,410.07,398.79,400.67,11483400
2024-07-29,400.67,406.31,396.91,402.55,13880800
2024-07-30,402.55,404.43,391.26,396.91,21020500
2024-07-31,396.91,398.79,381.86,383.74,42740800
2024-08-01,385.62,387.5,372.45,378.1,25574700
2024-08-02,374.33,391.26,374.33,378.1,47725700
2024-08-05,379.98,389.38,348.0,355.52,61921500
2024-08-06,355.52,376.21,355.52,364.93,40275900
2024-08-07,366.81,383.74,366.81,370.57,38515400
2024-08-08,372.45,374.33,364.93,364.93,18939900
2024-08-09,364.93,372.45,364.93,366.81,12452100
2024-08-12,366.81,370.57,363.05,366.81,19962400
2024-08-13,366.81,372.45,364.93,368.69,26917500
2024-08-14,370.57,381.86,370.57,376.21,55064800
2024-08-15,376.21,378.1,370.57,372.45,16002800
2024-08-16,372.45,379.98,372.45,376.21,14455800
2024-08-19,376.21,378.1,372.45,376.21,10532800
2024-08-20,376.21,393.14,376.21,391.26,95179700
2024-08-21,393.14,396.91,385.62,385.62,44754000
2024-08-22,385.62,387.5,370.57,372.45,41701300
2024-08-23,374.33,379.98,372.45,376.21,13889200
2024-08-26,378.1,379.98,376.21,378.1,12169200
2024-08-27,378.1,378.1,372.45,378.1,13070800
2024-08-28,378.1,378.1,374.33,376.21,12189800
2024-08-29,376.21,378.1,368.69,368.69,18174500
2024-08-30,370.57,378.1,370.57,378.1,14329500
2024-09-02,376.21,398.79,374.33,395.02,85392200
2024-09-03,396.91,408.19,385.62,385.62,66697500
2024-09-04,385.62,385.62,376.21,378.1,25504300
2024-09-05,378.1,383.74,376.21,379.98,11893500
2024-09-06,379.98,383.74,378.1,378.1,10674500
2024-09-09,378.1,379.98,368.69,370.57,31367100
2024-09-10,372.45,374.33,366.81,370.57,19233300
2024-09-11,370.57,374.33,366.81,374.33,13963200
2024-09-12,374.33,383.74,374.33,379.98,21430400
2024-09-13,381.86,385.62,379.98,385.62,13269500
2024-09-17,385.62,387.5,381.86,381.86,8419500
2024-09-18,383.74,396.91,381.86,391.26,59474200
2024-09-19,395.02,395.02,385.62,385.62,21563500
2024-09-20,387.5,391.26,370.57,370.57,53248300
2024-09-23,370.57,381.86,370.57,381.86,31677900
2024-09-24,381.86,383.74,374.33,376.21,14224200
2024-09-25,376.21,389.38,374.33,389.38,71674900
2024-09-26,389.38,393.14,385.62,391.26,33179600
2024-09-27,391.26,393.14,383.74,387.5,21498000
2024-09-30,391.26,395.02,385.62,389.38,29802300
2024-10-01,389.38,395.02,385.62,393.14,26829800
2024-10-02,395.02,396.91,376.21,379.98,48485700
2024-10-03,379.98,383.74,372.45,383.74,22515100
2024-10-04,383.74,385.62,376.21,376.21,9600800
2024-10-07,376.21,408.19,376.21,402.55,215636300
2024-10-08,408.19,425.12,396.91,425.12,176105800
2024-10-09,425.12,427.0,408.19,411.95,61144600
2024-10-10,413.84,419.48,406.31,406.31,23085000
2024-10-11,413.84,413.84,402.55,408.19,26301000
2024-10-14,410.07,419.48,404.43,413.84,31540300
2024-10-15,417.6,419.48,410.07,413.84,21092300
2024-10-16,415.72,415.72,404.43,408.19,17815800
2024-10-17,410.07,410.07,404.43,404.43,22171300
2024-10-18,406.31,411.95,402.55,411.95,15587300
2024-10-21,411.95,484.38,410.07,474.97,250345400
2024-10-22,474.97,498.48,470.27,474.97,114878100
2024-10-23,474.97,474.97,457.1,457.1,65565800
2024-10-24,457.1,484.38,453.34,479.67,116873600
2024-10-25,479.67,493.78,462.74,462.74,48810300
2024-10-28,460.86,466.51,434.53,453.34,58976100
2024-10-29,453.34,484.38,445.81,466.51,70698500
2024-10-30,466.51,468.39,455.22,458.98,26602700
2024-10-31,458.98,479.67,457.1,479.67,56929000
2024-11-01,479.67,493.78,451.46,455.22,75058400
2024-11-04,457.1,460.86,442.05,449.58,35622000
2024-11-05,449.58,458.98,423.24,423.24,67960400
2024-11-06,425.12,436.41,419.48,432.65,54185500
2024-11-07,432.65,432.65,423.24,423.24,21249400
2024-11-08,423.24,445.81,423.24,443.93,43583600
2024-11-11,443.93,462.74,434.53,460.86,47438000
2024-11-12,462.74,470.27,453.34,466.51,30997300
2024-11-13,466.51,479.67,462.74,470.27,29041600
2024-11-14,466.51,479.67,455.22,470.27,22643300
2024-11-15,470.27,470.27,449.58,453.34,18105500
2024-11-18,451.46,457.1,432.65,432.65,20641400
2024-11-19,432.65,453.34,432.65,447.69,36285800
2024-11-20,445.81,462.74,443.93,458.98,28637500
2024-11-21,460.86,464.62,449.58,451.46,16012200
2024-11-22,453.34,470.27,451.46,455.22,31922300
2024-11-25,455.22,464.62,443.93,445.81,29820400
2024-11-26,443.93,455.22,442.05,453.34,24679000
2024-11-28,453.34,479.67,447.69,460.86,69341900
