Datetime,Open,High,Low,Close,Volume
2024-05-06,368.26,375.62,366.41,375.62,9711200
2024-05-07,377.46,386.67,375.62,384.83,15284800
2024-05-08,386.67,392.19,377.46,377.46,31565400
2024-05-13,379.3,379.3,366.41,366.41,9741700
2024-05-14,366.41,381.15,366.41,375.62,15164800
2024-05-15,375.62,377.46,371.94,373.78,6440500
2024-05-16,373.78,382.99,373.78,381.15,10587900
2024-05-17,382.99,382.99,375.62,375.62,3148200
2024-05-20,377.46,386.67,375.62,382.99,11424200
2024-05-21,384.83,384.83,370.1,371.94,13465900
2024-05-22,373.78,381.15,370.1,371.94,8046200
2024-05-27,373.78,375.62,370.1,371.94,7850400
2024-05-28,381.15,381.15,366.41,368.26,11690600
2024-05-29,368.26,373.78,360.89,371.94,19407000
2024-05-30,371.94,371.94,362.73,364.57,9583500
2024-05-31,364.57,368.26,362.73,368.26,25095200
2024-06-03,368.26,370.1,364.57,366.41,9935100
2024-06-04,366.41,375.62,364.57,375.62,34638800
2024-06-05,375.62,377.46,368.26,370.1,12600500
2024-06-06,370.1,386.67,368.26,381.15,25142800
2024-06-07,382.99,390.35,379.3,379.3,16076900
2024-06-10,381.15,381.15,371.94,377.46,7787600
2024-06-11,379.3,384.83,375.62,377.46,6827200
2024-06-12,379.3,379.3,370.1,371.94,6806500
2024-06-13,371.94,375.62,370.1,370.1,8553600
2024-06-14,371.94,371.94,348.0,349.84,35418000
2024-06-19,349.84,355.37,340.64,342.48,14362800
2024-06-20,342.48,353.53,342.48,349.84,8736300
2024-06-21,351.68,366.41,349.84,360.89,13649600
2024-06-24,360.89,366.41,357.21,357.21,10196400
2024-06-25,359.05,360.89,355.37,355.37,4187900
2024-06-26,357.21,360.89,355.37,355.37,7488700
2024-06-27,357.21,360.89,355.37,360.89,10989300
2024-06-28,386.88,386.88,356.08,363.78,30793200
2024-07-01,367.63,367.63,361.85,363.78,18597500
2024-07-02,363.78,367.63,359.93,359.93,12975900
2024-07-03,359.93,365.7,359.93,363.78,8027400
