Datetime,Open,High,Low,Close,Volume
2024-05-06,772.64,777.56,752.95,772.64,18985500
2024-05-07,772.64,831.69,772.64,816.93,66280400
2024-05-08,816.93,816.93,787.4,807.09,44467400
2024-05-13,807.09,816.93,777.56,787.4,46315800
2024-05-14,792.32,802.17,752.95,772.64,29233500
2024-05-15,772.64,792.32,757.87,772.64,28401600
2024-05-16,772.64,812.01,767.72,797.24,37071800
2024-05-17,802.17,816.93,792.32,802.17,37172400
2024-05-20,807.09,846.46,807.09,821.85,66261600
2024-05-21,826.77,831.69,792.32,821.85,34224300
2024-05-22,826.77,831.69,802.17,802.17,22130400
2024-05-27,797.24,802.17,752.95,762.8,43159600
2024-05-28,762.8,802.17,762.8,792.32,21047000
2024-05-29,802.17,802.17,787.4,792.32,21655900
2024-05-30,797.24,807.09,767.72,802.17,45839200
2024-05-31,807.09,812.01,757.87,757.87,56953400
2024-06-03,767.72,787.4,752.95,777.56,15405900
2024-06-04,782.48,807.09,767.72,787.4,20867000
2024-06-05,782.48,787.4,693.9,703.74,44361600
2024-06-06,713.58,738.19,664.37,708.66,77767300
2024-06-07,713.58,718.5,693.9,703.74,19892300
2024-06-10,703.74,723.43,693.9,713.58,11875500
2024-06-11,718.5,861.22,718.5,792.32,138474100
2024-06-12,802.17,826.77,772.64,792.32,73958400
2024-06-13,802.17,812.01,772.64,782.48,22315000
2024-06-14,787.4,831.69,748.03,762.8,49848800
2024-06-19,767.72,772.64,738.19,767.72,17019400
2024-06-20,767.72,792.32,743.11,752.95,24427500
2024-06-21,757.87,772.64,752.95,752.95,15080200
2024-06-24,757.87,767.72,728.35,738.19,15710700
2024-06-25,743.11,748.03,728.35,738.19,6991800
2024-06-26,743.11,757.87,733.27,743.11,14939000
2024-06-27,752.95,762.8,738.19,743.11,13763200
2024-06-28,748.03,767.72,748.03,757.87,19513500
2024-07-01,757.87,792.32,757.87,777.56,30271700
2024-07-02,782.48,807.09,767.72,787.4,57024500
2024-07-03,792.32,802.17,777.56,787.4,19601800
2024-07-04,792.32,797.24,772.64,777.56,25328300
2024-07-05,777.56,782.48,767.72,777.56,8910300
2024-07-08,782.48,816.93,782.48,807.09,65607500
2024-07-09,807.09,831.69,797.24,826.77,35246500
2024-07-10,826.77,905.51,826.77,851.38,121419500
2024-07-11,851.38,861.22,802.17,816.93,44285100
2024-07-12,821.85,861.22,812.01,826.77,44561400
2024-07-15,836.61,856.3,807.09,812.01,37970900
2024-07-16,812.01,856.3,812.01,856.3,40669500
2024-07-17,866.14,871.06,836.61,846.46,41142500
2024-07-18,851.38,856.3,831.69,836.61,18647900
2024-07-19,841.54,851.38,831.69,836.61,9307600
2024-07-22,841.54,846.46,821.85,821.85,11125000
2024-07-23,826.77,836.61,812.01,816.93,16678900
2024-07-24,816.93,826.77,792.32,797.24,20989800
2024-07-25,797.24,802.17,772.64,777.56,21377300
2024-07-26,787.4,821.85,787.4,807.09,20041000
2024-07-29,812.01,826.77,802.17,816.93,14841000
2024-07-30,816.93,836.61,792.32,831.69,26430900
2024-07-31,831.69,836.61,812.01,826.77,14739900
2024-08-01,831.69,836.61,816.93,826.77,10437000
2024-08-02,816.93,821.85,787.4,787.4,23264100
2024-08-05,782.48,782.48,708.66,743.11,56383800
2024-08-06,752.95,767.72,743.11,757.87,34226300
2024-08-07,762.8,787.4,757.87,787.4,18597300
2024-08-08,787.4,787.4,767.72,772.64,13017700
2024-08-09,777.56,797.24,772.64,777.56,7442500
2024-08-12,782.48,807.09,782.48,797.24,19364500
2024-08-13,812.01,812.01,797.24,812.01,10997900
2024-08-14,816.93,826.77,802.17,807.09,20867900
2024-08-15,812.01,812.01,787.4,792.32,9140700
2024-08-16,797.24,812.01,787.4,787.4,12418200
2024-08-19,787.4,792.32,782.48,792.32,7159200
2024-08-20,792.32,797.24,772.64,787.4,21351300
2024-08-21,787.4,792.32,767.72,782.48,18915800
2024-08-22,782.48,782.48,762.8,762.8,13550000
2024-08-23,767.72,777.56,748.03,752.95,25058600
2024-08-26,757.87,792.32,757.87,792.32,56182800
2024-08-27,797.24,807.09,767.72,792.32,40906100
