Datetime,Open,High,Low,Close,Volume
2024-05-06,2226.3,2235.2,2146.15,2146.15,19427500
2024-05-07,2155.06,2199.58,2137.25,2163.96,8681600
2024-05-08,2163.96,2226.3,2146.15,2208.49,36134700
2024-05-13,2217.39,2359.88,2217.39,2324.26,66807800
2024-05-14,2333.16,2359.88,2253.01,2315.35,29590100
2024-05-15,2315.35,2333.16,2235.2,2297.54,30721600
2024-05-16,2305.35,2305.35,2132.9,2160.13,56882300
2024-05-17,2160.13,2232.74,2160.13,2214.58,32066800
2024-05-20,2223.66,2269.04,2205.51,2232.74,41465900
2024-05-21,2250.89,2314.42,2232.74,2241.81,32093400
2024-05-22,2241.81,2278.12,2214.58,2241.81,15021700
2024-05-27,2232.74,2269.04,2196.43,2232.74,14872500
2024-05-28,2241.81,2287.19,2196.43,2214.58,23942800
2024-05-29,2214.58,2223.66,2169.2,2187.36,12753300
2024-05-30,2196.43,2223.66,2141.98,2205.51,12911700
2024-05-31,2169.2,2178.28,2051.21,2096.59,46339600
2024-06-03,2087.52,2141.98,2060.29,2105.67,8246100
2024-06-04,2105.67,2151.05,2078.44,2078.44,20388800
2024-06-05,2087.52,2169.2,2087.52,2096.59,26625800
2024-06-06,2105.67,2114.75,2033.06,2042.14,16631700
2024-06-07,2060.29,2069.37,2014.91,2023.99,13475400
2024-06-10,2033.06,2042.14,1996.76,2023.99,6153700
2024-06-11,2014.91,2042.14,1978.6,2014.91,7662700
2024-06-12,2005.83,2033.06,1951.38,1978.6,11288500
2024-06-13,1987.68,2005.83,1942.3,1960.45,5778900
2024-06-14,1951.38,1978.6,1878.77,1887.84,17354900
2024-06-19,1887.84,1960.45,1878.77,1933.22,21624600
2024-06-20,1942.3,1978.6,1924.15,1942.3,20261800
2024-06-21,1942.3,2005.83,1924.15,1978.6,22542800
2024-06-24,1978.6,1996.76,1951.38,1960.45,11920500
2024-06-25,1969.53,2023.99,1933.22,1960.45,24987800
2024-06-26,1978.6,2014.91,1969.53,1978.6,15587200
2024-06-27,1987.68,2014.91,1969.53,1996.76,13170500
2024-06-28,1987.68,1996.76,1951.38,1960.45,23093800
2024-07-01,1960.45,1996.76,1951.38,1978.6,17656000
2024-07-02,1969.53,2014.91,1960.45,1987.68,28766500
2024-07-03,1996.76,2023.99,1960.45,1969.53,14716100
2024-07-04,1978.6,2005.83,1951.38,2005.83,17834000
2024-07-05,2005.83,2014.91,1951.38,1978.6,15812300
2024-07-08,1987.68,2005.83,1960.45,2005.83,16997900
2024-07-09,2014.91,2078.44,2005.83,2060.29,18838000
2024-07-10,2060.29,2078.44,2033.06,2060.29,17274900
2024-07-11,2069.37,2087.52,2033.06,2060.29,14115400
2024-07-12,2078.44,2123.82,2023.99,2069.37,26838800
2024-07-15,2078.44,2087.52,2033.06,2033.06,12011400
2024-07-16,2033.06,2033.06,1996.76,2033.06,15377100
2024-07-17,2042.14,2051.21,2014.91,2033.06,14377600
2024-07-18,2033.06,2042.14,2005.83,2033.06,9450200
2024-07-19,2014.91,2023.99,1960.45,1978.6,23923900
2024-07-22,1996.76,2014.91,1978.6,1996.76,14478300
2024-07-23,2005.83,2042.14,1996.76,2042.14,20722100
2024-07-24,2042.14,2051.21,1996.76,2005.83,8864100
