Datetime,Open,High,Low,Close,Volume
2024-05-06,16963.87,17105.83,16963.87,16987.53,500000
2024-05-07,17034.85,17082.17,16940.21,16940.21,355600
2024-05-08,16940.21,17034.85,16916.55,16916.55,785400
2024-05-13,16940.21,17129.49,16940.21,17105.83,757100
2024-05-14,17129.49,17531.7,17082.17,17389.74,854000
2024-05-15,17555.36,18146.85,17508.04,17697.32,1317800
2024-05-16,17697.32,18312.47,17697.32,18288.81,1522700
2024-05-17,18288.81,18407.1,18194.17,18312.47,608800
2024-05-20,18312.47,18620.04,18170.51,18336.12,782300
2024-05-21,18407.11,18407.11,17839.28,18028.55,1173300
2024-05-22,17981.23,18312.47,17910.25,18075.87,647700
2024-05-27,18075.87,18288.81,17886.6,18099.53,733200
2024-05-28,18170.51,18336.13,18028.55,18265.15,1017300
2024-05-29,18265.15,18265.15,18052.21,18099.53,855600
2024-05-30,18099.53,18170.51,17981.23,17981.23,1207600
2024-05-31,18217.83,18785.66,17697.32,17697.32,7303100
2024-06-03,17886.59,17957.57,17342.43,17342.43,1284100
2024-06-04,17413.4,17626.34,17318.77,17460.72,693000
2024-06-05,17460.72,17460.72,17224.13,17247.79,487400
2024-06-06,17366.08,17366.08,17224.13,17318.77,516400
2024-06-07,17318.77,17839.28,17224.13,17839.28,1133400
2024-06-10,17744.64,17744.64,17555.36,17602.68,318000
2024-06-11,17508.04,17791.96,17460.72,17791.96,807700
2024-06-12,17791.96,17791.96,17271.45,17389.74,424900
2024-06-13,17413.41,17531.7,17295.11,17295.11,191400
2024-06-14,17342.43,17437.06,17224.13,17224.13,249600
2024-06-19,17224.13,17318.77,17034.85,17200.47,314500
2024-06-20,17200.47,17200.47,16845.58,16987.53,730300
2024-06-21,17034.85,17366.09,17011.19,17366.09,655300
2024-06-24,17437.06,17579.02,17271.45,17318.77,364900
2024-06-25,17318.77,17389.74,17271.45,17271.45,262000
2024-06-26,17318.77,17366.09,17224.13,17295.11,282700
2024-06-27,17318.77,17555.36,17247.79,17555.36,737400
2024-06-28,17602.68,17862.94,17034.85,17129.49,4515100
2024-07-01,17034.85,17034.85,16467.02,16561.66,3093500
2024-07-02,16561.66,16703.62,16467.02,16467.02,1263800
