Datetime,Open,High,Low,Close,Volume
2024-05-06,67.0,70.0,66.0,69.0,4215661500
2024-05-07,69.0,70.0,65.0,65.0,2250633100
2024-05-08,65.0,67.0,64.0,67.0,1821308400
2024-05-13,67.0,68.0,65.0,67.0,2011559400
2024-05-14,67.0,67.0,65.0,65.0,1286399300
2024-05-15,66.0,67.0,64.0,66.0,1437856700
2024-05-16,67.0,68.0,64.0,66.0,2169049600
2024-05-17,65.0,69.0,64.0,66.0,4139900700
2024-05-20,67.0,67.0,65.0,65.0,2106424900
2024-05-21,66.0,66.0,64.0,64.0,1189219500
2024-05-22,64.0,67.0,64.0,66.0,2527051500
2024-05-27,67.0,72.0,66.0,70.0,6008134500
2024-05-28,70.0,74.0,69.0,74.0,4578295900
2024-05-29,73.0,73.0,70.0,71.0,2986520500
2024-05-30,70.0,71.0,67.0,67.0,4459371700
2024-05-31,68.0,70.0,65.0,65.0,8579592100
2024-06-03,65.0,67.0,63.0,64.0,2819780100
2024-06-04,65.0,65.0,61.0,61.0,3897345000
2024-06-05,60.0,61.0,59.0,59.0,2941421600
2024-06-06,60.0,62.0,59.0,60.0,3653448500
2024-06-07,60.0,61.0,58.0,58.0,2112800200
2024-06-10,58.0,59.0,50.0,56.0,12293676100
2024-06-11,55.0,56.0,53.0,53.0,5391123100
2024-06-12,54.0,55.0,52.0,52.0,4916057200
2024-06-13,53.0,54.0,51.0,52.0,6275740200
2024-06-14,52.0,53.0,51.0,52.0,3781341000
2024-06-19,51.0,52.0,50.0,50.0,9357880800
2024-06-20,50.0,51.0,50.0,50.0,3692944100
2024-06-21,50.0,51.0,50.0,50.0,8090430900
2024-06-24,50.0,51.0,50.0,51.0,1898379900
2024-06-25,50.0,51.0,50.0,50.0,2216509800
2024-06-26,50.0,51.0,50.0,50.0,1958237500
2024-06-27,50.0,50.0,50.0,50.0,866920300
2024-06-28,50.0,50.0,50.0,50.0,1042748000
2024-07-01,50.0,50.0,50.0,50.0,452005800
2024-07-02,50.0,50.0,50.0,50.0,294810200
2024-07-03,50.0,50.0,50.0,50.0,534537400
2024-07-04,50.0,50.0,50.0,50.0,491141700
2024-07-05,50.0,50.0,50.0,50.0,303612500
2024-07-08,50.0,50.0,50.0,50.0,520213800
2024-07-09,50.0,50.0,50.0,50.0,336028000
2024-07-10,50.0,51.0,50.0,50.0,7937139200
2024-07-11,50.0,51.0,50.0,50.0,1466174900
2024-07-12,50.0,50.0,50.0,50.0,146512300
2024-07-15,50.0,50.0,50.0,50.0,374983200
2024-07-16,50.0,50.0,50.0,50.0,119356200
2024-07-17,50.0,52.0,50.0,51.0,9198716900
2024-07-18,51.0,52.0,50.0,51.0,2400367200
2024-07-19,51.0,51.0,50.0,50.0,1897339100
2024-07-22,50.0,52.0,50.0,51.0,1834439400
2024-07-23,51.0,58.0,51.0,55.0,12618321500
2024-07-24,55.0,55.0,53.0,54.0,2660984600
2024-07-25,54.0,55.0,53.0,54.0,911091700
2024-07-26,54.0,54.0,53.0,53.0,913457100
2024-07-29,54.0,55.0,53.0,54.0,1621366300
2024-07-30,54.0,55.0,53.0,55.0,1223172300
2024-07-31,54.0,54.0,52.0,53.0,2829429300
2024-08-01,53.0,54.0,52.0,53.0,1425057600
2024-08-02,52.0,53.0,51.0,53.0,2195681200
2024-08-05,52.0,52.0,50.0,51.0,5466579700
2024-08-06,51.0,51.0,50.0,50.0,1271351800
2024-08-07,51.0,51.0,50.0,50.0,1579478100
2024-08-08,51.0,51.0,50.0,50.0,1628260800
2024-08-09,51.0,51.0,50.0,51.0,1813186600
2024-08-12,51.0,53.0,50.0,51.0,4394672600
2024-08-13,51.0,53.0,51.0,52.0,1774401600
2024-08-14,53.0,55.0,52.0,53.0,3005755000
2024-08-15,53.0,54.0,52.0,54.0,1473984200
2024-08-16,54.0,54.0,53.0,54.0,750364500
