Datetime,Open,High,Low,Close,Volume
2024-05-06,82.0,84.0,81.0,81.0,10937500
2024-05-07,82.0,84.0,81.0,82.0,5617400
2024-05-08,82.0,82.0,79.0,80.0,8177900
2024-05-13,79.0,81.0,79.0,80.0,3653900
2024-05-14,80.0,81.0,79.0,79.0,4406200
2024-05-15,79.0,93.0,79.0,90.0,178014000
2024-05-16,92.0,118.0,88.0,114.0,817911300
2024-05-17,118.0,123.0,106.0,106.0,724402200
2024-05-20,103.0,110.0,96.0,97.0,127625500
2024-05-21,96.0,109.0,96.0,102.0,196187600
2024-05-22,103.0,104.0,98.0,98.0,46459400
2024-05-27,98.0,100.0,90.0,92.0,59505300
2024-05-28,89.0,101.0,89.0,98.0,84754900
2024-05-29,98.0,99.0,91.0,92.0,37382100
2024-05-30,92.0,96.0,92.0,93.0,20463300
2024-05-31,93.0,95.0,92.0,93.0,13634000
2024-06-03,93.0,97.0,91.0,92.0,38095100
2024-06-04,98.0,98.0,91.0,91.0,21741300
2024-06-05,91.0,92.0,86.0,86.0,31804300
2024-06-06,85.0,88.0,85.0,86.0,11020900
2024-06-07,86.0,87.0,84.0,85.0,8575600
2024-06-10,83.0,93.0,83.0,91.0,66103200
2024-06-11,91.0,94.0,87.0,88.0,60459800
2024-06-12,89.0,90.0,86.0,87.0,18812200
2024-06-13,88.0,88.0,84.0,85.0,11020900
2024-06-14,85.0,87.0,82.0,83.0,16876200
2024-06-19,83.0,84.0,80.0,80.0,18749600
2024-06-20,72.0,82.0,72.0,80.0,17112900
2024-06-21,81.0,87.0,81.0,84.0,41082000
2024-06-24,84.0,86.0,83.0,84.0,11494600
2024-06-25,83.0,85.0,83.0,83.0,4497900
2024-06-26,83.0,87.0,83.0,84.0,16513400
2024-06-27,84.0,85.0,83.0,84.0,7119000
2024-06-28,84.0,88.0,83.0,85.0,29878500
2024-07-01,85.0,94.0,84.0,93.0,132818200
2024-07-02,93.0,96.0,89.0,90.0,88796300
2024-07-03,90.0,93.0,90.0,90.0,23575400
2024-07-04,91.0,93.0,90.0,91.0,18039300
2024-07-05,91.0,92.0,88.0,90.0,16110300
2024-07-08,90.0,91.0,88.0,89.0,11573200
2024-07-09,88.0,92.0,88.0,90.0,16160000
2024-07-10,90.0,93.0,90.0,90.0,10203200
2024-07-11,90.0,92.0,89.0,90.0,8244100
2024-07-12,90.0,90.0,89.0,90.0,5193300
2024-07-15,90.0,91.0,89.0,89.0,6218500
2024-07-16,90.0,90.0,89.0,90.0,3831100
2024-07-17,90.0,91.0,88.0,89.0,7688500
2024-07-18,89.0,93.0,89.0,92.0,23517400
2024-07-19,92.0,93.0,89.0,90.0,10018300
2024-07-22,91.0,94.0,90.0,91.0,42268200
2024-07-23,91.0,92.0,89.0,90.0,11362100
2024-07-24,90.0,92.0,89.0,89.0,13769000
2024-07-25,89.0,90.0,84.0,88.0,25366400
2024-07-26,88.0,90.0,87.0,89.0,7818400
2024-07-29,89.0,92.0,88.0,90.0,22031400
2024-07-30,90.0,91.0,89.0,89.0,9962600
2024-07-31,90.0,91.0,87.0,88.0,12034200
2024-08-01,89.0,90.0,88.0,88.0,6048200
2024-08-02,88.0,90.0,87.0,89.0,5379200
2024-08-05,89.0,89.0,83.0,83.0,21066400
2024-08-06,84.0,86.0,83.0,84.0,6015700
2024-08-07,84.0,89.0,84.0,87.0,8483100
2024-08-08,87.0,88.0,86.0,86.0,1886400
2024-08-09,87.0,88.0,85.0,86.0,4937600
2024-08-12,86.0,88.0,86.0,87.0,5403200
2024-08-13,88.0,88.0,87.0,87.0,1960800
2024-08-14,88.0,91.0,87.0,91.0,32728100
2024-08-15,91.0,92.0,88.0,90.0,9744700
2024-08-16,90.0,90.0,89.0,89.0,5422200
2024-08-19,89.0,91.0,88.0,88.0,12206400
2024-08-20,88.0,92.0,88.0,90.0,18971300
2024-08-21,90.0,91.0,89.0,89.0,11614000
2024-08-22,89.0,91.0,88.0,90.0,9637600
2024-08-23,90.0,94.0,89.0,91.0,23167800
2024-08-26,92.0,94.0,90.0,91.0,22545400
2024-08-27,91.0,91.0,89.0,89.0,9601400
2024-08-28,89.0,101.0,89.0,98.0,284526700
2024-08-29,98.0,100.0,92.0,92.0,128971300
2024-08-30,92.0,94.0,89.0,89.0,44590600
2024-09-02,89.0,91.0,88.0,88.0,24881200
2024-09-03,88.0,90.0,88.0,88.0,9443000
2024-09-04,88.0,89.0,86.0,88.0,15359800
2024-09-05,88.0,93.0,88.0,92.0,46257000
2024-09-06,93.0,99.0,92.0,95.0,170509400
