Datetime,Open,High,Low,Close,Volume
2024-05-06,1304.46,1333.67,1280.13,1299.6,12318400
2024-05-07,1299.6,1314.2,1289.86,1314.2,13324000
2024-05-08,1314.2,1323.93,1304.46,1323.93,25702400
2024-05-13,1323.93,1323.93,1284.99,1284.99,3791800
2024-05-14,1284.99,1362.87,1284.99,1338.54,11490700
2024-05-15,1343.4,1358.01,1294.73,1314.2,7772100
2024-05-16,1314.2,1338.54,1275.26,1309.33,5830300
2024-05-17,1309.33,1323.93,1294.73,1299.6,6591100
2024-05-20,1323.93,1323.93,1304.46,1304.46,6494000
2024-05-21,1294.73,1323.93,1284.99,1289.86,7424700
2024-05-22,1293.29,1312.89,1288.39,1307.99,1355300
2024-05-27,1298.19,1307.99,1263.9,1263.9,3974100
2024-05-28,1273.7,1298.19,1259.0,1268.8,1543800
2024-05-29,1268.8,1273.7,1224.71,1244.3,2319500
2024-05-30,1254.1,1273.7,1254.1,1273.7,2452200
2024-05-31,1278.59,1303.09,1254.1,1254.1,9208500
2024-06-03,1254.1,1278.59,1254.1,1259.0,2419200
2024-06-04,1263.9,1283.49,1259.0,1263.9,2369600
2024-06-05,1268.8,1288.39,1268.8,1268.8,4844300
2024-06-06,1268.8,1273.7,1254.1,1263.9,1264300
2024-06-07,1263.9,1283.49,1259.0,1278.59,6733900
2024-06-10,1278.59,1303.09,1268.8,1298.19,6249600
2024-06-11,1298.19,1342.28,1298.19,1317.79,16445400
2024-06-12,1322.68,1327.58,1298.19,1317.79,2143100
2024-06-13,1307.99,1332.48,1303.09,1322.68,7107900
2024-06-14,1327.58,1327.58,1293.29,1317.79,4794000
2024-06-19,1317.79,1327.58,1293.29,1303.09,7012400
2024-06-20,1298.19,1327.58,1298.19,1322.68,16169500
2024-06-21,1322.68,1337.38,1322.68,1332.48,13057500
2024-06-24,1332.48,1337.38,1322.68,1327.58,3733600
2024-06-25,1337.38,1352.08,1332.48,1332.48,8458500
2024-06-26,1371.67,1371.67,1322.68,1337.38,4962200
2024-06-27,1342.28,1347.18,1337.38,1347.18,3695300
2024-06-28,1347.18,1347.18,1327.58,1327.58,7869500
2024-07-01,1332.48,1337.38,1322.68,1322.68,4963500
2024-07-02,1332.48,1332.48,1312.89,1332.48,5137200
2024-07-03,1332.48,1332.48,1263.9,1288.39,7592300
2024-07-04,1288.39,1307.99,1273.7,1273.7,4563000
2024-07-05,1273.7,1312.89,1273.7,1312.89,5744000
2024-07-08,1312.89,1332.48,1303.09,1332.48,10807800
2024-07-09,1332.48,1332.48,1298.19,1298.19,2381900
2024-07-10,1298.19,1322.68,1298.19,1317.79,3220600
2024-07-11,1317.79,1317.79,1288.39,1293.29,2283400
2024-07-12,1293.29,1303.09,1288.39,1293.29,3197000
2024-07-15,1303.09,1312.89,1293.29,1307.99,2318700
2024-07-16,1293.29,1307.99,1278.59,1303.09,5584700
2024-07-17,1303.09,1307.99,1288.39,1288.39,2817100
2024-07-18,1288.39,1307.99,1268.8,1268.8,16642400
2024-07-19,1273.7,1307.99,1273.7,1307.99,5422600
2024-07-22,1307.99,1312.89,1288.39,1303.09,4847900
2024-07-23,1303.09,1303.09,1288.39,1303.09,2115600
2024-07-24,1293.29,1303.09,1288.39,1293.29,3212700
2024-07-25,1303.09,1337.38,1298.19,1337.38,14272700
2024-07-26,1342.28,1342.28,1322.68,1322.68,5844600
2024-07-29,1322.68,1327.58,1303.09,1312.89,1267100
2024-07-30,1317.79,1332.48,1317.79,1332.48,2990400
2024-07-31,1337.38,1337.38,1317.79,1327.58,2650300
2024-08-01,1327.58,1327.58,1283.49,1288.39,7245800
2024-08-02,1288.39,1332.48,1273.7,1283.49,10736800
2024-08-05,1293.29,1312.89,1273.7,1293.29,5256400
2024-08-06,1288.39,1322.68,1283.49,1317.79,5661500
2024-08-07,1317.79,1317.79,1298.19,1298.19,1141000
2024-08-08,1312.89,1312.89,1293.29,1298.19,2563700
2024-08-09,1303.09,1312.89,1298.19,1303.09,1116500
2024-08-12,1303.09,1307.99,1283.49,1288.39,2885800
2024-08-13,1288.39,1298.19,1283.49,1288.39,4021600
2024-08-14,1288.39,1298.19,1283.49,1293.29,4782900
2024-08-15,1293.29,1293.29,1263.9,1273.7,12035100
2024-08-16,1273.7,1283.49,1263.9,1268.8,6307600
2024-08-19,1273.7,1273.7,1259.0,1268.8,9890300
2024-08-20,1268.8,1273.7,1254.1,1273.7,8139400
2024-08-21,1273.7,1288.39,1263.9,1268.8,10972700
2024-08-22,1273.7,1288.39,1263.9,1268.8,9890900
2024-08-23,1273.7,1278.59,1263.9,1273.7,5676000
2024-08-26,1278.59,1278.59,1254.1,1259.0,7209200
2024-08-27,1259.0,1273.7,1259.0,1273.7,1800100
2024-08-28,1273.7,1288.39,1268.8,1283.49,5324200
2024-08-29,1283.49,1288.39,1273.7,1273.7,2964900
2024-08-30,1273.7,1283.49,1263.9,1273.7,14403400
2024-09-02,1273.7,1278.59,1263.9,1268.8,2685300
2024-09-03,1273.7,1293.29,1259.0,1259.0,10457200
2024-09-04,1259.0,1278.59,1259.0,1273.7,6223000
2024-09-05,1273.7,1283.49,1263.9,1273.7,5581900
2024-09-06,1273.7,1278.59,1234.51,1244.3,4663100
2024-09-09,1244.3,1268.8,1224.71,1268.8,4093400
2024-09-10,1268.8,1278.59,1259.0,1273.7,4658200
2024-09-11,1273.7,1283.49,1263.9,1273.7,4810200
2024-09-12,1273.7,1283.49,1263.9,1278.59,3152900
2024-09-13,1278.59,1342.28,1273.7,1337.38,23938300
2024-09-17,1352.08,1396.17,1327.58,1376.57,57312000
2024-09-18,1376.57,1469.65,1376.57,1440.26,34913800
2024-09-19,1459.85,1459.85,1401.07,1420.66,21213300
2024-09-20,1420.66,1440.26,1410.86,1425.56,18178300
2024-09-23,1435.36,1435.36,1405.96,1420.66,13072700
2024-09-24,1425.56,1430.46,1415.76,1415.76,8294000
2024-09-25,1415.76,1430.46,1410.86,1430.46,24713600
2024-09-26,1440.26,1508.84,1401.07,1484.35,39669800
2024-09-27,1484.35,1523.54,1484.35,1499.04,13057100
2024-09-30,1499.04,1503.94,1464.75,1494.14,9187700
2024-10-01,1484.35,1503.94,1479.45,1494.14,3722400
2024-10-02,1484.35,1494.14,1464.75,1474.55,8947700
2024-10-03,1474.55,1474.55,1430.46,1454.95,5122200
2024-10-04,1450.05,1484.35,1425.56,1469.65,4913800
2024-10-07,1469.65,1494.14,1440.26,1479.45,6449400
2024-10-08,1479.45,1484.35,1454.95,1464.75,3209300
2024-10-09,1469.65,1518.64,1464.75,1513.74,8200900
2024-10-10,1513.74,1538.23,1484.35,1508.84,16115400
2024-10-11,1508.84,1606.82,1508.84,1562.73,33896400
2024-10-14,1557.83,1577.42,1513.74,1538.23,17051700
2024-10-15,1518.64,1567.63,1513.74,1548.03,19851100
2024-10-16,1543.13,1597.02,1528.43,1543.13,20631100
2024-10-17,1543.13,1562.73,1518.64,1518.64,8133600
2024-10-18,1523.54,1528.43,1450.05,1450.05,28495500
2024-10-21,1454.95,1518.64,1454.95,1459.85,19165000
2024-10-22,1499.04,1508.84,1450.05,1479.45,9402200
2024-10-23,1494.14,1513.74,1454.95,1479.45,3620600
2024-10-24,1479.45,1479.45,1450.05,1454.95,2926500
2024-10-25,1454.95,1459.85,1415.76,1450.05,16029400
2024-10-28,1450.05,1450.05,1376.57,1401.07,16114200
2024-10-29,1401.07,1435.36,1401.07,1425.56,9533900
2024-10-30,1425.56,1430.46,1386.37,1420.66,8239300
2024-10-31,1420.66,1469.65,1396.17,1469.65,13498500
2024-11-01,1459.85,1474.55,1420.66,1420.66,11680600
2024-11-04,1420.66,1420.66,1386.37,1391.27,12594900
2024-11-05,1391.27,1410.86,1366.77,1391.27,8398600
2024-11-06,1391.27,1405.96,1342.28,1366.77,2928100
2024-11-07,1356.98,1396.17,1322.68,1361.87,4754100
2024-11-08,1361.87,1386.37,1322.68,1352.08,12527400
2024-11-11,1361.87,1386.37,1312.89,1322.68,13794400
2024-11-12,1337.38,1337.38,1298.19,1322.68,5217200
2024-11-13,1322.68,1332.48,1293.29,1307.99,10315300
2024-11-14,1307.99,1381.47,1307.99,1317.79,5882300
2024-11-15,1317.79,1361.87,1307.99,1327.58,19680200
