Datetime,Open,High,Low,Close,Volume
2024-05-06,10678.27,10678.27,10295.19,10390.96,2850400
2024-05-07,10438.85,10462.79,10199.42,10319.13,2877500
2024-05-08,10367.02,10390.96,10127.6,10319.13,4333600
2024-05-13,10151.54,10151.54,9600.87,9864.23,7265800
2024-05-14,9864.23,9960.0,9768.46,9864.23,8204800
2024-05-15,9864.23,10151.54,9744.52,10151.54,5442200
2024-05-16,10247.31,10438.85,10055.77,10127.6,4835200
2024-05-17,10127.6,10295.19,10007.88,10103.65,4102700
2024-05-20,10151.54,10271.25,10007.88,10055.77,2328300
2024-05-21,10103.65,10127.6,9912.12,9960.0,3604100
2024-05-22,10055.77,10151.54,9936.06,10031.83,3951100
2024-05-27,9960.0,10031.83,9720.58,9983.94,4798800
2024-05-28,10031.83,10319.13,10007.88,10151.54,4378100
2024-05-29,10151.54,10151.54,9936.06,9983.94,2905300
2024-05-30,9983.94,9983.94,9696.63,9720.58,6573700
2024-05-31,9840.29,9983.94,9337.5,9337.5,13874400
2024-06-03,9457.21,9983.94,9457.21,9768.46,7155200
2024-06-04,9840.29,10031.83,9816.35,9888.17,2538200
2024-06-05,10007.88,10079.71,9912.11,10007.88,3586600
2024-06-06,10055.77,10151.54,9936.06,10151.54,3304700
2024-06-07,10151.54,10199.42,10007.89,10127.6,2828600
2024-06-10,10127.6,10199.42,9960.0,10055.77,3375400
2024-06-11,9960.0,10151.54,9960.0,10103.65,2464400
2024-06-12,10151.54,10199.42,10055.77,10127.6,4456800
2024-06-13,10151.54,10295.19,10127.6,10223.37,4244200
2024-06-14,10223.37,10271.25,9960.0,10055.77,7605600
2024-06-19,10055.77,10055.77,9720.58,9768.46,6183700
2024-06-20,9768.46,9792.4,9576.92,9744.52,7627200
2024-06-21,9744.52,9888.17,9600.87,9864.23,8739800
2024-06-24,9888.17,9936.06,9744.52,9864.23,1715900
2024-06-25,9864.23,9888.17,9696.63,9696.63,3239400
2024-06-26,9768.46,10007.88,9720.58,9936.06,4923000
2024-06-27,9983.94,10151.54,9888.17,10055.77,5913800
2024-06-28,9912.12,9960.0,9840.29,9864.23,6499600
2024-07-01,9864.23,9960.0,9744.52,9864.23,2453800
2024-07-02,9864.23,9864.23,9672.69,9816.35,3564300
2024-07-03,9840.29,9840.29,9720.58,9840.29,5316900
2024-07-04,9840.29,9912.11,9744.52,9792.4,3803000
2024-07-05,9816.35,9840.29,9744.52,9840.29,2943200
2024-07-08,9840.29,9960.0,9840.29,9960.0,6163500
2024-07-09,10057.65,10179.71,9984.41,10082.06,10883600
2024-07-10,10082.06,10082.06,9960.0,10057.65,3171100
