Datetime,Open,High,Low,Close,Volume
2024-05-06,4058.89,4255.92,4058.89,4226.37,11612700
2024-05-07,4236.22,4620.43,4236.22,4581.02,43610400
2024-05-08,4590.88,4600.73,4452.95,4512.06,15405500
2024-05-13,4512.06,4512.06,4364.29,4443.1,9126100
2024-05-14,4443.1,4482.51,4364.29,4423.4,10800000
2024-05-15,4423.4,4472.66,4354.44,4423.4,12846400
2024-05-16,4492.36,4541.62,4403.7,4413.55,14236600
2024-05-17,4502.21,4876.57,4472.66,4718.95,59912300
2024-05-20,4817.47,5122.87,4817.47,5073.61,97901000
2024-05-21,5073.61,5073.61,4925.83,4975.09,32081400
2024-05-22,4975.09,4975.09,4778.06,4827.32,19562900
2024-05-27,4797.76,4827.32,4649.99,4738.65,29203400
2024-05-28,4738.65,5073.61,4738.65,5024.35,26285300
2024-05-29,5024.35,5221.38,4975.09,5122.87,22843000
2024-05-30,5073.61,5073.61,4896.28,4906.13,12427600
2024-05-31,4906.13,5024.35,4837.17,4896.28,12813700
2024-06-03,4896.28,4915.98,4797.76,4807.61,15698900
2024-06-04,4807.61,4866.72,4610.58,4620.43,26717100
2024-06-05,4590.88,4600.73,4354.44,4364.29,26996200
2024-06-06,4423.4,4482.51,4383.99,4403.69,16576400
2024-06-07,4452.95,4531.77,4374.14,4383.99,15452300
2024-06-10,4370.58,4380.29,4186.04,4195.75,15323931
2024-06-11,4195.75,4224.89,4127.77,4176.33,20872165
2024-06-12,4176.33,4205.47,4011.22,4040.36,20600931
2024-06-13,4069.49,4147.19,3991.79,3991.79,10615773
2024-06-14,3991.79,4069.49,3914.1,3933.52,15777848
2024-06-19,3950.52,4098.29,3911.11,4058.89,16072800
2024-06-20,4078.59,4098.29,3980.07,4019.48,9855800
2024-06-21,4039.18,4216.51,4029.33,4157.4,16836300
2024-06-24,4157.4,4177.11,3999.78,4019.48,13355600
2024-06-25,4029.33,4039.18,3950.52,3950.52,13694000
2024-06-26,3950.52,3989.93,3930.82,3970.22,9943100
2024-06-27,3950.52,3960.37,3920.96,3940.67,10839500
2024-06-28,3970.22,4216.51,3970.22,4157.4,27987700
2024-07-01,4088.44,4196.81,4049.04,4137.7,13192900
2024-07-02,4157.4,4177.11,4019.48,4039.18,17234500
2024-07-03,3999.78,4029.33,3930.82,3970.22,22185500
2024-07-04,4009.63,4078.59,3970.22,3980.07,18750600
2024-07-05,3980.07,4019.48,3970.22,3980.07,8782200
2024-07-08,3999.78,4049.04,3950.52,4009.63,16393100
2024-07-09,3999.78,4009.63,3940.67,3940.67,21215900
2024-07-10,3940.67,3970.22,3920.96,3920.96,14934300
2024-07-11,3911.11,3920.96,3723.93,3743.63,46989600
2024-07-12,3743.63,3783.04,3694.38,3694.38,19138700
2024-07-15,3694.37,3723.93,3625.41,3635.26,21965700
2024-07-16,3645.12,3783.04,3645.12,3743.63,25683400
2024-07-17,3783.04,3832.3,3743.63,3802.74,17822900
2024-07-18,3802.74,3802.74,3743.63,3773.19,8966800
2024-07-19,3753.49,3783.04,3743.63,3783.04,6306400
2024-07-22,3783.04,3783.04,3714.08,3723.93,9947800
2024-07-23,3723.93,3753.49,3674.67,3684.52,12706700
2024-07-24,3684.52,3723.93,3664.82,3684.52,5481200
2024-07-25,3684.52,3684.52,3615.56,3635.26,11591200
2024-07-26,3654.97,3704.23,3645.12,3684.52,5127700
2024-07-29,3694.37,3753.48,3684.52,3704.23,9595400
2024-07-30,3674.67,3674.67,3625.41,3625.41,12652700
2024-07-31,3645.12,3714.08,3625.41,3684.52,13855600
2024-08-01,3743.63,3783.04,3704.23,3773.19,19162700
2024-08-02,3743.63,3763.34,3704.23,3714.08,12437400
2024-08-05,3645.12,3674.67,3556.45,3576.16,24576700
2024-08-06,3595.86,3625.41,3566.3,3595.86,9603700
2024-08-07,3615.56,3664.82,3595.86,3595.86,7640900
2024-08-08,3595.86,3615.56,3556.45,3556.45,6808000
2024-08-09,3625.41,3654.97,3605.71,3625.41,8791000
2024-08-12,3664.82,3792.89,3664.82,3792.89,18413000
2024-08-13,3871.7,3881.56,3802.74,3812.59,17827500
2024-08-14,3822.45,3852.0,3753.49,3753.49,13566800
2024-08-15,3753.48,3802.74,3704.23,3773.19,27596100
2024-08-16,3802.74,3852.0,3783.04,3802.74,35922700
2024-08-19,3812.6,3822.45,3743.63,3753.49,12222600
2024-08-20,3802.74,3852.0,3792.89,3802.74,23310200
2024-08-21,3832.3,3842.15,3773.19,3773.19,19421100
2024-08-22,3773.19,3773.19,3694.37,3704.23,18187600
2024-08-23,3704.23,3753.48,3694.37,3743.63,15014700
2024-08-26,3743.63,3783.04,3733.78,3753.49,17044600
2024-08-27,3753.49,3773.19,3694.38,3714.08,14641300
2024-08-28,3753.48,3783.04,3694.37,3704.23,17698600
2024-08-29,3714.08,3714.08,3654.97,3664.82,16194500
2024-08-30,3694.38,3783.04,3674.67,3783.04,51089400
2024-09-02,3743.63,3783.04,3733.78,3743.63,16516300
2024-09-03,3753.48,3773.19,3694.38,3694.38,8552200
2024-09-04,3664.82,3714.08,3635.26,3635.26,20268800
2024-09-05,3635.27,3645.12,3595.86,3615.56,10618900
2024-09-06,3625.41,3674.67,3625.41,3625.41,7554500
2024-09-09,3625.41,3664.82,3576.16,3595.86,13116900
2024-09-10,3615.56,3635.27,3576.16,3576.16,8653300
2024-09-11,3576.16,3615.56,3566.3,3576.16,8646900
2024-09-12,3605.71,3664.82,3605.71,3635.26,13748800
2024-09-13,3654.97,3664.82,3595.86,3615.56,9422100
2024-09-17,3645.12,3694.38,3625.41,3664.82,13270700
2024-09-18,3654.97,3664.82,3625.41,3625.41,9468100
2024-09-19,3625.41,3664.82,3615.56,3635.26,7430700
2024-09-20,3664.82,3704.23,3645.12,3645.12,15009700
2024-09-23,3664.82,3723.93,3645.12,3694.38,13906100
2024-09-24,3694.38,3743.63,3654.97,3733.78,11487200
2024-09-25,3763.34,3930.81,3743.63,3911.11,75089500
2024-09-26,3920.96,3970.22,3852.0,3960.37,38510300
