Datetime,Open,High,Low,Close,Volume
2024-05-06,5799.73,5799.73,5684.2,5753.52,5501200
2024-05-07,5753.52,5776.62,5684.2,5684.2,4465300
2024-05-08,5707.3,5730.41,5637.98,5730.41,6840500
2024-05-13,5707.3,5707.3,5568.66,5637.98,10170800
2024-05-14,5661.09,5707.3,5614.88,5707.3,7383800
2024-05-15,5684.2,5707.3,5591.77,5637.98,7161400
2024-05-16,5637.98,5707.3,5637.98,5684.2,8487800
2024-05-17,5684.2,5730.41,5637.98,5684.2,6993300
2024-05-20,5684.2,5776.62,5684.2,5753.52,6498900
2024-05-21,5753.52,5753.52,5637.98,5684.2,9376200
2024-05-22,5684.2,5707.3,5637.98,5684.2,3596200
2024-05-27,5684.2,5707.3,5568.66,5661.09,9550900
2024-05-28,5661.09,5707.3,5614.88,5661.09,5510700
2024-05-29,5637.98,5661.09,5591.77,5661.09,8131100
2024-05-30,5661.09,5661.09,5568.66,5591.77,9246200
2024-05-31,5614.88,5637.98,5430.03,5430.03,30407000
2024-06-03,5453.13,5591.77,5453.13,5591.77,11655600
2024-06-04,5591.77,5684.2,5568.66,5637.98,6440500
2024-06-05,5684.2,5730.41,5637.98,5661.09,4633000
2024-06-06,5707.3,5730.41,5661.09,5730.41,5444400
2024-06-07,5730.41,5776.62,5684.2,5730.41,3728000
2024-06-10,5753.52,5753.52,5637.98,5707.3,4207500
2024-06-11,5684.2,5707.3,5637.98,5661.09,5396100
2024-06-12,5661.09,5730.41,5637.98,5730.41,6352800
2024-06-13,5730.41,5730.41,5637.98,5661.09,5135700
2024-06-14,5661.09,5684.2,5568.66,5614.88,7040000
2024-06-19,5614.88,5637.98,5406.92,5476.24,12196300
2024-06-20,5499.34,5499.34,5406.92,5476.24,8634300
2024-06-21,5476.24,5637.98,5453.13,5522.45,17023600
2024-06-24,5568.66,5568.66,5476.24,5476.24,6285700
2024-06-25,5499.34,5522.45,5430.03,5499.34,5323200
2024-06-26,5499.34,5499.34,5430.03,5453.13,7732400
2024-06-27,5499.34,5591.77,5476.24,5568.66,6280500
2024-06-28,5545.56,5684.2,5545.56,5614.88,10535600
2024-07-01,5614.88,5637.98,5568.66,5637.98,8021400
2024-07-02,5637.98,5661.09,5591.77,5637.98,6210100
2024-07-03,5637.98,5637.98,5568.66,5637.98,6800500
2024-07-04,5637.98,5661.09,5614.88,5614.88,3875700
2024-07-05,5637.98,5661.09,5614.88,5661.09,5046400
2024-07-08,5661.09,5730.41,5661.09,5730.41,11876600
2024-07-09,5770.98,5795.12,5698.54,5746.83,10614700
2024-07-10,5770.98,5819.27,5746.83,5795.12,7017700
2024-07-11,5795.12,5819.27,5722.68,5722.68,6350700
2024-07-12,5770.98,5795.12,5746.83,5746.83,3555500
2024-07-15,5770.98,5795.12,5722.68,5770.98,3834200
2024-07-16,5770.98,5770.98,5722.68,5746.83,3606700
2024-07-17,5770.98,5843.41,5746.83,5843.41,7001500
2024-07-18,5843.41,5867.56,5795.12,5867.56,5349000
2024-07-19,5843.41,5867.56,5770.98,5867.56,6000100
2024-07-22,5891.71,5891.71,5795.12,5819.27,4423500
2024-07-23,5843.41,5891.71,5819.27,5891.71,5032300
2024-07-24,5891.71,5915.85,5770.98,5795.12,9933700
2024-07-25,5795.12,5891.71,5770.98,5891.71,9087300
2024-07-26,5915.85,5940.0,5843.41,5915.85,5425500
2024-07-29,5867.56,5940.0,5867.56,5867.56,4808700
2024-07-30,5915.85,5915.85,5795.12,5843.41,4096800
2024-07-31,5867.56,5915.85,5819.27,5915.85,14631000
2024-08-01,5867.56,6036.59,5819.27,5940.0,15237800
2024-08-02,5940.0,5964.15,5891.71,5891.71,6432100
2024-08-05,5867.56,5891.71,5746.83,5843.41,12489900
2024-08-06,5819.27,5940.0,5819.27,5891.71,11577400
2024-08-07,5867.56,5940.0,5867.56,5915.85,4240800
2024-08-08,5940.0,6012.44,5915.85,6012.44,9398000
2024-08-09,6012.44,6060.73,5964.15,6060.73,7072600
2024-08-12,6060.73,6084.88,6012.44,6036.58,5556100
