Datetime,Open,High,Low,Close,Volume
2024-05-06,9365.69,9414.98,9242.46,9316.4,2904700
2024-05-07,9316.4,9612.16,9217.81,9291.75,2815600
2024-05-08,9341.04,9390.34,9217.81,9390.34,4070100
2024-05-13,9316.4,9587.51,9217.81,9538.22,6622400
2024-05-14,9538.22,9587.51,9341.04,9341.04,3390600
2024-05-15,9341.04,9636.8,9341.04,9562.86,4421700
2024-05-16,9562.86,9636.8,9439.63,9562.86,2702100
2024-05-17,9562.86,9760.04,9562.86,9661.45,4018800
2024-05-20,9661.45,9735.39,9488.92,9562.86,3098800
2024-05-21,9587.51,9661.45,9414.98,9488.92,3198500
2024-05-22,9587.51,9587.51,9439.63,9488.92,1806100
2024-05-27,9488.92,9513.57,9069.93,9143.87,4444400
2024-05-28,9119.22,9538.22,8995.99,9464.28,6079700
2024-05-29,9414.98,9513.57,9267.11,9414.98,2535200
2024-05-30,9464.28,9562.86,9119.22,9341.04,6291200
2024-05-31,9341.04,9390.34,8971.35,8971.35,14095200
2024-06-03,8971.35,9267.1,8774.17,9193.17,3382500
2024-06-04,9143.87,9267.1,9045.29,9143.87,3784900
2024-06-05,9143.87,9193.16,8897.41,8897.41,5913600
2024-06-06,9069.93,9316.4,8946.7,9168.52,6112500
2024-06-07,9193.17,9365.69,9094.58,9168.52,2980900
2024-06-10,9168.52,9193.16,8897.41,8995.99,4068100
2024-06-11,8946.7,9168.52,8848.11,8848.11,5142500
2024-06-12,8823.47,8823.47,8256.6,8355.18,7864400
2024-06-13,8429.12,8774.17,8429.12,8626.29,3806100
2024-06-14,8626.29,8724.88,8379.83,8552.35,2051200
2024-06-19,8552.35,8823.47,8453.77,8601.65,4541100
2024-06-20,8700.23,8798.82,8577.0,8798.82,3007000
2024-06-21,8774.17,8946.7,8675.59,8675.59,5257900
2024-06-24,8749.53,8848.11,8626.29,8650.94,2836300
2024-06-25,8700.23,8700.23,8527.71,8626.29,2409000
2024-06-26,8675.59,9020.64,8675.59,8971.35,4852700
2024-06-27,8995.99,9020.64,8774.17,8798.82,2544000
2024-06-28,8774.03,8997.1,8774.03,8823.61,5515600
2024-07-01,8873.18,8997.1,8823.6,8972.32,3202500
2024-07-02,8972.32,9021.89,8848.39,8922.75,3220300
2024-07-03,8972.32,9071.46,8873.18,9071.46,2557900
2024-07-04,9071.46,9121.03,8873.18,8897.96,3556300
2024-07-05,8972.32,8972.32,8674.89,8774.03,5718600
2024-07-08,8774.03,8897.96,8625.32,8724.46,6488800
2024-07-09,8724.46,8873.18,8674.89,8798.82,6296900
2024-07-10,8798.82,8823.61,8625.32,8650.11,3052600
2024-07-11,8650.11,8749.25,8526.18,8625.32,4882500
2024-07-12,8625.32,8650.11,8278.33,8377.47,9038700
2024-07-15,8377.47,8550.97,8377.47,8550.97,2613400
2024-07-16,8575.75,8600.54,8476.61,8575.75,2188500
2024-07-17,8600.54,8600.54,8377.47,8451.82,4515800
2024-07-18,8427.04,8501.4,8352.68,8427.04,4444400
2024-07-19,8377.47,8476.61,8253.54,8427.04,5101000
2024-07-22,8476.61,8501.39,8303.11,8377.47,2891900
2024-07-23,8427.04,8451.82,8303.11,8377.47,2824400
2024-07-24,8377.47,8402.25,8080.04,8129.61,7381300
2024-07-25,8104.83,8129.61,7906.55,7980.9,9862100
2024-07-26,7980.9,8055.26,7931.33,8005.69,3981900
2024-07-29,8005.69,8080.04,7956.12,7980.9,2257400
2024-07-30,8055.26,8179.18,7931.33,8154.4,4736400
2024-07-31,8203.97,8278.33,8080.04,8278.33,4112600
2024-08-01,8352.68,8377.47,8005.69,8030.47,8845100
2024-08-02,8030.47,8179.18,7956.12,8179.18,5966800
2024-08-05,8104.83,8104.83,7733.05,7807.4,8070400
2024-08-06,7832.19,7931.33,7733.05,7832.19,5309000
2024-08-07,7807.4,8179.18,7807.4,8129.61,6548500
2024-08-08,8080.04,8104.83,7832.19,7832.19,6635600
2024-08-09,7931.33,7956.12,7832.19,7856.97,3578800
2024-08-12,7856.97,8030.47,7856.97,8005.69,3097300
2024-08-13,8080.04,8104.83,7956.12,8080.04,3294000
2024-08-14,8129.61,8278.33,8030.47,8278.33,5677600
2024-08-15,8278.33,8278.33,8179.18,8203.97,3307100
2024-08-16,8278.33,8327.9,8203.97,8278.33,3801700
2024-08-19,8278.33,8476.61,8278.33,8476.61,7023000
