Datetime,Open,High,Low,Close,Volume
2024-05-06,6872.86,6919.93,6613.95,6708.1,3887900
2024-05-07,6684.56,6684.56,6613.95,6661.02,2711800
2024-05-08,6613.95,6637.49,6402.12,6402.12,5481000
2024-05-13,6425.65,6425.65,6260.89,6284.43,3352100
2024-05-14,6331.5,6378.58,6190.28,6237.35,5100700
2024-05-15,6260.89,6284.43,6072.59,6237.35,6805300
2024-05-16,6284.43,6543.34,6237.35,6378.58,6167400
2024-05-17,6378.58,6519.8,6378.58,6449.19,2645800
2024-05-20,6449.19,6472.73,6355.04,6472.73,2474700
2024-05-21,6472.73,6708.1,6425.65,6590.41,5465400
2024-05-22,6637.49,6637.49,6472.73,6590.41,4057900
2024-05-27,6652.41,6652.41,6390.12,6390.12,4993200
2024-05-28,6318.59,6461.66,6318.59,6390.12,5999600
2024-05-29,6366.28,6366.28,6270.91,6270.91,7350700
2024-05-30,6270.91,6270.91,6080.16,6175.53,12587700
2024-05-31,6175.53,6413.97,6127.84,6175.53,10200600
2024-06-03,6127.84,6318.59,5984.78,6199.38,6156400
2024-06-04,6247.06,6938.53,6151.69,6676.25,8863100
2024-06-05,6676.25,6843.16,6533.19,6557.03,4770400
2024-06-06,6557.03,6962.38,6557.03,6962.38,7712000
2024-06-07,6962.38,7463.09,6962.38,7343.88,9505700
2024-06-10,7391.56,7391.56,7129.28,7320.03,4372200
2024-06-11,7224.66,7653.84,7153.12,7510.78,6907100
2024-06-12,7510.78,7510.78,7033.91,7200.81,2885500
2024-06-13,7248.5,7439.25,7010.06,7057.75,3512600
2024-06-14,7057.75,7129.28,6843.16,6867.0,4726700
2024-06-19,6867.0,7224.66,6723.94,7081.59,4021400
2024-06-20,7153.12,7200.81,7033.91,7033.91,1610700
2024-06-21,7057.75,7224.66,6962.38,7105.44,3475000
2024-06-24,7105.44,7153.12,6962.38,6986.22,2415900
2024-06-25,6986.22,7010.06,6747.78,6890.84,9381600
2024-06-26,6914.69,6962.38,6843.16,6867.0,1904000
2024-06-27,6938.53,7105.44,6867.0,6986.22,2617200
2024-06-28,6962.38,7153.12,6914.69,6914.69,4030000
2024-07-01,7057.75,7057.75,6914.69,7010.06,4897900
2024-07-02,7010.06,7200.81,6938.53,7153.12,3819700
2024-07-03,7248.5,7320.03,7176.97,7296.19,3637500
2024-07-04,7320.03,7343.88,7081.59,7105.44,3111400
2024-07-05,7129.28,7153.12,6938.53,7105.44,2289600
2024-07-08,7105.44,7463.09,6986.22,7296.19,6015200
2024-07-09,7343.88,7510.78,7224.66,7248.5,3494300
2024-07-10,7248.5,7582.31,6938.53,6986.22,8035800
2024-07-11,6986.22,7200.81,6986.22,7057.75,5143600
2024-07-12,7057.75,7176.97,7057.75,7153.12,597000
2024-07-15,7200.81,7200.81,6962.38,7033.91,1384300
2024-07-16,7105.44,7105.44,6890.84,7010.06,2343700
2024-07-17,7081.59,7081.59,6962.38,7010.06,1005300
2024-07-18,7010.06,7057.75,6986.22,7010.06,2287700
2024-07-19,6962.38,7010.06,6890.84,7010.06,3043800
2024-07-22,7010.06,7010.06,6890.84,6914.69,865400
2024-07-23,6914.69,6962.38,6867.0,6914.69,4153000
2024-07-24,6938.53,6938.53,6867.0,6938.53,818300
2024-07-25,6938.53,6986.22,6867.0,6986.22,2989100
2024-07-26,6986.22,6986.22,6890.84,6938.53,1539000
2024-07-29,6914.69,6938.53,6867.0,6867.0,2399900
2024-07-30,6914.69,6914.69,6771.62,6890.84,2474300
2024-07-31,6914.69,6986.22,6867.0,6914.69,1007100
2024-08-01,6867.0,6986.22,6843.16,6914.69,2364700
2024-08-02,6890.84,7010.06,6867.0,6890.84,1655400
2024-08-05,6890.84,6914.69,6604.72,6867.0,4364100
2024-08-06,6867.0,6890.84,6700.09,6795.47,4796600
2024-08-07,6771.62,6867.0,6700.09,6700.09,1412300
2024-08-08,6700.09,6747.78,6580.88,6580.88,1455400
2024-08-09,6604.72,6652.41,6580.88,6580.88,1256400
2024-08-12,6604.72,6676.25,6580.88,6652.41,843000
2024-08-13,6700.09,6843.16,6604.72,6747.78,2357700
2024-08-14,6795.47,6890.84,6771.62,6771.62,2325800
2024-08-15,6771.62,6819.31,6700.09,6700.09,798300
2024-08-16,6771.62,6795.47,6723.94,6747.78,673500
2024-08-19,6747.78,7033.91,6747.78,6938.53,3705400
2024-08-20,6986.22,7033.91,6914.69,6938.53,2005800
2024-08-21,7010.06,7033.91,6843.16,6843.16,1318100
2024-08-22,6819.31,6867.0,6747.78,6819.31,1273200
2024-08-23,6867.0,6890.84,6819.31,6819.31,898600
2024-08-26,6819.31,6819.31,6723.94,6723.94,1186400
2024-08-27,6723.94,6771.62,6676.25,6723.94,1320600
2024-08-28,6747.78,6795.47,6723.94,6747.78,672800
2024-08-29,6795.47,6914.69,6723.94,6723.94,3612700
2024-08-30,6795.47,6795.47,6580.88,6580.88,2443600
2024-09-02,6604.72,6867.0,6604.72,6723.94,3344200
2024-09-03,6747.78,6819.31,6628.56,6676.25,1871100
2024-09-04,6628.56,6652.41,6485.5,6485.5,4895800
2024-09-05,6485.5,6509.34,6437.81,6509.34,4234400
2024-09-06,6533.19,6557.03,6437.81,6437.81,1082000
2024-09-09,6485.5,6533.19,6437.81,6485.5,1198000
2024-09-10,6533.19,6557.03,6461.66,6485.5,784500
2024-09-11,6509.34,6533.19,6437.81,6485.5,1533900
2024-09-12,6461.66,6533.19,6461.66,6461.66,1152500
2024-09-13,6485.5,6557.03,6485.5,6509.34,588800
2024-09-17,6557.03,6652.41,6509.34,6509.34,1583600
2024-09-18,6557.03,6580.88,6485.5,6485.5,1090900
2024-09-19,6485.5,6557.03,6485.5,6509.34,1578500
2024-09-20,6509.34,6580.88,6509.34,6580.88,2924200
2024-09-23,6580.88,6580.88,6485.5,6485.5,2700600
2024-09-24,6461.66,6533.19,6461.66,6461.66,2625400
2024-09-25,6509.34,6723.94,6461.66,6676.25,5042600
2024-09-26,6676.25,6700.09,6509.34,6580.88,1928600
2024-09-27,6604.72,6604.72,6485.5,6533.19,2209900
2024-09-30,6580.88,6580.88,6485.5,6485.5,1959500
2024-10-01,6533.19,6580.88,6485.5,6509.34,1643500
