Datetime,Open,High,Low,Close,Volume
2024-05-06,2459.78,2529.89,2448.09,2506.52,11666400
2024-05-07,2512.36,2524.05,2442.25,2453.93,20543600
2024-05-08,2453.93,2488.99,2430.56,2453.93,11873600
2024-05-13,2465.62,2518.2,2453.93,2483.15,20253600
2024-05-14,2518.2,2600.0,2453.93,2547.42,22175200
2024-05-15,2524.05,2570.79,2477.3,2524.05,15148800
2024-05-16,2524.05,2570.79,2506.52,2535.73,10672800
2024-05-17,2500.67,2547.42,2483.15,2518.2,10334800
2024-05-20,2535.73,2541.57,2413.03,2430.56,13949200
2024-05-21,2430.56,2453.93,2395.51,2395.51,10119600
2024-05-22,2418.88,2418.88,2354.61,2354.61,6682400
2024-05-27,2354.61,2360.45,2226.07,2290.34,25448800
2024-05-28,2266.97,2524.05,2266.97,2453.93,25319600
2024-05-29,2453.93,2483.15,2383.82,2436.4,17724400
2024-05-30,2418.88,2418.88,2354.61,2377.98,22060800
2024-05-31,2401.35,2436.4,2360.45,2383.82,17622800
2024-06-03,2418.24,2448.24,2364.23,2448.24,5300400
2024-06-04,2460.24,2568.25,2448.24,2490.25,15049600
2024-06-05,2472.25,2478.25,2442.24,2460.24,5964400
2024-06-06,2454.24,2478.25,2430.24,2442.24,9475200
2024-06-07,2442.24,2520.25,2442.24,2490.25,9521600
2024-06-10,2520.25,2520.25,2460.24,2502.25,4930800
2024-06-11,2538.25,2538.25,2484.25,2502.25,11692400
2024-06-12,2520.25,2520.25,2376.24,2406.24,20898800
2024-06-13,2412.24,2472.25,2400.24,2442.24,11445600
2024-06-14,2448.24,2472.25,2430.24,2442.24,10291200
2024-06-19,2454.24,2454.24,2400.24,2418.24,7243200
2024-06-20,2430.24,2472.25,2424.24,2460.24,7894400
2024-06-21,2460.24,2556.25,2454.24,2502.25,19315200
2024-06-24,2532.25,2568.25,2502.25,2520.25,11294400
2024-06-25,2520.25,2520.25,2448.24,2484.25,4408400
2024-06-26,2502.25,2520.25,2472.25,2502.25,6098400
2024-06-27,2502.25,2508.25,2472.25,2484.25,4883200
2024-06-28,2484.25,2568.25,2484.25,2568.25,16932400
2024-07-01,2574.26,2574.26,2490.25,2520.25,9128000
2024-07-02,2520.25,2526.25,2466.24,2490.25,11434000
2024-07-03,2508.25,2526.25,2490.25,2514.25,4621600
2024-07-04,2514.25,2526.25,2484.25,2508.25,8052000
2024-07-05,2502.25,2520.25,2460.24,2508.25,7552800
2024-07-08,2502.25,2520.25,2478.25,2520.25,6112800
2024-07-09,2520.25,2556.25,2514.25,2538.25,6667200
2024-07-10,2544.25,2670.26,2532.25,2640.26,16261600
2024-07-11,2640.26,2790.28,2640.26,2760.27,28732800
2024-07-12,2778.28,2808.28,2712.27,2736.27,20232800
2024-07-15,2736.27,2766.27,2694.27,2742.27,12752000
2024-07-16,2748.27,2844.28,2742.27,2796.28,15305600
2024-07-17,2820.28,2820.28,2772.27,2784.28,9446000
2024-07-18,2784.28,2874.29,2784.28,2838.28,14012000
2024-07-19,2826.28,2826.28,2748.27,2760.27,14097600
2024-07-22,2772.27,2868.28,2766.27,2868.28,10361600
2024-07-23,2868.28,2874.29,2748.27,2796.28,16897600
2024-07-24,2808.28,2874.29,2712.27,2736.27,24523200
2024-07-25,2736.27,2790.28,2706.27,2760.27,22548400
2024-07-26,2760.27,2814.28,2748.27,2808.28,8280800
2024-07-29,2814.28,2832.28,2790.28,2808.28,5310400
2024-07-30,2814.28,2814.28,2712.27,2736.27,15703600
2024-07-31,2760.27,2772.27,2652.26,2664.26,19299600
2024-08-01,2670.26,2670.26,2568.25,2568.25,22703200
2024-08-02,2568.25,2568.25,2460.24,2484.25,36084000
2024-08-05,2484.25,2514.25,2394.24,2448.24,16547600
2024-08-06,2478.25,2544.25,2436.24,2544.25,17120000
