Datetime,Open,High,Low,Close,Volume
2024-05-06,20299.46,20299.46,19754.1,19794.49,892000
2024-05-07,19794.49,20097.47,19794.49,20036.88,390400
2024-05-08,20077.27,20481.24,20036.88,20481.24,1023900
2024-05-13,19875.29,20097.47,19410.73,19915.69,2061100
2024-05-14,19875.29,20036.88,19794.49,19794.49,621700
2024-05-15,19834.89,19875.29,19471.32,19471.32,1212000
2024-05-16,19511.72,19632.91,19471.32,19552.11,705700
2024-05-17,19552.11,19592.51,19430.92,19451.12,1081800
2024-05-20,19451.12,19774.3,19451.12,19673.3,792300
2024-05-21,19733.9,19996.48,19471.32,19592.51,864500
2024-05-22,19794.49,19794.49,19552.11,19653.1,559900
2024-05-27,19653.1,19713.7,19592.51,19592.51,651700
2024-05-28,19592.51,19713.7,19592.51,19632.91,592900
2024-05-29,19653.11,19794.49,19632.91,19693.5,745800
2024-05-30,19693.5,20198.47,19491.52,20158.07,1044000
2024-05-31,20178.26,20360.05,19976.28,20178.26,1656200
2024-06-03,20198.46,20380.25,20036.88,20380.25,1208500
2024-06-04,20380.25,20683.23,20339.85,20521.64,1173200
2024-06-05,20380.25,20400.45,20036.88,20077.27,1071300
2024-06-06,20077.27,20077.27,19855.09,19875.29,720300
2024-06-07,19875.29,19996.48,19855.09,19996.48,414700
2024-06-10,19996.48,19996.48,19592.51,19733.9,880300
2024-06-11,19774.3,19774.3,19471.32,19471.32,1090100
2024-06-12,19471.32,19653.1,19451.12,19632.91,822100
2024-06-13,19632.91,19673.3,19552.11,19552.11,405700
2024-06-14,19592.51,19612.71,19390.52,19430.92,693400
2024-06-19,19430.92,19491.52,19047.15,19289.53,829300
2024-06-20,19309.73,19390.52,19269.33,19309.73,390100
2024-06-21,19309.73,19713.7,19309.73,19592.51,749400
2024-06-24,19592.51,19592.51,19289.53,19309.73,923700
2024-06-25,19350.13,19390.52,19067.35,19067.35,1221400
2024-06-26,19107.75,19269.33,19067.35,19228.94,595100
2024-06-27,19228.94,19249.14,19087.55,19188.54,397500
2024-06-28,19188.54,19370.33,19168.34,19309.73,819300
2024-07-01,19370.33,19713.7,19370.33,19612.71,603300
2024-07-02,19612.71,20299.46,19612.71,20198.46,1712400
2024-07-03,20198.46,20905.41,20198.46,20844.81,2145800
2024-07-04,20844.81,21228.58,20844.81,21127.59,1974000
2024-07-05,21147.79,21491.16,20865.01,21127.59,1414100
2024-07-08,21107.39,21248.78,20865.01,21006.4,918200
2024-07-09,20986.2,21087.2,20622.63,20622.63,2057800
2024-07-10,20622.63,20925.61,20622.63,20723.62,572800
2024-07-11,20844.82,20905.41,20602.43,20602.43,740300
2024-07-12,20642.83,20804.42,20461.04,20642.83,664200
2024-07-15,20642.83,20743.82,20501.44,20602.43,544100
2024-07-16,20703.43,21147.79,20703.43,20966.01,1359300
2024-07-17,21006.4,21067.0,20804.42,20844.81,822400
2024-07-18,20844.81,21167.99,20663.03,21147.79,1600200
2024-07-19,21208.39,21531.56,21188.19,21430.57,2390000
2024-07-22,21491.17,22097.12,21450.77,22097.12,3903100
2024-07-23,22097.12,22561.68,21531.56,21531.56,3158000
2024-07-24,21531.56,21672.95,21289.18,21289.18,1127700
2024-07-25,21289.18,21592.16,20885.21,21046.8,1374300
2024-07-26,21046.8,21329.58,21026.6,21329.58,447800
2024-07-29,21329.58,21551.76,21147.79,21147.79,1074900
2024-07-30,21167.99,21511.36,21167.99,21289.18,842800
2024-07-31,21390.17,21410.37,21046.8,21248.78,1271500
2024-08-01,21289.18,21612.36,21289.18,21511.36,1142300
2024-08-02,21410.37,21794.14,21329.58,21794.14,1614900
2024-08-05,21733.55,21733.55,20521.64,20703.42,2754700
2024-08-06,20804.42,21026.6,20400.45,20622.63,2320900
2024-08-07,20683.23,21046.8,20683.23,20844.81,1622400
2024-08-08,20885.21,21127.59,20683.23,20865.01,815600
2024-08-09,20966.0,21127.59,20804.42,20885.21,1016300
2024-08-12,20945.81,21491.16,20945.81,21390.17,1560000
2024-08-13,21470.97,21753.75,21470.97,21672.95,1205800
2024-08-14,21147.79,21329.58,21026.6,21188.19,2048100
2024-08-15,21188.19,21248.78,21067.0,21167.99,916500
2024-08-16,21248.79,21571.96,21248.79,21349.78,1122000
2024-08-19,21369.97,21430.57,21167.99,21390.17,792200
2024-08-20,21390.17,21450.77,21309.38,21329.58,800000
2024-08-21,21369.98,21652.75,21329.58,21551.76,859100
2024-08-22,21470.97,21672.95,21248.78,21592.16,1942500
