Datetime,Open,High,Low,Close,Volume
2024-05-06,1142.34,1225.25,1123.92,1174.59,65719400
2024-05-07,1174.59,1206.83,1165.37,1193.01,22213800
2024-05-08,1193.01,1202.22,1174.59,1183.8,17455500
2024-05-13,1188.4,1234.47,1188.4,1220.65,30328200
2024-05-14,1216.04,1275.92,1202.22,1262.1,37688000
2024-05-15,1266.71,1285.13,1243.68,1262.1,32980900
2024-05-16,1262.1,1340.41,1262.1,1326.59,65385900
2024-05-17,1326.59,1358.83,1321.98,1345.02,31029600
2024-05-20,1345.02,1354.23,1298.95,1345.02,43696300
2024-05-21,1345.02,1345.02,1303.56,1308.17,12813800
2024-05-22,1308.17,1335.8,1289.74,1321.98,17537700
2024-05-27,1321.98,1326.59,1252.89,1285.13,15846100
2024-05-28,1285.13,1321.98,1266.71,1266.71,10878500
2024-05-29,1266.71,1294.35,1234.47,1289.74,15273200
2024-05-30,1289.74,1312.77,1248.28,1312.77,23253800
2024-05-31,1317.38,1331.2,1262.1,1262.1,43799000
2024-06-03,1266.71,1294.35,1257.5,1257.5,23688000
2024-06-04,1257.5,1298.95,1248.28,1285.13,24685500
2024-06-05,1285.13,1285.13,1252.89,1257.5,9763900
2024-06-06,1257.5,1257.5,1220.65,1229.86,13406800
2024-06-07,1229.86,1262.1,1216.04,1252.89,18439500
2024-06-10,1252.89,1280.53,1248.28,1257.5,12394500
2024-06-11,1257.5,1271.32,1225.25,1229.86,6675100
2024-06-12,1229.86,1243.68,1188.4,1225.25,14667600
2024-06-13,1225.25,1243.68,1211.44,1225.25,4968100
2024-06-14,1225.25,1225.25,1174.59,1188.4,11219800
2024-06-19,1188.4,1289.74,1183.8,1275.92,32836600
2024-06-20,1275.92,1312.77,1266.71,1285.13,27854000
2024-06-21,1298.95,1331.2,1285.13,1331.2,25736000
2024-06-24,1331.2,1372.65,1312.77,1340.41,24281300
2024-06-25,1345.02,1358.83,1298.95,1312.77,11617300
2024-06-26,1312.77,1358.83,1308.17,1335.8,13105800
2024-06-27,1340.41,1354.23,1331.2,1335.8,13681800
2024-06-28,1335.8,1345.02,1312.77,1312.77,12308700
2024-07-01,1317.38,1349.62,1308.17,1349.62,12784700
2024-07-02,1354.23,1377.26,1335.8,1335.8,15322000
2024-07-03,1340.41,1358.83,1331.2,1358.83,12257900
2024-07-04,1358.83,1446.35,1358.83,1437.14,49738800
