Datetime,Open,High,Low,Close,Volume
2024-05-06,117.83,118.82,116.84,118.82,73555700
2024-05-07,118.82,120.8,116.84,118.82,62119300
2024-05-08,118.82,119.81,115.85,117.83,73275500
2024-05-13,116.84,117.83,115.85,117.83,123948500
2024-05-14,117.83,118.82,116.84,117.83,70694800
2024-05-15,117.83,123.77,116.84,120.8,134985300
2024-05-16,120.8,122.78,119.81,122.78,112941300
2024-05-17,122.78,123.77,118.82,121.79,192355100
2024-05-20,121.79,121.79,117.83,118.82,146267700
2024-05-21,117.83,118.82,115.85,117.83,22933200
2024-05-22,117.83,117.83,115.85,117.83,187002500
2024-05-27,117.83,117.83,115.85,116.84,131432100
2024-05-28,117.83,119.81,116.84,118.82,126809200
2024-05-29,118.82,118.82,113.87,116.84,98376500
2024-05-30,116.84,116.84,113.87,115.85,128043400
2024-05-31,115.85,116.84,114.86,116.84,93337100
2024-06-03,116.84,116.84,114.86,116.84,128011700
2024-06-04,116.84,117.83,115.85,116.84,125663400
2024-06-05,117.83,117.83,114.86,116.84,147342600
2024-06-06,115.85,116.84,115.85,116.84,137175900
2024-06-07,116.84,116.84,114.86,115.85,111905500
2024-06-10,115.85,116.84,114.86,115.85,119621900
2024-06-11,115.85,116.84,114.86,116.84,124637500
2024-06-12,116.84,116.84,113.87,115.85,124929500
2024-06-13,115.85,116.84,114.86,115.85,135460100
2024-06-14,114.86,115.85,111.89,114.86,152962300
2024-06-19,113.87,114.86,108.92,113.87,154684000
2024-06-20,112.88,113.87,110.9,113.87,169342800
2024-06-21,113.87,116.84,112.88,116.84,96551700
2024-06-24,115.85,118.82,115.85,117.83,166910800
2024-06-25,117.83,118.82,115.85,117.83,92093900
2024-06-26,117.83,118.82,116.84,118.82,143125300
2024-06-27,118.82,118.82,117.83,118.82,147546200
2024-06-28,118.82,118.82,116.84,118.82,139629500
2024-07-01,117.83,118.82,116.84,118.82,143190900
2024-07-02,117.83,118.82,116.84,118.82,127138900
2024-07-03,118.82,124.76,117.83,120.8,176567600
2024-07-04,122.78,127.73,120.8,124.76,180472400
2024-07-05,124.76,129.71,124.76,127.73,146175100
2024-07-08,128.72,130.7,128.72,129.71,134506500
2024-07-09,128.72,132.68,128.72,132.68,89143000
2024-07-10,131.69,143.58,131.69,141.6,173213800
2024-07-11,141.6,152.49,141.6,146.55,150479300
2024-07-12,146.55,152.49,144.57,151.5,167679000
2024-07-15,152.49,154.47,147.54,150.51,162132000
2024-07-16,149.52,150.51,146.55,148.53,176547900
2024-07-17,147.54,148.53,126.74,135.66,229685600
2024-07-18,135.66,135.66,122.78,132.68,230627600
2024-07-19,132.68,132.68,126.74,130.7,93752600
2024-07-22,129.71,131.69,126.74,129.71,137869300
2024-07-23,128.72,132.68,127.73,132.68,132870000
2024-07-24,131.69,133.67,129.71,130.7,115254900
2024-07-25,131.69,131.69,127.73,128.72,125228100
2024-07-26,128.72,130.7,125.75,130.7,151614400
2024-07-29,130.7,131.69,128.72,131.69,217510900
2024-07-30,131.69,131.69,127.73,129.71,199480400
2024-07-31,129.71,132.68,127.73,130.7,209096100
2024-08-01,130.7,131.69,127.73,130.7,151755500
2024-08-02,131.69,131.69,128.72,130.7,138946300
2024-08-05,130.7,130.7,124.76,128.72,66678200
2024-08-06,128.72,130.7,125.75,128.72,27273700
2024-08-07,128.72,134.67,127.73,132.68,134428000
2024-08-08,133.67,143.58,130.7,138.63,248335100
2024-08-09,138.63,143.58,135.66,139.62,229729900
2024-08-12,139.62,141.6,136.65,138.63,302531200
2024-08-13,138.63,142.59,138.63,140.61,283785700
2024-08-14,140.61,145.56,139.62,143.58,187674800
2024-08-15,143.58,146.55,139.62,145.56,137352700
2024-08-16,145.56,152.49,142.59,148.53,183590000
2024-08-19,148.53,152.49,147.54,148.53,140273200
2024-08-20,147.54,149.52,146.55,148.53,13218900
2024-08-21,148.53,152.49,143.58,148.53,238981100
2024-08-22,148.53,150.51,144.57,148.53,88672000
2024-08-23,149.52,149.52,145.56,148.53,180208800
2024-08-26,147.54,150.51,146.55,148.53,217575800
2024-08-27,149.52,156.45,146.55,151.5,234926500
2024-08-28,152.49,157.44,151.5,154.47,185258500
2024-08-29,155.46,156.45,148.53,152.49,57227800
2024-08-30,152.49,156.45,147.54,151.5,209034300
2024-09-02,152.49,153.48,145.56,151.5,149193900
2024-09-03,151.5,151.5,149.52,150.51,124448700
2024-09-04,150.51,155.46,148.53,151.5,150255100
2024-09-05,151.5,170.31,151.5,164.37,159179800
2024-09-06,165.36,179.22,164.37,172.29,264434800
2024-09-09,173.28,178.23,168.33,176.25,221212000
2024-09-10,177.24,195.07,176.25,180.21,204182400
2024-09-11,181.2,183.18,176.25,180.21,248964200
2024-09-12,180.21,182.19,172.29,178.23,178929100
2024-09-13,178.23,189.13,173.28,177.24,168679900
2024-09-17,176.25,186.15,176.25,180.21,137224600
2024-09-18,182.19,184.17,179.22,179.22,67935200
2024-09-19,180.21,186.15,179.22,181.2,226189300
2024-09-20,182.19,186.15,178.23,186.15,160897800
2024-09-23,185.16,188.13,181.2,182.19,91251800
2024-09-24,182.19,184.17,179.22,181.2,91044300
2024-09-25,181.2,188.13,181.2,184.17,210223200
2024-09-26,185.16,188.13,182.19,182.19,84078500
2024-09-27,183.18,189.13,180.21,183.18,181192800
2024-09-30,182.19,184.17,175.26,181.2,167399300
2024-10-01,181.2,187.14,179.22,181.2,239119900
2024-10-02,181.2,185.16,177.24,180.21,257406100
2024-10-03,181.2,185.16,180.21,181.2,184127800
2024-10-04,182.19,187.14,181.2,182.19,186652000
2024-10-07,182.19,188.13,179.22,182.19,106844000
2024-10-08,182.19,186.15,181.2,183.18,188845200
2024-10-09,183.18,184.17,177.24,181.2,76703300
2024-10-10,181.2,185.16,181.2,183.18,199243700
2024-10-11,181.2,194.08,178.23,181.2,274742100
2024-10-14,184.17,184.17,180.21,181.2,234850400
2024-10-15,181.2,185.16,181.2,183.18,172920300
2024-10-16,183.18,184.17,180.21,183.18,233096800
2024-10-17,183.18,186.15,181.2,182.19,187603100
2024-10-18,182.19,185.16,182.19,183.18,236766200
2024-10-21,183.18,200.02,183.18,194.08,328407100
2024-10-22,194.08,203.98,191.11,195.07,152640700
2024-10-23,195.07,198.04,185.16,191.11,188570000
2024-10-24,190.12,191.11,187.14,190.12,100739000
2024-10-25,190.12,195.07,187.14,189.13,145154100
2024-10-28,188.13,195.07,185.16,190.12,143816100
2024-10-29,190.12,193.09,188.13,191.11,76353900
2024-10-30,191.11,191.11,187.14,190.12,147775800
2024-10-31,193.09,200.02,188.13,192.1,214412000
2024-11-01,193.09,193.09,181.2,191.11,123913300
2024-11-04,191.11,191.11,186.15,188.13,191808600
2024-11-05,188.13,192.1,188.13,190.12,169877200
2024-11-06,190.12,193.09,186.15,188.13,85943700
2024-11-07,188.13,191.11,183.18,185.16,179089200
2024-11-08,186.15,188.13,183.18,187.14,178105100
2024-11-11,187.14,187.14,171.3,183.18,112010700
2024-11-12,183.18,183.18,178.23,182.19,162468900
2024-11-13,182.19,187.14,179.22,185.16,141570700
2024-11-14,185.16,185.16,180.21,185.16,163999800
2024-11-15,185.16,185.16,180.21,185.16,160699500
2024-11-18,184.17,188.13,181.2,187.14,134258400
2024-11-19,188.13,188.13,184.17,187.14,102679000
2024-11-20,187.14,191.11,183.18,190.12,176194600
2024-11-21,190.12,192.1,187.14,191.11,138875000
2024-11-22,192.1,192.1,188.13,192.1,113357900
2024-11-25,192.1,200.02,189.13,196.06,170146200
2024-11-26,196.06,200.02,189.13,194.08,175219700
2024-11-28,192.1,195.07,189.13,193.09,109301800
2024-11-29,194.08,195.07,190.12,193.09,72103900
2024-12-02,193.09,197.05,191.11,194.08,200098600
2024-12-03,194.08,195.07,189.13,195.07,197644500
2024-12-04,196.06,196.06,191.11,196.06,146546000
2024-12-05,195.07,205.96,194.08,200.02,133451600
2024-12-06,202.0,202.0,197.05,200.02,84687300
2024-12-09,200.02,202.0,194.08,202.0,83755800
2024-12-10,202.0,202.0,194.08,198.04,94708800
2024-12-11,197.05,198.04,192.1,196.06,196208600
2024-12-12,195.07,200.02,191.11,198.04,202450700
2024-12-13,198.04,202.0,194.08,196.06,105468800
2024-12-16,197.05,197.05,193.09,196.06,187245600
2024-12-17,196.06,197.05,193.09,196.06,162640500
2024-12-18,196.06,196.06,187.14,195.07,169293000
2024-12-19,192.1,194.08,186.15,191.11,91870300
2024-12-20,189.13,192.1,187.14,190.12,107598000
2024-12-23,190.12,190.12,182.19,186.15,65358500
2024-12-24,183.18,189.13,179.22,187.14,109589300
2024-12-27,186.15,189.13,185.16,188.13,176682100
2024-12-30,188.13,189.13,182.19,184.17,41018500
2025-01-02,185.16,188.13,180.21,186.15,223595900
2025-01-03,188.13,191.11,185.16,188.13,216543200
2025-01-06,188.13,189.13,185.16,187.14,121234100
2025-01-07,186.15,188.13,184.17,187.14,91983700
2025-01-08,187.14,187.14,184.17,187.14,8958200
2025-01-09,187.14,189.13,184.17,187.14,143786500
2025-01-10,184.17,190.12,184.17,189.13,188151900
2025-01-13,189.13,198.04,188.13,194.08,205900400
2025-01-14,195.07,197.05,185.16,189.13,140963600
2025-01-15,189.13,189.13,185.16,189.13,230415700
2025-01-16,189.13,190.12,186.15,189.13,161500900
2025-01-17,189.13,194.08,186.15,190.12,155943100
2025-01-20,191.11,191.11,187.14,188.13,79283100
2025-01-21,188.13,190.12,185.16,190.12,73824900
2025-01-22,190.12,190.12,184.17,187.14,152898300
2025-01-23,186.15,187.14,184.17,186.15,28116400
2025-01-24,185.16,185.16,181.2,184.17,41532500
2025-01-30,182.19,187.14,182.19,186.15,154287800
2025-01-31,186.15,187.14,184.17,187.14,150262200
2025-02-03,185.16,187.14,182.19,185.16,68946800
2025-02-04,185.16,186.15,182.19,185.16,165190300
2025-02-05,185.16,189.13,183.18,187.14,168441700
2025-02-06,187.14,187.14,183.18,185.16,95880700
2025-02-07,185.16,185.16,179.22,182.19,32774300
2025-02-10,182.19,184.17,179.22,184.17,222084100
2025-02-11,184.17,184.17,173.28,181.2,68251700
2025-02-12,180.21,181.2,177.24,179.22,89022900
2025-02-13,178.23,179.22,176.25,179.22,157893500
2025-02-14,179.22,180.21,176.25,179.22,217436900
2025-02-17,179.22,180.21,176.25,179.22,185523400
2025-02-18,179.22,180.21,175.26,177.24,178480700
2025-02-19,177.24,180.21,174.27,179.22,207397500
2025-02-20,179.22,182.19,178.23,181.2,158010300
