Datetime,Open,High,Low,Close,Volume
2024-05-06,1469.36,1469.36,1378.42,1392.78,29176400
2024-05-07,1388.0,1402.35,1378.42,1383.21,31043500
2024-05-08,1392.78,1402.35,1354.49,1359.28,48390500
2024-05-13,1368.85,1378.42,1344.92,1364.07,37882500
2024-05-14,1368.85,1383.21,1344.92,1349.71,36320000
2024-05-15,1359.28,1402.35,1354.49,1383.21,36425200
2024-05-16,1383.21,1388.0,1373.64,1383.21,36922100
2024-05-17,1388.0,1464.58,1388.0,1435.86,53345000
2024-05-20,1440.64,1464.58,1440.64,1464.58,23932100
2024-05-21,1469.36,1469.36,1426.29,1440.64,46767000
2024-05-22,1464.58,1507.65,1445.43,1493.29,55916700
2024-05-27,1493.29,1512.44,1464.58,1498.08,48754200
2024-05-28,1493.29,1507.65,1474.15,1483.72,27878800
2024-05-29,1494.46,1499.35,1445.63,1479.81,29138000
2024-05-30,1489.58,1518.88,1460.28,1484.7,30139500
2024-05-31,1509.12,1509.12,1455.39,1455.39,117693500
2024-06-03,1440.74,1504.23,1440.74,1484.7,28092300
2024-06-04,1499.35,1528.65,1489.58,1504.23,30497600
2024-06-05,1538.42,1538.42,1494.46,1514.0,73123500
2024-06-06,1533.54,1557.95,1514.0,1538.42,69323600
2024-06-07,1538.42,1577.49,1528.65,1562.84,68422100
2024-06-10,1567.72,1582.37,1548.19,1557.95,36525400
2024-06-11,1553.07,1567.72,1518.88,1518.88,26347800
2024-06-12,1553.07,1553.07,1509.12,1528.65,10933200
2024-06-13,1528.65,1557.95,1518.88,1528.65,24309100
2024-06-14,1528.65,1562.84,1523.77,1528.65,19618600
2024-06-19,1538.42,1557.95,1494.46,1518.88,24324500
2024-06-20,1523.77,1543.3,1499.35,1523.77,16419000
2024-06-21,1523.77,1557.95,1523.77,1533.54,46830200
2024-06-24,1528.65,1533.54,1509.12,1514.0,38790000
2024-06-25,1509.12,1509.12,1484.7,1489.58,18020100
2024-06-26,1489.58,1504.23,1484.7,1499.35,11745400
2024-06-27,1509.12,1518.88,1494.46,1504.23,16625500
2024-06-28,1489.58,1514.0,1489.58,1489.58,25765800
2024-07-01,1504.23,1509.12,1470.05,1470.05,19433500
2024-07-02,1470.05,1474.93,1396.79,1406.55,62377100
2024-07-03,1416.32,1430.97,1401.67,1421.21,29725600
2024-07-04,1421.21,1450.51,1411.44,1435.86,20834000
2024-07-05,1440.74,1489.58,1430.97,1455.39,17277000
2024-07-08,1470.05,1523.77,1465.16,1523.77,47099200
2024-07-09,1523.77,1533.54,1514.0,1514.0,31780300
2024-07-10,1514.0,1514.0,1489.58,1494.46,9716000
2024-07-11,1504.23,1533.54,1494.46,1528.65,21348500
2024-07-12,1543.3,1553.07,1518.88,1523.77,29000600
2024-07-15,1528.65,1533.54,1518.88,1523.77,17232700
2024-07-16,1538.42,1538.42,1523.77,1528.65,47366600
2024-07-17,1548.19,1553.07,1514.0,1533.54,42543100
2024-07-18,1514.0,1548.19,1514.0,1533.54,27278200
2024-07-19,1518.88,1562.84,1518.88,1538.42,49564300
2024-07-22,1562.84,1562.84,1528.65,1538.42,16838600
2024-07-23,1528.65,1553.07,1528.65,1538.42,14509200
2024-07-24,1543.3,1548.19,1528.65,1538.42,15333000
2024-07-25,1543.3,1557.95,1518.88,1553.07,18442600
2024-07-26,1562.84,1562.84,1533.54,1538.42,27215900
2024-07-29,1538.42,1538.42,1509.12,1523.77,34373400
2024-07-30,1533.54,1533.54,1504.23,1528.65,18284100
2024-07-31,1533.54,1572.61,1523.77,1553.07,39831000
2024-08-01,1553.07,1631.21,1553.07,1611.68,68481800
