Datetime,Open,High,Low,Close,Volume
2024-05-06,809.83,824.65,785.14,814.77,12784600
2024-05-07,819.71,829.59,795.02,804.9,15196000
2024-05-08,804.9,829.59,799.96,824.65,32208900
2024-05-13,824.65,883.9,819.71,878.97,50967900
2024-05-14,878.97,888.84,819.71,869.09,40218000
2024-05-15,869.09,883.9,849.34,869.09,20653200
2024-05-16,869.09,893.78,849.34,864.15,13357000
2024-05-17,859.21,874.03,839.46,844.4,8804000
2024-05-20,844.4,849.34,809.83,819.71,26005500
2024-05-21,829.59,829.59,790.08,799.96,32970700
2024-05-22,799.96,824.65,799.96,809.83,6270000
2024-05-27,814.77,824.65,765.39,780.21,12554800
2024-05-28,780.21,795.02,750.58,765.39,27686700
2024-05-29,765.39,770.33,735.76,745.64,10314700
2024-05-30,755.52,755.52,730.83,750.58,6563000
2024-05-31,750.58,785.14,740.7,765.39,19638700
2024-06-03,765.39,824.65,745.64,795.02,21565400
2024-06-04,799.96,809.83,780.21,790.08,16635700
2024-06-05,790.08,819.71,770.33,804.9,17449600
2024-06-06,804.9,864.15,790.08,839.46,22755800
2024-06-07,844.4,864.15,819.71,839.46,17959500
2024-06-10,849.34,849.34,765.39,785.14,38165600
2024-06-11,785.14,790.08,735.76,740.7,90659600
2024-06-12,745.64,750.58,716.01,740.7,35743400
2024-06-13,750.58,765.39,745.64,750.58,14742400
2024-06-14,760.45,760.45,720.95,735.76,36166900
2024-06-19,740.7,745.64,691.32,696.26,19234200
2024-06-20,696.26,711.07,671.57,696.26,27600100
2024-06-21,701.2,740.7,701.2,720.95,29497000
2024-06-24,725.89,730.83,706.14,706.14,10878000
2024-06-25,711.07,711.07,696.26,701.2,15177500
2024-06-26,701.2,745.64,701.2,740.7,47451400
2024-06-27,740.7,750.58,730.83,735.76,36287200
2024-06-28,740.7,770.33,725.89,770.33,37619800
2024-07-01,765.39,780.21,730.83,730.83,32045800
2024-07-02,730.83,735.76,716.01,730.83,23475700
2024-07-03,730.83,745.64,720.95,725.89,18678700
2024-07-04,720.95,750.58,720.95,745.64,32803500
2024-07-05,745.64,750.58,725.89,725.89,6011500
2024-07-08,725.89,740.8,720.92,735.83,19581300
2024-07-09,735.83,740.8,725.89,730.86,15347600
2024-07-10,730.86,730.86,715.94,725.89,6665100
2024-07-11,730.86,745.77,720.92,740.8,17672700
2024-07-12,740.8,745.77,715.94,715.94,22082400
2024-07-15,720.92,740.8,715.94,730.86,18536200
2024-07-16,730.86,745.77,720.92,740.8,24865800
2024-07-17,740.8,745.77,725.89,725.89,9108200
2024-07-18,725.89,735.83,720.92,725.89,10702600
2024-07-19,725.89,735.83,715.94,730.86,25619100
2024-07-22,730.86,735.83,720.92,730.86,9212100
2024-07-23,725.89,735.83,725.89,730.86,10560600
2024-07-24,730.86,755.72,725.89,740.8,24700500
2024-07-25,740.8,740.8,725.89,740.8,23765800
2024-07-26,745.77,745.77,735.83,740.8,22321400
2024-07-29,745.77,785.55,735.83,780.58,24665700
2024-07-30,785.55,830.3,750.75,820.35,51729200
2024-07-31,825.32,840.24,795.49,805.44,16341300
2024-08-01,780.58,909.85,765.66,855.15,109540400
2024-08-02,860.13,884.99,845.21,870.07,48973600
2024-08-05,875.04,875.04,815.38,835.27,39775700
2024-08-06,845.21,870.07,820.35,865.1,37670600
2024-08-07,865.1,870.07,835.27,840.24,16800500
2024-08-08,840.24,850.18,820.35,825.32,5285100
2024-08-09,830.3,835.27,805.44,810.41,10835700
2024-08-12,810.41,820.35,775.61,805.44,29440600
2024-08-13,805.44,810.41,790.52,805.44,24369500
2024-08-14,805.44,835.27,805.44,815.38,32009400
2024-08-15,815.38,820.35,790.52,800.46,33358400
2024-08-16,795.49,815.38,795.49,795.49,24591500
2024-08-19,800.46,800.46,780.58,785.55,10322600
2024-08-20,790.52,835.27,785.55,830.3,32620800
2024-08-21,830.3,875.04,830.3,855.15,40116400
2024-08-22,855.15,860.13,830.3,850.18,12766800
2024-08-23,840.24,860.13,815.38,840.24,15248100
2024-08-26,845.21,845.21,800.46,815.38,42251000
2024-08-27,815.38,835.27,815.38,825.32,8891400
2024-08-28,825.32,855.15,815.38,850.18,17264200
2024-08-29,850.18,855.15,825.32,830.3,12126200
2024-08-30,835.27,865.1,820.35,865.1,71816700
2024-09-02,870.07,894.93,850.18,875.04,55427900
2024-09-03,880.01,880.01,825.32,830.3,22491700
2024-09-04,825.32,860.13,810.41,860.13,23780200
2024-09-05,860.13,884.99,860.13,875.04,21495900
2024-09-06,860.13,884.99,855.15,865.1,22291400
2024-09-09,855.15,884.99,845.21,860.13,14873300
2024-09-10,860.13,939.68,855.15,924.76,49232000
2024-09-11,924.76,984.42,904.87,914.82,60053100
2024-09-12,914.82,944.65,914.82,924.76,16363700
2024-09-13,929.73,929.73,889.96,899.9,15210200
2024-09-17,899.9,969.51,899.9,929.73,32020800
2024-09-18,934.7,959.56,899.9,924.76,27704100
2024-09-19,934.7,944.65,909.85,934.7,25724500
2024-09-20,934.7,954.59,924.76,944.65,28836000
2024-09-23,939.68,959.56,939.68,949.62,12508900
2024-09-24,949.62,949.62,929.73,934.7,11101200
2024-09-25,934.7,944.65,919.79,944.65,12502300
2024-09-26,939.68,954.59,934.7,954.59,16824800
2024-09-27,954.59,969.51,944.65,954.59,19537100
2024-09-30,954.59,964.54,924.76,934.7,18254100
2024-10-01,934.7,944.65,919.79,924.76,5951200
2024-10-02,924.76,924.76,870.07,899.9,46912100
2024-10-03,899.9,909.85,865.1,875.04,21625500
2024-10-04,875.04,880.01,865.1,865.1,7423700
2024-10-07,865.1,880.01,825.32,860.13,17146900
2024-10-08,865.1,899.9,845.21,894.93,22797400
2024-10-09,894.93,919.79,884.99,899.9,28571700
2024-10-10,909.85,954.59,904.87,924.76,25660900
2024-10-11,924.76,939.68,909.85,909.85,10505400
2024-10-14,909.85,929.73,904.87,924.76,11825100
2024-10-15,924.76,934.7,904.87,919.79,10321300
2024-10-16,919.79,944.65,899.9,944.65,13817000
2024-10-17,944.65,944.65,909.85,914.82,8702100
2024-10-18,919.79,924.76,909.85,914.82,10046400
2024-10-21,919.79,944.65,909.85,909.85,15088000
2024-10-22,909.85,914.82,889.96,904.87,9465400
2024-10-23,904.87,909.85,889.96,909.85,7319100
2024-10-24,914.82,914.82,889.96,889.96,23211700
2024-10-25,889.96,914.82,880.01,899.9,16228100
2024-10-28,899.9,929.73,899.9,919.79,31009700
2024-10-29,919.79,979.45,919.79,959.56,35713100
2024-10-30,964.54,979.45,934.7,959.56,15068200
2024-10-31,994.37,1078.89,959.56,1078.89,153887300
2024-11-01,1083.86,1168.38,1063.97,1078.89,84747700
2024-11-04,1078.89,1113.69,1019.23,1049.06,24093600
2024-11-05,1168.38,1168.38,1034.14,1049.06,14966500
2024-11-06,1049.06,1049.06,979.45,989.39,25763400
2024-11-07,984.42,1078.89,964.54,1068.94,50600200
2024-11-08,1068.94,1073.92,1014.25,1029.17,16892700
2024-11-11,1034.14,1034.14,979.45,994.37,20521400
2024-11-12,1004.31,1024.2,984.42,1004.31,17689500
2024-11-13,1009.28,1009.28,979.45,989.39,5814000
2024-11-14,989.39,989.39,969.51,984.42,4286900
2024-11-15,984.42,1009.28,969.51,994.37,13066800
2024-11-18,994.37,1024.2,984.42,1014.25,16530100
2024-11-19,1014.25,1063.97,994.37,1039.11,14836300
2024-11-20,1039.11,1054.03,1024.2,1054.03,11279200
2024-11-21,1054.03,1083.86,1039.11,1044.08,15244900
2024-11-22,1044.08,1054.03,994.37,994.37,12727100
2024-11-25,999.34,1009.28,974.48,989.39,21152900
2024-11-26,994.37,1014.25,989.39,999.34,13097500
2024-11-28,1009.28,1024.2,984.42,1024.2,6285800
2024-11-29,1024.2,1093.8,1019.23,1093.8,43976600
2024-12-02,1093.8,1103.75,999.34,999.34,14917800
2024-12-03,1009.28,1054.03,1009.28,1044.08,16116700
2024-12-04,1044.08,1059.0,1019.23,1039.11,13656500
2024-12-05,1039.11,1039.11,1004.31,1019.23,5429000
2024-12-06,1024.2,1024.2,1004.31,1004.31,3125400
2024-12-09,1004.31,1039.11,1004.31,1034.14,7325200
2024-12-10,1044.08,1049.06,1009.28,1009.28,7428500
2024-12-11,1009.28,1024.2,999.34,1014.25,11114900
2024-12-12,1014.25,1054.03,1014.25,1029.17,8737000
2024-12-13,1029.17,1044.08,999.34,1034.14,10939800
2024-12-16,1034.14,1059.0,1009.28,1019.23,8581200
2024-12-17,1014.25,1014.25,989.39,1014.25,6495100
2024-12-18,1014.25,1049.06,1014.25,1044.08,7952300
2024-12-19,1044.08,1044.08,959.56,1024.2,33357800
2024-12-20,994.37,1024.2,994.37,994.37,4224600
2024-12-23,994.37,1044.08,969.51,1029.17,13430700
2024-12-24,1029.17,1034.14,999.34,999.34,2989400
2024-12-27,999.34,1029.17,994.37,1009.28,11390500
2024-12-30,1019.23,1063.97,999.34,1063.97,19536700
2025-01-02,1063.97,1063.97,1019.23,1049.06,3705100
2025-01-03,1049.06,1063.97,1014.25,1034.14,11685900
2025-01-06,1034.14,1054.03,1024.2,1029.17,3901900
2025-01-07,1034.14,1034.14,999.34,1019.23,8975400
2025-01-08,1014.25,1029.17,1004.31,1014.25,10700200
2025-01-09,1014.25,1029.17,1004.31,1014.25,18032500
2025-01-10,1019.23,1039.11,1009.28,1024.2,8254300
2025-01-13,1019.23,1019.23,984.42,984.42,9484700
2025-01-14,1004.31,1014.25,979.45,1004.31,12455200
2025-01-15,1004.31,1019.23,999.34,1014.25,8347000
2025-01-16,1004.31,1024.2,914.82,914.82,30950000
2025-01-17,934.7,949.62,889.96,944.65,32694600
2025-01-20,944.65,959.56,914.82,949.62,12508800
2025-01-21,954.59,959.56,929.73,939.68,10406700
2025-01-22,939.68,939.68,889.96,909.85,28936800
2025-01-23,924.76,934.7,914.82,929.73,12310000
2025-01-24,934.7,979.45,924.76,979.45,16806100
2025-01-30,979.45,984.42,949.62,979.45,11236500
2025-01-31,979.45,989.39,954.59,974.48,22401900
2025-02-03,974.48,979.45,924.76,929.73,13481700
2025-02-04,944.65,944.65,919.79,929.73,10693000
2025-02-05,939.68,939.68,880.01,904.87,22072200
2025-02-06,904.87,924.76,870.07,909.85,22200700
2025-02-07,909.85,909.85,865.1,875.04,37040500
2025-02-10,875.04,884.99,870.07,880.01,11299400
2025-02-11,884.99,884.99,810.41,825.32,31976500
2025-02-12,825.32,855.15,815.38,845.21,19236500
2025-02-13,835.27,845.21,815.38,825.32,14017000
2025-02-14,825.32,855.15,790.52,845.21,36712800
2025-02-17,845.21,855.15,825.32,835.27,16275400
2025-02-18,845.21,870.07,845.21,865.1,26744500
2025-02-19,865.1,884.99,855.15,865.1,54221000
2025-02-20,865.1,865.1,800.46,815.38,31531100
2025-02-21,825.32,835.27,805.44,825.32,19989000
2025-02-24,835.27,845.21,815.38,820.35,18491500
2025-02-25,825.32,835.27,790.52,800.46,6564800
2025-02-26,805.44,835.27,800.46,825.32,17244400
2025-02-27,835.27,860.13,835.27,845.21,16897400
2025-02-28,850.18,850.18,780.58,795.49,40224600
2025-03-03,840.24,840.24,790.52,825.32,30552500
2025-03-04,825.32,825.32,790.52,795.49,18168300
2025-03-05,795.49,840.24,790.52,820.35,38257600
2025-03-06,820.35,830.3,795.49,805.44,65097300
2025-03-07,815.38,840.24,805.44,820.35,15244900
2025-03-10,820.35,845.21,805.44,845.21,4982300
2025-03-11,830.3,835.27,790.52,795.49,18357800
2025-03-12,800.46,830.3,790.52,815.38,41005900
2025-03-13,815.38,820.35,800.46,805.44,11610400
2025-03-14,805.44,815.38,800.46,810.41,4941200
2025-03-17,815.38,815.38,765.66,775.61,19027100
2025-03-18,775.61,775.61,681.14,730.86,54763300
2025-03-19,730.86,730.86,686.11,691.08,33231900
2025-03-20,696.06,706.0,651.31,666.23,65195000
2025-03-21,666.23,666.23,586.68,601.59,87504900
2025-03-24,596.62,671.2,596.62,651.31,96252700
2025-03-25,651.31,681.14,641.37,666.23,75232400
2025-03-26,666.23,696.06,656.28,676.17,63687000
2025-03-27,666.23,666.23,611.54,656.28,79082700
2025-04-08,591.65,591.65,561.82,561.82,28070700
2025-04-09,556.85,566.79,502.15,517.07,55293200
2025-04-10,571.76,616.51,571.76,596.62,53914600
2025-04-11,581.7,601.59,556.85,586.68,17624600
2025-04-14,611.54,656.28,601.59,621.48,53793700
2025-04-15,626.45,641.37,621.48,626.45,36137000
2025-04-16,636.39,636.39,596.62,606.56,20105500
2025-04-17,606.56,631.42,596.62,621.48,16215300
2025-04-21,626.45,626.45,601.59,611.54,11466700
2025-04-22,621.48,621.48,611.54,611.54,3951600
2025-04-23,621.48,646.34,611.54,621.48,45041900
2025-04-24,626.45,631.42,616.51,626.45,15776300
2025-04-25,626.45,656.28,626.45,646.34,37441800
2025-04-28,646.34,656.28,631.42,636.39,11882100
2025-04-29,641.37,651.31,631.42,641.37,24584600
2025-04-30,641.37,651.31,621.48,646.34,23233400
2025-05-02,691.08,691.08,636.39,661.25,49255500
2025-05-05,666.23,691.08,656.28,681.14,64173200
2025-05-06,681.14,706.0,671.2,701.03,32613300
2025-05-07,701.03,760.69,701.03,750.75,44515900
2025-05-08,755.72,770.63,725.89,725.89,32545700
2025-05-09,725.89,740.8,710.97,720.92,17074900
2025-05-14,730.86,765.66,725.89,745.77,53480800
2025-05-15,755.72,765.66,740.8,755.72,28297200
2025-05-16,765.66,765.66,725.89,735.83,22479800
2025-05-19,730.86,740.8,681.14,691.08,43944700
2025-05-20,691.08,696.06,651.31,661.25,72317300
2025-05-21,661.25,661.25,636.39,646.34,62525000
2025-05-22,651.31,706.0,631.42,691.08,128489700
2025-05-23,686.11,691.08,671.2,681.14,24291600
2025-05-26,671.2,706.0,671.2,686.11,43369300
2025-05-27,706.0,735.83,691.08,735.83,53647600
2025-05-28,740.8,750.75,701.03,701.03,45945800
2025-06-02,701.03,765.66,701.03,745.77,48721500
2025-06-03,745.77,750.75,715.94,715.94,29528100
2025-06-04,720.92,735.83,706.0,710.97,12374400
2025-06-05,715.94,715.94,686.11,696.06,19546900
2025-06-10,701.03,701.03,671.2,676.17,41900500
2025-06-11,676.17,691.08,661.25,686.11,25881400
2025-06-12,691.08,691.08,671.2,681.14,15040900
2025-06-13,676.17,676.17,646.34,656.28,33758000
2025-06-16,656.28,666.23,646.34,656.28,16710500
2025-06-17,661.25,671.2,656.28,666.23,13288700
2025-06-18,666.23,676.17,636.39,641.37,29624100
2025-06-19,641.37,641.37,601.59,641.37,42592100
2025-06-20,636.39,656.28,611.54,651.31,24243500
2025-06-23,646.34,646.34,611.54,616.51,19165900
2025-06-24,631.42,676.17,631.42,666.23,38963400
2025-06-25,676.17,681.14,631.42,631.42,22136600
2025-06-26,636.39,646.34,621.48,636.39,14827900
2025-06-30,646.34,681.14,626.45,651.31,26924300
2025-07-01,656.28,696.06,656.28,696.06,29114300
2025-07-02,701.03,735.83,696.06,715.94,38316900
2025-07-03,715.94,725.89,691.08,720.92,29194600
2025-07-04,715.94,735.83,715.94,725.89,11396100
2025-07-07,745.77,904.87,735.83,770.63,150357500
2025-07-08,770.63,785.55,696.06,706.0,52565100
2025-07-09,715.0,755.0,710.0,735.0,43358900
2025-07-10,740.0,745.0,705.0,715.0,35256600
2025-07-11,715.0,720.0,660.0,670.0,83437500
2025-07-14,680.0,685.0,655.0,670.0,33470200
2025-07-15,680.0,690.0,660.0,675.0,23289100
2025-07-16,685.0,715.0,675.0,705.0,35184600
2025-07-17,705.0,715.0,680.0,685.0,21603700
