Datetime,Open,High,Low,Close,Volume
2024-05-06,1469.44,1474.37,1410.27,1425.06,30352000
2024-05-07,1429.99,1439.86,1385.61,1385.61,41499000
2024-05-08,1390.55,1503.96,1385.61,1474.37,36459200
2024-05-13,1469.44,1518.75,1429.99,1503.96,23903800
2024-05-14,1508.89,1508.89,1454.65,1489.17,15866600
2024-05-15,1489.17,1494.1,1459.58,1489.17,11272100
2024-05-16,1499.03,1499.03,1459.58,1464.51,32122900
2024-05-17,1454.65,1484.23,1434.92,1469.44,18362400
2024-05-20,1479.3,1479.3,1444.79,1464.51,34397000
2024-05-21,1474.37,1474.37,1385.61,1385.61,20555800
2024-05-22,1400.41,1410.27,1370.82,1370.82,22303300
2024-05-27,1370.82,1380.68,1316.58,1326.44,53033400
2024-05-28,1331.37,1336.3,1296.86,1326.44,39829400
2024-05-29,1331.37,1331.37,1267.27,1282.06,21644700
2024-05-30,1282.06,1291.92,1252.48,1277.13,43633000
2024-05-31,1277.13,1296.86,1222.89,1252.48,45469100
2024-06-03,1267.27,1360.96,1267.27,1331.37,26364900
2024-06-04,1341.23,1449.72,1331.37,1429.99,50850400
2024-06-05,1439.86,1489.17,1434.92,1479.3,51555700
2024-06-06,1489.17,1494.1,1434.92,1444.79,23648700
2024-06-07,1449.72,1479.3,1449.72,1454.65,15017900
2024-06-10,1454.65,1464.51,1365.89,1400.41,22121500
2024-06-11,1400.41,1425.06,1356.03,1385.61,24339800
2024-06-12,1385.61,1415.2,1375.75,1395.48,5147900
2024-06-13,1405.34,1464.51,1405.34,1449.72,11314700
2024-06-14,1459.58,1474.37,1321.51,1449.72,22683700
2024-06-19,1415.2,1415.2,1331.37,1346.17,16298400
2024-06-20,1346.17,1390.54,1301.79,1356.03,15804500
2024-06-21,1316.58,1420.13,1316.58,1410.27,19567300
2024-06-24,1429.99,1434.92,1375.75,1395.48,12069100
2024-06-25,1375.75,1410.27,1351.1,1380.68,16890800
2024-06-26,1405.34,1405.34,1351.1,1385.61,21884100
2024-06-27,1390.54,1474.37,1390.54,1464.51,31570900
2024-06-28,1469.44,1503.96,1454.65,1454.65,28630800
