Datetime,Open,High,Low,Close,Volume
2024-05-06,530.0,535.0,515.0,525.0,57753200
2024-05-07,530.0,570.0,525.0,555.0,89871300
2024-05-08,560.0,580.0,560.0,580.0,89577500
2024-05-13,580.0,580.0,560.0,560.0,25634900
2024-05-14,560.0,570.0,545.0,550.0,23258700
2024-05-15,550.0,560.0,540.0,550.0,19416000
2024-05-16,560.0,575.0,550.0,555.0,61150600
2024-05-17,565.0,625.0,560.0,605.0,258407200
2024-05-20,620.0,650.0,615.0,645.0,191586000
2024-05-21,650.0,655.0,620.0,645.0,79713400
2024-05-22,645.0,655.0,635.0,650.0,124001800
2024-05-27,650.0,650.0,610.0,620.0,47877600
2024-05-28,625.0,685.0,620.0,670.0,131321300
2024-05-29,680.0,685.0,655.0,675.0,78508400
2024-05-30,670.0,675.0,640.0,645.0,43112900
2024-05-31,640.0,695.0,635.0,670.0,125251400
2024-06-03,680.0,725.0,655.0,725.0,116126400
2024-06-04,710.0,725.0,655.0,660.0,150842300
2024-06-05,655.0,660.0,580.0,580.0,187251000
2024-06-06,585.0,605.0,565.0,570.0,93207400
2024-06-07,580.0,605.0,580.0,590.0,95734800
2024-06-10,590.0,600.0,555.0,570.0,73221700
2024-06-11,565.0,620.0,565.0,605.0,95816700
2024-06-12,610.0,620.0,595.0,605.0,42844300
2024-06-13,615.0,615.0,590.0,590.0,27865100
2024-06-14,590.0,605.0,560.0,565.0,50296700
2024-06-19,565.0,585.0,550.0,550.0,32467100
2024-06-20,555.0,565.0,540.0,555.0,31833500
2024-06-21,560.0,595.0,555.0,580.0,71659100
2024-06-24,585.0,600.0,575.0,595.0,30594500
2024-06-25,595.0,600.0,580.0,590.0,14330700
2024-06-26,590.0,590.0,575.0,590.0,19496000
2024-06-27,590.0,630.0,590.0,620.0,74472000
2024-06-28,630.0,635.0,620.0,630.0,36467600
2024-07-01,630.0,675.0,630.0,650.0,99028600
2024-07-02,655.0,660.0,620.0,625.0,43463500
2024-07-03,625.0,630.0,610.0,620.0,33482000
2024-07-04,625.0,640.0,610.0,610.0,60351500
2024-07-05,610.0,640.0,610.0,630.0,70585900
2024-07-08,635.0,635.0,605.0,610.0,67826000
2024-07-09,610.0,640.0,605.0,625.0,106199600
2024-07-10,630.0,640.0,620.0,630.0,49482300
2024-07-11,630.0,655.0,630.0,645.0,108304300
2024-07-12,645.0,650.0,625.0,635.0,55032700
2024-07-15,630.0,640.0,615.0,640.0,55496300
2024-07-16,645.0,665.0,640.0,655.0,61722700
2024-07-17,660.0,660.0,650.0,655.0,35338200
2024-07-18,655.0,660.0,635.0,640.0,68213300
2024-07-19,640.0,640.0,615.0,620.0,67553100
2024-07-22,620.0,635.0,610.0,615.0,88771300
2024-07-23,615.0,635.0,610.0,635.0,115411500
2024-07-24,640.0,640.0,620.0,630.0,61766000
2024-07-25,630.0,630.0,575.0,595.0,131763200
2024-07-26,600.0,605.0,595.0,595.0,27838200
2024-07-29,595.0,605.0,585.0,590.0,23432400
2024-07-30,590.0,595.0,580.0,580.0,17657600
2024-07-31,585.0,600.0,585.0,595.0,30773800
2024-08-01,600.0,615.0,595.0,605.0,43005600
2024-08-02,600.0,610.0,590.0,590.0,27380600
2024-08-05,585.0,585.0,510.0,550.0,150183000
2024-08-06,560.0,575.0,550.0,565.0,67413600
2024-08-07,575.0,585.0,570.0,575.0,39358000
2024-08-08,570.0,575.0,550.0,550.0,44168800
2024-08-09,560.0,575.0,555.0,570.0,31234700
2024-08-12,575.0,590.0,565.0,580.0,51026300
2024-08-13,585.0,590.0,570.0,575.0,22897900
2024-08-14,580.0,585.0,565.0,565.0,39162400
2024-08-15,565.0,570.0,555.0,555.0,55371600
2024-08-16,560.0,575.0,555.0,555.0,45794500
2024-08-19,555.0,565.0,535.0,545.0,66273800
2024-08-20,555.0,565.0,545.0,565.0,54321800
2024-08-21,565.0,570.0,550.0,550.0,45052000
2024-08-22,555.0,555.0,535.0,540.0,75234400
2024-08-23,545.0,550.0,535.0,540.0,52703700
2024-08-26,545.0,555.0,540.0,545.0,53492600
2024-08-27,545.0,550.0,530.0,540.0,75003600
2024-08-28,550.0,570.0,545.0,560.0,130758900
2024-08-29,560.0,560.0,540.0,545.0,86188800
2024-08-30,545.0,555.0,540.0,550.0,42782800
2024-09-02,545.0,555.0,540.0,545.0,44899800
2024-09-03,545.0,550.0,540.0,540.0,44101300
2024-09-04,530.0,545.0,525.0,535.0,30270400
2024-09-05,535.0,540.0,530.0,540.0,36581200
2024-09-06,545.0,545.0,535.0,535.0,29087100
2024-09-09,535.0,540.0,520.0,525.0,55079700
2024-09-10,530.0,540.0,530.0,530.0,24714700
2024-09-11,535.0,535.0,530.0,530.0,24012100
2024-09-12,535.0,555.0,530.0,545.0,90795500
2024-09-13,545.0,555.0,535.0,540.0,34784600
2024-09-17,545.0,550.0,535.0,540.0,46800300
2024-09-18,540.0,545.0,525.0,525.0,40611000
2024-09-19,530.0,535.0,525.0,530.0,37379500
2024-09-20,530.0,540.0,520.0,540.0,91359500
2024-09-23,540.0,550.0,540.0,545.0,45241000
2024-09-24,545.0,550.0,535.0,540.0,47942500
2024-09-25,545.0,565.0,540.0,550.0,158450100
2024-09-26,555.0,580.0,540.0,575.0,148736000
2024-09-27,580.0,590.0,565.0,585.0,147200400
2024-09-30,585.0,590.0,570.0,585.0,65968400
2024-10-01,610.0,615.0,585.0,590.0,196409900
2024-10-02,595.0,595.0,560.0,575.0,101538100
2024-10-03,580.0,585.0,575.0,580.0,54059900
2024-10-04,575.0,580.0,560.0,560.0,63227300
2024-10-07,565.0,570.0,555.0,565.0,46549600
2024-10-08,560.0,565.0,540.0,545.0,75379500
2024-10-09,545.0,545.0,530.0,540.0,48268900
2024-10-10,540.0,545.0,530.0,530.0,41063800
2024-10-11,530.0,545.0,530.0,540.0,42533700
2024-10-14,540.0,555.0,535.0,535.0,52142300
2024-10-15,540.0,545.0,535.0,535.0,24990600
2024-10-16,540.0,540.0,530.0,535.0,24426100
2024-10-17,535.0,545.0,525.0,530.0,86429500
2024-10-18,535.0,540.0,530.0,540.0,33227400
2024-10-21,540.0,555.0,540.0,545.0,50102300
2024-10-22,545.0,545.0,530.0,535.0,53480400
2024-10-23,540.0,540.0,530.0,530.0,42653500
2024-10-24,530.0,535.0,525.0,530.0,26585000
2024-10-25,530.0,535.0,525.0,525.0,36609000
2024-10-28,530.0,540.0,525.0,530.0,42358000
2024-10-29,530.0,535.0,525.0,525.0,26809500
2024-10-30,530.0,530.0,520.0,520.0,24197300
2024-10-31,525.0,550.0,520.0,550.0,92438200
2024-11-01,540.0,560.0,535.0,540.0,115062000
2024-11-04,545.0,550.0,530.0,530.0,18530200
2024-11-05,530.0,540.0,525.0,525.0,21236500
2024-11-06,525.0,545.0,525.0,525.0,32135900
2024-11-07,525.0,530.0,498.0,505.0,86162600
2024-11-08,510.0,515.0,505.0,515.0,21806500
2024-11-11,515.0,515.0,500.0,500.0,47503500
2024-11-12,500.0,510.0,492.0,492.0,38491100
2024-11-13,500.0,580.0,500.0,540.0,285606800
2024-11-14,550.0,570.0,530.0,530.0,105362500
2024-11-15,530.0,545.0,515.0,525.0,39812800
2024-11-18,515.0,520.0,476.0,500.0,225614700
2024-11-19,500.0,515.0,498.0,505.0,37066100
2024-11-20,505.0,515.0,500.0,500.0,27220600
2024-11-21,500.0,510.0,498.0,510.0,43087600
2024-11-22,515.0,555.0,505.0,550.0,173454500
2024-11-25,550.0,555.0,520.0,520.0,35573500
2024-11-26,525.0,535.0,520.0,525.0,22329500
2024-11-28,525.0,530.0,505.0,510.0,38289900
2024-11-29,510.0,510.0,500.0,500.0,40059400
2024-12-02,500.0,515.0,500.0,505.0,24064200
2024-12-03,510.0,525.0,505.0,515.0,24115300
2024-12-04,520.0,535.0,515.0,530.0,35294100
2024-12-05,530.0,530.0,515.0,520.0,15070700
2024-12-06,520.0,525.0,510.0,510.0,14888400
2024-12-09,515.0,520.0,510.0,515.0,11577300
2024-12-10,515.0,540.0,515.0,535.0,45427600
2024-12-11,525.0,540.0,515.0,520.0,36089700
2024-12-12,520.0,525.0,510.0,520.0,20004900
2024-12-13,520.0,520.0,505.0,505.0,18864800
2024-12-16,505.0,505.0,478.0,496.0,151556500
2024-12-17,496.0,500.0,484.0,488.0,24481200
2024-12-18,490.0,492.0,480.0,480.0,15192700
2024-12-19,486.0,490.0,450.0,452.0,56720300
2024-12-20,454.0,462.0,448.0,462.0,45473100
2024-12-23,462.0,476.0,462.0,468.0,18454100
2024-12-24,468.0,470.0,454.0,454.0,15413200
2024-12-27,454.0,464.0,452.0,454.0,10695900
2024-12-30,452.0,474.0,450.0,458.0,34897300
2025-01-02,468.0,468.0,454.0,458.0,27492300
2025-01-03,458.0,466.0,454.0,458.0,103578700
2025-01-06,458.0,460.0,440.0,442.0,40950700
2025-01-07,440.0,450.0,434.0,440.0,24622300
2025-01-08,438.0,444.0,412.0,412.0,49163300
2025-01-09,410.0,422.0,406.0,412.0,29987300
2025-01-10,416.0,426.0,410.0,420.0,30707100
2025-01-13,422.0,428.0,414.0,416.0,27641100
2025-01-14,418.0,444.0,416.0,440.0,58234400
2025-01-15,442.0,448.0,434.0,436.0,28752100
2025-01-16,438.0,440.0,420.0,422.0,28677100
2025-01-17,422.0,426.0,416.0,418.0,19348400
2025-01-20,430.0,436.0,418.0,426.0,45809300
2025-01-21,428.0,434.0,422.0,422.0,16563000
2025-01-22,420.0,426.0,414.0,416.0,24380600
2025-01-23,416.0,426.0,416.0,416.0,27432400
2025-01-24,418.0,420.0,408.0,410.0,31625100
2025-01-30,410.0,412.0,390.0,390.0,39052500
2025-01-31,388.0,398.0,382.0,382.0,35884300
2025-02-03,388.0,392.0,370.0,376.0,30296100
2025-02-04,384.0,392.0,382.0,386.0,29109800
2025-02-05,386.0,390.0,380.0,380.0,17948000
2025-02-06,384.0,384.0,366.0,370.0,23180400
2025-02-07,376.0,382.0,360.0,376.0,36498800
2025-02-10,380.0,382.0,370.0,374.0,19164700
2025-02-11,376.0,390.0,368.0,386.0,37768700
2025-02-12,386.0,396.0,380.0,390.0,31216500
2025-02-13,394.0,408.0,384.0,392.0,64526100
2025-02-14,400.0,402.0,384.0,384.0,17085400
2025-02-17,384.0,398.0,380.0,384.0,47228500
2025-02-18,384.0,398.0,384.0,388.0,40891800
2025-02-19,390.0,396.0,372.0,374.0,32497800
2025-02-20,374.0,382.0,374.0,378.0,13866700
2025-02-21,380.0,390.0,376.0,378.0,27931000
2025-02-24,378.0,380.0,370.0,372.0,15256700
2025-02-25,376.0,376.0,352.0,354.0,23861100
2025-02-26,360.0,366.0,354.0,354.0,21636800
2025-02-27,354.0,360.0,336.0,338.0,30502500
2025-02-28,340.0,342.0,320.0,328.0,70079700
2025-03-03,328.0,350.0,326.0,328.0,87959500
2025-03-04,328.0,328.0,296.0,308.0,96010500
2025-03-05,306.0,316.0,284.0,286.0,87841700
2025-03-06,290.0,324.0,290.0,306.0,335747300
2025-03-07,308.0,332.0,304.0,310.0,239527200
2025-03-10,314.0,318.0,288.0,296.0,142274700
2025-03-11,294.0,294.0,276.0,286.0,99055600
2025-03-12,286.0,288.0,270.0,280.0,82100100
2025-03-13,280.0,286.0,272.0,276.0,62052900
2025-03-14,280.0,302.0,272.0,290.0,149405500
2025-03-17,292.0,330.0,292.0,322.0,294221700
2025-03-18,326.0,326.0,276.0,310.0,244696200
2025-03-19,314.0,314.0,296.0,304.0,100292800
2025-03-20,306.0,316.0,290.0,296.0,94382900
2025-03-21,304.0,306.0,284.0,284.0,101971600
2025-03-24,296.0,296.0,260.0,270.0,118620700
2025-03-25,276.0,292.0,268.0,288.0,91153700
2025-03-26,290.0,306.0,288.0,302.0,75626100
2025-03-27,296.0,318.0,296.0,300.0,119832600
2025-04-08,260.0,278.0,256.0,256.0,107260300
2025-04-09,250.0,264.0,238.0,242.0,92450400
2025-04-10,260.0,276.0,254.0,262.0,188225200
2025-04-11,262.0,276.0,250.0,252.0,156091100
2025-04-14,258.0,282.0,258.0,278.0,169174700
