Datetime,Open,High,Low,Close,Volume
2024-05-06,516.27,539.52,516.27,534.87,37026600
2024-05-07,534.87,539.52,520.92,534.87,29476000
2024-05-08,534.87,539.52,520.92,530.22,22716500
2024-05-13,530.22,539.52,520.92,530.22,31942400
2024-05-14,534.87,539.52,525.57,530.22,11252900
2024-05-15,530.22,548.83,530.22,539.52,19051800
2024-05-16,544.17,567.43,539.52,567.43,22508100
2024-05-17,567.43,576.73,558.13,567.43,36728500
2024-05-20,567.43,572.08,548.83,553.48,23860600
2024-05-21,558.13,562.78,544.17,558.13,33052900
2024-05-22,562.78,567.43,553.48,562.78,15255300
2024-05-27,562.78,562.78,544.17,553.48,27054700
2024-05-28,558.13,567.43,553.48,562.78,30234100
2024-05-29,562.78,572.08,558.13,567.43,29482200
2024-05-30,567.43,572.08,553.48,562.78,54329000
2024-05-31,567.43,576.73,558.13,567.43,28765300
2024-06-03,567.43,572.08,558.13,572.08,23606300
2024-06-04,572.08,586.03,562.78,586.03,35460300
2024-06-05,586.03,590.68,572.08,586.03,39981900
2024-06-06,590.68,590.68,572.08,586.03,26957100
2024-06-07,586.03,595.34,581.38,590.68,57693900
2024-06-10,590.68,590.68,567.43,590.68,43377800
2024-06-11,593.82,603.4,584.24,598.61,34662800
2024-06-12,593.82,603.4,584.24,593.82,32203500
2024-06-13,593.82,598.61,584.24,598.61,31337900
2024-06-14,598.61,598.61,574.67,579.45,25650400
2024-06-19,574.67,584.24,555.51,584.24,34504400
2024-06-20,589.03,603.4,569.88,603.4,37400800
2024-06-21,603.4,612.98,593.82,612.98,41636400
2024-06-24,612.98,622.55,608.19,617.77,51628100
2024-06-25,617.77,632.13,612.98,632.13,40348000
2024-06-26,632.13,632.13,617.77,632.13,66210900
2024-06-27,632.13,632.13,612.98,612.98,25318900
2024-06-28,608.19,617.77,603.4,617.77,27677200
2024-07-01,617.77,617.77,603.4,617.77,25095500
2024-07-02,617.77,617.77,598.61,612.98,29341400
2024-07-03,612.98,646.5,598.61,646.5,56112200
2024-07-04,646.5,656.08,632.13,646.5,61885600
2024-07-05,646.5,646.5,622.55,622.55,16288100
2024-07-08,627.34,670.44,617.77,670.44,75312000
2024-07-09,670.44,670.44,632.13,651.29,44516000
2024-07-10,651.29,656.08,636.92,641.71,9040600
2024-07-11,636.92,656.08,632.13,636.92,14515100
2024-07-12,636.92,651.29,636.92,646.5,7685500
2024-07-15,646.5,651.29,632.13,651.29,12974900
2024-07-16,651.29,670.44,636.92,656.08,31865800
2024-07-17,656.08,670.44,646.5,670.44,28853700
2024-07-18,670.44,670.44,656.08,660.87,19909100
2024-07-19,651.29,660.87,646.5,656.08,11114000
2024-07-22,656.08,660.87,646.5,656.08,11486100
2024-07-23,651.29,660.87,651.29,660.87,25899000
2024-07-24,660.87,660.87,646.5,660.87,20537800
2024-07-25,656.08,656.08,641.71,641.71,13390100
2024-07-26,646.5,646.5,627.34,641.71,12420300
2024-07-29,632.13,651.29,627.34,627.34,19175200
2024-07-30,636.92,641.71,627.34,636.92,8793500
2024-07-31,636.92,665.65,632.13,665.65,20950000
2024-08-01,656.08,660.87,636.92,656.08,17859600
2024-08-02,651.29,656.08,641.71,656.08,14026800
2024-08-05,646.5,651.29,632.13,646.5,27130800
2024-08-06,646.5,651.29,636.92,646.5,12784200
2024-08-07,641.71,656.08,636.92,656.08,15380600
2024-08-08,656.08,656.08,641.71,651.29,11305700
2024-08-09,651.29,651.29,641.71,651.29,8843800
2024-08-12,646.5,651.29,646.5,646.5,10128500
2024-08-13,651.29,656.08,641.71,651.29,10844300
2024-08-14,646.5,656.08,641.71,651.29,11786900
2024-08-15,646.5,651.29,636.92,636.92,14574200
2024-08-16,641.71,646.5,632.13,641.71,12183200
2024-08-19,636.92,641.71,627.34,627.34,12008900
2024-08-20,632.13,636.92,622.55,627.34,18940400
2024-08-21,632.13,641.71,622.55,641.71,25808400
2024-08-22,641.71,641.71,627.34,636.92,26057600
2024-08-23,636.92,651.29,632.13,646.5,11348600
2024-08-26,641.71,651.29,641.71,646.5,19574500
2024-08-27,646.5,651.29,632.13,641.71,11955100
2024-08-28,641.71,646.5,632.13,646.5,13842500
2024-08-29,646.5,646.5,632.13,641.71,32156500
2024-08-30,641.71,656.08,636.92,636.92,30238400
2024-09-02,636.92,651.29,636.92,641.71,24249600
2024-09-03,641.71,646.5,622.55,632.13,31322800
2024-09-04,632.13,636.92,617.77,617.77,23397400
2024-09-05,617.77,636.92,608.19,632.13,21132500
2024-09-06,622.55,641.71,622.55,632.13,14788400
2024-09-09,632.13,641.71,622.55,627.34,6594400
2024-09-10,632.13,641.71,617.77,636.92,11543600
2024-09-11,636.92,646.5,627.34,632.13,17776200
2024-09-12,627.34,636.92,622.55,627.34,7466500
2024-09-13,622.55,636.92,622.55,627.34,7347900
2024-09-17,627.34,636.92,622.55,627.34,10487500
2024-09-18,622.55,632.13,617.77,622.55,17849200
2024-09-19,622.55,632.13,622.55,627.34,8063700
2024-09-20,627.34,632.13,617.77,627.34,11468100
2024-09-23,632.13,636.92,622.55,627.34,6509200
2024-09-24,627.34,632.13,617.77,622.55,10848000
2024-09-25,622.55,627.34,608.19,622.55,18128200
2024-09-26,627.34,627.34,608.19,622.55,25042800
2024-09-27,622.55,627.34,612.98,617.77,22091700
2024-09-30,622.55,622.55,608.19,612.98,27271200
2024-10-01,608.19,617.77,598.61,603.4,27857500
2024-10-02,603.4,603.4,574.67,579.45,59827100
2024-10-03,579.45,584.24,569.88,574.67,29056700
2024-10-04,574.67,579.45,569.88,579.45,43666300
2024-10-07,574.67,593.82,569.88,584.24,54854900
2024-10-08,579.45,584.24,565.09,584.24,102922600
2024-10-09,584.24,589.03,579.45,589.03,43467700
2024-10-10,589.03,598.61,579.45,589.03,133125400
2024-10-11,593.82,627.34,593.82,617.77,205933800
2024-10-14,627.34,627.34,593.82,593.82,28275300
2024-10-15,598.61,603.4,589.03,593.82,23033800
2024-10-16,593.82,622.55,584.24,622.55,64361000
2024-10-17,617.77,622.55,603.4,612.98,18214500
2024-10-18,612.98,627.34,608.19,617.77,11350300
2024-10-21,617.77,622.55,608.19,608.19,11330300
2024-10-22,608.19,617.77,603.4,612.98,19698400
2024-10-23,612.98,617.77,603.4,612.98,11119600
2024-10-24,612.98,622.55,603.4,612.98,14312000
2024-10-25,612.98,622.55,603.4,608.19,10954800
2024-10-28,608.19,617.77,603.4,617.77,17331500
2024-10-29,622.55,627.34,617.77,622.55,17168400
2024-10-30,622.55,627.34,612.98,617.77,16546100
2024-10-31,617.77,617.77,603.4,603.4,20206800
2024-11-01,603.4,612.98,593.82,598.61,18436800
2024-11-04,598.61,603.4,584.24,584.24,19373800
2024-11-05,589.03,589.03,569.88,579.45,19939800
2024-11-06,579.45,584.24,574.67,574.67,19194700
2024-11-07,574.67,579.45,560.3,569.88,11929000
2024-11-08,569.88,574.67,555.51,560.3,16044600
2024-11-11,565.09,569.88,545.93,550.72,22633800
2024-11-12,550.72,555.51,541.14,541.14,18458300
2024-11-13,545.93,545.93,531.57,531.57,28785400
2024-11-14,536.35,560.3,531.57,550.72,21691700
2024-11-15,550.72,565.09,541.14,555.51,18713200
2024-11-18,560.3,560.3,541.14,541.14,24076300
2024-11-19,541.14,560.3,541.14,555.51,17088800
2024-11-20,555.51,560.3,545.93,550.72,10839100
2024-11-21,550.72,565.09,545.93,565.09,14952400
2024-11-22,565.09,584.24,555.51,579.45,27712400
2024-11-25,584.24,593.82,579.45,584.24,21131200
2024-11-26,589.03,589.03,574.67,584.24,23070300
2024-11-28,584.24,593.82,579.45,579.45,10824100
2024-11-29,589.03,593.82,584.24,593.82,14471800
2024-12-02,598.61,603.4,593.82,593.82,20024700
2024-12-03,598.61,603.4,593.82,598.61,13565700
2024-12-04,603.4,603.4,593.82,593.82,23097000
2024-12-05,603.4,646.5,598.61,632.13,68045800
2024-12-06,632.13,641.71,627.34,632.13,32375600
2024-12-09,641.71,646.5,632.13,641.71,32396700
2024-12-10,651.29,656.08,641.71,646.5,28775900
2024-12-11,656.08,660.87,651.29,651.29,39614800
2024-12-12,656.08,665.65,651.29,656.08,45761500
2024-12-13,656.08,660.87,646.5,651.29,38196700
2024-12-16,651.29,656.08,646.5,651.29,16467000
2024-12-17,651.29,656.08,641.71,646.5,17822200
2024-12-18,646.5,646.5,636.92,641.71,18869200
2024-12-19,646.5,646.5,636.92,636.92,24607600
2024-12-20,641.71,641.71,627.34,632.13,27640600
2024-12-23,636.92,641.71,622.55,632.13,19721400
2024-12-24,627.34,636.92,617.77,632.13,14014300
2024-12-27,627.34,632.13,617.77,622.55,9567000
2024-12-30,622.55,632.13,617.77,617.77,13486400
2025-01-02,632.13,641.71,627.34,641.71,41174000
2025-01-03,641.71,646.5,622.55,627.34,26470000
2025-01-06,627.34,641.71,622.55,632.13,17294200
2025-01-07,632.13,646.5,632.13,641.71,38668700
2025-01-08,641.71,656.08,641.71,646.5,23091600
2025-01-09,646.5,651.29,641.71,646.5,23298200
2025-01-10,646.5,656.08,641.71,646.5,19393800
2025-01-13,651.29,651.29,641.71,646.5,12826600
2025-01-14,646.5,656.08,641.71,641.71,24765900
2025-01-15,641.71,646.5,636.92,641.71,20686900
2025-01-16,641.71,646.5,632.13,632.13,14273500
2025-01-17,632.13,636.92,627.34,632.13,12774500
