Datetime,Open,High,Low,Close,Volume
2024-05-06,2234.02,2291.06,2205.5,2243.53,8104600
2024-05-07,2253.03,2281.55,2234.02,2262.54,7596900
2024-05-08,2262.54,2281.55,2243.53,2253.03,11394800
2024-05-13,2253.03,2262.54,2186.49,2205.5,7217700
2024-05-14,2205.5,2243.53,2186.49,2224.51,4663000
2024-05-15,2224.51,2291.06,2205.5,2215.01,10025100
2024-05-16,2234.02,2234.02,2195.99,2224.51,5328500
2024-05-17,2224.51,2234.02,2195.99,2205.5,10356700
2024-05-20,2205.5,2224.51,2167.48,2176.98,7550400
2024-05-21,2186.49,2195.99,2167.48,2186.49,3030100
2024-05-22,2091.42,2195.99,2091.42,2167.48,4117100
2024-05-27,2176.98,2186.49,2167.48,2176.98,2588100
2024-05-28,2186.49,2243.53,2176.98,2176.98,7492500
2024-05-29,2176.98,2195.99,2157.97,2176.98,2768600
2024-05-30,2167.48,2205.5,2100.93,2119.94,13392600
2024-05-31,2129.45,2176.98,2110.44,2157.97,8955200
2024-06-03,2157.97,2186.49,2129.45,2176.98,5664400
2024-06-04,2167.48,2176.98,2148.46,2176.98,3613300
2024-06-05,2176.98,2176.98,2148.46,2167.48,5385400
2024-06-06,2186.49,2262.54,2167.48,2253.03,10538400
2024-06-07,2253.03,2262.54,2205.5,2253.03,3704600
2024-06-10,2262.54,2338.59,2234.02,2291.06,20388400
2024-06-11,2291.06,2319.58,2262.54,2281.55,7236200
2024-06-12,2281.55,2281.55,2234.02,2272.05,3391100
2024-06-13,2272.05,2291.06,2224.51,2253.03,6870400
2024-06-14,2253.03,2262.54,2205.5,2262.54,3146300
2024-06-19,2262.54,2310.07,2234.02,2291.06,6381000
2024-06-20,2291.06,2291.06,2215.01,2234.02,6704800
2024-06-21,2234.02,2272.05,2234.02,2262.54,2974100
2024-06-24,2262.54,2310.07,2234.02,2272.05,6270400
2024-06-25,2315.83,2325.56,2276.91,2286.64,4974000
2024-06-26,2286.64,2296.37,2276.91,2296.37,1208800
2024-06-27,2306.1,2315.83,2286.64,2306.1,3457000
2024-06-28,2306.1,2315.83,2286.64,2286.64,10532800
2024-07-01,2286.64,2315.83,2257.45,2296.37,9772800
2024-07-02,2296.37,2315.83,2257.45,2296.37,2361000
2024-07-03,2306.1,2422.87,2296.37,2383.95,13645800
2024-07-04,2383.95,2422.87,2354.75,2364.49,7580500
2024-07-05,2383.95,2393.68,2354.75,2374.22,4337900
2024-07-08,2383.95,2393.68,2354.75,2383.95,3840000
2024-07-09,2383.95,2383.95,2354.75,2364.49,3663800
2024-07-10,2364.49,2364.49,2335.29,2345.02,9848600
2024-07-11,2345.02,2403.41,2345.02,2383.95,5426300
2024-07-12,2393.68,2422.87,2364.49,2413.14,8493300
2024-07-15,2422.87,2432.6,2393.68,2413.14,6834500
2024-07-16,2413.14,2432.6,2413.14,2432.6,4714300
2024-07-17,2432.6,2461.79,2315.83,2383.95,18019200
2024-07-18,2374.22,2568.82,2374.22,2529.9,23168600
2024-07-19,2529.9,2549.36,2481.25,2510.44,7839200
2024-07-22,2520.17,2559.09,2490.98,2529.9,6418000
2024-07-23,2520.17,2559.09,2490.98,2500.71,8386800
2024-07-24,2500.71,2500.71,2432.6,2442.33,3379100
2024-07-25,2452.06,2500.71,2452.06,2471.52,8578500
2024-07-26,2481.25,2559.09,2481.25,2539.63,7516900
2024-07-29,2549.36,2559.09,2500.71,2510.44,6140000
2024-07-30,2520.17,2578.55,2500.71,2500.71,11358300
2024-07-31,2529.9,2559.09,2520.17,2539.63,4504700
2024-08-01,2529.9,2549.36,2442.33,2461.79,10086100
2024-08-02,2461.79,2471.52,2403.41,2403.41,10246700
2024-08-05,2403.41,2403.41,2325.56,2403.41,17901300
2024-08-06,2403.41,2500.71,2403.41,2500.71,15489400
2024-08-07,2500.71,2520.17,2471.52,2520.17,6403300
2024-08-08,2520.17,2520.17,2481.25,2490.98,6525700
2024-08-09,2481.25,2500.71,2461.79,2481.25,6410100
2024-08-12,2481.25,2510.44,2481.25,2490.98,3036500
2024-08-13,2588.28,2588.28,2490.98,2529.9,11033000
2024-08-14,2539.63,2646.67,2529.9,2627.21,18683000
2024-08-15,2627.21,2656.4,2549.36,2636.94,20113900
2024-08-16,2646.67,2646.67,2598.01,2607.75,4939500
2024-08-19,2607.75,2666.13,2588.28,2598.01,7757000
2024-08-20,2607.75,2646.67,2578.55,2578.55,4724400
2024-08-21,2588.28,2607.75,2549.36,2568.82,8526200
2024-08-22,2568.82,2588.28,2500.71,2529.9,8884800
2024-08-23,2529.9,2617.48,2529.9,2607.75,9691400
2024-08-26,2607.75,2607.75,2559.09,2578.55,7479700
2024-08-27,2598.01,2598.01,2559.09,2578.55,4181300
2024-08-28,2588.28,2627.21,2578.55,2617.48,4568700
2024-08-29,2607.75,2627.21,2578.55,2617.48,7233500
2024-08-30,2617.48,2617.48,2578.55,2588.28,9950400
2024-09-02,2588.28,2598.01,2539.63,2568.82,8153500
2024-09-03,2549.36,2588.28,2529.9,2539.63,3990000
2024-09-04,2549.36,2559.09,2529.9,2559.09,7362400
2024-09-05,2549.36,2666.13,2549.36,2666.13,9223300
2024-09-06,2675.86,2705.05,2578.55,2607.75,11754000
2024-09-09,2607.75,2636.94,2539.63,2568.82,10370100
2024-09-10,2578.55,2666.13,2578.55,2656.4,8592700
2024-09-11,2656.4,2666.13,2617.48,2627.21,4159300
2024-09-12,2627.21,2753.7,2617.48,2705.05,7150300
2024-09-13,2705.05,2734.24,2617.48,2636.94,6723300
2024-09-17,2636.94,2656.4,2627.21,2636.94,6182400
2024-09-18,2636.94,2685.59,2627.21,2656.4,3722500
2024-09-19,2646.67,2743.97,2646.67,2705.05,15860300
2024-09-20,2695.32,2821.81,2685.59,2753.7,12563100
2024-09-23,2753.7,2812.08,2685.59,2724.51,8911300
2024-09-24,2695.32,2724.51,2685.59,2695.32,6258900
2024-09-25,2705.05,2724.51,2666.13,2666.13,6292200
2024-09-26,2685.59,2851.0,2685.59,2792.62,17232200
2024-09-27,2802.35,2880.2,2792.62,2851.0,14186800
2024-09-30,2860.74,2880.2,2743.97,2763.43,10567300
2024-10-01,2773.16,2928.85,2773.16,2889.93,16777200
2024-10-02,2899.66,2899.66,2802.35,2821.81,6126700
