Datetime,Open,High,Low,Close,Volume
2024-05-06,849.28,872.49,849.28,867.84,9312300
2024-05-07,867.84,900.33,863.2,891.05,29067600
2024-05-08,891.05,900.33,872.49,900.33,15818200
2024-05-13,900.33,909.61,881.77,900.33,13832300
2024-05-14,900.33,900.33,881.77,900.33,12577500
2024-05-15,900.33,900.33,886.41,886.41,16223300
2024-05-16,886.41,904.97,886.41,904.97,24600300
2024-05-17,909.61,969.94,909.61,960.66,122155600
2024-05-20,969.94,983.87,942.1,956.02,104827700
2024-05-21,956.02,965.3,918.89,960.66,63331900
2024-05-22,956.02,993.15,932.82,993.15,43062200
2024-05-27,974.58,993.15,946.74,988.51,42759900
2024-05-28,988.51,1007.07,965.3,983.87,47622200
2024-05-29,983.87,983.87,956.02,956.02,21955800
2024-05-30,965.3,965.3,918.89,937.46,32340700
2024-05-31,937.46,937.46,900.33,932.82,55780100
2024-06-03,932.82,932.82,914.25,918.89,22537000
2024-06-04,918.89,923.53,853.92,853.92,49942600
2024-06-05,835.36,853.92,798.23,830.72,53844100
2024-06-06,830.72,853.92,816.79,853.92,20138200
2024-06-07,853.92,872.49,840.0,872.49,14738200
2024-06-10,863.2,872.49,849.28,872.49,16773300
2024-06-11,872.49,900.33,863.2,891.05,15371700
2024-06-12,886.41,909.61,853.92,909.61,36815500
2024-06-13,909.61,909.61,891.05,909.61,19023800
2024-06-14,909.61,909.61,891.05,909.61,12712000
2024-06-19,904.97,946.74,895.69,928.18,28961500
2024-06-20,928.18,946.74,914.25,937.46,18250700
2024-06-21,942.1,951.38,914.25,951.38,34134300
2024-06-24,946.74,946.74,923.53,942.1,30824300
2024-06-25,937.46,942.1,928.18,928.18,9608100
2024-06-26,928.18,928.18,914.25,928.18,15708600
2024-06-27,928.18,946.74,918.89,937.46,25977100
2024-06-28,937.46,951.38,923.53,937.46,35929900
2024-07-01,937.46,937.46,918.89,928.18,18420400
2024-07-02,928.18,932.82,918.89,928.18,11807500
2024-07-03,928.18,932.82,918.89,928.18,18530400
2024-07-04,928.18,937.46,923.53,928.18,16638500
2024-07-05,928.18,928.18,923.53,928.18,9590100
2024-07-08,934.58,944.12,929.81,939.35,20887800
2024-07-09,939.35,944.12,915.51,939.35,23015600
2024-07-10,939.35,939.35,925.04,939.35,4415600
2024-07-11,934.58,939.35,925.04,925.04,12935500
2024-07-12,925.04,929.81,910.74,920.28,12014900
2024-07-15,920.28,925.04,891.67,891.67,20198900
2024-07-16,891.67,915.51,886.9,896.43,20586000
2024-07-17,896.43,905.97,882.13,891.67,11550000
2024-07-18,891.67,901.2,877.36,891.67,16872100
2024-07-19,896.43,901.2,882.13,886.9,7823000
2024-07-22,891.67,891.67,882.13,891.67,7868400
2024-07-23,891.67,891.67,877.36,882.13,12155900
2024-07-24,882.13,882.13,863.06,863.06,14008000
2024-07-25,863.06,863.06,843.98,848.75,12149800
2024-07-26,848.75,867.82,843.98,863.06,5682000
2024-07-29,858.29,877.36,858.29,867.82,11065400
2024-07-30,867.82,882.13,853.52,882.13,12295400
2024-07-31,882.13,891.67,872.59,872.59,12755600
2024-08-01,905.97,910.74,886.9,891.67,21964800
2024-08-02,896.43,896.43,877.36,886.9,5709600
2024-08-05,882.13,882.13,820.14,839.22,29777000
2024-08-06,839.22,848.75,834.45,843.98,9316000
2024-08-07,843.98,863.06,839.22,858.29,9577500
2024-08-08,858.29,863.06,843.98,853.52,4595900
2024-08-09,867.82,867.82,853.52,853.52,5902400
2024-08-12,858.29,901.2,853.52,896.43,18216500
2024-08-13,896.43,905.97,882.13,882.13,10068300
2024-08-14,886.9,901.2,882.13,891.67,15360500
2024-08-15,896.43,896.43,863.06,877.36,17557500
2024-08-16,872.59,886.9,872.59,877.36,11551900
2024-08-19,877.36,886.9,872.59,882.13,7757700
2024-08-20,886.9,886.9,872.59,882.13,14118100
2024-08-21,882.13,886.9,872.59,877.36,12245000
2024-08-22,877.36,877.36,863.06,863.06,6914800
2024-08-23,867.82,882.13,858.29,872.59,5856500
2024-08-26,872.59,886.9,867.82,872.59,6142300
2024-08-27,872.59,905.97,872.59,896.43,19986000
2024-08-28,896.43,905.97,882.13,891.67,10664800
2024-08-29,896.43,901.2,877.36,877.36,7942700
2024-08-30,877.36,886.9,867.82,867.82,7609600
2024-09-02,867.82,882.13,863.06,867.82,10626500
2024-09-03,872.59,877.36,858.29,858.29,7062200
2024-09-04,858.29,858.29,843.98,848.75,8078500
2024-09-05,848.75,858.29,834.45,839.22,21636300
2024-09-06,839.22,853.52,839.22,848.75,7515000
2024-09-09,848.75,853.52,834.45,839.22,8884300
2024-09-10,839.22,843.98,824.91,829.68,12834300
2024-09-11,824.91,834.45,815.37,820.14,17407600
2024-09-12,820.14,829.68,820.14,820.14,19469000
2024-09-13,824.91,829.68,820.14,824.91,7187900
2024-09-17,824.91,839.22,820.14,834.45,11781200
2024-09-18,834.45,839.22,829.68,834.45,8841300
2024-09-19,834.45,839.22,824.91,834.45,19671700
2024-09-20,834.45,858.29,824.91,848.75,18558000
2024-09-23,848.75,867.82,848.75,858.29,17451400
2024-09-24,863.06,867.82,848.75,858.29,14566100
2024-09-25,858.29,867.82,858.29,867.82,14333000
2024-09-26,867.82,877.36,853.52,863.06,9280700
2024-09-27,863.06,867.82,853.52,858.29,9467900
2024-09-30,858.29,867.82,848.75,858.29,17598800
2024-10-01,867.82,882.13,858.29,872.59,28397200
2024-10-02,872.59,882.13,848.75,863.06,32878200
2024-10-03,867.82,901.2,863.06,886.9,52508400
2024-10-04,882.13,891.67,858.29,872.59,28639000
2024-10-07,872.59,886.9,858.29,877.36,14326700
2024-10-08,877.36,882.13,848.75,863.06,19431800
2024-10-09,863.06,882.13,848.75,863.06,23533900
2024-10-10,863.06,877.36,863.06,877.36,7570500
2024-10-11,877.36,877.36,867.82,877.36,6316500
2024-10-14,882.13,882.13,867.82,872.59,5797300
2024-10-15,872.59,882.13,867.82,872.59,18539500
2024-10-16,872.59,877.36,863.06,872.59,6023900
2024-10-17,877.36,877.36,867.82,872.59,11102300
2024-10-18,872.59,877.36,867.82,872.59,9687100
2024-10-21,872.59,886.9,863.06,867.82,20133700
2024-10-22,872.59,877.36,863.06,867.82,9831400
2024-10-23,867.82,877.36,863.06,867.82,11563200
2024-10-24,867.82,872.59,853.52,863.06,5904500
2024-10-25,863.06,863.06,848.75,863.06,10357000
2024-10-28,863.06,863.06,848.75,848.75,6874300
2024-10-29,848.75,853.52,839.22,839.22,4358800
2024-10-30,839.22,853.52,834.45,848.75,7847800
2024-10-31,853.52,877.36,843.98,858.29,13898100
2024-11-01,863.06,872.59,843.98,843.98,4580600
2024-11-04,843.98,858.29,829.68,834.45,5637500
2024-11-05,839.22,848.75,829.68,834.45,4107600
2024-11-06,834.45,843.98,815.37,815.37,11359400
2024-11-07,820.14,820.14,810.61,815.37,5358900
2024-11-08,820.14,858.29,815.37,839.22,15143700
2024-11-11,853.52,853.52,820.14,829.68,3136000
2024-11-12,829.68,839.22,820.14,824.91,2634500
2024-11-13,824.91,839.22,820.14,839.22,4344400
2024-11-14,839.22,848.75,820.14,820.14,3915500
2024-11-15,820.14,824.91,791.53,820.14,10668700
2024-11-18,820.14,820.14,782.0,791.53,9251400
2024-11-19,777.23,796.3,777.23,782.0,6778200
2024-11-20,791.53,791.53,767.69,772.46,7581300
2024-11-21,777.23,782.0,762.92,772.46,5526200
