Datetime,Open,High,Low,Close,Volume
2024-05-06,65.0,67.0,63.0,65.0,1965300
2024-05-07,66.0,68.0,65.0,67.0,1466800
2024-05-08,65.0,68.0,64.0,65.0,2643800
2024-05-13,66.0,66.0,63.0,64.0,2600100
2024-05-14,62.0,66.0,62.0,65.0,887200
2024-05-15,66.0,68.0,65.0,67.0,1778300
2024-05-16,67.0,69.0,66.0,66.0,420100
2024-05-17,67.0,68.0,66.0,68.0,761600
2024-05-20,68.0,69.0,66.0,66.0,517900
2024-05-21,66.0,66.0,63.0,64.0,2607600
2024-05-22,63.0,64.0,62.0,62.0,1268100
2024-05-27,63.0,64.0,61.0,62.0,1214500
2024-05-28,54.0,65.0,54.0,61.0,2435700
2024-05-29,62.0,62.0,56.0,56.0,7580900
2024-05-30,55.0,58.0,55.0,57.0,3201400
2024-05-31,57.0,58.0,55.0,55.0,3307000
2024-06-03,52.0,56.0,50.0,50.0,8452600
2024-06-04,50.0,51.0,50.0,50.0,9717700
2024-06-05,50.0,51.0,50.0,50.0,1295100
2024-06-06,50.0,50.0,50.0,50.0,616600
2024-06-07,50.0,50.0,50.0,50.0,224000
2024-06-10,50.0,50.0,50.0,50.0,776000
2024-06-11,50.0,50.0,50.0,50.0,724300
2024-06-12,50.0,50.0,50.0,50.0,458700
2024-06-13,50.0,50.0,50.0,50.0,60400
2024-06-14,50.0,50.0,50.0,50.0,56700
2024-06-19,50.0,50.0,50.0,50.0,975800
2024-06-20,50.0,50.0,50.0,50.0,176200
2024-06-21,50.0,50.0,50.0,50.0,40800
2024-06-24,50.0,50.0,50.0,50.0,297200
2024-06-25,50.0,50.0,50.0,50.0,225600
2024-06-26,50.0,51.0,50.0,50.0,1266200
2024-06-27,50.0,51.0,50.0,50.0,242100
2024-06-28,50.0,51.0,50.0,51.0,772400
2024-07-01,51.0,53.0,50.0,51.0,2196400
2024-07-02,51.0,57.0,50.0,55.0,6987800
2024-07-03,54.0,73.0,54.0,69.0,63493100
2024-07-04,66.0,75.0,60.0,64.0,46985600
2024-07-05,64.0,68.0,62.0,64.0,11073100
2024-07-08,64.0,76.0,62.0,71.0,62639000
2024-07-09,71.0,73.0,66.0,68.0,26691900
2024-07-10,68.0,70.0,65.0,67.0,11146300
2024-07-11,67.0,68.0,64.0,65.0,4655200
2024-07-12,65.0,69.0,57.0,67.0,13663900
2024-07-15,67.0,68.0,65.0,66.0,2723700
2024-07-16,66.0,68.0,66.0,67.0,1925900
