Datetime,Open,High,Low,Close,Volume
2024-05-06,2254.59,2262.26,2231.59,2246.92,14822200
2024-05-07,2254.59,2262.26,2200.91,2208.58,19836200
2024-05-08,2223.92,2315.94,2139.56,2246.92,89508200
2024-05-13,2262.26,2277.6,2231.59,2246.92,20604500
2024-05-14,2254.59,2269.93,2239.25,2239.25,22326100
2024-05-15,2254.59,2262.26,2223.92,2231.59,16338100
2024-05-16,2239.25,2246.92,2223.92,2246.92,21537000
2024-05-17,2246.92,2262.26,2231.59,2239.25,30769200
2024-05-20,2246.92,2269.93,2231.59,2246.92,72080600
2024-05-21,2262.64,2342.5,2244.89,2280.39,61531400
2024-05-22,2280.39,2307.0,2280.39,2298.13,18229700
2024-05-27,2307.0,2307.0,2236.02,2236.02,21414000
2024-05-28,2253.77,2271.51,2227.15,2227.15,11910700
2024-05-29,2236.02,2244.89,2182.78,2191.65,14743600
2024-05-30,2191.65,2218.27,2147.29,2209.4,9640300
2024-05-31,2218.27,2236.02,2209.4,2209.4,15709000
2024-06-03,2218.27,2298.13,2218.27,2289.26,16723300
2024-06-04,2298.13,2298.13,2271.51,2280.39,11333500
2024-06-05,2280.39,2289.26,2218.27,2244.89,9835700
2024-06-06,2244.89,2253.77,2218.27,2227.15,4891100
2024-06-07,2236.02,2262.64,2227.15,2244.89,7711700
2024-06-10,2244.89,2253.77,2191.65,2200.53,13448200
2024-06-11,2200.53,2218.27,2165.04,2165.04,12171100
2024-06-12,2165.04,2182.78,2147.29,2156.16,6485000
2024-06-13,2156.16,2236.02,2156.16,2236.02,14098000
2024-06-14,2236.02,2236.02,2173.91,2182.78,5659700
2024-06-19,2182.78,2191.65,2147.29,2156.16,5276200
2024-06-20,2156.16,2173.91,2147.29,2147.29,6492600
2024-06-21,2156.16,2173.91,2111.8,2147.29,18936500
2024-06-24,2156.16,2165.04,2147.29,2156.16,6459100
2024-06-25,2165.04,2173.91,2138.42,2138.42,6880400
2024-06-26,2138.42,2165.04,2129.54,2165.04,6341900
2024-06-27,2165.04,2165.04,2147.29,2156.16,4573400
2024-06-28,2156.16,2191.65,2156.16,2173.91,12859800
2024-07-01,2182.78,2218.27,2173.91,2218.27,9767100
2024-07-02,2218.27,2236.02,2209.4,2209.4,9422500
2024-07-03,2218.27,2244.89,2209.4,2218.27,10030300
2024-07-04,2236.02,2280.39,2227.15,2244.89,18794900
2024-07-05,2253.77,2280.39,2236.02,2253.77,9942000
2024-07-08,2253.77,2271.51,2244.89,2262.64,7491700
2024-07-09,2262.64,2280.39,2244.89,2244.89,10477700
2024-07-10,2244.89,2271.51,2244.89,2253.77,7337200
2024-07-11,2262.64,2271.51,2253.77,2262.64,4841300
2024-07-12,2262.64,2271.51,2244.89,2244.89,7888600
2024-07-15,2271.51,2271.51,2218.27,2236.02,12266200
2024-07-16,2244.89,2262.64,2236.02,2244.89,6947800
2024-07-17,2262.64,2262.64,2244.89,2253.77,7325200
2024-07-18,2253.77,2333.62,2236.02,2324.75,26806000
2024-07-19,2324.75,2377.99,2324.75,2333.62,30356300
2024-07-22,2342.5,2395.74,2342.5,2377.99,18786400
2024-07-23,2386.86,2413.48,2351.37,2351.37,21142700
2024-07-24,2351.37,2377.99,2315.88,2324.75,11115400
2024-07-25,2324.75,2360.24,2307.0,2315.88,10327000
2024-07-26,2324.75,2369.12,2324.75,2360.24,8478400
2024-07-29,2377.99,2395.74,2360.24,2369.12,10990800
2024-07-30,2377.99,2386.86,2342.5,2342.5,7184600
2024-07-31,2342.5,2377.99,2342.5,2377.99,10266700
2024-08-01,2395.74,2395.74,2342.5,2369.12,9702200
2024-08-02,2369.12,2431.23,2360.24,2413.48,22835800
2024-08-05,2404.61,2404.61,2227.15,2271.51,48501700
2024-08-06,2307.0,2333.62,2253.77,2298.13,19166600
2024-08-07,2307.0,2333.62,2298.13,2315.88,10480400
2024-08-08,2315.88,2324.75,2289.26,2298.13,8760900
2024-08-09,2307.0,2324.75,2289.26,2289.26,7434400
2024-08-12,2298.13,2351.37,2298.13,2351.37,13483400
2024-08-13,2369.12,2377.99,2351.37,2360.24,8739100
2024-08-14,2360.24,2413.48,2342.5,2413.48,22031400
2024-08-15,2413.48,2413.48,2369.12,2395.74,19410100
2024-08-16,2413.48,2440.1,2395.74,2422.35,25829000
2024-08-19,2422.35,2422.35,2395.74,2404.61,11115900
2024-08-20,2413.48,2422.36,2395.74,2413.48,9550300
2024-08-21,2413.48,2431.23,2404.61,2404.61,12353000
2024-08-22,2395.74,2431.23,2369.12,2413.48,17628700
2024-08-23,2413.48,2475.59,2413.48,2448.97,22179900
2024-08-26,2457.85,2475.59,2448.97,2457.85,12227700
2024-08-27,2466.72,2502.21,2448.97,2466.72,16790600
2024-08-28,2475.59,2484.47,2457.85,2466.72,10744200
2024-08-29,2466.72,2493.34,2448.97,2466.72,15032300
2024-08-30,2466.72,2466.72,2422.35,2422.35,21459200
2024-09-02,2431.23,2502.21,2422.35,2502.21,30665600
2024-09-03,2502.21,2528.83,2475.59,2484.47,14953700
2024-09-04,2457.85,2493.34,2431.23,2448.97,14767300
2024-09-05,2448.97,2466.72,2404.61,2440.1,14614200
2024-09-06,2440.1,2440.1,2404.61,2404.61,13816400
2024-09-09,2413.48,2422.35,2351.37,2377.99,22601600
2024-09-10,2386.86,2404.61,2351.37,2369.12,17035500
2024-09-11,2351.37,2386.86,2351.37,2360.24,9549300
2024-09-12,2386.86,2440.1,2386.86,2413.48,20896600
2024-09-13,2413.48,2431.23,2395.74,2422.35,10996900
2024-09-17,2422.35,2502.21,2404.61,2484.47,32828500
2024-09-18,2493.34,2502.21,2466.72,2466.72,9166700
2024-09-19,2466.72,2484.47,2448.97,2466.72,10019700
2024-09-20,2475.59,2617.56,2448.97,2617.56,85703000
2024-09-23,2617.56,2777.28,2599.82,2768.41,127993400
2024-09-24,2768.41,2786.15,2715.17,2750.66,42900500
2024-09-25,2768.41,2803.9,2697.42,2732.91,41602600
2024-09-26,2750.66,2768.41,2724.04,2759.53,30074500
2024-09-27,2759.53,2786.15,2697.42,2786.15,43117300
2024-09-30,2795.02,2821.64,2724.04,2732.91,37413700
2024-10-01,2732.91,2768.41,2653.06,2724.04,55814500
2024-10-02,2724.04,2732.91,2670.8,2706.29,23254500
2024-10-03,2706.29,2732.91,2688.55,2715.17,18192500
2024-10-04,2715.17,2750.66,2653.06,2653.06,27042800
2024-10-07,2715.17,2786.15,2715.17,2750.66,31774800
2024-10-08,2759.53,2768.41,2715.17,2732.91,21266900
2024-10-09,2732.91,2732.91,2679.67,2706.29,14404900
2024-10-10,2706.29,2724.04,2679.67,2679.67,15849000
2024-10-11,2706.29,2715.17,2679.67,2688.55,10016300
2024-10-14,2697.42,2768.41,2688.55,2750.66,30455100
2024-10-15,2750.66,2786.15,2732.91,2750.66,24711000
2024-10-16,2768.41,2768.41,2706.29,2732.91,21907400
2024-10-17,2732.91,2741.79,2715.17,2715.17,12348900
2024-10-18,2724.04,2732.91,2688.55,2706.29,12261800
2024-10-21,2706.29,2706.29,2670.8,2679.67,15196900
2024-10-22,2679.67,2706.29,2679.67,2697.42,7584100
2024-10-23,2697.42,2706.29,2617.56,2617.56,29092600
2024-10-24,2617.56,2635.31,2590.94,2590.94,13921900
2024-10-25,2590.94,2608.69,2546.58,2555.45,17372800
2024-10-28,2555.45,2582.07,2519.96,2546.58,16500200
2024-10-29,2528.83,2546.58,2511.09,2528.83,9846900
2024-10-30,2528.83,2555.45,2484.47,2519.96,17122400
2024-10-31,2528.83,2626.44,2519.96,2626.44,22804100
2024-11-01,2617.56,2617.56,2555.45,2590.94,14265400
2024-11-04,2590.94,2590.94,2528.83,2546.58,9847800
2024-11-05,2555.45,2590.94,2537.71,2564.32,13393700
2024-11-06,2573.2,2573.2,2519.96,2537.71,9440000
2024-11-07,2537.71,2537.71,2493.34,2511.09,9943500
2024-11-08,2511.09,2519.96,2484.47,2484.47,9176000
2024-11-11,2484.47,2484.47,2440.1,2457.85,16646500
2024-11-12,2466.72,2564.32,2466.72,2546.58,18297100
2024-11-13,2546.58,2564.32,2493.34,2493.34,11390000
2024-11-14,2493.34,2493.34,2457.85,2457.85,8777600
2024-11-15,2457.85,2484.47,2440.1,2440.1,8098700
2024-11-18,2440.1,2457.85,2395.74,2413.48,11015500
2024-11-19,2413.48,2475.59,2413.48,2457.85,6834200
2024-11-20,2457.85,2466.72,2413.48,2431.23,5495500
2024-11-21,2431.23,2457.85,2413.48,2413.48,4713200
2024-11-22,2440.1,2466.72,2431.23,2457.85,5347300
2024-11-25,2457.85,2511.09,2448.97,2484.47,12285400
2024-11-26,2511.09,2511.09,2448.97,2448.97,6816800
2024-11-28,2448.97,2475.59,2431.23,2475.59,5875400
2024-11-29,2475.59,2475.59,2395.74,2395.74,10744500
2024-12-02,2395.74,2422.36,2360.24,2369.12,12311800
2024-12-03,2369.12,2404.61,2369.12,2395.74,6349300
2024-12-04,2395.74,2440.1,2395.74,2404.61,10573800
2024-12-05,2422.35,2457.85,2395.74,2431.23,8311500
2024-12-06,2422.35,2422.35,2395.74,2422.35,7213200
2024-12-09,2422.35,2448.97,2422.35,2440.1,10858500
2024-12-10,2448.97,2537.71,2431.23,2511.09,28227200
2024-12-11,2511.09,2537.71,2475.59,2484.47,13120800
2024-12-12,2484.47,2511.09,2466.72,2484.47,9050900
2024-12-13,2484.47,2493.34,2457.85,2466.72,4660300
2024-12-16,2466.72,2475.59,2413.48,2431.23,9329800
2024-12-17,2431.23,2431.23,2369.12,2369.12,12049200
2024-12-18,2369.12,2404.61,2360.24,2377.99,5529700
2024-12-19,2377.99,2377.99,2280.39,2289.26,23987000
2024-12-20,2298.13,2333.62,2298.13,2298.13,6238800
2024-12-23,2307.0,2324.75,2298.13,2298.13,7109000
2024-12-24,2307.0,2324.75,2298.13,2298.13,5148700
2024-12-27,2307.0,2342.5,2307.0,2324.75,7571900
2024-12-30,2333.62,2440.1,2324.75,2440.1,16423500
2025-01-02,2440.1,2448.97,2369.12,2377.99,11358800
2025-01-03,2395.74,2404.61,2377.99,2395.74,6270800
2025-01-06,2395.74,2404.61,2351.37,2351.37,8069600
2025-01-07,2351.37,2369.12,2315.88,2342.5,10403000
2025-01-08,2315.88,2377.99,2315.88,2342.5,7642200
2025-01-09,2342.5,2342.5,2315.88,2324.75,7940500
2025-01-10,2315.88,2413.48,2315.88,2386.86,13279300
2025-01-13,2386.86,2386.86,2315.88,2315.88,14542900
2025-01-14,2315.88,2360.24,2307.0,2324.75,10125500
2025-01-15,2324.75,2369.12,2324.75,2369.12,10005600
2025-01-16,2369.12,2404.61,2369.12,2386.86,13448300
2025-01-17,2386.86,2395.74,2360.24,2377.99,8275600
2025-01-20,2369.12,2395.74,2360.24,2360.24,8433900
2025-01-21,2377.99,2386.86,2369.12,2386.86,6286700
2025-01-22,2386.86,2431.23,2386.86,2404.61,10055500
2025-01-23,2404.61,2404.61,2377.99,2395.74,6637800
2025-01-24,2395.74,2413.48,2377.99,2395.74,5699600
2025-01-30,2395.74,2404.61,2360.24,2377.99,7985700
2025-01-31,2360.24,2395.74,2333.62,2386.86,9102600
2025-02-03,2386.86,2386.86,2351.37,2369.12,8952800
2025-02-04,2377.99,2440.1,2369.12,2386.86,8784900
2025-02-05,2377.99,2431.23,2377.99,2413.48,8030000
2025-02-06,2413.48,2422.35,2351.37,2351.37,9826200
2025-02-07,2351.37,2395.74,2307.0,2369.12,6640700
2025-02-10,2369.12,2369.12,2324.75,2324.75,7866600
2025-02-11,2324.75,2342.5,2307.0,2324.75,5596900
2025-02-12,2324.75,2342.5,2298.13,2342.5,4652700
2025-02-13,2342.5,2422.35,2315.88,2386.86,7256600
2025-02-14,2377.99,2431.23,2360.24,2404.61,9924200
2025-02-17,2404.61,2404.61,2377.99,2404.61,5549300
2025-02-18,2404.61,2413.48,2377.99,2386.86,6466600
2025-02-19,2395.74,2413.48,2360.24,2360.24,11910500
2025-02-20,2369.12,2395.74,2333.62,2369.12,8642500
2025-02-21,2360.24,2386.86,2342.5,2360.24,7654900
2025-02-24,2351.37,2395.74,2333.62,2342.5,8644300
2025-02-25,2351.37,2369.12,2315.88,2324.75,10908400
2025-02-26,2324.75,2342.5,2307.0,2315.88,7508100
2025-02-27,2315.88,2351.37,2315.88,2324.75,11462100
2025-02-28,2307.0,2315.88,2200.53,2298.13,21109800
2025-03-03,2298.13,2315.88,2244.89,2289.26,8847900
2025-03-04,2289.26,2289.26,2191.65,2227.15,11829000
2025-03-05,2227.15,2289.26,2218.27,2289.26,13004500
2025-03-06,2289.26,2307.0,2271.51,2289.26,8411300
2025-03-07,2280.39,2289.26,2262.64,2262.64,5569000
2025-03-10,2262.64,2280.39,2227.15,2227.15,11349200
2025-03-11,2218.27,2236.02,2200.53,2209.4,5507500
2025-03-12,2209.4,2236.02,2200.53,2200.53,7374600
2025-03-13,2200.53,2218.27,2173.91,2173.91,9681000
2025-03-14,2182.78,2200.53,2173.91,2173.91,5732000
2025-03-17,2173.91,2200.53,2147.29,2173.91,6458800
2025-03-18,2173.91,2182.78,2085.18,2147.29,13320600
2025-03-19,2129.54,2173.91,2111.8,2156.16,6280300
2025-03-20,2165.04,2191.65,2138.42,2138.42,7010200
2025-03-21,2138.42,2138.42,2058.56,2058.56,13568500
2025-03-24,2058.56,2085.18,1996.45,2040.81,13409000
2025-03-25,2040.81,2191.65,2031.94,2173.91,13581800
2025-03-26,2182.78,2253.77,2182.78,2227.15,13483000
2025-03-27,2227.15,2280.39,2227.15,2236.02,8070300
2025-04-08,2058.56,2173.91,2040.81,2147.29,19199300
2025-04-09,2138.42,2262.64,2138.42,2182.78,12180100
2025-04-10,2262.64,2377.99,2244.89,2377.99,27346700
2025-04-11,2342.5,2386.86,2324.75,2377.99,13694600
2025-04-14,2377.99,2431.23,2369.12,2431.23,13422200
2025-04-15,2440.1,2457.85,2404.61,2448.97,13376700
2025-04-16,2440.1,2448.97,2404.61,2404.61,13161700
2025-04-17,2404.61,2440.1,2395.74,2422.35,7922200
2025-04-21,2422.35,2431.23,2395.74,2422.35,8532900
2025-04-22,2404.61,2484.47,2395.74,2448.97,19672500
2025-04-23,2466.72,2502.21,2448.97,2466.72,18149700
2025-04-24,2466.72,2493.34,2457.85,2466.72,13587300
2025-04-25,2466.72,2502.21,2457.85,2466.72,22505600
2025-04-28,2466.72,2493.34,2448.97,2457.85,26690700
2025-04-29,2457.85,2519.96,2457.85,2475.59,26130000
2025-04-30,2484.47,2528.83,2448.97,2448.97,35320900
2025-05-02,2395.74,2440.1,2342.5,2431.23,21611100
2025-05-05,2413.48,2422.36,2377.99,2413.48,16635000
2025-05-06,2413.48,2422.35,2404.61,2404.61,10763800
2025-05-07,2404.61,2457.85,2404.61,2448.97,14513800
2025-05-08,2457.85,2466.72,2404.61,2413.48,15449000
2025-05-09,2431.23,2431.23,2404.61,2404.61,10006700
2025-05-14,2413.48,2475.59,2413.48,2475.59,19082400
2025-05-15,2484.47,2493.34,2457.85,2457.85,19167800
2025-05-16,2475.59,2555.45,2457.85,2537.71,53076400
2025-05-19,2537.71,2582.07,2537.71,2573.2,34963000
2025-05-20,2590.94,2599.82,2484.47,2502.21,36974900
2025-05-21,2493.34,2528.83,2466.72,2475.59,42906300
2025-05-22,2475.59,2511.09,2475.59,2502.21,19170600
2025-05-23,2511.09,2519.96,2502.21,2519.96,7835700
2025-05-26,2537.71,2537.71,2493.34,2511.09,15733300
2025-05-27,2519.96,2555.45,2511.09,2528.83,22143500
2025-05-28,2546.58,2573.2,2537.71,2564.32,30732700
