Datetime,Open,High,Low,Close,Volume
2024-05-06,398.0,408.0,398.0,400.0,18992400
2024-05-07,400.0,408.0,398.0,398.0,13366400
2024-05-08,400.0,402.0,378.0,382.0,31953600
2024-05-13,380.0,386.0,368.0,370.0,21744400
2024-05-14,370.0,374.0,362.0,366.0,17198900
2024-05-15,386.0,386.0,366.0,368.0,22704200
2024-05-16,372.0,378.0,368.0,372.0,16352700
2024-05-17,374.0,380.0,368.0,376.0,16344400
2024-05-20,376.0,392.0,370.0,370.0,29271800
2024-05-21,376.0,378.0,364.0,366.0,22971100
2024-05-22,366.0,372.0,364.0,368.0,9264400
2024-05-27,368.0,372.0,352.0,356.0,22243800
2024-05-28,356.0,378.0,356.0,362.0,64103500
2024-05-29,372.0,382.0,350.0,354.0,22246700
2024-05-30,340.0,356.0,340.0,346.0,16564400
2024-05-31,346.0,348.0,338.0,340.0,13962400
2024-06-03,340.0,346.0,334.0,338.0,11810900
2024-06-04,340.0,354.0,330.0,346.0,29257800
2024-06-05,346.0,350.0,336.0,338.0,18778200
2024-06-06,338.0,350.0,332.0,348.0,13485700
2024-06-07,348.0,358.0,348.0,352.0,23755600
2024-06-10,354.0,356.0,346.0,348.0,10274600
2024-06-11,348.0,356.0,342.0,342.0,8820500
2024-06-12,348.0,348.0,324.0,328.0,22880400
2024-06-13,330.0,338.0,322.0,328.0,16432400
2024-06-14,324.0,330.0,310.0,310.0,18744700
2024-06-19,296.0,312.0,278.0,278.0,55669100
2024-06-20,280.0,294.0,278.0,284.0,21455600
2024-06-21,286.0,308.0,284.0,300.0,31513900
2024-06-24,300.0,308.0,298.0,298.0,13753000
2024-06-25,298.0,302.0,286.0,288.0,14154700
2024-06-26,286.0,296.0,286.0,290.0,10495400
2024-06-27,272.0,300.0,272.0,286.0,8548500
2024-06-28,288.0,302.0,286.0,290.0,30679700
2024-07-01,280.0,310.0,280.0,302.0,121660000
2024-07-02,302.0,322.0,298.0,312.0,137739000
2024-07-03,314.0,354.0,310.0,342.0,222032500
2024-07-04,344.0,350.0,328.0,332.0,85900600
2024-07-05,332.0,346.0,328.0,332.0,62116700
2024-07-08,334.0,408.0,330.0,404.0,288592600
2024-07-09,404.0,434.0,396.0,400.0,364192700
2024-07-10,400.0,418.0,392.0,392.0,84189100
2024-07-11,394.0,406.0,380.0,388.0,57441500
2024-07-12,388.0,424.0,388.0,416.0,203121300
