Datetime,Open,High,Low,Close,Volume
2024-05-06,375.07,382.61,365.64,380.72,72230700
2024-05-07,386.38,386.38,371.3,376.95,22307900
2024-05-08,376.95,378.84,361.87,361.87,57955700
2024-05-13,371.3,371.3,352.45,354.33,62832600
2024-05-14,358.1,359.99,354.33,358.1,37561900
2024-05-15,358.1,359.99,352.45,356.22,32318200
2024-05-16,359.99,373.18,358.1,369.41,113248200
2024-05-17,369.41,376.95,369.41,375.07,60838400
2024-05-20,375.07,380.72,375.07,376.95,29243700
2024-05-21,376.95,376.95,369.41,371.3,32099500
2024-05-22,375.07,376.95,371.3,371.3,10450900
2024-05-27,380.72,380.72,365.64,365.64,21934700
2024-05-28,367.53,371.3,361.87,363.76,11689200
2024-05-29,363.76,365.64,359.99,359.99,8534000
2024-05-30,363.76,367.53,358.1,363.76,13022600
2024-05-31,363.76,376.95,363.76,371.3,41592300
2024-06-03,376.95,380.72,361.87,367.53,19575300
2024-06-04,367.53,376.95,367.53,373.18,26389500
2024-06-05,382.61,382.61,375.07,378.84,29227400
2024-06-06,378.84,386.38,375.07,382.61,20562400
2024-06-07,382.61,390.15,380.72,384.49,23587800
2024-06-10,384.49,386.38,378.84,380.72,12883100
2024-06-11,380.72,388.26,380.72,380.72,28651700
2024-06-12,380.72,380.72,373.18,376.95,24081400
2024-06-13,376.95,384.49,376.95,380.72,9330100
2024-06-14,380.72,382.61,371.3,373.18,9182400
2024-06-19,373.18,375.07,365.64,367.53,11392600
2024-06-20,367.53,369.41,363.76,365.64,12475700
2024-06-21,367.53,367.53,361.87,361.87,63172100
2024-06-24,363.76,363.76,358.1,358.1,35399700
2024-06-25,362.93,366.79,361.0,361.0,28455100
2024-06-26,362.93,366.79,361.0,361.0,14902600
2024-06-27,362.93,362.93,353.28,355.21,42822700
2024-06-28,355.21,359.07,353.28,353.28,49731800
2024-07-01,355.21,364.86,353.28,362.93,33242900
2024-07-02,362.93,364.86,357.14,359.07,29231400
2024-07-03,361.0,362.93,357.14,361.0,13658500
2024-07-04,361.0,364.86,361.0,362.93,18676100
2024-07-05,366.79,366.79,361.0,362.93,16744500
2024-07-08,362.93,384.17,362.93,380.3,170241300
2024-07-09,380.3,382.24,374.51,378.37,53198600
2024-07-10,380.3,384.17,376.44,380.3,32510000
2024-07-11,380.3,389.96,380.3,386.1,59607200
2024-07-12,388.03,415.05,388.03,405.4,189197200
