Datetime,Open,High,Low,Close,Volume
2024-05-06,1252.38,1308.87,1228.84,1285.33,5474900
2024-05-07,1290.04,1332.42,1275.92,1318.29,10900900
2024-05-08,1318.29,1346.54,1285.33,1318.29,9537100
2024-05-13,1327.71,1327.71,1271.21,1285.33,4494300
2024-05-14,1308.87,1308.87,1275.92,1280.63,1560000
2024-05-15,1261.79,1313.58,1261.79,1285.33,4030600
2024-05-16,1294.75,1360.66,1280.63,1341.83,12689300
2024-05-17,1355.96,1403.04,1346.54,1360.66,14482400
2024-05-20,1365.37,1407.75,1327.71,1365.37,14084300
2024-05-21,1370.08,1384.21,1346.54,1355.96,6959800
2024-05-22,1355.96,1365.37,1332.42,1346.54,6433800
2024-05-27,1360.66,1360.66,1304.17,1313.58,7850500
2024-05-28,1313.58,1351.25,1308.87,1318.29,4894400
2024-05-29,1323.0,1341.83,1308.87,1318.29,3947800
2024-05-30,1323.0,1407.75,1323.0,1365.37,16662400
2024-05-31,1365.37,1398.33,1318.29,1323.0,7092100
2024-06-03,1327.71,1337.12,1294.75,1304.17,6528700
2024-06-04,1304.17,1332.42,1285.33,1318.29,9377900
2024-06-05,1323.0,1341.83,1308.87,1313.58,5335700
2024-06-06,1318.29,1318.29,1271.21,1294.75,4466700
2024-06-07,1326.71,1341.23,1321.87,1326.71,1514500
2024-06-10,1336.39,1336.39,1273.45,1283.13,5251200
2024-06-11,1283.13,1287.97,1254.08,1268.6,3492200
2024-06-12,1268.6,1273.44,1220.18,1239.55,7421400
2024-06-13,1239.55,1268.6,1239.55,1254.08,2330900
2024-06-14,1254.08,1258.92,1210.5,1210.5,2903700
2024-06-19,1215.34,1229.87,1171.76,1220.18,2300900
2024-06-20,1215.34,1220.18,1142.71,1152.4,7741600
2024-06-21,1162.08,1171.76,1133.03,1133.03,5994900
2024-06-24,1128.19,1157.24,1108.82,1113.66,5120700
2024-06-25,1123.34,1133.03,1103.98,1123.34,1448000
2024-06-26,1133.03,1133.03,1108.82,1108.82,2303300
2024-06-27,1103.98,1137.87,1103.98,1113.66,2139000
2024-06-28,1113.66,1137.87,1113.66,1118.5,3095400
2024-07-01,1118.5,1157.24,1113.66,1147.55,6402400
2024-07-02,1157.24,1157.24,1123.34,1128.19,3085100
2024-07-03,1133.03,1147.55,1123.34,1142.71,2055100
2024-07-04,1142.71,1152.4,1133.03,1137.87,2524300
2024-07-05,1137.87,1147.55,1123.34,1128.19,3090100
2024-07-08,1128.19,1133.03,1103.98,1108.82,3988100
2024-07-09,1108.82,1123.34,1094.29,1118.5,2754100
2024-07-10,1118.5,1162.08,1113.66,1147.55,5133300
2024-07-11,1157.24,1166.92,1142.71,1142.71,4531400
2024-07-12,1142.71,1152.4,1128.19,1137.87,2228700
2024-07-15,1137.87,1142.71,1084.61,1113.66,6664400
2024-07-16,1108.82,1123.34,1099.13,1123.34,1611800
2024-07-17,1128.19,1128.19,1113.66,1113.66,1640100
2024-07-18,1123.34,1123.34,1108.82,1108.82,1843300
2024-07-19,1113.66,1118.5,1094.29,1099.13,1426000
2024-07-22,1103.98,1133.03,1094.29,1123.34,2452200
2024-07-23,1128.19,1157.24,1123.34,1128.19,6276600
2024-07-24,1128.19,1142.71,1065.24,1065.24,10283000
2024-07-25,1065.24,1065.24,973.24,987.77,12950300
2024-07-26,997.45,1041.03,987.77,1026.5,9564700
2024-07-29,1031.35,1142.71,1007.14,1118.5,13940400
2024-07-30,1128.19,1210.5,1108.82,1210.5,17563400
2024-07-31,1215.34,1254.08,1205.66,1234.71,14810900
2024-08-01,1249.24,1283.13,1220.18,1234.71,16490500
2024-08-02,1229.87,1244.39,1200.82,1215.34,5112800
2024-08-05,1210.5,1215.34,1162.08,1162.08,9922900
2024-08-06,1162.08,1220.18,1137.87,1186.29,6893800
2024-08-07,1186.29,1191.13,1147.55,1147.55,10968200
2024-08-08,1152.4,1176.61,1118.5,1137.87,5226500
2024-08-09,1147.55,1166.92,1142.71,1157.24,3046500
2024-08-12,1162.08,1234.71,1152.4,1229.87,6903000
2024-08-13,1234.71,1249.24,1181.45,1200.82,3336900
2024-08-14,1215.34,1234.71,1186.29,1186.29,4161400
2024-08-15,1200.82,1229.87,1186.29,1229.87,3610600
2024-08-16,1229.87,1244.39,1215.34,1234.71,2772600
2024-08-19,1234.71,1234.71,1210.5,1225.03,1813300
2024-08-20,1229.87,1258.92,1200.82,1239.55,7311300
2024-08-21,1239.55,1249.24,1191.13,1195.97,5483600
2024-08-22,1195.97,1200.82,1137.87,1152.4,10142900
2024-08-23,1152.4,1220.18,1152.4,1186.29,7652300
2024-08-26,1200.82,1302.5,1195.97,1292.81,17246200
2024-08-27,1292.81,1302.5,1210.5,1239.55,19592500
2024-08-28,1239.55,1346.08,1220.18,1273.45,20267100
2024-08-29,1287.97,1302.5,1244.39,1244.39,5776600
2024-08-30,1249.24,1273.45,1239.55,1258.92,8095000
2024-09-02,1258.92,1263.76,1205.66,1205.66,4770100
2024-09-03,1205.66,1229.87,1195.97,1200.82,3560600
2024-09-04,1200.82,1210.5,1162.08,1191.13,2438700
2024-09-05,1195.97,1195.97,1176.61,1186.29,2738600
2024-09-06,1186.29,1210.5,1186.29,1200.82,3133700
2024-09-09,1200.82,1220.18,1191.13,1200.82,4194600
2024-09-10,1205.66,1215.34,1171.76,1186.29,4101200
2024-09-11,1191.13,1191.13,1176.61,1176.61,2223900
2024-09-12,1176.61,1195.97,1176.61,1176.61,1874700
2024-09-13,1181.45,1186.29,1162.08,1162.08,2668100
2024-09-17,1176.61,1205.66,1166.92,1166.92,1174300
2024-09-18,1171.76,1186.29,1166.92,1176.61,1553600
2024-09-19,1176.61,1249.24,1171.76,1249.24,8314000
2024-09-20,1244.39,1254.08,1210.5,1239.55,4550200
2024-09-23,1239.55,1249.24,1220.18,1229.87,1462800
2024-09-24,1234.71,1263.76,1229.87,1244.39,7905000
2024-09-25,1254.08,1254.08,1220.18,1220.18,2649900
2024-09-26,1220.18,1249.24,1210.5,1215.34,2582300
2024-09-27,1215.34,1225.03,1210.5,1210.5,1383900
2024-09-30,1215.34,1254.08,1210.5,1239.55,6214800
2024-10-01,1244.39,1326.71,1191.13,1200.82,46106200
2024-10-02,1210.5,1307.34,1205.66,1307.34,25150400
2024-10-03,1307.34,1486.49,1307.34,1438.07,35687700
2024-10-04,1452.6,1631.75,1433.23,1612.38,49674600
2024-10-07,1743.12,1743.12,1578.49,1588.17,28480100
2024-10-08,1985.22,1985.22,1617.23,1743.12,24743900
2024-10-09,1704.38,1917.43,1660.8,1801.22,34431300
2024-10-10,1801.22,1878.69,1694.7,1723.75,25646000
2024-10-11,1752.8,1781.85,1714.07,1733.43,9709000
2024-10-14,1743.12,1835.12,1699.54,1801.22,14065100
2024-10-15,1801.22,1854.48,1747.96,1796.38,10906500
2024-10-16,1796.38,1936.8,1791.54,1893.22,27015900
2024-10-17,1985.22,1985.22,1839.96,1844.8,17126300
2024-10-18,1844.8,1869.01,1839.96,1839.96,5405600
2024-10-21,1859.33,1878.69,1762.49,1786.7,14498600
2024-10-22,1786.7,1849.64,1772.17,1825.43,18312900
2024-10-23,1825.43,1898.06,1791.54,1810.91,18775500
2024-10-24,1810.91,1820.59,1752.8,1757.64,7361700
2024-10-25,1757.64,1791.54,1689.86,1694.7,9256600
2024-10-28,1694.7,1733.43,1665.65,1680.17,7768300
2024-10-29,1680.17,1685.01,1607.54,1636.59,8288800
2024-10-30,1636.59,1685.01,1617.23,1646.28,6424300
2024-10-31,1675.33,1767.33,1636.59,1747.96,14753300
2024-11-01,1752.8,1762.49,1655.96,1704.38,17662900
2024-11-04,1704.38,1747.96,1588.17,1597.86,26476000
2024-11-05,1597.86,1704.38,1549.44,1655.96,20841100
2024-11-06,1675.33,1680.17,1612.38,1660.8,20595400
2024-11-07,1665.65,2072.37,1655.96,2043.32,84101400
2024-11-08,2062.69,2091.74,1772.17,1777.01,83219400
2024-11-11,1791.54,2014.27,1791.54,1883.54,87813600
2024-11-12,1888.38,1922.27,1825.43,1844.8,39402200
2024-11-13,1844.8,2014.27,1781.85,1902.9,92967800
2024-11-14,1912.59,2101.43,1902.9,1956.17,55947700
2024-11-15,1965.85,2043.32,1898.06,2023.95,46737000
2024-11-18,2033.64,2178.9,1994.9,2159.53,42236900
2024-11-19,2692.15,2692.15,2053.01,2072.37,58744200
2024-11-20,2082.06,2207.95,2043.32,2178.9,38788700
2024-11-21,2198.27,2401.63,2178.9,2353.21,46914600
2024-11-22,2421.0,2421.0,2227.32,2285.42,43966200
2024-11-25,2285.42,2537.21,2246.69,2421.0,63904400
2024-11-26,2421.0,2450.05,2256.37,2256.37,43741500
2024-11-28,2266.05,2285.42,2023.95,2033.64,52981400
2024-11-29,2033.64,2130.48,1956.17,2033.64,36745700
2024-12-02,2033.64,2169.21,1936.8,1946.48,18598900
2024-12-03,1956.17,2072.37,1931.96,2062.69,21971500
