Datetime,Open,High,Low,Close,Volume
2025-01-08,1424.56,1424.56,1424.56,1424.56,632900
2025-01-09,1776.98,1776.98,1776.98,1776.98,411600
2025-01-10,2213.78,2213.78,2213.78,2213.78,1196800
2025-01-13,2759.78,2759.78,2759.78,2759.78,2317400
2025-01-14,3444.76,3444.76,3444.76,3444.76,1552200
2025-01-15,4298.51,4298.51,4298.51,4298.51,4836600
2025-01-16,4298.51,4298.51,4298.51,4298.51,0
2025-01-17,5360.73,5360.73,5360.73,5360.73,20148800
2025-01-20,5360.73,5360.73,5360.73,5360.73,0
2025-01-21,5360.73,5360.73,5360.73,5360.73,0
2025-01-22,5881.91,5881.91,5881.91,5881.91,2369500
2025-01-23,6452.73,6452.73,6452.73,6452.73,1059700
2025-01-24,7098.0,7098.0,7098.0,7098.0,3328500
2025-01-30,6403.09,7718.45,6403.09,7445.45,26406700
2025-01-31,7792.91,8190.0,7792.91,8140.36,10307300
2025-02-03,7842.55,8338.91,7842.55,8338.91,9619600
2025-02-04,8736.0,8736.0,8537.45,8587.09,3781400
2025-02-05,8736.0,9828.0,8314.09,9133.09,49461200
2025-02-06,9157.91,9356.45,8636.73,8785.64,19628500
2025-02-07,7445.45,8413.36,7048.36,7495.09,33749900
2025-02-10,7544.73,7842.55,6105.27,7668.82,20958400
2025-02-11,7817.73,7867.36,6527.18,6527.18,13488200
2025-02-12,6601.64,7321.36,6527.18,7147.64,9055900
2025-02-13,7197.27,7420.64,6874.64,7246.91,5811800
2025-02-14,7321.36,7817.73,7098.0,7743.27,12895600
2025-02-17,7768.09,9282.0,7668.82,9033.82,31239700
2025-02-18,9232.36,9629.46,8711.18,8934.55,21002800
2025-02-19,8959.36,9306.82,8760.82,8884.91,8444600
2025-02-20,8909.73,9058.64,8587.09,8884.91,4792400
2025-02-21,8884.91,8934.55,8264.46,8537.46,8359300
2025-02-24,8537.45,8661.55,7668.82,7941.82,12123800
2025-02-25,7991.45,8115.55,7098.0,7346.18,10504900
2025-02-26,7346.18,7668.82,7073.18,7147.64,4911700
2025-02-27,7222.09,7346.18,6849.82,7246.91,5022900
2025-02-28,7197.27,7321.36,6576.82,6725.73,4388900
2025-03-03,6899.45,7420.64,6750.55,7147.64,7851000
2025-03-04,7147.64,7147.64,5733.0,5807.45,34799400
2025-03-05,5832.27,6105.27,5807.45,5931.55,19930000
2025-03-06,6154.91,6676.09,6080.45,6279.0,11952000
2025-03-07,6179.73,6601.64,6006.0,6254.18,6891400
2025-03-10,6254.18,6254.18,5757.82,5782.64,7543100
2025-03-11,5757.82,6006.0,5335.91,5435.18,11519700
2025-03-12,5360.73,5410.36,4765.09,5137.36,35621900
2025-03-13,5211.82,5261.45,4814.73,5038.09,5733700
2025-03-14,4904.07,5038.09,4804.8,4914.0,24665500
2025-03-17,4914.0,5311.09,4894.15,5137.36,18021100
2025-03-18,5137.36,5187.0,4119.82,4765.09,10987200
2025-03-19,4824.65,5062.91,4596.33,4864.36,14499200
2025-03-20,5062.91,5385.55,4914.0,5335.91,12564400
2025-03-21,5410.36,5460.0,4784.95,4814.73,5801800
2025-03-24,4804.8,4804.8,4060.25,4080.11,7205500
2025-03-25,4139.67,4219.09,3921.27,4149.6,8739300
2025-03-26,4179.38,4566.55,4149.6,4308.44,5353800
2025-03-27,4308.44,4784.95,4169.45,4775.02,4203700
2025-04-08,4060.25,4238.95,4060.25,4060.25,2866000
2025-04-09,3980.84,3980.84,3454.69,3454.69,7431800
2025-04-10,3951.05,4248.87,3712.8,4040.4,6106400
2025-04-11,4050.33,4318.36,3941.13,4099.96,2889200
2025-04-14,4099.96,4963.64,4099.96,4824.65,7275800
2025-04-15,4834.58,5311.09,4765.09,4963.64,8027900
2025-04-16,5038.09,5311.09,4824.65,4963.64,7198500
2025-04-17,5062.91,5137.36,4854.44,4864.36,1941700
2025-04-21,4864.36,4988.45,4735.31,4765.09,1616900
2025-04-22,4765.09,5112.55,4685.67,5038.09,5826300
2025-04-23,5162.18,5385.55,5013.27,5137.36,4797500
2025-04-24,5261.45,5360.73,4988.45,5038.09,4972900
2025-04-25,5137.36,5410.36,4988.45,5360.73,7508300
2025-04-28,5410.36,5857.09,5187.0,5608.91,14561200
2025-04-29,5633.73,5658.55,5286.27,5335.91,7246300
2025-04-30,5484.82,5782.64,5360.73,5435.18,12198700
2025-05-02,5608.91,5708.18,5360.73,5435.18,8013700
2025-05-05,5460.0,5584.09,5410.36,5410.36,5623800
2025-05-06,5410.36,5559.27,5335.91,5534.45,8213800
2025-05-07,5608.91,5757.82,5509.64,5534.45,14753600
2025-05-08,5559.27,5633.73,5360.73,5534.45,9803800
2025-05-09,5534.45,5757.82,5410.36,5460.0,8979000
2025-05-14,5700.0,5950.0,5500.0,5950.0,18769400
2025-05-15,6075.0,6300.0,6000.0,6300.0,23372700
2025-05-16,6425.0,6475.0,6125.0,6200.0,11532700
2025-05-19,6200.0,6325.0,6050.0,6150.0,12695500
2025-05-20,6200.0,6250.0,5900.0,5925.0,10938000
2025-05-21,6000.0,6125.0,5675.0,6075.0,15121100
2025-05-22,6250.0,6550.0,6150.0,6200.0,39474400
2025-05-23,6225.0,6350.0,6050.0,6325.0,14392400
2025-05-26,6450.0,6550.0,6125.0,6200.0,15509700
2025-05-27,6275.0,6350.0,6100.0,6125.0,12597300
2025-05-28,6175.0,6175.0,5950.0,5950.0,11294200
2025-06-02,6075.0,6075.0,5725.0,5800.0,7431800
2025-06-03,5825.0,6175.0,5750.0,6125.0,12228800
2025-06-04,6175.0,6200.0,5950.0,5975.0,8467300
2025-06-05,6025.0,6925.0,5975.0,6700.0,43399300
2025-06-10,6875.0,7175.0,6700.0,6950.0,31192500
2025-06-11,6975.0,7025.0,6800.0,6950.0,10125800
2025-06-12,6950.0,7150.0,6875.0,7100.0,19140600
2025-06-13,7250.0,7825.0,7050.0,7625.0,33936900
2025-06-16,7850.0,8250.0,7725.0,8000.0,24808300
2025-06-17,8075.0,8100.0,7525.0,7750.0,13781100
2025-06-18,7875.0,8000.0,7600.0,7900.0,15565300
2025-06-19,8025.0,8075.0,7225.0,7450.0,15678100
2025-06-20,7600.0,7600.0,7250.0,7325.0,6980300
2025-06-23,7250.0,7625.0,6850.0,7025.0,15621800
2025-06-24,7100.0,7400.0,6900.0,6900.0,8299500
2025-06-25,6925.0,7000.0,6225.0,6250.0,19028900
2025-06-26,6350.0,6750.0,6275.0,6600.0,16273100
2025-06-30,6700.0,6850.0,6600.0,6750.0,8903600
2025-07-01,6750.0,6900.0,6525.0,6700.0,7156900
2025-07-02,6700.0,6775.0,6425.0,6475.0,7325700
2025-07-03,6500.0,6700.0,6475.0,6475.0,5238200
2025-07-04,6500.0,6600.0,6250.0,6375.0,4684500
2025-07-07,6450.0,7000.0,6300.0,7000.0,9959000
2025-07-08,7100.0,7225.0,6925.0,7150.0,9437700
2025-07-09,7175.0,7325.0,7000.0,7100.0,9182700
2025-07-10,7100.0,7225.0,7000.0,7025.0,6327300
2025-07-11,7125.0,7350.0,7025.0,7100.0,8439500
2025-07-14,7200.0,7650.0,7050.0,7500.0,20611400
2025-07-15,7525.0,7950.0,7375.0,7700.0,17424700
2025-07-16,7850.0,7925.0,7400.0,7500.0,9891800
2025-07-17,7500.0,7625.0,7350.0,7400.0,7633700
2025-07-18,7475.0,7500.0,7325.0,7350.0,7828300
2025-07-21,7350.0,7450.0,7150.0,7400.0,10719100
2025-07-22,7450.0,7675.0,7050.0,7050.0,16534300
2025-07-23,7050.0,7100.0,6675.0,6800.0,9973000
2025-07-24,6800.0,7050.0,6775.0,6850.0,5733600
2025-07-25,6900.0,6975.0,6800.0,6875.0,2107700
2025-07-28,6950.0,7025.0,6775.0,6850.0,6665200
2025-07-29,6925.0,7300.0,6900.0,7200.0,11372100
2025-07-30,7300.0,7775.0,7225.0,7475.0,24744200
2025-07-31,7550.0,7850.0,7400.0,7650.0,16604700
2025-08-01,7800.0,8125.0,7675.0,7850.0,30705400
2025-08-04,7925.0,8000.0,7100.0,7275.0,25346600
2025-08-05,7275.0,7325.0,6925.0,7025.0,13465200
2025-08-06,7100.0,7200.0,7050.0,7100.0,5548800
2025-08-07,7150.0,7200.0,6825.0,6900.0,8946300
2025-08-08,7575.0,7600.0,7100.0,7275.0,20590100
2025-08-11,7275.0,7325.0,7025.0,7025.0,10726800
2025-08-12,7050.0,7500.0,7025.0,7400.0,19520500
2025-08-13,7425.0,7750.0,7325.0,7350.0,33899700
2025-08-14,7350.0,7425.0,7175.0,7350.0,10574600
2025-08-15,7400.0,7475.0,7025.0,7025.0,21702100
2025-08-19,7050.0,7175.0,6850.0,7000.0,13552900
2025-08-20,7000.0,7100.0,6950.0,7000.0,6283500
2025-08-21,7000.0,7025.0,6550.0,6800.0,20908400
2025-08-22,6875.0,6875.0,6600.0,6625.0,9511600
2025-08-25,6625.0,6700.0,6575.0,6600.0,7704100
2025-08-26,6600.0,6800.0,6500.0,6625.0,30842000
2025-08-27,6625.0,6675.0,6500.0,6550.0,7235000
2025-08-28,6575.0,6600.0,6325.0,6375.0,7782700
2025-08-29,6300.0,6300.0,5850.0,6100.0,14174900
2025-09-01,5700.0,6075.0,5575.0,5850.0,10478400
2025-09-02,5875.0,6050.0,5875.0,6025.0,4209900
2025-09-03,6025.0,6125.0,5950.0,5975.0,3598200
2025-09-04,6025.0,6200.0,5950.0,5975.0,3701500
