Datetime,Open,High,Low,Close,Volume
2024-05-06,105.0,109.96,105.0,105.83,49060900
2024-05-07,107.48,117.4,105.83,114.09,171119700
2024-05-08,115.75,116.57,108.31,109.13,148598900
2024-05-13,108.31,115.75,108.31,114.09,57121200
2024-05-14,114.92,115.75,110.79,113.27,45109000
2024-05-15,113.27,114.09,111.61,112.44,22783600
2024-05-16,112.44,119.05,112.44,117.4,101233800
2024-05-17,118.23,121.53,117.4,118.23,58254500
2024-05-20,119.88,119.88,115.75,117.4,28511200
2024-05-21,118.23,118.23,114.92,115.75,24488900
2024-05-22,116.57,119.05,115.75,116.57,11912000
2024-05-27,116.57,119.88,116.57,119.05,32437900
2024-05-28,119.88,119.88,116.57,119.05,20088800
2024-05-29,119.05,119.88,114.92,115.75,35804500
2024-05-30,117.4,117.4,111.61,111.61,25371300
2024-05-31,111.61,124.01,111.61,124.01,86846300
2024-06-03,119.88,125.67,117.4,124.01,129129900
2024-06-04,118.23,124.84,118.23,121.53,34666200
2024-06-05,121.53,122.36,114.09,114.09,35243000
2024-06-06,114.09,117.4,113.27,115.75,11871300
2024-06-07,117.4,117.4,113.27,113.27,15899800
2024-06-10,113.27,114.09,108.31,109.13,28714800
2024-06-11,109.13,110.79,107.48,107.48,13555100
2024-06-12,107.48,109.13,103.35,105.83,18660200
2024-06-13,105.83,112.44,105.0,111.61,20523400
2024-06-14,112.44,112.44,105.0,106.65,19206800
2024-06-19,107.48,110.79,104.17,106.65,37533900
2024-06-20,107.48,114.09,106.65,112.44,30837100
2024-06-21,112.44,119.88,112.44,119.88,49155600
2024-06-24,119.88,123.19,118.23,121.53,47893700
2024-06-25,122.39,126.67,122.39,126.67,22153900
2024-06-26,125.81,126.67,124.1,124.1,9196400
2024-06-27,124.1,124.96,119.82,121.53,18738800
2024-06-28,122.39,123.25,118.11,121.53,57444300
2024-07-01,121.53,122.39,119.82,119.82,17482300
2024-07-02,120.68,122.39,119.82,120.68,19450500
2024-07-03,119.82,121.53,118.97,120.68,17660400
2024-07-04,120.68,125.81,118.97,123.25,53778100
2024-07-05,123.25,124.1,119.82,120.68,29998700
2024-07-08,120.68,125.81,119.82,124.1,51603300
2024-07-09,124.96,124.96,121.53,123.25,25309700
2024-07-10,123.25,128.38,123.25,125.81,78937000
2024-07-11,126.67,128.38,125.81,127.53,34033200
2024-07-12,129.24,129.24,122.39,124.96,25106500
2024-07-15,125.81,127.53,121.53,124.96,19965200
2024-07-16,124.96,124.96,121.53,124.1,16713300
2024-07-17,124.1,127.53,122.39,123.25,30614000
2024-07-18,124.1,124.96,122.39,122.39,10491300
2024-07-19,123.25,123.25,118.11,119.82,33736800
2024-07-22,119.82,121.53,118.97,118.97,21544900
2024-07-23,118.97,124.96,118.97,120.68,62686600
2024-07-24,121.53,121.53,118.97,119.82,42280100
2024-07-25,119.82,121.53,118.97,121.53,30552300
2024-07-26,121.53,121.53,118.97,118.97,30737400
2024-07-29,119.82,122.39,118.97,121.53,27580200
