Datetime,Open,High,Low,Close,Volume
2024-05-06,610.36,614.6,601.89,610.36,26785400
2024-05-07,610.36,614.6,601.89,610.36,20986000
2024-05-08,610.36,614.6,601.89,610.36,35469500
2024-05-13,610.36,610.36,597.65,606.13,30012400
2024-05-14,606.13,618.84,597.65,610.36,44597000
2024-05-15,610.36,610.36,601.89,606.13,23335400
2024-05-16,606.13,610.36,601.89,606.13,25089500
2024-05-17,606.13,610.36,601.89,606.13,12351900
2024-05-20,606.13,606.13,593.41,597.65,21025400
2024-05-21,597.65,601.89,567.98,584.93,47992300
2024-05-22,584.93,606.13,584.93,606.13,39213100
2024-05-27,606.13,606.13,576.46,593.41,55652000
2024-05-28,600.37,622.12,596.02,613.42,26522700
2024-05-29,613.42,622.12,600.37,609.07,45861000
2024-05-30,609.07,609.07,582.97,609.07,40812900
2024-05-31,609.07,617.77,591.67,617.77,59800500
2024-06-03,617.77,626.47,609.07,622.12,42967500
2024-06-04,622.12,626.47,609.07,626.47,44632000
2024-06-05,626.47,635.17,622.12,630.82,39315100
2024-06-06,630.82,648.23,626.47,639.53,39775600
2024-06-07,639.53,661.28,626.47,661.28,83042600
2024-06-10,661.28,665.63,643.88,656.93,38348600
2024-06-11,656.93,665.63,648.23,652.58,31082200
2024-06-12,652.58,652.58,635.17,652.58,28739800
2024-06-13,652.58,652.58,643.88,648.23,19819100
2024-06-14,648.23,648.23,626.47,639.53,28379700
2024-06-19,639.53,639.53,613.42,630.82,27830100
2024-06-20,630.82,656.93,626.47,643.88,37572600
2024-06-21,643.88,652.58,635.17,643.88,16536300
2024-06-24,643.88,661.28,643.88,652.58,34109300
2024-06-25,652.58,669.98,648.23,665.63,48563700
2024-06-26,665.63,665.63,652.58,652.58,22262600
2024-06-27,656.93,678.68,652.58,669.98,51679000
2024-06-28,669.98,674.33,665.63,674.33,17933800
2024-07-01,674.33,674.33,656.93,656.93,16402800
2024-07-02,661.28,669.98,656.93,656.93,11301800
2024-07-03,652.58,656.93,643.88,648.23,14520400
2024-07-04,652.58,661.28,648.23,652.58,21878200
2024-07-05,656.93,661.28,643.88,648.23,11609300
2024-07-08,648.23,661.28,643.88,661.28,14434000
2024-07-09,661.28,661.28,635.17,643.88,35007900
2024-07-10,643.88,652.58,635.17,648.23,21958000
2024-07-11,648.23,648.23,635.17,643.88,19218800
2024-07-12,648.23,652.58,643.88,648.23,11123400
2024-07-15,648.23,652.58,643.88,643.88,18203300
2024-07-16,643.88,648.23,643.88,643.88,15276000
2024-07-17,643.88,652.58,643.88,643.88,7696300
2024-07-18,643.88,648.23,630.82,630.82,18104000
2024-07-19,630.82,648.23,626.47,648.23,32741600
2024-07-22,648.23,648.23,630.82,630.82,20963100
2024-07-23,635.17,643.88,626.47,635.17,23862700
2024-07-24,635.17,643.88,613.42,626.47,55299600
2024-07-25,626.47,630.82,596.02,609.07,60210500
