Datetime,Open,High,Low,Close,Volume
2024-05-06,4416.22,4454.05,4378.4,4444.59,13406400
2024-05-07,4444.59,4482.42,4435.14,4444.59,8058800
2024-05-08,4454.05,4454.05,4208.18,4236.55,22529600
2024-05-13,4227.09,4246.01,4113.61,4141.98,30089700
2024-05-14,4151.44,4151.44,3981.22,3990.68,35689600
2024-05-15,3952.85,3981.22,3839.37,3896.11,39417100
2024-05-16,3929.64,4190.33,3900.68,3977.92,47082600
2024-05-17,3958.61,3997.23,3919.99,3919.99,32411400
2024-05-20,3862.06,3900.68,3833.09,3852.4,28480300
2024-05-21,3862.06,3939.3,3842.75,3852.4,20008900
2024-05-22,3842.75,3891.02,3765.51,3813.78,21807200
2024-05-27,3775.16,3852.4,3630.33,3630.33,42613300
2024-05-28,3649.64,3726.88,3630.33,3649.64,20602200
2024-05-29,3649.64,3659.3,3582.06,3630.33,18878100
2024-05-30,3630.33,3659.3,3543.44,3562.75,43930000
2024-05-31,3504.82,3524.13,3369.64,3369.64,290449700
2024-06-03,3388.95,3466.2,3292.4,3427.58,70088100
2024-06-04,3437.23,3919.99,3408.27,3697.92,142238100
2024-06-05,3765.51,3852.4,3639.99,3726.89,95511400
2024-06-06,3755.85,3900.68,3746.2,3813.78,62672100
2024-06-07,3862.06,3977.92,3823.44,3871.71,58719100
2024-06-10,3910.33,4006.88,3881.37,3958.61,37510400
2024-06-11,3958.61,4006.88,3736.54,3746.2,89001000
2024-06-12,3755.85,3765.51,3446.89,3485.51,69083400
2024-06-13,3514.47,3659.3,3495.16,3533.78,51881200
2024-06-14,3543.44,3572.4,3302.06,3321.37,38426200
2024-06-19,3359.99,3456.54,3331.02,3388.96,66326000
2024-06-20,3427.58,3504.82,3379.3,3379.3,41238000
2024-06-21,3379.3,3591.71,3311.71,3572.4,64506600
2024-06-24,3591.71,3649.64,3553.09,3562.75,35053400
2024-06-25,3572.4,3582.06,3456.54,3533.78,35154300
2024-06-26,3533.78,3601.37,3495.16,3504.82,18688000
2024-06-27,3524.13,3553.09,3427.58,3475.85,21756600
2024-06-28,3475.85,3649.64,3475.85,3601.37,46235100
2024-07-01,3659.3,3794.47,3649.64,3784.82,37021100
2024-07-02,3813.78,3852.4,3717.23,3823.44,36443900
2024-07-03,3852.4,3910.33,3823.44,3900.68,39198700
2024-07-04,3910.33,3958.61,3794.47,3804.13,33469800
2024-07-05,3804.13,3862.06,3765.51,3813.78,12150300
2024-07-08,3813.78,4074.47,3813.78,4055.16,41513500
2024-07-09,4074.47,4093.78,3968.26,4035.85,36592700
2024-07-10,4035.85,4296.54,3910.33,3910.33,105896800
2024-07-11,3862.06,4006.88,3842.75,3871.71,52636300
2024-07-12,3900.68,3977.92,3891.02,3948.95,20073800
2024-07-15,3968.26,4026.19,3891.02,3919.99,23445300
2024-07-16,3948.95,3977.92,3910.33,3919.99,16038800
2024-07-17,3977.92,3977.92,3910.33,3929.64,13397200
2024-07-18,3929.64,4016.54,3929.64,3939.3,21104000
2024-07-19,3948.95,3968.26,3900.68,3919.99,15604900
2024-07-22,3948.95,4016.54,3919.99,3977.92,13226200
2024-07-23,3987.57,4006.88,3919.99,3919.99,15155900
2024-07-24,3939.3,3958.61,3900.68,3919.99,7936900
2024-07-25,3910.33,3939.3,3765.51,3842.75,31301800
2024-07-26,3852.4,3929.64,3842.75,3871.71,8829600
2024-07-29,3891.02,3939.3,3842.75,3852.4,12987500
2024-07-30,3862.06,3881.37,3765.51,3765.51,10885100
2024-07-31,3775.16,3804.13,3746.2,3775.16,9188200
2024-08-01,3649.64,3746.2,3601.37,3717.23,30671900
2024-08-02,3717.23,3813.78,3688.26,3726.89,14597400
2024-08-05,3726.88,3726.88,3620.68,3649.64,18686600
2024-08-06,3688.26,3755.85,3639.99,3659.3,18645000
2024-08-07,3668.95,3717.23,3649.64,3649.64,14092800
2024-08-08,3649.64,3668.95,3611.02,3620.68,14213100
2024-08-09,3639.99,3707.57,3639.99,3639.99,11419400
2024-08-12,3649.64,3707.57,3649.64,3707.57,9331500
2024-08-13,3717.23,3891.02,3697.92,3862.06,34882400
2024-08-14,3900.68,3977.92,3881.37,3919.99,27492300
2024-08-15,3929.64,3958.61,3862.06,3871.71,15306900
2024-08-16,3891.02,3939.3,3891.02,3910.33,10111100
2024-08-19,3919.99,4064.81,3919.99,3987.57,31920100
2024-08-20,4016.54,4045.5,3977.92,4016.54,15804300
2024-08-21,4035.85,4045.5,3929.64,3929.64,13932800
2024-08-22,3919.99,3919.99,3852.4,3862.06,13794300
2024-08-23,3881.37,3939.3,3881.37,3900.68,6368700
2024-08-26,3900.68,3929.64,3871.71,3871.71,13315200
2024-08-27,3871.71,3891.02,3813.78,3833.09,17533300
