Datetime,Open,High,Low,Close,Volume
2024-05-06,493.75,517.72,493.75,512.93,92654000
2024-05-07,512.93,517.72,503.34,508.13,28193200
2024-05-08,503.34,508.13,484.16,488.96,87195500
2024-05-13,488.96,498.55,484.16,488.96,39016800
2024-05-14,488.96,517.72,488.96,512.93,71384400
2024-05-15,512.93,517.72,508.13,512.93,27644400
2024-05-16,517.72,556.07,512.93,551.28,198832100
2024-05-17,551.28,556.07,536.9,551.28,61393100
2024-05-20,556.07,560.86,536.9,536.9,33375000
2024-05-21,541.69,541.69,517.72,527.31,59929600
2024-05-22,532.1,536.9,522.51,532.1,27863800
2024-05-27,536.9,541.69,512.93,517.72,65014200
2024-05-28,522.51,522.51,493.75,503.34,71485600
2024-05-29,503.34,503.34,488.96,493.75,37783400
2024-05-30,493.75,503.34,484.16,498.55,75616000
2024-05-31,498.55,503.34,488.96,488.96,60155000
2024-06-03,493.75,498.55,488.96,498.55,23914500
2024-06-04,498.55,517.72,493.75,508.13,54318500
2024-06-05,512.93,512.93,498.55,503.34,27097700
2024-06-06,503.34,512.93,493.75,498.55,25805200
2024-06-07,503.34,508.13,493.75,498.55,23819400
2024-06-10,503.34,508.13,493.75,503.34,39656000
2024-06-11,503.34,508.13,498.55,498.55,38775900
2024-06-12,498.55,503.34,479.37,484.16,47617500
2024-06-13,488.96,493.75,484.16,488.96,9625400
2024-06-14,488.96,493.75,479.37,479.37,16933100
2024-06-19,484.16,488.96,475.54,479.37,28870000
2024-06-20,479.37,488.96,477.45,477.45,26289200
2024-06-21,484.16,488.96,475.54,484.16,37838200
2024-06-24,484.16,493.75,479.37,479.37,22996500
2024-06-25,479.37,484.16,473.62,475.54,29189300
2024-06-26,477.45,479.37,475.54,477.45,17482100
2024-06-27,477.45,479.37,471.7,475.54,27341800
2024-06-28,475.54,488.96,473.62,479.37,53353200
2024-07-01,484.25,497.92,482.3,488.16,62960600
2024-07-02,493.04,507.68,488.16,502.8,60886400
2024-07-03,502.8,512.57,497.92,497.92,26324700
2024-07-04,497.92,507.68,497.92,502.8,17249700
2024-07-05,502.8,517.45,502.8,517.45,39083100
2024-07-08,517.45,536.97,512.57,536.97,68905600
2024-07-09,536.97,546.74,527.21,541.86,45484300
2024-07-10,541.86,546.74,532.09,541.86,36853900
2024-07-11,541.86,576.03,536.97,571.14,172454200
2024-07-12,571.14,585.79,566.26,580.91,111767700
2024-07-15,580.91,585.79,551.62,561.38,73131800
2024-07-16,561.38,566.26,551.62,556.5,27333200
2024-07-17,546.74,561.38,546.74,556.5,44051800
2024-07-18,556.5,561.38,551.62,556.5,20453000
2024-07-19,556.5,561.38,541.86,546.74,27454700
2024-07-22,546.74,556.5,546.74,551.62,20407500
2024-07-23,556.5,556.5,541.86,546.74,16593300
2024-07-24,551.62,576.03,546.74,556.5,74319700
2024-07-25,556.5,561.38,527.21,532.09,69366400
2024-07-26,541.86,541.86,527.21,527.21,26973000
2024-07-29,527.21,546.74,527.21,546.74,52796800
2024-07-30,546.74,551.62,532.09,532.09,26282800
2024-07-31,536.97,546.74,527.21,546.74,21196600
2024-08-01,546.74,571.14,541.86,566.26,65031700
2024-08-02,566.26,576.03,551.62,566.26,53990400
2024-08-05,551.62,561.38,507.68,532.09,79025500
2024-08-06,532.09,551.62,517.45,541.86,52879900
2024-08-07,541.86,580.91,541.86,571.14,101370900
2024-08-08,571.14,595.55,561.38,590.67,118439400
2024-08-09,590.67,600.43,585.79,590.67,42784800
2024-08-12,590.67,595.55,576.03,590.67,53005100
2024-08-13,590.67,619.96,590.67,610.2,88560500
2024-08-14,615.08,615.08,600.43,610.2,46022000
2024-08-15,610.2,634.61,600.43,624.84,106462200
2024-08-16,629.72,639.49,610.2,624.84,78374500
2024-08-19,619.96,634.61,615.08,629.72,45822800
2024-08-20,629.72,634.61,624.84,629.72,28716400
2024-08-21,634.61,639.49,624.84,624.84,48534000
2024-08-22,619.96,624.84,605.32,605.32,59153600
2024-08-23,610.2,639.49,595.55,610.2,86589900
2024-08-26,619.96,644.37,605.32,639.49,128105100
2024-08-27,644.37,654.13,624.84,624.84,83418700
2024-08-28,634.61,659.01,629.72,639.49,104871600
2024-08-29,639.49,644.37,605.32,615.08,93867100
2024-08-30,615.08,619.96,585.79,595.55,117894100
2024-09-02,585.79,600.43,580.91,590.67,79533400
2024-09-03,590.67,600.43,580.91,585.79,39165200
2024-09-04,585.79,615.08,566.26,595.55,144389900
2024-09-05,600.43,615.08,595.55,610.2,90486500
2024-09-06,615.08,619.96,600.43,615.08,42043100
2024-09-09,615.08,619.96,600.43,605.32,67333900
2024-09-10,610.2,629.72,610.2,624.84,103650900
2024-09-11,624.84,654.13,624.84,639.49,142569200
2024-09-12,639.49,644.37,624.84,639.49,61145500
2024-09-13,644.37,644.37,629.72,639.49,38130500
2024-09-17,639.49,659.01,629.72,634.61,81190500
2024-09-18,634.61,678.54,629.72,663.89,106006300
2024-09-19,693.18,702.95,659.01,683.42,200126700
2024-09-20,688.3,693.18,663.89,668.78,75171200
2024-09-23,668.78,688.3,663.89,673.66,50076600
2024-09-24,678.54,688.3,673.66,678.54,40858300
2024-09-25,678.54,683.42,654.13,654.13,78785700
2024-09-26,654.13,678.54,649.25,668.78,34869700
2024-09-27,668.78,702.95,663.89,698.07,76759400
2024-09-30,698.07,702.95,673.66,678.54,54700400
2024-10-01,678.54,683.42,663.89,678.54,32315500
2024-10-02,678.54,683.42,644.37,663.89,75887800
2024-10-03,659.01,678.54,659.01,668.78,40385600
2024-10-04,668.78,678.54,659.01,668.78,30904000
2024-10-07,668.78,688.3,663.89,673.66,40689900
2024-10-08,673.66,683.42,663.89,683.42,42251400
2024-10-09,688.3,693.18,673.66,678.54,34878900
2024-10-10,678.54,688.3,668.78,668.78,97514300
2024-10-11,678.54,712.71,668.78,702.95,100025000
2024-10-14,712.71,712.71,693.18,702.95,30994700
2024-10-15,707.83,707.83,678.54,688.3,49383200
2024-10-16,688.3,698.07,678.54,693.18,39645900
2024-10-17,693.18,698.07,678.54,683.42,26167400
2024-10-18,683.42,688.3,668.78,678.54,49040400
2024-10-21,683.42,693.18,668.78,678.54,17194100
2024-10-22,678.54,678.54,654.13,663.89,73212400
2024-10-23,654.13,668.78,644.37,654.13,36905300
2024-10-24,654.13,654.13,624.84,624.84,84346900
2024-10-25,624.84,634.61,605.32,605.32,92265400
2024-10-28,624.84,644.37,624.84,629.72,86020000
2024-10-29,629.72,654.13,629.72,649.25,67642700
2024-10-30,649.25,654.13,629.72,654.13,50102900
