Datetime,Open,High,Low,Close,Volume
2024-05-06,1082.66,1146.35,1077.76,1131.65,26269500
2024-05-07,1136.55,1200.24,1126.75,1141.45,44749900
2024-05-08,1146.35,1175.74,1141.45,1165.95,16974600
2024-05-13,1170.84,1219.83,1170.84,1175.74,31852100
2024-05-14,1185.54,1195.34,1161.05,1175.74,18171400
2024-05-15,1180.64,1185.54,1161.05,1161.05,12345300
2024-05-16,1175.74,1205.14,1072.87,1087.56,45227800
2024-05-17,1121.86,1126.75,1023.88,1087.56,32654500
2024-05-20,1087.56,1102.26,930.8,950.39,57168100
2024-05-21,955.29,989.58,930.8,945.49,17987300
2024-05-22,955.29,984.69,940.59,965.09,8209200
2024-05-27,969.99,1087.56,965.09,1067.97,42767500
2024-05-28,1067.97,1112.06,1028.78,1107.16,28135000
2024-05-29,1112.06,1126.75,1087.56,1087.56,9840200
2024-05-30,1087.56,1136.55,1077.76,1131.65,16009700
2024-05-31,1131.65,1175.74,1126.75,1165.95,28075200
2024-06-03,1175.74,1205.14,1161.05,1161.05,15690100
2024-06-04,1161.05,1175.74,1126.75,1146.35,11593700
2024-06-05,1156.15,1165.95,1131.65,1146.35,17605200
2024-06-06,1156.15,1156.15,1102.26,1131.65,17930300
2024-06-07,1141.45,1175.74,1116.96,1136.55,27946400
2024-06-10,1136.55,1141.45,1102.26,1131.65,10050800
2024-06-11,1131.65,1156.15,1107.16,1126.75,12321200
2024-06-12,1131.65,1151.25,1097.36,1116.96,12302700
2024-06-13,1116.96,1141.45,1107.16,1107.16,8119000
2024-06-14,1107.16,1107.16,1033.67,1033.67,20547100
2024-06-19,1033.67,1043.47,1009.18,1028.78,7265500
2024-06-20,1028.78,1048.37,979.79,1028.78,9111900
2024-06-21,1028.78,1077.77,1028.78,1048.37,2919700
2024-06-24,1058.17,1087.56,1028.78,1072.87,6408800
2024-06-25,1028.78,1082.66,1028.78,1063.07,4177500
2024-06-26,1063.07,1077.77,1058.17,1063.07,812900
2024-06-27,1063.07,1067.97,1038.57,1048.37,3103500
2024-06-28,1048.37,1063.07,1038.57,1053.27,2659800
2024-07-01,1053.27,1107.16,1053.27,1092.46,9721900
2024-07-02,1114.25,1119.2,1079.59,1114.25,5942500
2024-07-03,1114.25,1114.25,1084.54,1089.49,3032300
2024-07-04,1089.49,1114.25,1074.63,1089.49,6969800
2024-07-05,1094.44,1104.35,1074.63,1079.59,4353500
2024-07-08,1079.59,1094.44,1059.78,1079.59,4010100
2024-07-09,1069.68,1089.49,1069.68,1069.68,1658600
2024-07-10,1069.68,1074.63,1059.78,1059.78,2189500
2024-07-11,1074.63,1099.39,1059.78,1099.39,6707600
2024-07-12,1099.39,1109.3,1069.68,1084.54,18588800
2024-07-15,1084.54,1109.3,1069.68,1089.49,9938000
2024-07-16,1089.49,1104.35,1059.78,1059.78,6755800
2024-07-17,1059.78,1079.59,1039.97,1059.78,5236600
2024-07-18,1059.78,1064.73,1059.78,1064.73,2512900
2024-07-19,1064.73,1074.63,1049.87,1064.73,3074000
2024-07-22,1074.63,1074.63,1054.82,1069.68,4053500
2024-07-23,1074.63,1074.63,1059.78,1074.63,3862300
2024-07-24,1074.63,1089.49,1059.78,1069.68,4954100
2024-07-25,1069.68,1089.49,1054.82,1089.49,5495600
2024-07-26,1089.49,1089.49,1079.59,1089.49,3072300
2024-07-29,1089.49,1089.49,1064.73,1074.63,3524700
2024-07-30,1079.59,1094.44,1079.59,1089.49,6690400
2024-07-31,1089.49,1099.39,1089.49,1089.49,5168100
2024-08-01,1099.39,1158.82,1079.59,1089.49,20907500
2024-08-02,1099.39,1099.39,1074.63,1089.49,3871900
2024-08-05,1079.59,1079.59,950.83,960.73,31873900
2024-08-06,965.68,1054.82,965.68,1010.25,19302800
2024-08-07,1020.16,1049.87,1015.21,1044.92,4624200
2024-08-08,1049.87,1064.73,1035.02,1049.87,4321100
2024-08-09,1049.87,1089.49,1049.87,1074.63,4249700
2024-08-12,1074.63,1089.49,1074.63,1084.54,9707400
2024-08-13,1089.49,1089.49,1074.63,1084.54,5932900
2024-08-14,1084.54,1089.49,1074.63,1084.54,6281600
2024-08-15,1084.54,1089.49,1074.63,1084.54,7146500
2024-08-16,1084.54,1089.49,1074.63,1079.59,4609800
2024-08-19,1079.59,1084.54,1064.73,1084.54,4297900
2024-08-20,1084.54,1089.49,1074.63,1089.49,5031200
2024-08-21,1089.49,1089.49,1049.87,1054.82,5617600
2024-08-22,1049.87,1064.73,1020.16,1030.06,9147400
2024-08-23,1030.06,1039.97,1015.21,1039.97,9963400
2024-08-26,1030.06,1039.97,1020.16,1025.11,7604200
2024-08-27,1025.11,1064.73,1025.11,1054.82,8138800
2024-08-28,1054.82,1054.82,1025.11,1035.02,7621300
2024-08-29,1039.97,1104.35,1015.21,1094.44,36704900
2024-08-30,1099.39,1272.72,1094.44,1188.54,95827300
2024-09-02,1203.39,1238.06,1178.63,1233.11,35994000
2024-09-03,1233.11,1238.06,1188.54,1223.2,17966100
2024-09-04,1218.25,1243.01,1193.49,1213.3,21477100
2024-09-05,1218.25,1366.82,1218.25,1361.86,42866400
2024-09-06,1366.82,1376.72,1317.29,1327.2,19868700
2024-09-09,1327.2,1386.62,1302.44,1386.62,31669900
2024-09-10,1386.62,1441.1,1371.77,1421.29,39156700
2024-09-11,1421.29,1446.05,1401.48,1406.43,12182700
2024-09-12,1406.43,1421.29,1391.58,1406.43,9867500
2024-09-13,1416.34,1465.86,1401.48,1436.15,16264300
2024-09-17,1441.1,1441.1,1317.29,1366.82,25619500
2024-09-18,1366.82,1381.67,1312.34,1312.34,15931800
2024-09-19,1317.29,1376.72,1297.48,1366.82,24758100
2024-09-20,1366.82,1406.43,1327.2,1351.96,30535300
2024-09-23,1342.05,1342.05,1247.96,1307.39,39355100
2024-09-24,1332.15,1332.15,1262.82,1262.82,19552500
2024-09-25,1267.77,1292.53,1257.87,1292.53,13482300
2024-09-26,1292.53,1332.15,1277.68,1312.34,24853000
2024-09-27,1312.34,1317.29,1267.77,1312.34,25169600
2024-09-30,1317.29,1317.29,1243.01,1243.01,25112800
2024-10-01,1267.77,1282.63,1247.96,1252.91,10734000
2024-10-02,1257.87,1257.87,1173.68,1193.49,25086400
2024-10-03,1208.34,1233.11,1183.58,1188.54,16859200
2024-10-04,1188.54,1198.44,1148.92,1158.82,17047000
2024-10-07,1168.73,1173.68,1139.01,1153.87,18146800
2024-10-08,1153.87,1153.87,1119.2,1139.01,18196100
2024-10-09,1139.01,1173.68,1109.3,1173.68,23295100
2024-10-10,1178.63,1183.58,1143.96,1143.96,19198900
2024-10-11,1148.92,1213.3,1148.92,1173.68,17562500
2024-10-14,1178.63,1188.54,1153.87,1173.68,12947000
2024-10-15,1183.58,1208.34,1158.82,1188.54,18576700
2024-10-16,1198.44,1243.01,1178.63,1233.11,46015700
2024-10-17,1238.06,1243.01,1198.44,1218.25,32393200
2024-10-18,1223.2,1257.87,1218.25,1257.87,27581700
2024-10-21,1267.77,1267.77,1223.2,1257.87,27371900
2024-10-22,1238.06,1257.87,1228.15,1247.96,16981000
2024-10-23,1247.96,1267.77,1233.11,1247.96,20830700
2024-10-24,1247.96,1257.87,1198.44,1218.25,29604300
2024-10-25,1218.25,1218.25,1178.63,1198.44,20812400
2024-10-28,1198.44,1198.44,1168.73,1198.44,14194700
2024-10-29,1198.44,1213.3,1183.58,1213.3,14383500
2024-10-30,1223.2,1223.2,1193.49,1218.25,16115900
2024-10-31,1223.2,1243.01,1198.44,1213.3,19899500
2024-11-01,1213.3,1218.25,1168.73,1178.63,21162900
2024-11-04,1178.63,1183.58,1099.39,1119.2,32583800
2024-11-05,1129.11,1134.06,1104.35,1104.35,23759100
2024-11-06,1139.01,1158.82,1094.44,1119.2,24307000
2024-11-07,1124.16,1124.16,1094.44,1094.44,27446300
2024-11-08,1104.35,1163.77,1099.39,1153.87,26460600
2024-11-11,1163.77,1168.73,1124.16,1124.16,20181500
2024-11-12,1129.11,1134.06,1114.25,1114.25,16190400
