Datetime,Open,High,Low,Close,Volume
2024-05-06,454.43,464.75,447.54,454.43,32077400
2024-05-07,461.31,461.31,450.98,454.43,19799600
2024-05-08,457.87,457.87,444.1,447.54,20825800
2024-05-13,450.98,454.43,440.65,444.1,33890100
2024-05-14,447.54,450.98,437.21,437.21,42458200
2024-05-15,438.02,462.13,417.92,434.0,35776200
2024-05-16,434.0,450.07,429.98,446.05,14744700
2024-05-17,450.07,454.09,442.03,446.05,13052000
2024-05-20,446.05,450.07,442.03,442.03,11603400
2024-05-21,446.05,446.05,434.0,434.0,19068500
2024-05-22,434.0,446.05,434.0,442.03,2910200
2024-05-27,442.03,446.05,438.02,442.03,3350700
2024-05-28,442.03,454.09,442.03,450.07,7238900
2024-05-29,450.07,454.09,446.05,446.05,2080400
2024-05-30,446.05,450.07,438.02,442.03,8025500
2024-05-31,442.03,454.09,442.03,450.07,5074700
2024-06-03,450.07,458.11,446.05,454.09,5460700
2024-06-04,454.09,470.16,454.09,470.16,10342200
2024-06-05,470.16,470.16,458.11,462.13,5038900
2024-06-06,462.13,466.15,458.11,462.13,1573500
2024-06-07,462.13,466.15,450.07,450.07,6889100
2024-06-10,450.07,458.11,450.07,458.11,2047900
2024-06-11,458.11,458.11,446.05,450.07,4682800
2024-06-12,450.07,454.09,442.03,450.07,8597000
2024-06-13,450.07,458.11,446.05,450.07,6315900
2024-06-14,450.07,450.07,442.03,450.07,10376300
2024-06-19,446.05,454.09,442.03,446.05,5955600
2024-06-20,446.05,450.07,442.03,450.07,10968400
2024-06-21,450.07,454.09,446.05,454.09,2820600
2024-06-24,454.09,454.09,446.05,450.07,3502000
2024-06-25,450.07,454.09,442.03,450.07,10883200
2024-06-26,450.07,450.07,442.03,446.05,5951900
2024-06-27,446.05,450.07,446.05,450.07,3522500
2024-06-28,450.07,454.09,442.03,450.07,5493700
2024-07-01,446.05,466.15,446.05,462.13,14146700
2024-07-02,462.13,462.13,450.07,454.09,4423900
2024-07-03,454.09,458.11,450.07,454.09,4349100
2024-07-04,458.11,458.11,454.09,458.11,2057500
2024-07-05,458.11,462.13,454.09,458.11,8036300
2024-07-08,458.11,462.13,450.07,454.09,15225600
2024-07-09,454.09,462.13,454.09,462.13,5833400
2024-07-10,462.13,462.13,454.09,458.11,4607700
2024-07-11,458.11,462.13,454.09,462.13,3733000
2024-07-12,462.13,462.13,458.11,462.13,4258100
2024-07-15,458.11,466.15,458.11,462.13,3152700
2024-07-16,462.13,470.16,462.13,470.16,4090400
2024-07-17,482.22,482.22,466.15,474.18,3973800
2024-07-18,474.18,478.2,466.15,466.15,7362200
2024-07-19,462.13,470.16,462.13,470.16,8071600
