Datetime,Open,High,Low,Close,Volume
2024-05-06,2778.08,2795.55,2655.77,2664.51,221330900
2024-05-07,2681.98,2716.93,2673.25,2699.45,124914600
2024-05-08,2734.4,2751.87,2664.51,2690.72,120622600
2024-05-13,2681.98,2708.19,2655.77,2699.45,133048300
2024-05-14,2708.19,2725.66,2690.72,2725.66,104126800
2024-05-15,2725.66,2734.4,2681.98,2708.19,149143600
2024-05-16,2743.88,2827.31,2743.88,2790.23,196239200
2024-05-17,2827.31,2827.31,2762.42,2771.69,120345300
2024-05-20,2734.61,2780.96,2734.61,2771.69,215877500
2024-05-21,2771.69,2771.69,2706.8,2734.61,138864400
2024-05-22,2762.42,2762.42,2697.53,2725.34,145109200
2024-05-27,2688.26,2706.8,2577.03,2604.83,246979600
2024-05-28,2604.83,2669.72,2604.83,2651.18,113093300
2024-05-29,2641.91,2651.18,2604.83,2604.83,148952900
2024-05-30,2604.83,2660.45,2521.41,2604.83,253471800
2024-05-31,2632.64,2706.8,2604.83,2688.26,411324600
2024-06-03,2716.07,2753.15,2688.26,2716.07,124570400
2024-06-04,2762.42,2836.58,2725.34,2780.96,130203100
2024-06-05,2780.96,2855.12,2780.96,2836.58,141157300
2024-06-06,2873.66,2873.66,2808.77,2827.31,107996900
2024-06-07,2827.31,2864.39,2827.31,2827.31,67191100
2024-06-10,2827.31,2827.31,2762.42,2790.23,66983900
2024-06-11,2743.88,2762.42,2669.72,2669.72,172688100
2024-06-12,2678.99,2753.15,2678.99,2706.8,91584500
2024-06-13,2725.34,2725.34,2623.37,2632.64,95740000
2024-06-14,2614.1,2623.37,2502.87,2521.41,202750500
2024-06-19,2577.03,2641.91,2558.49,2623.37,128843500
2024-06-20,2641.91,2641.91,2595.57,2632.64,55434800
2024-06-21,2641.91,2743.88,2632.64,2734.61,184918000
2024-06-24,2716.07,2762.42,2697.53,2734.61,111618800
2024-06-25,2734.61,2771.69,2716.07,2771.69,89913400
2024-06-26,2771.69,2799.5,2762.42,2780.96,73994000
2024-06-27,2808.77,2808.77,2771.69,2808.77,70154600
2024-06-28,2808.77,2910.74,2808.77,2901.47,213539300
2024-07-01,2901.47,2901.47,2855.12,2864.39,134082800
2024-07-02,2845.85,2864.39,2808.77,2818.04,79024200
2024-07-03,2818.04,2827.31,2799.5,2808.77,51977100
2024-07-04,2780.96,2827.31,2743.88,2743.88,93100500
2024-07-05,2753.15,2799.5,2743.88,2799.5,69339200
2024-07-08,2818.04,2864.39,2780.96,2855.12,125004600
2024-07-09,2827.31,2892.2,2818.04,2855.12,118245600
2024-07-10,2864.39,2947.82,2864.39,2929.28,120007400
2024-07-11,2966.36,2966.36,2929.28,2947.82,126490000
2024-07-12,2994.17,3031.25,2975.63,2984.9,135830300
2024-07-15,2984.9,2984.9,2901.47,2929.28,100918500
2024-07-16,2947.82,2947.82,2864.39,2873.66,78769700
2024-07-17,2957.09,3031.25,2929.28,3012.71,167149300
2024-07-18,3021.98,3040.52,2957.09,2975.63,98903500
2024-07-19,2966.36,2975.63,2892.2,2910.74,138117200
2024-07-22,2947.82,2975.63,2864.39,2873.66,139383000
2024-07-23,2910.74,2929.28,2873.66,2929.28,74338000
2024-07-24,2910.74,2920.01,2818.04,2836.58,98752100
2024-07-25,2855.12,2864.39,2808.77,2864.39,67060000
2024-07-26,2882.93,2882.93,2836.58,2873.66,94900300
2024-07-29,2864.39,2892.2,2818.04,2827.31,90885600
2024-07-30,2780.96,2780.96,2669.72,2669.72,321472800
2024-07-31,2669.72,2706.8,2632.64,2669.72,207440800
2024-08-01,2678.99,2716.07,2669.72,2669.72,121021800
2024-08-02,2669.72,2669.72,2614.1,2641.91,105816800
2024-08-05,2614.1,2623.37,2558.49,2586.29,105246400
2024-08-06,2595.56,2632.64,2586.29,2586.29,98524200
2024-08-07,2595.56,2632.64,2586.3,2614.1,77263000
2024-08-08,2595.56,2669.72,2595.56,2641.91,99533000
2024-08-09,2651.18,2669.72,2623.37,2623.37,80800300
2024-08-12,2641.91,2697.53,2632.64,2660.45,62746600
2024-08-13,2688.26,2688.26,2632.64,2641.91,82063600
2024-08-14,2641.91,2678.99,2641.91,2651.18,70188800
2024-08-15,2660.45,2669.72,2614.1,2660.45,79724100
2024-08-16,2697.53,2771.69,2688.26,2743.88,207060000
2024-08-19,2743.88,2753.15,2697.53,2716.07,68692700
2024-08-20,2771.69,2780.96,2743.88,2762.42,100434600
2024-08-21,2762.42,2790.23,2743.88,2753.15,111842200
2024-08-22,2725.34,2753.15,2706.8,2706.8,90336300
2024-08-23,2753.15,2790.23,2734.61,2734.61,86092500
2024-08-26,2725.34,2771.69,2716.07,2762.42,88941900
2024-08-27,2771.69,2780.96,2734.61,2771.69,71223800
2024-08-28,2780.96,2780.96,2743.88,2762.42,68736300
2024-08-29,2762.42,2855.12,2762.42,2808.77,160714800
2024-08-30,2808.77,2845.85,2790.23,2836.58,195809000
2024-09-02,2864.39,2920.01,2855.12,2910.74,118928500
2024-09-03,2910.74,2920.01,2855.12,2855.12,82172000
2024-09-04,2836.58,2873.66,2818.04,2855.12,81041700
2024-09-05,2855.12,2864.39,2799.5,2799.5,78989400
2024-09-06,2790.23,2827.31,2790.23,2818.04,82391200
2024-09-09,2827.31,2855.12,2780.96,2808.77,69264400
2024-09-10,2836.58,2836.58,2799.5,2808.77,46436100
2024-09-11,2808.77,2827.31,2799.5,2818.04,62899600
2024-09-12,2836.58,2845.85,2827.31,2827.31,85785000
2024-09-13,2855.12,2892.2,2845.85,2882.93,125032200
2024-09-17,2892.2,2901.47,2855.12,2864.39,56181000
2024-09-18,2892.2,2901.47,2873.66,2892.2,87120700
2024-09-19,2910.74,2920.01,2892.2,2910.74,130418300
2024-09-20,2920.01,2938.55,2892.2,2920.01,152477400
2024-09-23,2920.01,2947.82,2901.47,2938.55,82274400
2024-09-24,2947.82,2947.82,2920.01,2929.28,92256900
2024-09-25,2873.66,2957.09,2836.58,2957.09,215241700
2024-09-26,2938.55,2947.82,2892.2,2938.55,120042500
2024-09-27,2901.47,2910.74,2790.23,2827.31,291217300
2024-09-30,2808.77,2808.77,2771.69,2771.69,150844800
2024-10-01,2771.69,2818.04,2771.69,2799.5,77208500
2024-10-02,2734.61,2762.42,2706.8,2706.8,124629400
2024-10-03,2734.61,2734.61,2678.99,2678.99,92510900
2024-10-04,2688.26,2716.07,2651.18,2669.72,76757200
2024-10-07,2697.53,2697.53,2660.45,2688.26,84507100
2024-10-08,2678.99,2771.69,2660.45,2771.69,135357200
