Datetime,Open,High,Low,Close,Volume
2024-05-06,746.66,751.36,741.97,751.36,27470200
2024-05-07,746.66,751.36,737.27,746.66,23766800
2024-05-08,746.66,746.66,732.58,746.66,35672400
2024-05-13,746.66,746.66,718.49,732.58,70191400
2024-05-14,732.58,737.27,718.49,732.58,52568500
2024-05-15,704.4,704.4,643.35,704.4,252892800
2024-05-16,704.4,746.66,699.7,713.79,73247100
2024-05-17,713.79,718.49,690.31,713.79,62230200
2024-05-20,713.79,723.18,695.01,718.49,42168800
2024-05-21,713.79,718.49,695.01,699.7,41959500
2024-05-22,695.01,718.49,680.92,718.49,86727200
2024-05-27,704.4,713.79,662.14,666.83,200954000
2024-05-28,666.83,685.62,666.83,680.92,51106100
2024-05-29,671.53,680.92,652.74,671.53,138925100
2024-05-30,676.22,690.31,666.83,676.22,55636300
2024-05-31,676.22,690.31,648.05,648.05,1945968000
2024-06-03,648.05,662.14,619.87,648.05,327045000
2024-06-04,648.05,676.22,648.05,671.53,217257500
2024-06-05,671.53,676.22,657.44,662.14,107291100
2024-06-06,666.83,685.62,666.83,680.92,72253600
2024-06-07,680.92,680.92,666.83,680.92,56738200
2024-06-10,680.92,680.92,666.83,676.22,42882600
2024-06-11,666.83,671.53,657.44,666.83,119825300
2024-06-12,662.14,666.83,652.74,652.74,81887300
2024-06-13,657.44,657.44,633.96,648.05,69993200
2024-06-14,648.05,648.05,619.87,633.96,78056500
2024-06-19,633.96,643.35,624.57,638.66,52169000
2024-06-20,638.66,643.35,629.26,638.66,55750300
2024-06-21,638.66,657.44,633.96,657.44,73926300
2024-06-24,662.14,662.14,633.96,633.96,42948700
2024-06-25,638.66,643.35,629.26,643.35,36949900
2024-06-26,643.35,643.35,629.26,643.35,24178300
2024-06-27,643.35,676.22,643.35,671.53,50764300
2024-06-28,671.53,690.31,666.83,690.31,79488300
2024-07-01,690.31,690.31,676.22,685.62,25415300
2024-07-02,685.62,690.31,676.22,685.62,39343500
2024-07-03,685.62,704.4,676.22,699.7,59870500
