Datetime,Open,High,Low,Close,Volume
2024-05-06,7736.49,7886.23,7661.62,7661.62,17939000
2024-05-07,7686.58,7786.41,7661.62,7686.58,15746100
2024-05-08,7736.49,7961.1,7661.62,7961.1,23320600
2024-05-13,7986.06,8085.88,7936.14,8035.97,25681600
2024-05-14,8085.88,8684.84,8035.97,8410.32,51139000
2024-05-15,8535.1,9283.79,8535.1,9109.1,113309800
2024-05-16,9134.05,9258.84,9084.14,9134.05,50947300
2024-05-17,9208.92,9333.7,9084.14,9084.14,50324000
2024-05-20,9134.05,9233.88,8834.58,9059.18,43794800
2024-05-21,9089.73,9239.56,9064.75,9064.75,39333200
2024-05-22,9064.75,9189.61,8989.84,9064.75,36812000
2024-05-27,9089.73,9464.3,8840.01,8840.01,92835400
2024-05-28,8914.92,9089.73,8864.98,9064.75,45271500
2024-05-29,8989.84,9364.41,8989.84,9139.67,68406300
2024-05-30,9189.61,9439.33,9114.7,9139.67,76411600
2024-05-31,9189.61,9239.56,8640.23,9164.64,698686200
2024-06-03,9139.67,9339.44,9089.73,9189.61,43725600
2024-06-04,9214.58,9863.85,9189.61,9589.16,72413500
2024-06-05,9589.16,9589.16,7990.97,8640.23,69039100
2024-06-06,8690.18,8790.06,8615.26,8690.18,27229500
2024-06-07,8690.18,8740.12,8315.6,8490.4,22905300
2024-06-10,8490.4,8665.21,8440.46,8665.21,15452600
2024-06-11,8665.21,8815.04,8540.35,8540.35,17778000
2024-06-12,8590.29,8765.09,8390.52,8765.09,16363400
2024-06-13,8740.12,8790.06,8640.23,8640.23,13953900
2024-06-14,8690.18,8690.18,8490.4,8565.32,17308700
2024-06-19,8615.26,8690.18,8565.32,8665.21,14666300
2024-06-20,8665.21,8715.15,8565.32,8590.29,15602600
2024-06-21,8590.29,9014.81,8590.29,8615.26,27241200
2024-06-24,8640.23,8815.04,8565.32,8815.04,16677300
2024-06-25,8815.04,8989.84,8790.06,8914.92,22455500
2024-06-26,8964.87,9089.73,8939.9,9064.75,16513700
2024-06-27,9064.75,9089.73,9014.81,9039.78,14615200
2024-06-28,9039.78,9214.58,9039.78,9214.58,23619300
2024-07-01,9214.58,9339.44,9089.73,9089.73,18966700
2024-07-02,9139.67,9139.67,8889.95,8989.84,20567500
2024-07-03,9039.78,9189.61,8989.84,9189.61,17699200
2024-07-04,9214.58,9264.53,9139.67,9189.61,17359500
2024-07-05,9189.61,9264.53,9139.67,9189.61,14240300
2024-07-08,9189.61,9314.47,9164.64,9314.47,16504400
2024-07-09,9314.47,9414.36,9089.73,9189.61,20623500
2024-07-10,9189.61,9689.05,9164.64,9489.27,31467900
2024-07-11,9564.19,9589.16,9389.39,9589.16,14617700
2024-07-12,9589.16,9589.16,9139.67,9489.27,23010900
2024-07-15,9489.27,9813.91,9464.3,9689.05,27904000
2024-07-16,9714.02,9813.91,9589.16,9813.91,17925800
2024-07-17,9813.91,9963.74,9539.22,9714.02,23124000
2024-07-18,9639.1,9863.85,9639.1,9664.08,16153300
2024-07-19,9664.08,9738.99,9339.44,9464.3,19706200
2024-07-22,9464.3,9539.22,9289.5,9339.44,17198800
2024-07-23,9339.44,9439.33,9289.5,9439.33,14982700
2024-07-24,9489.27,9489.27,9389.39,9414.36,13558400
2024-07-25,9464.3,9489.27,9364.41,9439.33,13808500
2024-07-26,9464.3,9539.22,9389.39,9539.22,16491500
2024-07-29,9539.22,9614.13,9389.39,9514.25,15148600
2024-07-30,9539.22,9763.96,9514.25,9589.16,17935900
2024-07-31,9714.02,9714.02,9239.56,9639.1,21892700
2024-08-01,9639.1,9838.88,9489.27,9813.91,19812200
2024-08-02,9813.91,10138.54,9763.96,10088.6,20741200
2024-08-05,10088.6,10113.57,9389.39,9389.39,19360800
2024-08-06,9439.33,9838.88,9439.33,9664.08,21959700
2024-08-07,9714.02,11212.33,9689.05,10288.37,40097000
2024-08-08,10338.31,10413.23,10238.43,10313.34,13671400
2024-08-09,10313.34,10463.17,10313.34,10463.17,11934500
2024-08-12,10463.17,10513.12,10213.46,10463.17,16311300
2024-08-13,10463.17,10588.03,10413.23,10488.14,15532500
2024-08-14,10538.09,10613.0,10463.17,10613.0,13673100
2024-08-15,10588.03,10613.0,10463.17,10463.17,10942600
2024-08-16,10463.17,10488.15,10013.68,10088.6,14572100
2024-08-19,10088.6,10138.54,9689.05,9838.88,16323800
2024-08-20,9838.88,9838.88,9589.16,9589.16,14606900
2024-08-21,9589.16,9689.05,9439.33,9439.33,13864000
2024-08-22,9439.33,9589.16,9414.36,9464.3,15084500
2024-08-23,9489.27,9514.25,9289.5,9314.47,12232800
2024-08-26,9339.44,9364.42,9239.56,9289.5,13028100
2024-08-27,9314.47,9339.44,9139.67,9339.44,13508600
2024-08-28,9364.41,9564.19,9289.5,9439.33,26198800
2024-08-29,9489.27,9589.16,9364.41,9389.39,23200900
2024-08-30,9414.36,9963.74,9414.36,9963.74,30884100
2024-09-02,9963.74,9963.74,9539.22,9589.16,17045600
2024-09-03,9639.1,9664.08,9439.33,9439.33,17070200
2024-09-04,9439.33,9514.25,9389.39,9514.25,14311100
2024-09-05,9539.22,9589.16,9414.36,9439.33,13413800
2024-09-06,9439.33,9514.25,9414.36,9414.36,11343300
2024-09-09,9439.33,9514.25,9389.39,9389.39,13242100
2024-09-10,9464.3,9464.3,9264.53,9264.53,15100200
