Datetime,Open,High,Low,Close,Volume
2024-05-06,19376.92,19398.45,19161.62,19290.8,7044600
2024-05-07,19290.8,19290.8,19075.5,19161.62,4786800
2024-05-08,19204.68,19269.27,18989.38,19032.44,6823300
2024-05-13,19032.44,19204.68,18989.38,19118.56,5549600
2024-05-14,19204.68,19506.1,19075.5,19376.92,3991500
2024-05-15,19419.98,19506.1,19161.62,19161.62,3645600
2024-05-16,19226.21,19290.8,19032.44,19075.5,4701000
2024-05-17,19075.5,19247.74,19075.5,19204.68,1884000
2024-05-20,19204.68,19678.34,19204.68,19678.34,4692000
2024-05-21,19764.45,19764.45,19226.21,19312.33,4259000
2024-05-22,19290.8,19484.57,19118.56,19463.04,3633900
2024-05-27,19463.03,19506.09,19290.8,19484.56,3000300
2024-05-28,19527.62,19549.15,19226.21,19355.38,3405500
2024-05-29,19376.92,19398.45,19183.15,19398.45,2738700
2024-05-30,19376.92,19376.92,19053.97,19183.15,3150400
2024-05-31,19247.74,19506.1,19010.91,19010.91,14689400
2024-06-03,19312.33,19979.75,19161.62,19785.98,8682500
2024-06-04,19785.98,20108.93,19764.45,19785.98,4707400
2024-06-05,19785.98,19936.69,19355.39,19441.51,2641200
2024-06-06,19484.57,19592.22,19290.8,19441.51,4000100
2024-06-07,19463.04,19785.98,19441.51,19635.28,4005700
2024-06-10,19549.15,19549.15,19204.68,19226.21,2503400
2024-06-11,19226.21,19226.21,18817.14,18817.14,8097000
2024-06-12,18860.2,19010.91,18817.14,18946.32,4300800
2024-06-13,18946.32,19097.03,18860.2,18967.85,3585000
2024-06-14,18967.85,18989.38,18214.3,18278.89,5698200
2024-06-19,18321.95,18601.84,18171.24,18429.6,5043300
2024-06-20,18472.66,18989.38,18451.13,18989.38,2530200
2024-06-21,18946.32,18946.32,18623.37,18623.37,8057800
2024-06-24,18623.37,18838.67,18537.25,18709.49,3234100
2024-06-25,18709.49,18817.14,18515.72,18623.37,2727800
2024-06-26,18731.02,18774.08,18601.84,18731.02,2216800
2024-06-27,18752.55,18752.55,18580.31,18731.02,2199500
2024-06-28,18731.02,19010.91,18731.02,18924.79,3994400
2024-07-01,19097.03,19290.8,18860.2,19053.97,5852700
2024-07-02,19032.44,19376.92,18946.32,19204.68,4902100
2024-07-03,19333.86,20151.99,19269.27,20151.99,8772600
2024-07-04,20281.17,20496.47,20216.58,20410.35,4671000
2024-07-05,20410.35,20496.47,20259.64,20496.47,2121400
2024-07-08,20539.53,20668.71,20345.76,20668.71,3710900
2024-07-09,20668.71,20668.71,20367.29,20388.82,2585500
2024-07-10,20410.35,20582.59,20173.52,20281.17,3284800
2024-07-11,20410.35,20561.06,20195.05,20238.11,2196100
2024-07-12,20238.11,20367.29,20065.87,20238.11,2252700
2024-07-15,20238.11,20453.41,20238.11,20453.41,2293500
2024-07-16,20518.0,20625.65,20388.82,20496.47,3031900
2024-07-17,20625.65,20625.65,20410.35,20496.47,3733100
2024-07-18,20496.47,21056.25,20453.41,20970.13,5230200
2024-07-19,20970.13,21400.73,20905.54,21228.49,6120800
2024-07-22,21486.85,21960.51,21443.79,21788.27,7633600
2024-07-23,21788.27,21831.33,21400.73,21400.73,3513500
2024-07-24,21465.32,21465.32,21206.96,21379.2,3332200
2024-07-25,21379.2,21680.62,21228.49,21443.79,3157400
2024-07-26,21551.44,21616.03,21379.2,21508.38,3073200
2024-07-29,21508.38,21616.03,21250.02,21250.02,2178100
2024-07-30,21357.67,21680.62,21228.49,21529.91,4414000
2024-07-31,21659.09,22240.4,21616.03,22218.87,9902100
2024-08-01,22218.86,22283.45,21938.97,22003.56,4227300
2024-08-02,22003.57,22369.57,21745.21,22089.69,4665000
2024-08-05,21766.74,21766.74,20819.42,21034.72,8787200
2024-08-06,21185.43,21314.61,20754.83,20797.89,7129900
2024-08-07,20905.54,21486.85,20884.01,21293.08,4726300
2024-08-08,21250.02,21336.14,20905.54,21206.96,3126500
2024-08-09,21206.96,21443.79,21206.96,21271.55,2528100
2024-08-12,21422.26,21809.8,21271.55,21702.15,5446800
2024-08-13,21723.68,21788.27,21551.44,21551.44,3163000
2024-08-14,21551.44,21680.62,21443.79,21572.97,3223400
2024-08-15,21572.97,21659.09,21314.61,21357.67,3558000
2024-08-16,21465.32,21702.15,21400.73,21594.5,4087400
2024-08-19,21508.38,21616.03,21465.32,21616.03,1369500
2024-08-20,21723.68,21917.45,21659.09,21680.62,3138200
2024-08-21,21874.39,21874.39,21659.09,21659.09,2428200
2024-08-22,21659.09,22714.05,21616.03,22584.87,10021000
2024-08-23,22584.87,23381.48,22498.75,23187.71,10662800
2024-08-26,23166.18,23295.36,23037.0,23209.24,2805300
2024-08-27,23252.3,23467.6,23166.18,23467.6,4744400
2024-08-28,23510.66,23984.32,23403.01,23855.14,9220800
2024-08-29,23855.14,23855.14,23424.54,23532.19,3975300
2024-08-30,23532.19,23575.25,23123.12,23295.36,8569100
2024-09-02,23510.66,24091.96,23510.66,24027.38,5370100
2024-09-03,24070.44,24242.68,23855.14,23919.73,2578800
2024-09-04,23747.49,23833.61,23553.72,23812.08,2090400
2024-09-05,23812.08,23833.61,23489.13,23704.43,3362100
2024-09-06,23575.25,23855.14,23166.18,23295.36,5239200
2024-09-09,23295.36,23510.66,22821.7,23467.6,6924400
2024-09-10,23510.66,23532.19,22843.23,22993.94,4888100
2024-09-11,22907.82,22972.41,22434.16,22584.87,5507400
2024-09-12,22606.4,23015.47,22584.87,22692.52,5337400
2024-09-13,22692.52,22929.35,22584.87,22692.52,2559200
2024-09-17,22757.11,22993.94,22735.58,22972.41,3545000
2024-09-18,22972.41,23187.71,22907.82,23015.47,2423100
2024-09-19,23015.47,23166.18,22929.35,22929.35,2357100
2024-09-20,22929.35,23252.3,22821.7,23187.71,3949100
2024-09-23,23209.24,23403.01,23187.71,23359.95,3043800
2024-09-24,23359.95,23575.25,23338.42,23575.25,2358500
2024-09-25,23596.78,23639.84,22993.94,23639.84,4933400
2024-09-26,23639.84,23639.84,23166.18,23510.66,3559000
2024-09-27,23596.78,23876.67,23446.07,23855.14,6214300
2024-09-30,23855.14,24091.97,23381.48,23381.48,6814500
2024-10-01,23532.19,23639.84,23252.3,23639.84,3331300
2024-10-02,23639.84,23812.08,23316.89,23467.6,3323800
2024-10-03,23618.31,23618.31,23273.83,23446.07,2465500
2024-10-04,23446.07,23489.13,23252.3,23489.13,3472700
2024-10-07,23596.78,23618.31,23080.06,23316.89,5963900
2024-10-08,23464.34,23508.49,23221.53,23331.9,4799200
2024-10-09,23331.9,23530.56,23089.09,23486.42,3140800
2024-10-10,23486.42,23486.42,22868.35,22868.35,4306100
2024-10-11,23000.79,23265.68,22890.42,23089.09,2164600
2024-10-14,23133.24,23221.53,22824.2,22978.72,2835000
2024-10-15,22978.72,23000.8,22581.39,22757.98,3490800
2024-10-16,22868.35,23398.12,22581.39,23243.61,5882600
2024-10-17,23243.61,23773.37,23243.61,23596.79,4325400
2024-10-18,23685.08,23685.08,23420.2,23596.79,2136700
2024-10-21,23618.86,23640.93,23265.68,23596.79,3041200
2024-10-22,23663.01,23949.96,23508.49,23905.82,4095800
2024-10-23,23883.74,23905.82,23707.15,23861.67,2255900
2024-10-24,23861.67,23883.74,23729.23,23729.23,1516700
2024-10-25,23729.23,23773.37,23596.78,23663.01,1790100
2024-10-28,23640.93,23729.23,23309.83,23663.01,1739600
2024-10-29,23663.0,23663.0,23243.6,23265.68,2023700
2024-10-30,23221.53,23398.12,22846.28,23331.9,4383000
2024-10-31,23883.74,24281.07,23640.93,24236.92,9741000
2024-11-01,24148.63,24214.85,23751.3,24060.33,2627300
2024-11-04,24060.33,24148.63,23707.15,24148.63,2410900
2024-11-05,23972.04,24060.33,23707.15,23839.59,2680500
2024-11-06,23839.59,24347.29,23839.59,24016.18,5360700
2024-11-07,24016.18,24258.99,23773.37,24038.26,4194400
2024-11-08,24126.55,24457.66,24126.55,24236.92,4231500
2024-11-11,24236.92,24236.92,23044.94,23044.94,4067600
2024-11-12,23199.46,23618.86,23000.8,23596.79,4228400
2024-11-13,23618.86,23618.86,23067.02,23309.83,2402100
2024-11-14,23309.83,23309.83,22735.91,22934.57,4118900
2024-11-15,22934.57,23530.56,22934.57,23442.27,3965800
2024-11-18,23442.27,23464.34,22780.06,22824.21,3489200
2024-11-19,22824.2,23353.97,22824.2,23265.68,3589000
2024-11-20,23309.83,23442.27,23155.31,23331.9,2877800
2024-11-21,23398.12,23729.23,23398.12,23552.64,4192700
2024-11-22,23618.86,23994.11,23618.86,23839.59,4332300
2024-11-25,24016.18,24634.25,23861.67,24369.36,10559100
2024-11-26,24369.36,24634.25,24148.63,24281.07,3365800
2024-11-28,24281.07,24634.25,24148.63,24170.7,2831500
2024-11-29,24170.7,24281.07,23640.93,23640.93,3598000
2024-12-02,23640.93,24545.95,23640.93,24192.77,3899900
2024-12-03,24236.92,24523.88,23773.37,23972.04,2433500
2024-12-04,24104.48,24391.44,24082.41,24391.44,2384200
2024-12-05,24391.44,24413.51,24281.07,24391.44,1133200
2024-12-06,24413.51,24700.47,24303.14,24678.39,2622700
2024-12-09,24722.54,25164.02,24700.47,25164.02,3842500
2024-12-10,25164.02,25164.02,24700.47,24899.13,3040000
2024-12-11,24457.66,24899.13,24413.51,24523.88,3233200
2024-12-12,24523.88,25075.72,24501.8,24678.39,2407100
2024-12-13,24678.4,24832.91,24457.66,24832.91,2534000
2024-12-16,24832.91,24854.99,24413.51,24744.62,2294000
2024-12-17,24700.47,24700.47,23000.79,23177.38,7094300
2024-12-18,23287.75,23640.93,23155.31,23199.46,2372600
2024-12-19,23199.46,23265.68,22824.2,23221.53,2782200
2024-12-20,23221.53,23287.75,22206.14,22669.69,7273800
2024-12-23,22691.76,22868.35,22117.85,22471.03,4394000
2024-12-24,22537.25,22537.25,22139.92,22250.29,1643700
2024-12-27,22250.29,22426.88,22161.99,22426.88,1661000
2024-12-30,22426.88,23640.93,22117.85,23640.93,3934400
2025-01-02,23486.41,23486.41,22515.17,22691.76,3884300
2025-01-03,22713.84,22978.72,22404.8,22581.39,3428600
2025-01-06,22581.39,22713.84,22184.07,22426.88,2878100
2025-01-07,22537.25,22890.43,22404.8,22824.21,4428000
2025-01-08,22868.35,22890.43,22228.21,22228.21,3282800
2025-01-09,22250.29,22471.03,22007.48,22051.63,2091600
2025-01-10,22073.7,22294.44,21919.18,22161.99,3075600
2025-01-13,22250.29,22559.32,21919.18,22426.88,4009100
2025-01-14,22537.25,22713.84,22206.14,22515.17,2289400
2025-01-15,22669.69,22846.28,22625.54,22691.76,1736400
2025-01-16,22691.76,23221.53,22691.76,23111.16,2570100
2025-01-17,23177.38,23398.12,23111.16,23331.9,2917500
2025-01-20,23420.2,23486.42,22934.57,22934.57,2690200
2025-01-21,23067.01,23398.12,22691.76,22691.76,2606400
2025-01-22,22802.13,23044.94,22625.54,22890.43,2601600
2025-01-23,22912.5,22978.72,22471.03,22471.03,2287000
2025-01-24,22603.47,22691.76,22161.99,22161.99,2611600
2025-01-30,22161.99,22161.99,21455.64,21610.15,4037500
2025-01-31,21588.08,22073.7,21566.01,21963.33,3379800
2025-02-03,21963.33,22095.77,21632.23,22073.7,2278000
2025-02-04,22095.77,22272.36,21698.45,22073.7,2061300
2025-02-05,22515.17,22515.17,21941.26,22206.14,3431600
2025-02-06,22206.14,22206.14,21367.34,21566.0,3032100
2025-02-07,21566.0,21897.11,21146.6,21897.11,2811700
2025-02-10,21742.6,21742.6,21190.75,21301.12,3925000
2025-02-11,21345.27,21632.23,21256.97,21566.0,2780500
2025-02-12,21566.01,22184.07,21455.64,21963.33,2726000
2025-02-13,21985.4,21985.4,21411.49,21632.22,2606900
2025-02-14,21654.3,22184.07,21543.93,22117.85,1981700
2025-02-17,22117.85,22117.85,21654.3,21897.11,2133500
2025-02-18,21897.11,22316.51,21830.89,21830.89,1909700
2025-02-19,22029.55,22250.29,21875.04,22250.29,3952300
2025-02-20,22117.85,22184.07,21742.59,21852.96,3703300
2025-02-21,21852.96,22051.63,21654.3,21698.45,2283200
2025-02-24,21720.52,22228.22,21676.37,22073.7,1932400
2025-02-25,21897.11,21941.26,20616.84,20749.28,7395400
2025-02-26,21102.46,21102.46,20374.02,20660.98,4548200
2025-02-27,20660.98,21146.6,20418.17,20683.06,7783600
2025-02-28,20329.88,20396.1,19446.93,19733.89,9195200
2025-03-03,19424.86,20263.66,19336.56,19800.11,6022800
2025-03-04,19778.03,19998.77,19513.15,19579.37,3062000
2025-03-05,19667.67,21102.46,19579.37,20903.79,6473400
2025-03-06,21168.68,22073.7,21036.24,22007.48,7949000
2025-03-07,22007.48,22007.48,21058.31,21234.9,4288900
2025-03-10,21256.97,21279.05,20771.35,20881.72,2002700
2025-03-11,20881.72,21190.75,20638.91,20925.87,2667100
2025-03-12,20925.87,21014.16,20616.83,20616.83,2375900
2025-03-13,20616.84,20660.98,20241.58,20351.95,2738400
2025-03-14,20396.1,20418.17,19888.4,20064.99,2657100
2025-03-17,20087.07,20638.91,20087.07,20506.47,1996100
2025-03-18,20462.32,20462.32,19513.15,19822.18,5435500
2025-03-19,19822.18,19954.63,19513.15,19711.81,4929100
2025-03-20,19954.63,20197.44,19866.33,19976.7,2893300
2025-03-21,19976.7,20197.44,19446.93,20197.44,11578400
2025-03-24,20087.07,20087.07,19469.0,20042.92,2517500
2025-03-25,20042.92,20307.8,19888.4,20153.29,2182200
2025-03-26,20307.8,20837.57,20175.36,20749.28,3551000
