Datetime,Open,High,Low,Close,Volume
2024-05-06,2369.79,2369.79,2298.25,2325.08,4220900
2024-05-07,2325.08,2325.08,2262.48,2271.42,8625300
2024-05-08,2271.42,2307.19,2262.48,2289.31,11512500
2024-05-13,2289.31,2405.56,2289.31,2369.79,23948700
2024-05-14,2387.68,2423.45,2360.85,2414.5,10089800
2024-05-15,2414.5,2423.45,2369.79,2396.62,7512400
2024-05-16,2396.62,2414.5,2378.73,2414.5,8083900
2024-05-17,2414.5,2459.22,2414.5,2423.45,9948800
2024-05-20,2423.45,2459.22,2396.62,2414.5,6973900
2024-05-21,2423.45,2602.3,2414.5,2602.3,44624100
2024-05-22,2602.3,2763.27,2566.53,2736.44,50452500
2024-05-27,2763.27,2924.23,2763.27,2915.29,54566200
2024-05-28,2942.12,3031.54,2825.86,2933.18,29382200
2024-05-29,2933.18,2933.18,2655.95,2691.73,28321900
2024-05-30,2682.78,2852.69,2655.95,2781.15,32045000
2024-05-31,2825.86,2888.46,2790.09,2790.09,93435800
2024-06-03,2816.92,2852.69,2745.38,2754.32,16632800
2024-06-04,2754.32,2861.63,2745.38,2799.04,20118800
2024-06-05,2807.98,2825.86,2736.44,2745.38,15373900
2024-06-06,2754.32,2834.81,2745.38,2754.32,9097200
2024-06-07,2754.32,2772.21,2691.73,2691.73,18546500
2024-06-10,2691.73,2825.86,2691.73,2745.38,16337700
2024-06-11,2763.27,2790.09,2727.5,2736.44,9309500
2024-06-12,2736.44,2790.09,2700.67,2736.44,9454500
2024-06-13,2736.44,2790.09,2736.44,2736.44,11469600
2024-06-14,2763.27,2870.58,2745.38,2861.63,31693600
2024-06-19,2861.63,2861.63,2736.44,2745.38,26712400
2024-06-20,2763.27,2772.21,2638.07,2718.55,15901600
2024-06-21,2718.55,2772.21,2673.84,2673.84,31954300
2024-06-24,2691.73,2736.44,2691.73,2691.73,11463100
2024-06-25,2691.73,2709.61,2682.78,2691.73,6407300
2024-06-26,2691.73,2727.5,2673.84,2691.73,10002000
2024-06-27,2709.61,2772.21,2691.72,2754.32,11445600
2024-06-28,2745.38,2772.21,2700.67,2700.67,22976500
2024-07-01,2743.8,2752.97,2707.09,2716.27,19111600
2024-07-02,2716.27,2734.62,2697.91,2725.44,18080200
2024-07-03,2725.44,2725.44,2679.56,2697.91,13475700
2024-07-04,2688.74,2707.09,2661.21,2679.56,9162800
2024-07-05,2679.56,2697.91,2670.39,2670.39,3813800
2024-07-08,2679.56,2798.86,2679.56,2798.86,13331300
2024-07-09,2817.21,2826.39,2725.44,2752.97,9920600
2024-07-10,2752.97,2762.15,2707.09,2716.27,7287100
2024-07-11,2725.44,2743.8,2661.21,2661.21,15616700
2024-07-12,2670.38,2707.09,2661.21,2679.56,8178100
2024-07-15,2697.91,2707.09,2652.03,2688.74,11015000
2024-07-16,2688.74,2688.74,2578.62,2578.62,16544200
2024-07-17,2596.97,2642.86,2587.8,2624.5,6442600
2024-07-18,2624.5,2642.86,2569.44,2569.44,15388600
2024-07-19,2569.44,2596.97,2541.91,2569.44,13042200
2024-07-22,2569.44,2596.97,2505.21,2514.38,11835200
2024-07-23,2514.38,2541.91,2486.85,2505.21,9975200
2024-07-24,2505.21,2514.38,2477.68,2496.03,8819600
2024-07-25,2385.91,2413.44,2257.44,2284.97,49706400
2024-07-26,2294.15,2312.5,2275.79,2284.97,10432400
2024-07-29,2284.97,2312.5,2248.26,2257.44,15273200
2024-07-30,2275.79,2275.79,2211.56,2229.91,13418000
2024-07-31,2239.09,2248.26,2211.56,2239.09,12819500
2024-08-01,2239.09,2303.32,2239.09,2294.15,12299900
2024-08-02,2294.15,2330.85,2229.91,2229.91,12724200
2024-08-05,2229.91,2248.26,2174.85,2211.56,12797900
2024-08-06,2229.91,2284.97,2211.56,2257.44,13817000
2024-08-07,2257.44,2275.79,2239.09,2275.79,7543700
2024-08-08,2266.62,2294.15,2257.44,2257.44,6237100
2024-08-09,2266.62,2284.97,2239.09,2257.44,4069500
2024-08-12,2257.44,2275.79,2239.09,2257.44,6165000
2024-08-13,2266.62,2266.62,2229.91,2248.26,9960500
2024-08-14,2248.26,2257.44,2211.56,2229.91,19701700
2024-08-15,2211.56,2229.91,2184.03,2184.03,14678100
2024-08-16,2193.2,2211.56,2184.03,2193.2,15338700
2024-08-19,2193.2,2211.56,2147.32,2165.67,27231100
2024-08-20,2165.67,2211.56,2147.32,2174.85,47604400
2024-08-21,2184.03,2229.91,2165.67,2165.67,58997300
2024-08-22,2165.67,2193.2,2138.14,2156.5,23164600
2024-08-23,2156.5,2184.03,2156.5,2156.5,17697600
2024-08-26,2156.5,2184.03,2138.14,2156.5,20397600
2024-08-27,2156.5,2165.67,2064.73,2101.44,53066300
2024-08-28,2101.44,2101.44,2055.55,2064.73,33915800
2024-08-29,2064.73,2092.26,2055.55,2055.55,16896700
2024-08-30,2055.55,2092.26,2055.55,2083.08,35048000
2024-09-02,2092.26,2138.14,2073.91,2101.44,33193700
2024-09-03,2101.44,2110.61,2064.73,2064.73,20121900
2024-09-04,2064.73,2073.91,2046.38,2055.55,17653400
2024-09-05,2055.55,2064.73,2037.2,2037.2,19923600
2024-09-06,2037.2,2064.73,2018.85,2037.2,22143400
2024-09-09,2037.2,2046.38,1991.32,2009.67,28639100
2024-09-10,2009.67,2055.55,2009.67,2028.02,15566300
2024-09-11,2028.02,2083.08,2009.67,2009.67,19451900
2024-09-12,2018.85,2055.55,2009.67,2037.2,19386200
2024-09-13,2037.2,2046.38,2000.49,2018.85,22249000
2024-09-17,2018.85,2028.02,1991.32,2000.49,16822800
2024-09-18,2009.67,2028.02,2000.49,2028.02,14504400
2024-09-19,2028.02,2110.61,2018.85,2018.85,71191900
2024-09-20,2018.85,2028.02,1991.32,1991.32,41017800
2024-09-23,2009.67,2028.02,1991.32,2028.02,17520500
2024-09-24,2037.2,2083.08,2028.02,2073.91,25946800
2024-09-25,2073.91,2110.61,2055.55,2110.61,36252700
2024-09-26,2110.61,2119.79,2073.91,2110.61,24682000
2024-09-27,2119.79,2147.32,2083.08,2083.08,38117300
2024-09-30,2083.08,2101.44,2028.02,2028.02,29424700
2024-10-01,2046.38,2055.55,2009.67,2028.02,19633500
2024-10-02,2018.85,2028.02,1982.14,1991.32,28428400
