Datetime,Open,High,Low,Close,Volume
2024-05-06,140.97,145.93,137.0,141.96,382692500
2024-05-07,141.96,142.95,140.97,142.95,41977000
2024-05-08,142.95,155.86,141.96,155.86,171900500
2024-05-13,155.86,164.79,155.86,164.79,231445200
2024-05-14,163.8,180.68,163.8,179.69,353100100
2024-05-15,181.67,181.67,175.71,178.69,36217200
2024-05-16,178.69,183.66,173.73,178.69,302125500
2024-05-17,182.66,183.66,171.74,183.66,369078800
2024-05-20,183.66,187.63,182.66,183.66,180416800
2024-05-21,183.66,186.63,174.72,174.72,356892900
2024-05-22,175.71,175.71,165.79,168.76,193271800
2024-05-27,168.76,168.76,158.84,159.83,261017000
2024-05-28,159.83,178.69,159.83,176.71,216517400
2024-05-29,176.71,178.69,169.76,172.74,187707100
2024-05-30,172.74,174.72,167.77,172.74,191901100
2024-05-31,172.74,174.72,168.76,169.76,121959100
2024-06-03,169.76,172.74,168.76,169.76,165400900
2024-06-04,169.76,170.75,162.81,162.81,99506600
2024-06-05,162.81,167.77,160.82,162.81,201898200
2024-06-06,162.81,171.74,162.81,171.74,199447300
2024-06-07,171.74,173.73,164.79,165.79,163572200
2024-06-10,165.79,168.76,161.82,165.79,127431800
2024-06-11,165.79,172.74,163.8,172.74,196109000
2024-06-12,172.74,173.73,167.77,168.76,60599600
2024-06-13,168.76,170.75,167.77,168.76,102104900
2024-06-14,169.76,169.76,164.79,166.78,43369100
2024-06-19,167.84,169.84,164.84,167.84,147950700
2024-06-20,167.84,184.82,166.84,181.82,243433300
2024-06-21,181.82,185.82,177.83,185.82,188081700
2024-06-24,187.82,203.8,185.82,190.82,189646600
2024-06-25,190.82,193.81,183.82,186.82,118128200
2024-06-26,183.82,192.81,183.82,187.82,59984900
2024-06-27,187.82,187.82,178.83,180.83,93627600
2024-06-28,180.83,195.81,180.83,193.81,156750200
2024-07-01,193.81,197.81,191.82,194.81,92227600
2024-07-02,194.81,194.81,189.82,190.82,127872800
2024-07-03,191.82,194.81,189.82,191.82,91174800
2024-07-04,191.82,196.81,188.82,192.81,141168300
2024-07-05,193.81,205.8,192.81,203.8,251019300
2024-07-08,203.8,207.8,196.81,199.81,119446800
2024-07-09,198.81,213.79,198.81,207.8,205791800
2024-07-10,207.8,211.8,201.81,205.8,147776300
2024-07-11,205.8,211.8,201.81,207.8,129925400
2024-07-12,209.8,211.8,203.8,207.8,136724700
2024-07-15,209.8,209.8,199.81,203.8,98549800
2024-07-16,203.8,209.8,199.81,207.8,136097900
2024-07-17,207.8,219.79,207.8,215.79,219310400
2024-07-18,215.79,217.79,199.81,199.81,82041000
2024-07-19,199.81,203.8,190.82,196.81,132189600
2024-07-22,196.81,199.81,192.81,196.81,96872600
2024-07-23,196.81,201.81,194.81,199.81,189496200
2024-07-24,201.81,203.8,195.81,195.81,56086400
2024-07-25,196.81,197.81,192.81,197.81,180595200
2024-07-26,197.81,207.8,197.81,201.81,180878500
2024-07-29,201.81,203.8,199.81,199.81,75023500
2024-07-30,199.81,201.81,197.81,199.81,55053300
2024-07-31,201.81,239.77,201.81,231.78,297249200
2024-08-01,235.77,235.77,221.79,223.78,77339100
2024-08-02,225.78,229.78,213.79,213.79,107223700
2024-08-05,213.79,217.79,203.8,207.8,95593300
2024-08-06,205.8,221.79,203.8,219.79,143611900
2024-08-07,221.79,229.78,217.79,223.78,126230200
2024-08-08,223.78,225.78,219.79,223.78,64312300
2024-08-09,223.78,233.77,223.78,229.78,81232300
2024-08-12,229.78,233.77,227.78,231.78,87008900
2024-08-13,231.78,253.76,231.78,245.76,182262700
2024-08-14,245.76,247.76,237.77,239.77,71690700
2024-08-15,241.77,253.76,239.77,251.76,136114800
2024-08-16,251.76,263.75,249.76,257.75,142548900
2024-08-19,257.75,301.71,257.75,291.72,234809100
2024-08-20,291.72,315.7,281.73,305.71,181512700
2024-08-21,313.7,313.7,271.74,285.73,139546100
2024-08-22,279.73,293.72,271.74,283.73,100271400
2024-08-23,283.73,297.71,277.73,293.72,64013500
2024-08-26,293.72,301.71,289.72,293.72,38877900
2024-08-27,293.72,297.71,271.74,283.73,152392700
2024-08-28,279.73,291.72,277.73,277.73,55883800
2024-08-29,279.73,281.73,273.74,281.73,78440800
2024-08-30,281.73,287.72,273.74,279.73,74100700
2024-09-02,279.73,281.73,271.74,275.73,99920100
2024-09-03,275.73,283.73,273.74,281.73,75354800
2024-09-04,281.73,281.73,271.74,271.74,96919800
2024-09-05,271.74,275.73,263.75,273.74,139610800
2024-09-06,277.73,279.73,267.74,267.74,142652900
2024-09-09,267.74,267.74,243.77,249.76,156080600
2024-09-10,245.76,283.73,245.76,263.75,232194100
2024-09-11,263.75,273.74,255.75,265.74,130598600
2024-09-12,265.74,267.74,259.75,263.75,36431700
2024-09-13,263.75,265.74,259.75,263.75,56429800
2024-09-17,263.75,281.73,263.75,279.73,143696400
2024-09-18,277.73,283.73,267.74,275.73,91931400
2024-09-19,275.73,287.72,275.73,277.73,128606900
2024-09-20,279.73,279.73,269.74,273.74,83351600
2024-09-23,273.74,277.73,267.74,273.74,107196100
2024-09-24,271.74,275.73,267.74,273.74,67970400
2024-09-25,273.74,275.73,267.74,269.74,94391700
2024-09-26,269.74,273.74,263.75,269.74,162408300
2024-09-27,269.74,271.74,255.75,257.75,124212600
2024-09-30,257.75,267.74,251.76,265.74,77258000
2024-10-01,265.74,271.74,261.75,265.74,109708200
2024-10-02,267.74,267.74,253.76,255.75,91395600
2024-10-03,255.75,273.74,255.75,267.74,156532600
2024-10-04,267.74,271.74,261.75,263.75,103056400
2024-10-07,263.75,273.74,261.75,269.74,218157100
2024-10-08,269.74,283.73,265.74,277.73,238961400
2024-10-09,277.73,283.73,271.74,273.74,94908900
2024-10-10,275.73,277.73,267.74,273.74,172434600
2024-10-11,273.74,277.73,271.74,275.73,57997300
2024-10-14,275.73,315.7,275.73,307.7,282999100
2024-10-15,311.7,313.7,297.71,305.71,127494000
2024-10-16,305.71,329.68,305.71,315.7,162450900
2024-10-17,317.69,323.69,311.7,317.69,83762300
2024-10-18,317.69,365.65,317.69,355.66,162064900
2024-10-21,357.66,433.58,357.66,421.59,319793500
2024-10-22,425.59,461.56,419.6,425.59,295105400
2024-10-23,425.59,429.59,387.63,409.61,158779700
2024-10-24,411.6,435.58,407.61,419.6,86048100
2024-10-25,423.59,433.58,409.61,409.61,55990600
2024-10-28,409.61,415.6,387.63,389.62,68524500
2024-10-29,389.62,397.62,375.64,383.63,54796300
2024-10-30,385.63,389.62,377.64,379.63,25551800
2024-10-31,379.63,381.63,339.67,373.64,161949200
2024-11-01,397.62,399.62,367.65,377.64,103903200
2024-11-04,377.64,385.63,357.66,379.63,63558700
2024-11-05,379.63,381.63,369.64,371.64,24171100
2024-11-06,371.64,393.62,371.64,383.63,113491700
2024-11-07,379.63,437.58,379.63,431.58,171410500
2024-11-08,431.58,447.57,405.61,405.61,111454800
2024-11-11,405.61,425.59,403.61,409.61,102174200
2024-11-12,407.61,445.57,403.61,437.58,99031900
2024-11-13,439.58,469.55,427.59,435.58,190852200
2024-11-14,435.58,467.55,433.58,457.56,77530900
2024-11-15,459.56,471.55,433.58,439.58,83388000
2024-11-18,441.58,443.57,421.59,427.59,35664700
2024-11-19,429.59,441.58,425.59,431.58,23201100
2024-11-20,435.58,437.58,411.6,427.59,46071900
2024-11-21,427.59,443.57,427.59,439.58,45158900
2024-11-22,441.58,453.56,431.58,433.58,31955500
2024-11-25,431.58,437.58,415.6,419.6,47889200
2024-11-26,419.6,437.58,417.6,425.59,35085400
2024-11-28,427.59,445.57,423.59,423.59,44565600
2024-11-29,425.59,433.58,411.6,429.59,88387100
2024-12-02,429.59,435.58,417.6,421.59,26864800
2024-12-03,423.59,443.57,421.59,427.59,36644000
2024-12-04,429.59,441.58,423.59,427.59,46002500
2024-12-05,429.59,439.58,417.6,431.58,59588700
2024-12-06,433.58,453.56,429.59,429.59,64003600
2024-12-09,431.58,437.58,425.59,429.59,45407200
2024-12-10,429.59,437.58,411.6,419.6,82320500
2024-12-11,419.6,421.59,413.6,417.6,61411000
2024-12-12,417.6,423.59,411.6,419.6,72745600
2024-12-13,419.6,421.59,411.6,415.6,62557700
2024-12-16,415.6,419.6,389.63,417.6,83510000
2024-12-17,419.6,421.59,405.61,405.61,89219800
2024-12-18,405.61,415.6,405.61,411.6,98076500
